date,open,high,low,close,volume,amount,pctChg
2025-01-02,16.8200,17.4100,16.6000,16.6500,2821100,48040567.0000,-0.715600
2025-01-03,16.7400,16.8500,15.7000,15.7900,2431880,39192807.0000,-5.165200
2025-01-06,15.7900,15.9000,14.9100,15.6500,1376400,21308001.0000,-0.886600
2025-01-07,15.6900,16.3800,15.6900,16.3400,1636100,26200012.0000,4.408900
2025-01-08,16.3500,16.5000,15.9100,16.4000,1319000,21446242.0000,0.367200
2025-01-09,16.2700,16.4500,16.1000,16.2300,857100,13938870.0000,-1.036600
2025-01-10,16.2300,16.2500,15.6500,15.6800,978800,15608786.0000,-3.388800
2025-01-13,15.5200,15.7700,15.0400,15.6700,1061400,16434086.0000,-0.063800
2025-01-14,15.7800,16.3000,15.7500,16.2900,1521700,24468650.0000,3.956600
2025-01-15,16.3400,16.5500,16.2700,16.3900,1213700,19928450.0000,0.613900
2025-01-16,16.4000,16.7100,16.2600,16.4200,1189300,19584567.0000,0.183000
2025-01-17,16.4000,16.5600,15.9700,16.1200,1753200,28329493.0000,-1.827000
2025-01-20,16.2200,16.9100,16.0300,16.9000,1891700,31336043.0000,4.838700
2025-01-21,16.8600,16.8600,16.3200,16.4400,1488500,24530511.0000,-2.721900
2025-01-22,16.3400,16.4100,16.0800,16.2100,787400,12793214.0000,-1.399000
2025-01-23,16.3500,16.5000,16.2100,16.3400,1154400,18945364.0000,0.802000
2025-01-24,16.3300,16.5700,16.1800,16.4500,1120300,18349025.0000,0.673200
2025-01-27,16.4500,16.9200,16.4000,16.6400,1088000,18217960.0000,1.155000
2025-02-05,16.6500,16.9100,16.3200,16.5700,1370833,22737357.1600,-0.420700
2025-02-06,16.7000,16.7400,16.3900,16.6900,1189633,19697395.4700,0.724200
2025-02-07,16.7100,17.0800,16.7100,17.0300,1549200,26247083.0000,2.037100
2025-02-10,16.9800,17.3000,16.9400,17.3000,1216900,20865202.0000,1.585400
2025-02-11,17.3000,17.4700,17.0900,17.2600,910200,15709158.0000,-0.231200
2025-02-12,17.2700,17.3100,17.0800,17.2100,949100,16310612.0000,-0.289700
2025-02-13,17.2000,17.2800,16.8500,16.8700,776700,13201260.0000,-1.975600
2025-02-14,16.9000,17.0500,16.7500,16.9400,908300,15381160.0000,0.414900
2025-02-17,16.9500,17.4000,16.9500,17.2800,1103600,19008445.0000,2.007100
2025-02-18,17.2400,17.8200,17.0700,17.3600,2135133,37034658.2300,0.463000
2025-02-19,17.2900,17.4300,17.0800,17.1600,1704200,29348350.0000,-1.152100
2025-02-20,17.2000,17.3500,17.1100,17.3500,962800,16577837.0000,1.107200
2025-02-21,17.3600,17.3800,16.9300,17.1100,958200,16377318.0000,-1.383300
2025-02-24,17.0100,17.3500,16.9200,17.2400,1678256,28818398.4300,0.759800
2025-02-25,17.1000,17.5700,17.0000,17.3400,1625333,28128056.5800,0.580000
2025-02-26,17.3300,17.6300,17.2200,17.3300,1142800,19809103.0000,-0.057700
2025-02-27,17.3100,17.4700,17.0700,17.4400,1069600,18480705.0000,0.634700
2025-02-28,17.2900,17.5100,16.9500,17.0100,1043201,17894033.0100,-2.465600
2025-03-03,17.1100,17.4100,17.0100,17.1500,994900,17165363.0800,0.823000
2025-03-04,17.0700,17.3600,17.0600,17.3200,618100,10672933.0000,0.991300
2025-03-05,17.3800,17.4100,17.0000,17.2700,889590,15251977.1000,-0.288700
2025-03-06,17.3400,17.5000,17.1900,17.4800,1400233,24339260.5200,1.216000
2025-03-07,17.4600,17.6500,17.3600,17.4400,913799,15975422.5700,-0.228800
2025-03-10,17.8300,17.8300,17.4100,17.6200,1236282,21710257.5100,1.032100
2025-03-11,17.6000,17.7500,17.3700,17.7100,1074600,18903981.0000,0.510800
2025-03-12,17.7700,18.2000,17.5800,18.2000,1604033,28610184.7000,2.766800
2025-03-13,18.5800,18.6800,17.6200,17.7900,3128101,56315161.0300,-2.252700
2025-03-14,17.8700,18.2200,17.6000,18.2200,3207834,57272063.2100,2.417100
2025-03-17,18.2000,18.4100,18.0000,18.2000,2029300,36775800.2000,-0.109800
2025-03-18,18.2800,18.3000,18.0300,18.2200,1295000,23498897.0000,0.109900
2025-03-19,18.2200,18.2500,17.9900,18.0900,1167500,21100955.0000,-0.713500
2025-03-20,18.0100,18.2300,18.0100,18.1300,979800,17761241.0000,0.221100
2025-03-21,18.0200,18.4100,17.9100,18.0900,1501700,27253389.0000,-0.220600
2025-03-24,18.0000,18.4000,17.4100,17.7400,2020690,36233543.3000,-1.934800
2025-03-25,17.7400,18.2600,17.5900,18.0700,1722400,30947726.0000,1.860200
2025-03-26,18.0000,19.1300,18.0000,18.4900,3125170,58095630.9900,2.324300
2025-03-27,18.4700,18.6300,18.1100,18.4900,1841900,33811114.0000,0.000000
2025-03-28,18.3200,18.5900,18.2500,18.2900,1086170,19953545.0000,-1.081700
2025-03-31,18.2900,18.2900,17.6000,17.9000,1328190,23790823.0000,-2.132300
2025-04-01,17.9800,18.4000,17.9800,18.2500,1451500,26464566.0000,1.955300
2025-04-02,18.6800,18.8000,18.3400,18.5600,2170700,40455010.0000,1.698600
2025-04-03,18.2800,18.5000,18.0300,18.1600,1656800,30154138.0000,-2.155200
2025-04-07,17.6000,17.6000,16.3400,16.3400,1641300,27371597.0000,-10.022000
2025-04-08,16.3400,16.5000,15.5000,15.7800,2455570,38828177.9000,-3.427200
2025-04-09,15.6300,16.0600,14.6600,15.8600,1652800,25364378.0000,0.507000
2025-04-10,16.1600,17.4500,16.1600,17.4500,2044570,34657195.7000,10.025200
2025-04-11,17.4500,19.2000,16.9800,19.2000,5405823,99982735.6000,10.028700
2025-04-14,21.1200,21.1200,21.1200,21.1200,2255753,47641503.3600,10.000000
2025-04-15,22.8900,23.2300,21.5500,23.2300,19560348,447015655.6600,9.990500
2025-04-16,25.5500,25.5500,25.5500,25.5500,6157800,157331790.0000,9.987100
2025-04-17,27.5000,28.1100,26.5000,28.1100,22078907,613030124.2700,10.019600
2025-04-18,27.6100,29.7000,25.3000,25.3000,23080406,615753869.5000,-9.996400
2025-04-21,22.7700,24.6000,22.7700,22.7700,18512350,427314152.8000,-10.000000
2025-04-22,21.4100,21.6800,20.5400,20.6800,17645146,370123241.5700,-9.178700
2025-04-23,20.4500,21.7000,20.3100,21.3500,14942469,310575178.2800,3.239800
2025-04-24,20.8000,20.8000,20.1200,20.2100,9727656,199063673.5200,-5.339600
2025-04-25,20.1200,20.5500,19.6100,19.9200,7503946,150673988.2000,-1.434900
2025-04-28,19.8800,20.2000,19.5700,19.6300,5758900,113961890.0000,-1.455800
2025-04-29,19.5800,19.8600,19.4300,19.7100,4340670,85354935.3000,0.407500
2025-04-30,19.6900,19.9000,19.6300,19.6800,4372201,86408715.6900,-0.152200
2025-05-06,19.6800,20.0400,19.6800,20.0400,4824466,95930454.2500,1.829300
2025-05-07,20.1600,20.2500,19.8600,20.0100,5185943,103818175.4500,-0.149700
2025-05-08,20.0700,20.2900,19.9500,20.1100,4503101,90681057.0500,0.499800
2025-05-09,20.1100,20.4600,20.0800,20.1500,5853725,118401454.2500,0.198900
2025-05-12,20.4000,20.5500,19.9200,19.9900,4900089,98478718.1100,-0.794000
2025-05-13,20.1900,20.4500,20.0400,20.1000,4740800,95475726.1100,0.550300
2025-05-14,19.9500,20.2000,19.6800,20.2000,5700725,113638946.0000,0.497500
2025-05-15,20.2600,20.7200,20.0800,20.4300,8968114,183350002.2000,1.138600
2025-05-16,20.4300,20.4300,19.8000,20.4100,6048700,121876243.0000,-0.097900
2025-05-19,20.3500,20.5600,20.1100,20.5100,4543825,92611296.7500,0.490000
2025-05-20,20.4900,21.1000,20.3700,20.8900,6767725,140497419.0000,1.852800
2025-05-21,21.0000,21.1800,20.6100,20.7900,6048400,125893109.0000,-0.478700
2025-05-22,20.6200,20.9800,20.4100,20.4100,4311279,88919854.9800,-1.827800
2025-05-23,20.5000,20.5500,19.8600,19.8600,4487300,90577010.0000,-2.694800
2025-05-26,19.8600,20.0600,19.6500,19.8300,3107200,61711102.0000,-0.151100
2025-05-27,19.8500,20.1000,19.6900,19.9400,2655890,52901441.8000,0.554700
2025-05-28,19.9000,20.2200,19.8000,20.0000,2567800,51241941.1000,0.300900
2025-05-29,19.9700,20.3400,19.8500,20.2600,3230100,65168325.0000,1.300000
2025-05-30,20.1200,21.6500,20.0600,20.6300,8893375,185215222.2500,1.826300
2025-06-03,20.7000,21.6900,20.6800,21.6900,9458817,200723022.9200,5.138100
