date,open,high,low,close,volume,amount,pctChg
2025-01-02,28.3000,28.7200,27.0300,27.2200,4104140,113966753.8000,-4.457700
2025-01-03,27.3200,27.7500,24.5700,24.7000,5195420,133320958.6000,-9.257900
2025-01-06,24.5000,26.1400,22.2300,25.7700,4338020,108159834.2000,4.332000
2025-01-07,25.7600,25.7600,24.7800,25.2500,2977440,74725019.8000,-2.017900
2025-01-08,25.2400,25.5700,24.0700,24.6000,2763620,68122155.4000,-2.574300
2025-01-09,24.4000,25.5600,24.3000,24.6100,2548474,63525109.7200,0.040700
2025-01-10,24.5200,24.7200,23.1800,23.1900,2912360,69548363.8000,-5.770000
2025-01-13,22.7900,23.3500,22.5000,23.3400,1816140,41717003.2000,0.646800
2025-01-14,23.5600,24.5500,23.4600,24.4600,2937860,70617477.6000,4.798600
2025-01-15,24.4800,25.1500,24.0900,24.5300,2840680,69820828.0000,0.286200
2025-01-16,24.5500,25.0800,24.2700,24.5500,2220378,54714580.6000,0.081500
2025-01-17,24.3100,24.7200,24.0100,24.3700,1695528,41195334.5000,-0.733200
2025-01-20,24.3000,24.7300,24.1200,24.2400,1429300,34763262.6000,-0.533400
2025-01-21,24.0600,24.2400,23.1800,23.3700,2705280,63468328.2000,-3.589100
2025-01-22,23.3000,23.3000,22.7700,22.8500,1531960,35167706.6000,-2.225100
2025-01-23,23.1400,23.4200,22.8000,22.8100,1659520,38366907.8000,-0.175100
2025-01-24,22.8000,23.3900,22.6000,23.3000,2110480,48798308.0000,2.148200
2025-01-27,23.3200,23.7600,22.7100,22.7400,1574168,36326071.1600,-2.403400
2025-02-05,22.8900,23.4800,22.6100,23.2200,1725448,39868151.1200,2.110800
2025-02-06,23.2700,23.8400,22.9500,23.7900,1817560,42573315.2000,2.454800
2025-02-07,23.9100,24.9600,23.7900,24.5200,3648392,89670442.4600,3.068500
2025-02-10,24.5200,24.6800,24.1100,24.6000,2162294,52667777.0200,0.326300
2025-02-11,24.4800,24.6200,23.8600,24.0400,1837780,44192259.0000,-2.276400
2025-02-12,24.0100,24.2000,23.6600,24.2000,1883040,45106621.0000,0.665600
2025-02-13,24.1400,24.3000,23.8000,23.8200,1682460,40492904.8000,-1.570200
2025-02-14,23.6100,24.1800,23.6100,23.9000,1575880,37746729.4000,0.335900
2025-02-17,23.9000,25.1500,23.9000,24.5100,3934685,96505529.3200,2.552300
2025-02-18,24.5800,24.7900,23.6200,23.7200,2747620,66682852.6000,-3.223200
2025-02-19,23.7000,24.2400,23.5200,24.0800,1834734,43897707.9600,1.517700
2025-02-20,24.0700,24.0700,23.6000,23.9300,1824404,43493051.1600,-0.622900
