date,open,high,low,close,volume,amount,pctChg
2025-01-02,38.0000,38.2400,36.2900,36.7200,3286606,122793025.2200,-3.622000
2025-01-03,36.9900,37.3300,34.6100,34.8100,4631556,164354891.6800,-5.201500
2025-01-06,34.8100,34.9500,34.0500,34.3700,2776528,95870007.1000,-1.264000
2025-01-07,34.4200,35.1500,34.3900,34.9600,2366497,82210790.5500,1.716600
2025-01-08,35.0500,35.0500,33.1900,34.4100,3050386,103899753.4800,-1.573200
2025-01-09,34.1200,34.9400,33.9700,34.4900,2345934,81094104.5800,0.232500
2025-01-10,34.5200,35.6000,34.0000,34.0000,2753770,95777488.8000,-1.420700
2025-01-13,33.2000,35.1000,32.9000,34.6700,2452260,83760977.2600,1.970600
2025-01-14,34.8200,36.3900,34.4000,36.3500,3127071,111317026.0900,4.845700
2025-01-15,36.4500,36.4500,35.3600,35.4700,2527447,90159344.5900,-2.420900
2025-01-16,35.5800,36.2200,34.9500,35.6000,2218278,78845185.9000,0.366500
2025-01-17,35.3100,36.2800,35.1300,35.8700,2147581,76778006.4700,0.758400
2025-01-20,32.2800,32.2800,32.2800,32.2800,1044600,33719688.0000,-10.008400
2025-01-21,29.0500,29.0500,29.0500,29.0500,742900,21581245.0000,-10.006200
2025-01-22,26.1500,26.1500,26.1500,26.1500,2570300,67213345.0000,-9.982800
2025-01-23,26.0000,28.0000,26.0000,27.4100,19551708,525395116.5800,4.818400
2025-01-24,26.0300,26.9500,25.8300,26.3300,12322363,323723982.5200,-3.940200
2025-01-27,26.3300,27.8000,26.3300,27.1500,9862070,267424414.4300,3.114300
2025-02-05,27.6900,28.8600,27.4300,28.1400,8294718,234059143.2300,3.646400
2025-02-06,28.1500,28.7000,27.7500,28.4900,6899161,195385401.9600,1.243800
2025-02-07,28.4100,28.8800,28.0600,28.5500,7381353,210702778.6000,0.210600
2025-02-10,28.6200,30.6700,28.6200,30.5200,11256280,336718795.6700,6.900200
2025-02-11,30.8900,31.3100,29.8700,30.9300,9239576,283044148.6600,1.343400
2025-02-12,30.8000,31.1400,30.1800,31.0000,7109412,217963203.6300,0.226300
2025-02-13,30.9000,31.0700,30.2000,30.3000,5292419,161724591.7600,-2.258100
2025-02-14,30.0000,30.2700,29.2800,29.7000,6251230,185518823.2300,-1.980200
2025-02-17,29.5000,30.2800,29.5000,30.0000,5012136,149923922.1900,1.010100
2025-02-18,30.0000,30.7800,29.0000,29.1700,5777160,171733531.9200,-2.766700
2025-02-19,29.1700,30.1800,29.0500,30.0400,5054140,150697621.5200,2.982500
2025-02-20,30.0400,30.6300,29.7100,30.6200,5290142,159889296.2800,1.930800
2025-02-21,30.6200,31.2300,30.3800,31.2100,6361998,196969883.0400,1.926800
2025-02-24,31.2100,32.2200,30.6800,31.8900,6714241,212137387.0800,2.178800
