date,open,high,low,close,volume,amount,pctChg
2025-01-02,20.8000,21.3300,20.0500,20.3000,2263478,46823072.4700,-3.333300
2025-01-03,20.3000,20.4700,18.8200,18.9100,3069375,59842077.5100,-6.847300
2025-01-06,18.9600,19.3100,18.2100,18.9500,1791179,33781600.0300,0.211500
2025-01-07,19.0800,19.5300,18.9000,19.5300,1458043,28024592.6400,3.060700
2025-01-08,19.5300,19.6100,18.7200,19.4000,1833600,35288626.2000,-0.665600
2025-01-09,19.3900,20.2600,19.2200,19.6900,1963443,38673542.8000,1.494800
2025-01-10,19.6900,20.5000,19.6600,19.6700,2852497,57416164.8500,-0.101600
2025-01-13,19.4800,21.6400,19.0400,21.6400,3703440,78230958.7700,10.015300
2025-01-14,22.3300,23.8000,21.9100,22.7900,13393667,306822225.5100,5.314200
2025-01-15,22.7600,23.4500,22.3000,22.4900,9507608,216013694.4100,-1.316400
2025-01-16,22.3900,22.6200,21.7000,21.9700,6423954,142046141.3900,-2.312100
2025-01-17,21.7800,22.0800,21.4800,21.5400,3829382,82996737.8000,-1.957200
2025-01-20,21.7600,22.2800,21.5000,22.2800,5430456,119331363.8400,3.435500
2025-01-21,22.0300,22.4600,21.8800,22.2000,4095580,90658290.4000,-0.359100
2025-01-22,22.0600,23.0800,21.8800,22.5500,6107663,138100291.3900,1.576600
2025-01-23,22.7500,24.8100,22.3300,24.5700,15627749,375183523.6500,8.957900
2025-01-24,24.5600,27.0300,23.8100,27.0300,21690952,565009147.8400,10.012200
2025-01-27,27.4500,27.5000,24.3500,26.1700,15842567,412587094.0200,-3.181700
2025-02-05,26.8200,26.9900,25.0600,26.2100,9858460,257253564.7900,0.152800
2025-02-06,26.1700,27.9000,25.9900,27.1600,12563516,338405505.0200,3.624600
2025-02-07,26.6000,26.9800,25.3600,25.9900,14298890,374346711.6500,-4.307800
2025-02-10,25.9800,26.2200,25.4000,26.1900,7564115,195816802.1900,0.769500
2025-02-11,25.9700,26.5800,25.6300,26.4300,7370692,192880881.5100,0.916400
2025-02-12,26.3600,26.3600,25.5500,25.8500,7606471,196819474.2100,-2.194500
2025-02-13,25.5800,26.1000,24.6800,25.1700,8255976,208978679.1700,-2.630600
2025-02-14,25.1700,25.3000,24.3600,24.6300,4324420,107093393.9000,-2.145400
2025-02-17,24.5800,24.9000,24.1300,24.7300,5172840,126780641.0000,0.406000
2025-02-18,24.7300,25.0800,24.2000,24.3500,5601325,138212811.3700,-1.536600
2025-02-19,24.3500,25.6700,24.1900,25.5000,8853480,223691534.1200,4.722800
2025-02-20,25.2800,27.2200,25.2800,26.0800,10134951,267498380.1900,2.274500
2025-02-21,26.1800,26.6800,25.7200,26.2500,6860871,179960329.2900,0.651800
2025-02-24,26.0200,26.4900,25.5200,25.7900,5733072,148006980.2500,-1.752400
2025-02-25,25.7200,26.3500,25.4200,25.9100,4662869,120801660.8600,0.465300
2025-02-26,26.1600,28.5000,25.9200,28.5000,7057884,195097840.6000,9.996100
2025-02-27,29.3200,29.6500,28.0000,28.6400,17974745,519902060.6200,0.491200
2025-02-28,28.6500,29.4800,25.7800,25.8400,12730197,348662764.4100,-9.776500
2025-03-03,25.5900,26.3000,24.8000,24.9800,9299423,235379622.6100,-3.328200
2025-03-04,24.7600,26.1400,24.3900,25.4200,5680643,145225021.1200,1.761400
2025-03-05,25.4800,27.9600,25.2500,27.9600,9550947,253491278.8300,9.992100
2025-03-06,28.5600,28.8800,27.6000,28.0100,11996614,337820869.8100,0.178800
2025-03-07,28.0100,29.3000,27.4600,28.7700,12246832,349206585.8300,2.713300
2025-03-10,28.8300,29.2200,28.0600,28.8100,7380262,211744427.2000,0.139000
2025-03-11,28.2000,31.6900,28.1400,31.6900,14877941,444781031.2400,9.996500
2025-03-12,31.6900,34.5000,30.5500,32.6000,20222997,645274071.4100,2.871600
2025-03-13,31.8000,32.8000,29.3400,29.3400,14109403,429218487.1400,-10.000000
2025-03-14,29.4900,30.4500,28.9500,30.1500,9135365,271638609.1700,2.760700
2025-03-17,30.0000,32.1600,29.5600,31.9400,11560211,360783359.9100,5.937000
2025-03-18,31.5000,33.1300,31.0400,32.8000,11582028,371553331.2900,2.692500
2025-03-19,32.7000,32.9600,31.5300,31.7800,7792632,249778339.6400,-3.109800
2025-03-20,32.0500,34.4100,31.8600,32.5500,13851710,456804986.9200,2.422900
2025-03-21,31.5600,31.9600,29.6800,29.7300,9969229,305210974.0600,-8.663600
2025-03-24,30.0800,30.5900,29.3700,30.2000,6699871,200734275.0600,1.580900
2025-03-25,30.1000,31.8100,29.9600,31.4400,8856193,275225085.1400,4.106000
2025-03-26,30.9900,32.0000,30.4000,31.4500,6852502,215505564.4000,0.031800
2025-03-27,30.8600,31.0000,29.0000,29.5000,6885905,207175777.7500,-6.200300
2025-03-28,29.4000,30.2700,28.2000,28.2300,6748740,194797472.2000,-4.305100
2025-03-31,27.9100,28.1300,26.5000,27.6900,5290440,143552191.0200,-1.912900
2025-04-01,27.7000,28.1700,26.8000,26.9300,3430390,93516379.8000,-2.744700
2025-04-02,26.9300,27.6500,26.7500,27.5200,3932483,107544164.5600,2.190900
2025-04-03,27.0300,27.4600,26.3000,26.6200,3869470,103967082.7000,-3.270300
2025-04-07,23.9600,23.9600,23.9600,23.9600,669800,16048408.0000,-9.992500
2025-04-08,22.1000,22.5100,21.5600,21.5600,5810260,126278390.8000,-10.016700
2025-04-09,20.9700,22.1200,19.4000,21.6200,7540940,155208544.8000,0.278300
2025-04-10,22.3400,22.9400,21.8000,22.5300,8299458,186463289.3600,4.209100
2025-04-11,22.3100,23.2500,21.9000,22.7900,5799560,132016131.2000,1.154000
2025-04-14,23.2100,23.8600,22.9200,23.1800,5003538,116941589.4000,1.711300
2025-04-15,23.1800,23.6300,22.9100,23.3700,3760098,87592194.5200,0.819700
2025-04-16,23.1500,23.3400,22.1100,22.4000,3678300,83006016.4000,-4.150600
2025-04-17,22.2000,22.5800,22.1100,22.2000,2890724,64748447.5800,-0.892900
