date,open,high,low,close,volume,amount,pctChg
2025-01-02,25.9100,26.7500,25.4800,25.6600,3402885,88892550.9800,-0.964900
2025-01-03,25.6600,26.3600,24.7100,24.7400,3394629,86204133.3700,-3.585300
2025-01-06,24.6500,25.6800,24.1100,25.0100,2297865,57427415.2700,1.091400
2025-01-07,24.9300,25.6100,24.7100,25.5500,2175052,54893843.8400,2.159100
2025-01-08,25.3400,26.3800,25.1600,26.1000,3018015,77742525.7000,2.152600
2025-01-09,25.9000,26.3800,25.6300,25.9300,1972083,51182675.3600,-0.651300
2025-01-10,25.7300,27.1500,25.5000,25.5000,3134695,82039632.8600,-1.658300
2025-01-13,25.0000,26.1900,24.8800,25.5300,2203793,56471108.0000,0.117600
2025-01-14,25.5700,26.7200,25.5700,26.5700,2941065,77417558.7800,4.073600
2025-01-15,26.4500,27.0500,26.3700,26.5800,2371627,63151994.2700,0.037600
2025-01-16,26.6100,27.0900,26.3300,26.9000,3286977,87872309.3700,1.203900
2025-01-17,26.7000,26.9600,26.4200,26.5500,1957234,52056561.0200,-1.301100
2025-01-20,26.6400,27.1000,26.4200,26.8900,2389967,64079910.4200,1.280600
2025-01-21,26.8300,27.1800,26.7000,26.9800,2283320,61530357.7200,0.334700
2025-01-22,26.8200,28.0800,26.7000,27.1600,4621755,126763332.9800,0.667200
2025-01-23,27.3000,28.0100,26.9100,27.1700,3513799,96586441.4000,0.036800
2025-01-24,27.0200,27.3000,26.7900,27.1000,2450521,66214847.8400,-0.257600
2025-01-27,26.9200,27.1500,26.3800,26.4200,2043974,54524040.6400,-2.509200
2025-02-05,26.4800,26.8600,26.1200,26.4800,1967674,52148627.4200,0.227100
2025-02-06,26.5300,27.2200,26.1800,26.9600,3081302,82984579.2600,1.812700
2025-02-07,26.9500,27.1200,26.4300,26.6800,3558314,95527564.6200,-1.038600
2025-02-10,26.6700,26.9900,26.4400,26.9200,2532502,67552553.2400,0.899600
2025-02-11,27.1100,27.9800,26.6000,27.1900,3600921,98015335.1500,1.003000
2025-02-12,27.1400,27.3000,26.9100,27.2500,2143968,58116714.8400,0.220700
2025-02-13,27.4600,27.4700,26.3100,26.3500,3260384,87206462.2400,-3.302800
2025-02-14,26.3000,26.5600,25.8700,26.0400,2173616,56908170.5200,-1.176500
2025-02-17,26.2600,26.6900,26.0400,26.6300,1970937,51972120.2700,2.265700
2025-02-18,26.5900,27.2100,26.2500,26.3400,3154642,84533461.2500,-1.089000
2025-02-19,26.3200,27.1600,26.3200,27.1400,2896205,78033357.3600,3.037200
2025-02-20,27.1900,27.3700,26.6000,27.0400,2425514,65413566.7000,-0.368500
2025-02-21,26.9700,27.1700,26.7400,27.0000,2443652,65748206.8900,-0.147900
2025-02-24,26.9800,27.0700,26.3700,26.9000,2506645,66821639.6200,-0.370400
2025-02-25,26.7800,27.2900,26.3800,26.4300,2211136,59214050.3600,-1.747200
2025-02-26,26.4900,27.5500,26.4900,27.2700,4085169,110850750.5700,3.178200
2025-02-27,27.2100,27.4500,26.6900,27.1200,2768952,74857100.6500,-0.550100
2025-02-28,26.9800,29.8300,26.9100,29.8300,8875184,254951735.9200,9.992600
2025-03-03,30.4200,32.8100,29.4100,29.8500,16795788,519713351.1900,0.067000
2025-03-04,29.0200,30.0200,28.6700,29.2900,9662085,281572618.5600,-1.876000
2025-03-05,29.1400,29.2900,28.0500,28.6200,6772528,192856505.9100,-2.287500
2025-03-06,28.6600,29.2900,28.6600,28.7600,5852894,169611208.5600,0.489200
2025-03-07,28.7000,29.6000,28.6500,28.9900,4004174,116016941.7000,0.799700
2025-03-10,28.9000,29.8900,28.8800,29.2800,4967844,146020782.5700,1.000300
2025-03-11,28.7800,29.6000,28.4100,29.0300,3665044,105844352.4600,-0.853800
2025-03-12,29.2900,30.4000,28.8900,29.9200,5561272,164841111.8400,3.065800
2025-03-13,29.9600,30.0200,28.7300,29.0800,3776827,110646326.6600,-2.807500
2025-03-14,28.8800,29.5700,28.5500,29.3600,3134600,91145793.0000,0.962900
2025-03-17,29.3400,29.3500,28.9000,29.1800,2266707,65886742.1600,-0.613100
