date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.1900,6.2800,6.0200,6.0900,7922911,48942135.5000,-1.456300
2025-01-03,6.1200,6.1300,5.7800,5.7800,7734801,45793746.8500,-5.090300
2025-01-06,5.7400,5.7600,5.6000,5.6800,4996351,28389342.6300,-1.730100
2025-01-07,5.6800,5.7600,5.6300,5.7600,4134901,23531946.7500,1.408500
2025-01-08,5.7200,5.8000,5.5800,5.7300,4702200,26820538.0000,-0.520800
2025-01-09,5.7000,5.7500,5.6600,5.7100,2984899,17074880.2600,-0.349000
2025-01-10,5.7100,5.7500,5.4600,5.4600,5354700,29928621.0000,-4.378300
2025-01-13,5.4000,5.5700,5.2900,5.5600,4179199,22914606.6700,1.831500
2025-01-14,5.5600,5.7100,5.5600,5.7000,5208800,29461146.0000,2.518000
2025-01-15,5.7100,5.7300,5.5900,5.6300,4074600,23018515.0000,-1.228100
2025-01-16,5.6600,5.7800,5.6200,5.6500,4732100,27013862.0000,0.355200
2025-01-17,5.6600,5.6800,5.5600,5.6100,4659300,26196591.0000,-0.708000
2025-01-20,5.6500,5.7200,5.4900,5.6500,7397290,41808486.2000,0.713000
2025-01-21,5.6700,5.8100,5.5300,5.5600,9803600,55407595.0000,-1.592900
2025-01-22,5.5300,5.5400,5.4100,5.4600,5126700,28033975.0000,-1.798600
2025-01-23,5.5100,5.6300,5.5000,5.5000,6260600,34853570.0000,0.732600
2025-01-24,5.5300,5.5300,5.4200,5.4600,5121300,27949738.0000,-0.727300
2025-01-27,5.4900,5.6900,5.4700,5.4900,6066400,33814548.0000,0.549500
2025-02-05,5.5600,5.6000,5.5000,5.6000,3081500,17126242.0000,2.003600
2025-02-06,5.6000,5.7200,5.5000,5.6400,6178900,34766363.0000,0.714300
2025-02-07,5.6800,6.2000,5.6200,6.2000,9509915,56728923.0000,9.929100
2025-02-10,6.5000,6.8200,6.2900,6.8200,15954814,105764809.3400,10.000000
2025-02-11,7.5000,7.5000,7.5000,7.5000,4714400,35358000.0000,9.970700
2025-02-12,8.2500,8.2500,7.1100,7.6300,65030163,496574138.1000,1.733300
2025-02-13,7.7900,8.3900,7.6600,8.0800,87798229,706979592.5000,5.897800
2025-02-14,8.4700,8.5200,7.2700,7.2700,71151908,539800884.0900,-10.024800
2025-02-17,7.5500,7.6500,6.5900,6.7200,53735212,370363491.0700,-7.565300
2025-02-18,6.5700,6.6200,6.1900,6.2500,37732098,239839987.0500,-6.994000
2025-02-19,6.1200,6.3200,6.1200,6.3000,20435280,127278924.5200,0.800000
2025-02-20,6.3000,6.3200,6.1800,6.2000,16248400,101155529.9900,-1.587300
2025-02-21,6.1800,6.2300,6.0800,6.1500,18789044,115287845.2800,-0.806500
2025-02-24,6.1300,6.2300,6.1100,6.1200,15565052,96006219.2400,-0.487800
2025-02-25,6.1000,6.1300,5.9400,6.0100,18361000,111020024.0000,-1.797400
2025-02-26,6.0100,6.1100,6.0000,6.0300,15628900,94395922.0000,0.332800
2025-02-27,6.0400,6.1100,5.9500,6.0100,16944080,102189676.8000,-0.331700
2025-02-28,5.9800,6.0200,5.8600,5.8700,19202998,113995965.0400,-2.329500
2025-03-03,5.8900,5.9800,5.8300,5.8500,12633373,74665540.0300,-0.340700
2025-03-04,5.8300,5.8800,5.8000,5.8800,8042000,46946779.0700,0.512800
2025-03-05,5.8700,5.8800,5.6900,5.7300,18422596,106051754.7400,-2.551000
2025-03-06,5.7600,5.8400,5.7200,5.8300,17673965,102174461.1000,1.745200
2025-03-07,5.7900,5.8200,5.7100,5.7200,12647440,72693878.6000,-1.886800
2025-03-10,5.7300,5.7900,5.7000,5.7800,7516500,43248216.0000,1.049000
2025-03-11,5.7400,5.7800,5.7000,5.7800,9658299,55492589.2300,0.000000
2025-03-12,5.7800,5.9500,5.7700,5.8400,16930000,99176561.0000,1.038100
2025-03-13,5.8400,5.9400,5.7500,5.9000,17769152,104098249.7600,1.027400
2025-03-14,5.9300,6.0200,5.8500,5.9900,27484852,163684412.2000,1.525400
2025-03-17,6.0200,6.0400,5.9300,5.9400,15661693,93577126.9300,-0.834700
2025-03-18,5.9400,6.0400,5.8900,5.9800,14038279,83597535.5000,0.673400
2025-03-19,5.9700,5.9900,5.9000,5.9300,10974100,65151962.0000,-0.836100
2025-03-20,5.9100,5.9700,5.9000,5.9200,7613600,45155932.0000,-0.168600
2025-03-21,5.8800,6.1500,5.8700,6.0000,26253234,158240757.2900,1.351400
2025-03-24,6.0000,6.1700,5.9200,6.0900,28335550,171655609.5000,1.500000
