date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.3100,6.3800,6.0500,6.0700,10654908,65976140.4800,-3.803500
2025-01-03,6.1300,6.2400,5.8900,5.9200,12440246,75380379.8200,-2.471200
2025-01-06,6.0300,6.1800,5.8900,6.0600,12403084,75341961.0900,2.364900
2025-01-07,6.0600,6.0800,5.7800,5.9300,12712168,75211079.5200,-2.145200
2025-01-08,5.8900,6.0200,5.7200,5.8700,8254900,48463479.0000,-1.011800
2025-01-09,5.8200,5.9600,5.7600,5.8500,7230900,42398842.8600,-0.340700
2025-01-10,5.8400,5.8700,5.6000,5.6100,9354200,53583841.0000,-4.102600
2025-01-13,5.5400,5.7100,5.4300,5.6600,6500900,36238609.0000,0.891300
2025-01-14,5.7200,5.8100,5.6400,5.8100,6770295,38941288.4000,2.650200
2025-01-15,5.8300,5.8300,5.7100,5.7800,4279338,24682792.4200,-0.516400
2025-01-16,5.7800,5.8600,5.7500,5.8000,5076020,29495992.5000,0.346000
2025-01-17,5.8000,5.8000,5.6900,5.7500,3625095,20845384.2500,-0.862100
2025-01-20,5.7600,5.8500,5.7100,5.8100,4753400,27557219.0000,1.043500
2025-01-21,5.8500,5.8700,5.7500,5.8100,3889400,22516519.0000,0.000000
2025-01-22,5.7900,5.8100,5.6600,5.7100,3822300,21843473.0000,-1.721200
2025-01-23,5.7500,5.8400,5.7200,5.7200,4444650,25735973.0000,0.175100
2025-01-24,5.7100,5.7500,5.6500,5.7300,3714500,21203160.0000,0.174800
2025-01-27,5.6300,5.8100,5.6300,5.6800,5907697,33863180.9600,-0.872600
2025-02-05,5.7500,5.8200,5.7300,5.7700,5134490,29668716.2000,1.584500
2025-02-06,5.7700,5.8200,5.6800,5.8200,5577526,32085968.9200,0.866600
2025-02-07,5.8200,6.0000,5.8000,5.9500,7660827,45331691.9200,2.233700
2025-02-10,5.9500,6.1400,5.9500,6.1400,7997910,48599013.3000,3.193300
2025-02-11,6.1500,6.1900,6.0000,6.0400,5401561,32666342.8800,-1.628700
2025-02-12,6.0200,6.0600,5.9500,6.0200,4319336,25912353.9800,-0.331100
2025-02-13,6.0300,6.0500,5.9700,5.9700,5003049,30068738.9500,-0.830600
2025-02-14,5.9900,6.2100,5.9600,6.1600,10899384,66888957.5200,3.182600
2025-02-17,6.2300,6.4400,6.2200,6.3500,12277911,78039381.9300,3.084400
2025-02-18,6.3200,6.3800,6.0800,6.0900,8435226,52362690.0800,-4.094500
2025-02-19,6.0900,6.1900,6.0600,6.1600,6464164,39633524.4000,1.149400
2025-02-20,6.1600,6.3500,6.1500,6.2000,6440200,40182010.0000,0.649400
2025-02-21,6.2400,6.2900,6.0800,6.1300,6899775,42387633.0000,-1.129000
2025-02-24,6.1300,6.1600,6.0600,6.1100,5342250,32619418.0000,-0.326300
2025-02-25,6.0800,6.1500,6.0400,6.0900,4437720,27058541.5900,-0.327300
2025-02-26,6.1100,6.1300,6.0500,6.1300,4659279,28394794.9100,0.656800
2025-02-27,6.1300,6.1500,5.9900,6.0600,7883627,47760776.1400,-1.141900
2025-02-28,6.0500,6.1000,5.9000,5.9200,5835200,34940047.5200,-2.310200
2025-03-03,5.9200,6.1000,5.9200,6.0000,4341039,26197499.5600,1.351400
2025-03-04,5.9500,6.1000,5.9500,6.0900,4203944,25403388.6900,1.500000
2025-03-05,6.0900,6.1000,5.9200,5.9700,6048000,36060679.0000,-1.970400
2025-03-06,5.9700,6.1100,5.9400,6.0800,6877710,41577669.4000,1.842500
2025-03-07,6.0800,6.0900,5.9600,5.9700,5302400,31852737.0000,-1.809200
2025-03-10,6.0200,6.1300,6.0000,6.0400,5576700,33737097.0000,1.172500
2025-03-11,6.0000,6.0600,5.9600,6.0200,4562200,27396084.0000,-0.331100
2025-03-12,6.0200,6.0500,5.9500,5.9500,5864428,35039572.1600,-1.162800
2025-03-13,5.9500,5.9600,5.8300,5.9000,6139763,36156114.2000,-0.840300
2025-03-14,5.8900,6.0500,5.8800,6.0500,8407052,50310465.4100,2.542400
2025-03-17,6.0600,6.0900,6.0100,6.0700,5932426,35956525.7800,0.330600
2025-03-18,6.0700,6.1100,6.0300,6.0800,4720560,28662393.0000,0.164700
2025-03-19,6.0900,6.2000,6.0500,6.1200,8791900,53848301.0000,0.657900
2025-03-20,6.1000,6.1200,6.0600,6.0700,4733139,28789694.9000,-0.817000
2025-03-21,6.0600,6.1100,5.9600,5.9800,6663082,40116131.5200,-1.482700
2025-03-24,6.0000,6.0400,5.7100,5.7800,8140775,47598085.5000,-3.344500
2025-03-25,5.8000,5.8300,5.7000,5.7900,5265485,30345296.7600,0.173000
2025-03-26,5.7800,5.9100,5.7600,5.8700,5245935,30792743.8500,1.381700
2025-03-27,5.8800,5.9300,5.7700,5.8900,5321869,31177814.9200,0.340700
2025-03-28,5.8900,5.9600,5.8300,5.8300,5509659,32407974.2700,-1.018700
2025-03-31,5.7900,5.8400,5.6100,5.6600,6716008,38257839.3100,-2.916000
2025-04-01,5.6900,6.0100,5.6800,5.9100,11151705,65776794.7000,4.417000
2025-04-02,5.9100,5.9200,5.8100,5.8700,4304700,25293846.0000,-0.676800
2025-04-03,5.8400,6.0100,5.8300,5.9000,5017130,29788524.8000,0.511100
2025-04-07,5.7800,5.7800,5.3100,5.3100,10753300,58313857.0000,-10.000000
2025-04-08,5.3100,5.4200,5.1300,5.2400,10221400,53686042.0000,-1.318300
2025-04-09,5.1500,5.3500,4.8800,5.3100,9783911,50280221.3600,1.335900
2025-04-10,5.3500,5.4500,5.3500,5.3800,6714930,36316368.2000,1.318300
2025-04-11,5.3600,5.4200,5.3200,5.3300,5537510,29687249.4000,-0.929400
2025-04-14,5.3600,5.4700,5.3600,5.4000,4581900,24811882.0000,1.313300
2025-04-15,5.4100,5.4800,5.3800,5.4300,4522102,24496600.8200,0.555600
2025-04-16,5.4100,5.4100,5.2000,5.2900,5024000,26609599.0000,-2.578300
2025-04-17,5.2600,5.3700,5.2400,5.3300,3491317,18618437.6100,0.756100
2025-04-18,5.3100,5.3900,5.2600,5.3300,3225800,17129735.0000,0.000000
2025-04-21,5.2900,5.3900,5.2500,5.3900,4139394,22178853.8400,1.125700
2025-04-22,5.3800,5.6000,5.3800,5.4800,7486303,41051739.4300,1.669800
2025-04-23,5.4900,5.5500,5.4500,5.4900,5309700,29140424.0000,0.182500
2025-04-24,5.5300,5.5900,5.4700,5.5300,5603200,30958464.0000,0.728600
2025-04-25,5.5500,5.5800,5.5100,5.5200,4117201,22797724.5400,-0.180800
2025-04-28,5.4900,5.6000,5.3800,5.5400,6008614,33141791.4300,0.362300
2025-04-29,5.5300,5.6600,5.5200,5.6200,5427600,30437227.0000,1.444000
2025-04-30,5.6000,5.7500,5.5900,5.6800,7963000,45383370.0000,1.067600
2025-05-06,5.7200,5.7800,5.6500,5.7600,5666100,32448655.0000,1.408500
2025-05-07,5.8000,5.8200,5.7200,5.7900,4201325,24199708.5000,0.520800
2025-05-08,5.7500,5.8100,5.7200,5.7900,2910525,16836647.6000,0.000000
2025-05-09,5.9500,6.3700,5.8600,6.3600,48134830,300273464.4900,9.844600
2025-05-12,6.1000,6.1700,5.9400,6.0900,30952337,187100890.3700,-4.245300
2025-05-13,6.0900,6.1100,5.9700,6.0400,15973729,96385404.8200,-0.821000
2025-05-14,6.0500,6.0700,5.9300,6.0000,9577201,57282517.0000,-0.662300
2025-05-15,6.0000,6.0700,5.9600,6.0600,9899447,59689664.4700,1.000000
2025-05-16,6.1000,6.1000,5.9600,5.9800,8986747,53856888.8800,-1.320100
2025-05-19,5.9600,6.0100,5.9600,5.9900,5458000,32672229.0000,0.167200
2025-05-20,5.9900,6.0700,5.9800,6.0500,6571932,39685667.2800,1.001700
2025-05-21,6.0300,6.0900,6.0200,6.0400,5604540,33928326.1900,-0.165300
2025-05-22,6.0400,6.0500,5.9200,6.0200,6130933,36769419.3300,-0.331100
2025-05-23,6.0200,6.1300,5.9500,5.9700,7404701,44855068.0600,-0.830600
2025-05-26,5.9500,6.0300,5.8800,5.9700,5986133,35614243.0200,0.000000
2025-05-27,5.9900,6.0900,5.9200,6.0200,11189729,67156543.3100,0.837500
2025-05-28,6.0000,6.0300,5.9100,5.9500,6113820,36393576.6000,-1.162800
2025-05-29,5.9500,6.0800,5.9200,5.9500,15369230,92322737.7000,0.000000
2025-05-30,5.9500,6.0700,5.9500,5.9800,13397500,80262314.0600,0.504200
2025-06-03,5.9400,6.1400,5.9400,6.1300,11039528,67246362.5800,2.508400
2025-06-04,6.1400,6.1800,6.0700,6.1500,8261000,50565372.0000,0.326300
2025-06-05,6.1500,6.1700,6.0600,6.1000,7623000,46498277.0000,-0.813000
2025-06-06,6.1000,6.1500,6.0700,6.1400,6018200,36793140.0000,0.655700
2025-06-09,6.1300,6.2500,6.1300,6.2200,7268460,45084194.2000,1.302900
2025-06-10,6.2200,6.3000,6.1200,6.2100,7765838,48240444.8400,-0.160800
2025-06-11,6.2000,6.2700,6.1700,6.2100,5822900,36182988.0000,0.000000
2025-06-12,6.2200,6.2200,6.1200,6.1600,5407651,33288091.1400,-0.805200
2025-06-13,6.1300,6.1900,6.0300,6.0400,6878418,41796713.2400,-1.948100
2025-06-16,6.0400,6.1200,5.9900,6.0400,5961686,36116736.8800,0.000000
2025-06-17,6.0700,6.1800,6.0300,6.0700,8157739,49605824.3000,0.496700
2025-06-18,6.0600,6.0600,5.9600,5.9600,5838019,34966645.4300,-1.812200
2025-06-19,5.9500,5.9900,5.8200,5.8300,5624219,33091033.1000,-2.181200
2025-06-20,5.8500,5.9000,5.8000,5.8000,4706500,27524806.0000,-0.514600
2025-06-23,5.8100,5.9900,5.7800,5.9600,6589600,38930165.0000,2.758600
2025-06-24,6.0000,6.1000,5.9400,6.0900,7604090,46037127.3000,2.181200
2025-06-25,6.1000,6.1200,6.0200,6.0900,5168051,31355600.5500,0.000000
2025-06-26,6.1100,6.1200,6.0400,6.0700,4666840,28353848.2000,-0.328400
2025-06-27,6.0700,6.1400,6.0600,6.0800,4599001,28028395.0700,0.164700
2025-06-30,6.1000,6.1500,6.0700,6.1400,4727627,28860997.9700,0.986800
