date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.5300,6.7400,6.4400,6.5200,14151492,93360915.7200,-0.305800
2025-01-03,6.5000,6.5800,6.1200,6.1200,16166454,101409716.2900,-6.135000
2025-01-06,6.1300,6.2000,5.8500,6.1200,12342454,74974772.1800,0.000000
2025-01-07,6.1300,6.1800,6.0300,6.1700,8533200,52177018.0000,0.817000
2025-01-08,6.1900,6.1900,5.9600,6.1300,9168100,55648295.0000,-0.648300
2025-01-09,6.0800,6.1300,6.0500,6.0800,6916134,42123320.3400,-0.815700
2025-01-10,6.1000,6.1000,5.8400,5.8500,9645100,57316859.0000,-3.782900
2025-01-13,5.7800,5.8300,5.6700,5.8200,7104923,40968618.4800,-0.512800
2025-01-14,5.8500,6.0400,5.8500,6.0300,9935901,59312654.8500,3.608200
2025-01-15,6.0100,6.1200,6.0100,6.0600,7931400,48097680.0000,0.497500
2025-01-16,6.1200,6.2900,6.1200,6.2100,11792500,73089052.0000,2.475200
2025-01-17,6.1800,6.2100,6.0800,6.1500,6985711,42899893.9300,-0.966200
2025-01-20,6.1800,6.2600,6.1200,6.2300,8154450,50642874.5000,1.300800
2025-01-21,6.2700,6.2900,6.1500,6.1900,6117750,37844697.0000,-0.642100
2025-01-22,6.1700,6.2000,6.0700,6.1000,6121300,37396010.0000,-1.454000
2025-01-23,6.1800,6.3900,6.1500,6.1500,10882910,67903334.2000,0.819700
2025-01-24,6.1200,6.2000,6.0800,6.1500,7817900,47895274.0000,0.000000
2025-01-27,6.2000,6.2900,6.1300,6.1500,7622300,47351830.0000,0.000000
2025-02-05,6.2000,6.2200,6.0900,6.1400,6124600,37683768.0000,-0.162600
2025-02-06,6.1300,6.1900,6.0400,6.1800,7807025,47874656.0000,0.651500
2025-02-07,6.1800,6.3100,6.1600,6.2400,10815325,67596871.2500,0.970900
2025-02-10,6.2600,6.3200,6.2400,6.3200,8747075,54912233.0000,1.282100
2025-02-11,6.3300,6.3500,6.2500,6.2900,6972600,43795262.0000,-0.474700
2025-02-12,6.2800,6.3200,6.2000,6.3000,8064719,50527494.0200,0.159000
2025-02-13,6.3000,6.3700,6.2400,6.2800,10443839,65922563.4800,-0.317500
2025-02-14,6.2900,6.2900,6.1900,6.2200,9490000,59110265.0000,-0.955400
2025-02-17,6.2300,6.3200,6.2000,6.3000,9736859,61014939.1700,1.286200
2025-02-18,6.3000,6.3000,6.1200,6.1200,9914809,61355747.0500,-2.857100
2025-02-19,6.1200,6.1600,6.1000,6.1600,5950700,36511032.0000,0.653600
2025-02-20,6.1300,6.2400,6.1300,6.2300,8445302,52369405.4200,1.136400
2025-02-21,6.2000,6.2400,6.1200,6.1600,9823425,60459108.0000,-1.123600
2025-02-24,6.1400,6.2300,6.1100,6.1900,9292560,57422308.4000,0.487000
2025-02-25,6.1300,6.2100,6.1100,6.1400,7106000,43715358.0000,-0.807800
2025-02-26,6.1400,6.2700,6.1400,6.2300,9916882,61745000.4100,1.465800
2025-02-27,6.2800,6.3300,6.1900,6.3200,13048400,81832559.0000,1.444600
2025-02-28,6.2800,6.3600,6.1300,6.1500,10706300,66622450.0000,-2.689900
2025-03-03,6.1900,6.3300,6.1600,6.1800,9486600,59225426.0000,0.487800
2025-03-04,6.1400,6.2100,6.1200,6.1900,6145200,37910145.0000,0.161800
2025-03-05,6.1900,6.1900,6.0500,6.1400,10272791,62696810.7500,-0.807800
2025-03-06,6.1600,6.2100,6.1100,6.2000,8106850,50049343.5000,0.977200
2025-03-07,6.2400,6.2900,6.1400,6.1700,7271850,45110218.5000,-0.483900
2025-03-10,6.2100,6.5800,6.1900,6.4400,29150381,186692019.0200,4.376000
2025-03-11,6.3400,6.4700,6.3200,6.4200,15975650,101898972.0000,-0.310600
2025-03-12,6.4300,6.8400,6.3600,6.6800,27709791,183303342.9300,4.049800
2025-03-13,6.6400,6.7400,6.5600,6.6500,14271415,94705198.6000,-0.449100
2025-03-14,6.6000,6.6900,6.5700,6.6700,16859000,111841705.0000,0.300800
2025-03-17,6.7200,6.7300,6.5300,6.5600,14872200,97966274.0000,-1.649200
2025-03-18,6.5900,6.6000,6.5300,6.5700,7311400,47903971.3200,0.152400
2025-03-19,6.5600,6.5800,6.4900,6.5500,8137800,53094809.0000,-0.304400
2025-03-20,6.5600,6.5600,6.4700,6.4900,7555700,49098914.0000,-0.916000
2025-03-21,6.4800,6.5300,6.4200,6.4500,6973001,45087747.5200,-0.616300
2025-03-24,6.4600,6.4700,6.2900,6.4100,7906100,50387713.0000,-0.620200
2025-03-25,6.4100,6.5100,6.3700,6.4800,6138100,39523816.0000,1.092000
2025-03-26,6.4800,6.5200,6.4500,6.5100,6148100,39931318.0000,0.463000
2025-03-27,6.4900,6.5200,6.4000,6.4800,6274400,40558132.0000,-0.460800
2025-03-28,6.4800,6.4900,6.4000,6.4400,5306800,34207725.0000,-0.617300
2025-03-31,6.3900,6.4300,6.2500,6.3400,7051700,44565222.0000,-1.552800
2025-04-01,6.3300,6.5000,6.3300,6.4800,8079100,52136771.9900,2.208200
2025-04-02,6.4700,6.5200,6.4300,6.5000,4774700,30962130.0000,0.308600
2025-04-03,6.4400,6.5100,6.4000,6.4800,7426200,48024663.0000,-0.307700
2025-04-07,6.1300,6.1800,5.8300,5.8300,13089700,77544227.3100,-10.030900
2025-04-08,5.8600,5.8900,5.6600,5.7900,10593201,61111727.6600,-0.686100
