date,open,high,low,close,volume,amount,pctChg
2025-01-02,15.2600,15.2700,14.8000,14.8700,6265671,94392844.7100,-2.555700
2025-01-03,14.9000,15.0100,14.6500,14.7200,4754741,70505674.2700,-1.008700
2025-01-06,14.7600,14.8000,14.5500,14.6600,2764822,40502635.1600,-0.407600
2025-01-07,14.6700,14.6800,14.4300,14.5100,3240480,47018253.0000,-1.023200
2025-01-08,14.5100,14.7200,14.4600,14.6000,2739110,40050132.0000,0.620300
2025-01-09,14.5800,14.5800,14.3800,14.4600,2231664,32284255.6600,-0.958900
2025-01-10,14.4500,14.5200,14.3500,14.3800,1608840,23187288.8000,-0.553300
2025-01-13,14.3800,14.3900,14.1800,14.2800,2580490,36777774.5000,-0.695400
2025-01-14,14.3000,14.4700,14.2800,14.4500,2575264,37056675.6400,1.190500
2025-01-15,14.4300,14.6100,14.3600,14.4400,2293957,33264825.3600,-0.069200
2025-01-16,14.4500,14.5600,14.3700,14.4600,1922672,27811317.2300,0.138500
2025-01-17,14.4400,14.5800,14.3800,14.5400,2001184,29040412.8200,0.553300
2025-01-20,14.5100,14.6000,14.3900,14.4400,2100218,30430167.9200,-0.687800
2025-01-21,14.4500,14.5000,14.3600,14.4700,1519120,21927378.6000,0.207800
2025-01-22,14.4700,14.5300,14.4100,14.4800,1363734,19725091.1000,0.069100
2025-01-23,14.4900,14.6000,14.4500,14.4600,2126660,30863109.4000,-0.138100
2025-01-24,14.4200,14.4900,14.2500,14.3200,2195820,31441936.4000,-0.968200
2025-01-27,14.3500,14.6000,14.3500,14.5100,3856221,56012925.9400,1.326800
2025-02-05,14.5600,14.5600,14.2300,14.3000,4770687,68207233.7500,-1.447300
2025-02-06,14.2900,14.3400,14.1900,14.2700,5077510,72260028.4000,-0.209800
2025-02-07,14.2900,14.3500,14.2300,14.3100,4368760,62429878.2000,0.280300
2025-02-10,14.3100,14.3800,14.2700,14.3300,2989076,42815461.0800,0.139800
2025-02-11,14.3500,14.5000,14.3400,14.4800,4175996,60271285.2000,1.046800
2025-02-12,14.4500,14.5300,14.3700,14.4500,2433154,35119461.2200,-0.207200
2025-02-13,14.4700,14.5500,14.4100,14.4100,2614096,37797882.5400,-0.276800
2025-02-14,14.3900,14.4200,14.3000,14.3400,3510680,50380493.4000,-0.485800
2025-02-17,14.3600,14.4500,14.2100,14.4500,3524520,50535105.4000,0.767100
2025-02-18,14.4600,14.6700,14.4300,14.4900,5622368,81858967.4800,0.276800
2025-02-19,14.5100,14.5500,14.4200,14.4800,2969921,42971789.8400,-0.069000
2025-02-20,14.4700,14.7500,14.4100,14.6900,4736549,69257943.5300,1.450300
2025-02-21,14.6300,14.7000,14.4000,14.5900,4726180,68751740.0000,-0.680700
2025-02-24,14.5500,14.7500,14.5300,14.6300,3652780,53515600.8000,0.274200
2025-02-25,14.5600,14.6400,14.3600,14.4300,3272960,47409412.2000,-1.367100
2025-02-26,14.4300,14.6300,14.4000,14.6000,3145230,45739224.2000,1.178100
2025-02-27,14.6100,14.6300,14.5100,14.6200,2044221,29821070.6000,0.137000
2025-02-28,14.6400,14.7100,14.4600,14.4900,2999830,43823640.0000,-0.889200
2025-03-03,14.5900,14.6100,14.3900,14.4300,4091480,59174416.2000,-0.414100
2025-03-04,14.4600,14.5500,14.4000,14.5500,1787930,25906218.3000,0.831600
2025-03-05,14.5300,14.5900,14.4600,14.5600,1792290,26074736.1000,0.068700
2025-03-06,14.5600,14.5900,14.4100,14.5000,3281320,47446452.6000,-0.412100
2025-03-07,14.4500,14.6100,14.4500,14.5400,2406920,35019769.0000,0.275900
2025-03-10,14.5800,14.6700,14.5300,14.6500,2245700,32826026.0000,0.756500
2025-03-11,14.5700,14.6400,14.4700,14.6000,2305100,33549156.0000,-0.341300
2025-03-12,14.6000,14.7400,14.5000,14.6600,3467600,50719304.2000,0.411000
2025-03-13,14.6400,14.8300,14.6400,14.8300,4735728,69860007.9400,1.159600
2025-03-14,14.8100,14.8200,14.7200,14.7900,4849789,71603846.3100,-0.269700
2025-03-17,14.8200,14.9700,14.7600,14.8500,3584340,53321885.2000,0.405700
2025-03-18,14.8600,14.9000,14.7500,14.8700,2660640,39434456.6000,0.134700
2025-03-19,14.8600,16.3300,14.8100,15.9100,25766060,405180630.7900,6.993900
2025-03-20,15.8300,16.3800,15.7700,15.9800,17258123,277194638.9200,0.440000
2025-03-21,15.8900,16.3500,15.8900,16.0500,14559699,234530495.3100,0.438000
2025-03-24,15.9100,16.2000,15.5500,15.8600,12809056,202895501.8800,-1.183800
2025-03-25,15.8600,16.8000,15.7700,16.3900,21494324,354280388.7000,3.341700
2025-03-26,16.2000,17.3300,15.8800,17.2300,27418231,457426781.7500,5.125100
2025-03-27,16.8500,17.1700,16.4000,16.5300,15766785,263983310.2800,-4.062700
2025-03-28,16.4000,16.6700,16.0100,16.1000,12150628,197116865.0100,-2.601300
2025-03-31,16.0900,16.8800,16.0900,16.2400,14403863,237465881.8800,0.869600
2025-04-01,16.6000,16.8400,16.1900,16.3900,17370023,285685311.7600,0.923600
2025-04-02,16.3000,16.3700,15.5500,15.6200,29106417,457951347.6000,-4.698000
2025-04-03,15.4900,16.0000,15.4500,15.8900,18159540,287148701.4100,1.728600
2025-04-07,15.3000,15.5600,14.5200,14.8300,23381527,352376506.8900,-6.670900
2025-04-08,14.8700,15.3400,14.8700,15.2000,14561491,220114663.3900,2.494900
2025-04-09,15.0100,15.3600,14.8800,15.2200,12494511,188900571.3100,0.131600
2025-04-10,15.2300,15.4900,15.1000,15.3500,10717380,164185794.1600,0.854100
2025-04-11,15.2400,15.4300,15.2000,15.2600,7959580,121762877.8000,-0.586300
2025-04-14,15.3400,15.6900,15.2700,15.6500,10208649,158754813.5500,2.555700
2025-04-15,15.5700,15.7900,15.5200,15.7900,8163418,127713393.6800,0.894600
2025-04-16,15.8400,16.0500,15.7200,15.8000,11179598,177240804.8400,0.063300
2025-04-17,15.3300,15.5300,15.2300,15.3900,11900338,183266862.5800,-2.594900
2025-04-18,15.6900,16.4700,15.6500,16.0500,19737470,314922806.7000,4.288500
2025-04-21,15.9800,16.2400,15.7800,16.1200,12759023,204138318.1900,0.436100
2025-04-22,16.0300,16.1700,15.8600,15.8800,10180103,162806538.9000,-1.488800
2025-04-23,15.9000,15.9400,15.7100,15.7100,7981464,126055542.3600,-1.070500
2025-04-24,15.7000,16.1400,15.7000,16.1000,13457471,215462253.0800,2.482500
2025-04-25,16.1300,16.6000,15.8700,16.4800,20846979,338709546.6900,2.360200
2025-04-28,16.2500,16.5700,15.9900,16.0100,17872260,290744141.4000,-2.851900
2025-04-29,16.1800,16.1900,15.4600,15.5700,17629536,276233909.8400,-2.748300
2025-04-30,15.5700,15.7500,15.5200,15.6000,7958910,124197578.3000,0.192700
2025-05-06,15.6100,15.6800,15.4700,15.6800,8369720,130573736.6000,0.512800
2025-05-07,15.6700,15.9100,15.6600,15.7900,10380040,163690347.1800,0.701500
2025-05-08,15.7200,15.9000,15.6900,15.7900,6987000,110290603.0000,0.000000
2025-05-09,15.7300,16.1300,15.7100,16.1100,13700320,219478197.9000,2.026600
2025-05-12,16.0700,16.0700,15.8800,15.9900,9585940,152781018.2000,-0.744900
2025-05-13,16.0000,16.4500,15.9100,16.3500,16954107,274824001.0600,2.251400
