date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.2000,7.2900,7.0200,7.0900,9200000,65849438.0000,-1.800600
2025-01-03,7.1300,7.2000,6.8900,6.9000,10784375,75839164.0000,-2.679800
2025-01-06,6.8900,7.0500,6.7800,6.9700,8128550,56430166.5000,1.014500
2025-01-07,6.9900,7.0900,6.9200,7.0500,6150725,43123941.7500,1.147800
2025-01-08,7.0000,7.0400,6.7900,6.9700,8198900,56789132.0000,-1.134800
2025-01-09,6.9200,7.0900,6.9100,7.0300,6163500,43342591.0000,0.860800
2025-01-10,7.0200,7.1800,6.9700,6.9800,9846300,69709919.0000,-0.711200
2025-01-13,6.8700,7.0600,6.8200,6.9900,5584903,38776613.8500,0.143300
2025-01-14,7.0100,7.2400,6.9900,7.2300,11394780,81543239.3000,3.433500
2025-01-15,7.1900,7.2900,7.1400,7.2300,9677625,69753047.5000,0.000000
2025-01-16,7.2500,7.3400,7.1600,7.2200,8947700,64930982.0000,-0.138300
2025-01-17,7.2100,7.2500,7.1500,7.2300,6152450,44317298.0000,0.138500
2025-01-20,7.2600,7.3200,7.1800,7.2400,6775025,49108965.0000,0.138300
2025-01-21,7.2600,7.2700,7.1200,7.2000,6241400,44750344.0000,-0.552500
2025-01-22,7.1700,7.2200,7.1100,7.1600,4817100,34462191.0000,-0.555600
2025-01-23,7.2300,7.3400,7.2000,7.2300,10603500,77194444.0000,0.977700
2025-01-24,7.2500,7.2900,7.1600,7.2700,8611000,62174417.0000,0.553300
2025-01-27,7.2800,7.4000,7.2700,7.2800,7742700,56758040.0000,0.137600
2025-02-05,7.3900,7.4100,7.2900,7.3500,8259800,60799967.0000,0.961500
2025-02-06,7.3600,7.6000,7.3200,7.6000,14582306,109410989.6700,3.401400
2025-02-07,7.6000,7.6600,7.4900,7.5600,19211700,145643174.0000,-0.526300
2025-02-10,7.5600,7.6200,7.5500,7.6200,10898000,82629691.7500,0.793700
2025-02-11,7.6200,7.6600,7.5600,7.6500,9309061,70947003.0400,0.393700
2025-02-12,7.6200,7.7000,7.5900,7.6900,11523175,88174074.0000,0.522900
2025-02-13,7.7000,7.9600,7.6500,7.6600,19085046,148537739.7600,-0.390100
2025-02-14,7.6200,7.7300,7.5500,7.5700,11050075,84128764.0000,-1.174900
2025-02-17,7.5900,7.6200,7.5200,7.5900,9696600,73410209.0000,0.264200
2025-02-18,7.5900,7.6500,7.4900,7.5300,11714180,88874727.0000,-0.790500
2025-02-19,7.4800,7.9300,7.4800,7.8600,27473626,213486212.7000,4.382500
2025-02-20,7.9100,8.2100,7.8600,8.1300,44425509,359803950.5100,3.435100
2025-02-21,8.1100,8.2400,8.0500,8.1400,30964600,252131680.3300,0.123000
2025-02-24,8.1900,8.3900,8.1400,8.2900,35664017,295179240.4000,1.842800
2025-02-25,8.2000,8.2300,8.0700,8.1000,26747378,217674570.3900,-2.291900
2025-02-26,8.0800,8.5700,8.0700,8.4000,39137503,326846933.6800,3.703700
2025-02-27,8.4300,8.6500,8.2600,8.4000,41322512,349444190.3500,0.000000
2025-02-28,8.4000,8.4200,8.0700,8.1200,27124853,222305468.0700,-3.333300
2025-03-03,8.1900,8.5300,8.1800,8.3400,30264625,252804655.1200,2.709400
2025-03-04,8.2600,8.5300,8.2300,8.3700,27650227,232102527.6800,0.359700
