date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.1400,8.1900,7.8300,7.8800,27996496,223491907.5000,-3.667500
2025-01-03,7.8500,7.9500,7.7300,7.8000,19357917,151767314.1700,-1.015200
2025-01-06,7.7700,7.8400,7.6300,7.7100,17384499,134471548.6100,-1.153800
2025-01-07,7.7000,7.7300,7.5500,7.6100,15049670,114738419.5800,-1.297000
2025-01-08,7.6000,7.7300,7.3500,7.6200,25944319,195546577.8500,0.131400
2025-01-09,7.5800,7.7300,7.5400,7.6100,12982625,99203972.7700,-0.131200
2025-01-10,7.6300,7.7700,7.5800,7.6000,15863318,121674906.3800,-0.131400
2025-01-13,7.5300,7.6700,7.4800,7.5900,14512181,109999118.6700,-0.131600
2025-01-14,7.5700,7.8200,7.5200,7.7700,19076490,147186584.4800,2.371500
2025-01-15,7.7700,7.9500,7.7000,7.8000,16291346,127728219.7700,0.386100
2025-01-16,7.8600,7.9900,7.8100,7.9200,16383110,129607156.0000,1.538500
2025-01-17,7.8800,8.1900,7.8500,8.1600,23367039,189263001.3600,3.030300
2025-01-20,8.1900,8.2200,8.0100,8.1000,14718200,119183984.1600,-0.735300
2025-01-21,8.1500,8.1500,7.9400,8.0000,13733910,109938706.6000,-1.234600
2025-01-22,7.9800,8.0000,7.8600,7.9400,9297307,73598343.3800,-0.750000
2025-01-23,8.0100,8.0500,7.8400,7.8700,20104951,159688868.5600,-0.881600
2025-01-24,7.8400,8.0400,7.8200,7.9600,15397387,122613765.3500,1.143600
2025-01-27,7.9900,8.1800,7.9700,8.0800,17830321,144350677.4700,1.507500
2025-02-05,8.1500,8.1500,7.8900,7.9400,12829566,102059092.5400,-1.732700
2025-02-06,7.9500,8.2700,7.9200,8.0200,25265874,203763891.4700,1.007600
2025-02-07,8.0200,8.2000,7.9700,8.0400,27494201,222353035.0100,0.249400
2025-02-10,8.0500,8.0800,7.9600,8.0400,16181396,129822305.9500,0.000000
2025-02-11,8.0600,8.1400,7.9500,8.0800,22496255,181242945.0400,0.497500
2025-02-12,8.0600,8.2500,8.0000,8.1500,34956985,284090631.6000,0.866300
2025-02-13,8.1600,8.2200,8.1000,8.1300,19139921,155961666.6200,-0.245400
2025-02-14,8.1400,8.1600,8.0300,8.1200,15808343,127922625.6200,-0.123000
2025-02-17,8.0900,8.1200,7.9700,8.0200,16782254,134199160.4800,-1.231500
