date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.4300,11.5500,10.6300,10.7300,15853924,173589216.5100,-5.295700
2025-01-03,10.8300,11.2200,10.4100,11.1400,15093357,165185321.3100,3.821100
2025-01-06,10.9500,10.9600,10.0300,10.3500,10884056,113321461.0800,-7.091600
2025-01-07,10.2600,10.5800,9.9800,10.5800,7417853,76268270.6200,2.222200
2025-01-08,10.5100,10.6300,10.0500,10.4300,6152920,63687339.1400,-1.417800
2025-01-09,10.3600,10.3600,10.0000,10.0900,5360300,54341219.9400,-3.259800
2025-01-10,10.0100,10.2800,9.6500,9.7200,5451600,54344408.0000,-3.667000
2025-01-13,9.7100,9.9400,9.4000,9.7900,3736700,36218344.0000,0.720200
2025-01-14,9.7900,10.7700,9.7900,10.7700,7945000,83182168.0000,10.010200
2025-01-15,10.9000,11.0600,10.6700,10.9400,8631799,93803117.1600,1.578500
2025-01-16,11.0700,11.1600,10.7000,10.8900,4604000,50132960.0000,-0.457000
2025-01-17,10.8400,10.9300,10.6200,10.8800,3105400,33572937.0000,-0.091800
2025-01-20,10.9700,11.3100,10.8900,11.2000,5012500,55865803.0000,2.941200
2025-01-21,11.2700,11.3200,10.7800,10.9500,3797400,41549439.0000,-2.232100
2025-01-22,10.9300,11.1100,10.7500,10.7600,3092800,33721108.0000,-1.735200
2025-01-23,10.9300,11.0300,10.6600,10.6600,3316900,35999002.0000,-0.929400
2025-01-24,10.6900,10.7900,10.4500,10.7200,2851100,30214454.0000,0.562900
2025-01-27,10.7200,10.9800,10.6000,10.6400,2956900,31978655.0000,-0.746300
2025-02-05,10.7500,10.8400,10.4500,10.5800,2485600,26278904.0000,-0.563900
2025-02-06,10.5800,10.8400,10.3700,10.7900,2934200,31144396.0000,1.984900
2025-02-07,10.8000,10.9500,10.6800,10.8500,2861101,31006739.8800,0.556100
2025-02-10,10.8800,11.8300,10.8800,11.4100,8313672,94830193.7500,5.161300
2025-02-11,11.3900,11.4300,11.1900,11.3600,4301766,48633017.5000,-0.438200
2025-02-12,11.3600,11.4500,11.2500,11.3300,2860800,32415020.0000,-0.264100
