date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.8500,3.9900,3.6600,3.7500,167313486,635937088.2200,-5.303000
2025-01-03,3.7700,3.7700,3.4000,3.4200,142319633,503380281.0700,-8.800000
2025-01-06,3.4200,3.4800,3.2400,3.2800,96663953,319928568.4700,-4.093600
2025-01-07,3.2900,3.4500,3.2900,3.4500,100151479,337414387.9300,5.182900
2025-01-08,3.3800,3.4700,3.2600,3.4200,96031229,323437395.7300,-0.869600
2025-01-09,3.3600,3.5200,3.3400,3.4500,103247077,355532686.1100,0.877200
2025-01-10,3.5000,3.6700,3.4100,3.4600,145329646,517500215.0400,0.289900
2025-01-13,3.3000,3.4600,3.2700,3.3700,79677045,268660307.6100,-2.601200
2025-01-14,3.3900,3.5700,3.3700,3.5700,108681828,379871824.4200,5.934700
2025-01-15,3.5600,3.5600,3.4500,3.4600,76642491,267465603.0500,-3.081200
2025-01-16,3.4700,3.5700,3.4300,3.5100,89239612,313085563.8400,1.445100
2025-01-17,3.5600,3.7200,3.5500,3.5500,120788090,437033455.0000,1.139600
2025-01-20,3.6100,3.7300,3.5300,3.6600,118084903,429420582.9900,3.098600
2025-01-21,3.6700,3.6800,3.5400,3.6300,79078855,286041422.6400,-0.819700
2025-01-22,3.6000,3.6700,3.5500,3.5600,57066893,205342242.8700,-1.928400
2025-01-23,3.6000,3.6600,3.5300,3.5300,64290544,231642399.2100,-0.842700
2025-01-24,3.5400,3.5700,3.4900,3.5700,50752992,179561674.9600,1.133100
2025-01-27,3.5700,3.6200,3.4700,3.4800,54055927,191424202.3500,-2.521000
2025-02-05,3.6900,3.8300,3.6300,3.8300,82014088,307403460.9000,10.057500
2025-02-06,4.0000,4.2100,3.9000,4.0400,252104438,1017179340.1800,5.483000
2025-02-07,3.9900,4.3200,3.9700,4.1100,228009764,940688743.0700,1.732700
2025-02-10,4.0800,4.2100,4.0100,4.1100,183637490,751980372.9800,0.000000
2025-02-11,4.0800,4.3800,4.0600,4.2500,195658926,827003517.6400,3.406300
2025-02-12,4.2000,4.2900,4.1100,4.2200,136126265,571552746.6000,-0.705900
