date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.8800,2.9500,2.8200,2.8400,32689300,94335903.0000,-1.730100
2025-01-03,2.8500,2.8900,2.5800,2.6000,44405900,118881872.0000,-8.450700
2025-01-06,2.5600,2.5800,2.4500,2.5200,40081000,100125757.0000,-3.076900
2025-01-07,2.5200,2.6000,2.4800,2.6000,32005500,81372895.0000,3.174600
2025-01-08,2.6200,2.7300,2.5400,2.6500,62097503,163645975.9300,1.923100
2025-01-09,2.6200,2.6500,2.5800,2.6400,32769300,85707927.9800,-0.377400
2025-01-10,2.6400,2.6800,2.5100,2.5100,29658000,77018237.0000,-4.924200
2025-01-13,2.4500,2.5100,2.4100,2.4800,27979400,69052573.0000,-1.195200
2025-01-14,2.4800,2.6400,2.4800,2.6400,36324900,93543951.0000,6.451600
2025-01-15,2.6400,2.7200,2.5900,2.6600,43459802,115671721.3600,0.757600
2025-01-16,2.6800,2.7800,2.6500,2.6900,34047802,92352307.3600,1.127800
2025-01-17,2.6700,2.6800,2.6100,2.6100,24460400,64472948.0000,-2.974000
2025-01-20,2.6400,2.6600,2.5700,2.6200,23060100,60523924.0000,0.383100
2025-01-21,2.6300,2.6600,2.5300,2.5700,24745400,63628071.0000,-1.908400
2025-01-22,2.5100,2.5400,2.4300,2.4600,28354100,69793990.0000,-4.280200
2025-01-23,2.4900,2.5100,2.3800,2.3800,44167603,106971446.4300,-3.252000
2025-01-24,2.3600,2.4300,2.3000,2.4100,30886180,73363459.0000,1.260500
2025-01-27,2.4700,2.4900,2.3900,2.3900,23861500,57807030.0000,-0.829900
2025-02-05,2.4200,2.4500,2.3900,2.4100,21683817,52443809.6000,0.836800
2025-02-06,2.4000,2.4700,2.3600,2.4700,32247408,78238113.5000,2.489600
2025-02-07,2.5000,2.5800,2.4900,2.5200,40030381,101549024.8200,2.024300
2025-02-10,2.5200,2.5400,2.3500,2.4400,166282242,399148694.2600,-3.174600
2025-02-11,2.4400,2.6700,2.3500,2.5500,211362966,525745685.2800,4.508200
2025-02-12,2.5000,2.7700,2.4500,2.6800,205438426,533085190.2600,5.098000
2025-02-13,2.7000,2.8200,2.6200,2.6600,172034558,466117367.3800,-0.746300
2025-02-14,2.6400,2.7000,2.5800,2.6300,107394492,283771973.9400,-1.127800
2025-02-17,2.6200,2.7400,2.6100,2.7000,97031195,259742447.6800,2.661600
2025-02-18,2.6900,2.6900,2.5300,2.5400,83471100,217002902.8000,-5.925900
2025-02-19,2.5400,2.5800,2.5200,2.5600,55123303,140328029.4200,0.787400
2025-02-20,2.5400,2.5600,2.5000,2.5100,56650413,142997367.6300,-1.953100
2025-02-21,2.4900,2.5900,2.4800,2.5400,76186844,192244878.6200,1.195200
2025-02-24,2.5300,2.7500,2.5200,2.6900,146669013,392039260.0300,5.905500
2025-02-25,2.6400,2.6600,2.5800,2.6200,79213839,207746072.3800,-2.602200
2025-02-26,2.6000,2.6400,2.5600,2.5800,70412465,182071694.7000,-1.526700
2025-02-27,2.5700,2.6300,2.5200,2.5700,56686320,145449583.7600,-0.387600
2025-02-28,2.5600,2.5800,2.4800,2.4900,51738502,130865390.9800,-3.112800
2025-03-03,2.5000,2.5200,2.4300,2.4400,43381200,106884698.0000,-2.008000
2025-03-04,2.4300,2.4700,2.4100,2.4600,33365449,81610255.0500,0.819700
2025-03-05,2.4500,2.4600,2.3800,2.4300,42115200,101569690.0000,-1.219500
2025-03-06,2.4100,2.4600,2.3800,2.4400,53793800,130336584.0000,0.411500
2025-03-07,2.4300,2.4300,2.3500,2.3600,53782300,128220751.0000,-3.278700
2025-03-10,2.3700,2.4100,2.3700,2.3800,28427354,67879166.9800,0.847500
2025-03-11,2.3600,2.4200,2.3300,2.4000,33162500,79115915.0000,0.840300
2025-03-12,2.4200,2.4500,2.3900,2.4400,47384358,114682379.2000,1.666700
2025-03-13,2.4300,2.6800,2.3600,2.6800,147295771,382684272.9500,9.836100
