date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.4600,12.8500,11.0100,12.8500,112312928,1388729015.4800,10.017100
2025-01-03,12.6300,14.1400,12.3500,14.1400,113842383,1575864182.6000,10.038900
2025-01-06,13.4900,13.7900,12.7300,12.7300,98167069,1273055185.0500,-9.971700
2025-01-07,12.3100,13.7100,11.9700,13.0000,103232205,1316855465.0400,2.121000
2025-01-08,12.3000,12.7000,11.7000,12.5300,90346547,1093441445.0000,-3.615400
2025-01-09,12.5500,13.1600,12.3800,13.1600,87600803,1129493564.5300,5.027900
2025-01-10,12.8200,14.4800,12.6500,13.8100,110380550,1547692273.1300,4.939200
2025-01-13,12.6000,13.8100,12.6000,13.6400,78195948,1025596632.9300,-1.231000
2025-01-14,13.5100,14.9900,13.3000,14.7200,79876731,1142755248.2500,7.917900
2025-01-15,14.3500,15.4500,14.1400,14.6000,74608083,1095039737.9000,-0.815200
2025-01-16,14.3900,14.3900,13.1400,13.1400,66440850,895824476.7000,-10.000000
2025-01-17,12.5000,12.7500,11.8300,11.8300,74537053,905085709.6000,-9.969600
2025-01-20,12.0100,12.3800,11.6400,11.9600,45868913,547841568.5900,1.098900
2025-01-21,12.1900,13.1600,11.4300,13.1600,93693959,1185563027.7800,10.033400
2025-01-22,13.1500,14.1900,12.9500,13.5400,93576069,1261629052.4000,2.887500
2025-01-23,13.6000,13.7600,12.7200,12.9300,68318680,904171276.9400,-4.505200
2025-01-24,12.8100,13.4000,12.5000,13.4000,51798851,667544279.6200,3.635000
2025-01-27,13.4000,13.4800,12.1700,12.4000,41652647,531681040.6800,-7.462700
2025-02-05,12.4500,12.8800,12.2300,12.7500,28698354,361771235.4200,2.822600
2025-02-06,12.5100,13.4000,12.4000,13.3100,44212752,578123507.8300,4.392200
2025-02-07,13.3100,13.7900,13.0500,13.4000,67182801,902884565.7500,0.676200
2025-02-10,13.4400,13.4900,13.0600,13.2000,48547800,640716827.9100,-1.492500
2025-02-11,13.1000,13.8000,12.8800,13.4900,62955501,834962142.2900,2.197000
2025-02-12,13.3600,13.7100,13.1500,13.6800,60304308,814187451.6100,1.408500
2025-02-13,13.5400,13.9000,13.3800,13.3800,39251661,533303579.5200,-2.193000
2025-02-14,13.2500,13.2600,12.7500,12.8200,38382603,496792223.6500,-4.185400
2025-02-17,12.7800,13.5000,12.5900,13.4100,48301909,628516628.6400,4.602200
2025-02-18,13.2400,13.3100,12.6000,12.6000,38278700,497590425.4400,-6.040300
2025-02-19,12.7500,13.8600,12.6300,13.8600,61475800,832865734.0000,10.000000
2025-02-20,14.5000,14.6000,13.9000,13.9800,100320747,1424287557.8200,0.865800
2025-02-21,14.1400,14.5400,13.8200,14.3300,82404823,1168293157.8700,2.503600
2025-02-24,14.1800,15.0800,14.1800,14.8600,75109972,1102495414.4400,3.698500
2025-02-25,14.3800,14.6700,14.1300,14.2500,48485429,696320419.1700,-4.105000
2025-02-26,14.2200,14.8300,13.9700,14.5700,49716129,717603223.3000,2.245600
2025-02-27,14.4000,14.4500,13.5400,13.9300,53064876,740715759.6100,-4.392600
2025-02-28,13.7000,13.7700,12.6700,12.7700,41083500,540268832.1700,-8.327400
2025-03-03,12.9500,13.3600,12.5800,12.7500,26050800,334891985.0000,-0.156600
2025-03-04,12.6200,12.9200,12.5400,12.8300,18045851,230394809.3300,0.627500
2025-03-05,12.8400,13.1500,12.7500,13.0000,19016851,245999646.5200,1.325000
2025-03-06,13.0500,13.4000,13.0500,13.2500,22704047,300359420.3500,1.923100
2025-03-07,13.2300,14.2000,12.9900,13.8000,47731796,646084088.1800,4.150900
2025-03-10,14.1900,14.5700,13.8300,13.9100,46054596,652773255.3600,0.797100
2025-03-11,13.4800,14.1000,13.4800,13.9000,28675887,396437989.8000,-0.071900
2025-03-12,13.8300,14.0400,13.7700,13.7900,25082700,348461778.5000,-0.791400
2025-03-13,13.7600,13.7600,13.0600,13.1400,26465768,351256044.8700,-4.713600
2025-03-14,13.0800,14.4500,13.0800,14.0100,82823197,1172547261.6300,6.621000
2025-03-17,14.0000,14.2200,13.7400,13.7600,59169045,825884645.6300,-1.784400
2025-03-18,13.7500,13.9200,13.6100,13.7200,25398805,348527489.2400,-0.290700
2025-03-19,13.8900,14.7900,13.7800,14.4200,59750875,854258429.3400,5.102000
2025-03-20,14.3300,14.4500,14.0700,14.0900,38640311,549854419.2300,-2.288500
2025-03-21,13.9500,14.0000,13.4100,13.7500,33877760,464139800.7500,-2.413100
2025-03-24,13.9400,14.7000,13.4200,14.3200,52254072,738811773.3400,4.145500
2025-03-25,14.3000,15.0000,13.7000,13.8100,57708166,832750785.4200,-3.561500
2025-03-26,13.6700,14.5000,13.5800,14.3000,39960096,562526034.4800,3.548200
2025-03-27,14.3900,15.4400,14.0700,14.8800,69309652,1028426222.2200,4.055900
2025-03-28,14.8700,15.1800,14.5500,14.9200,51403250,763549467.5000,0.268800
2025-03-31,14.6800,14.6800,13.4300,13.4300,44335150,604650466.5000,-9.986600
2025-04-01,13.9100,14.5000,13.8000,13.9300,47996818,679752426.5300,3.723000
2025-04-02,13.9100,14.0400,13.6700,13.6900,28937100,400471283.0000,-1.722900
2025-04-03,13.5600,14.1000,12.9000,13.1300,37807800,505767774.5000,-4.090600
2025-04-07,11.8200,12.0900,11.8200,11.8200,9534200,113001619.0000,-9.977200
2025-04-08,11.3800,11.4900,10.6400,10.7400,37883422,413026237.8500,-9.137100
2025-04-09,10.5000,11.1000,9.7100,10.8900,33903222,357284930.8200,1.396600
2025-04-10,11.2000,11.7300,11.2000,11.4500,26058000,300157047.0000,5.142300
2025-04-11,11.2900,11.6700,11.2600,11.4500,17507800,201645736.0000,0.000000
2025-04-14,11.6200,11.7900,11.4000,11.5100,17110300,198665320.0000,0.524000
2025-04-15,11.5900,11.9600,11.4300,11.6600,23405900,272252841.0000,1.303200
2025-04-16,11.6500,11.6800,11.3200,11.5000,16709700,192338092.0000,-1.372200
2025-04-17,11.5000,11.6300,11.2000,11.2400,15736300,179841057.5000,-2.260900
2025-04-18,11.3000,11.4000,11.0600,11.1600,12671550,142013851.5000,-0.711700
2025-04-21,11.2500,11.5300,11.1200,11.5200,14260850,162823556.5000,3.225800
2025-04-22,11.4500,11.5500,11.3700,11.4400,10942100,125203297.5000,-0.694400
2025-04-23,11.5100,12.0300,11.5100,11.8900,22493800,265524102.0000,3.933600
2025-04-24,11.8700,11.8800,11.4800,11.5400,14789650,172544794.0000,-2.943700
2025-04-25,11.6400,11.6500,11.3800,11.5100,9674100,111360634.5000,-0.260000
2025-04-28,11.4300,11.5500,11.3300,11.3800,8313850,94799096.0000,-1.129500
2025-04-29,11.2100,11.6700,11.1700,11.5400,13761335,158204049.7800,1.406000
2025-04-30,11.5900,12.0600,11.5100,11.9200,17210800,203989435.0000,3.292900
2025-05-06,12.0500,12.2500,11.9300,12.1300,16932650,205074024.0000,1.761700
2025-05-07,12.2800,12.3400,11.7500,11.8500,19416851,232323129.3100,-2.308300
2025-05-08,11.8100,12.1100,11.7600,12.0800,14526250,174758792.7300,1.940900
2025-05-09,12.1200,12.1200,11.6800,11.7900,12288300,145278965.0000,-2.400700
2025-05-12,11.9000,12.0000,11.7700,11.9400,13635944,162542439.5600,1.272300
2025-05-13,12.0600,12.1000,11.6800,11.7200,14484478,171531843.6000,-1.842500
2025-05-14,11.7200,11.7800,11.5100,11.6300,12369850,143876444.0000,-0.767900
2025-05-15,11.6300,11.6300,11.2900,11.3000,11305500,128393528.0000,-2.837500
2025-05-16,11.1600,11.3000,11.1000,11.1200,9782650,109603530.0000,0.270500
2025-05-19,11.1500,11.1500,10.8600,11.0800,10701200,117430407.5000,-0.359700
2025-05-20,11.0900,11.2100,10.9100,11.1200,8489000,94143062.0000,0.361000
2025-05-21,11.0700,11.1200,10.8800,10.9500,8654000,94841503.0000,-1.528800
2025-05-22,10.9000,11.1000,10.8100,10.8400,9467000,103484795.5000,-1.004600
2025-05-23,10.8100,10.8800,10.5300,10.5300,13334400,142950112.0000,-2.859800
2025-05-26,10.5900,10.7100,10.5100,10.6900,8681850,92270495.5000,1.519500
2025-05-27,10.6200,10.7000,10.5400,10.6100,6658500,70614810.0000,-0.748400
2025-05-28,10.6000,10.6700,10.4800,10.5000,7504900,79048109.0000,-1.036800
2025-05-29,10.5300,10.9300,10.4800,10.8100,13748400,147738844.0000,2.952400
2025-05-30,10.8400,10.9600,10.3700,10.4200,15737600,166148319.0000,-3.607800
2025-06-03,10.5000,10.8700,10.4000,10.6000,13789350,147179684.5000,1.727400
2025-06-04,10.5500,10.7100,10.5500,10.6800,9236089,98351235.3500,0.754700
2025-06-05,10.6700,10.9400,10.6300,10.8900,13634650,146948239.0000,1.966300
2025-06-06,11.0600,11.0600,10.6700,10.7000,17319372,186637004.2800,-1.744700
2025-06-09,10.7200,11.2000,10.7000,10.8600,16066298,175605989.8000,1.495300
2025-06-10,10.8600,10.9300,10.4500,10.5900,14111916,150381072.1400,-2.486200
2025-06-11,10.6000,10.7100,10.5600,10.6300,7435350,79145877.5000,0.377700
2025-06-12,10.6200,11.0800,10.6000,10.9700,22890197,248346743.5300,3.198500
2025-06-13,11.1500,11.4600,10.8600,11.2000,42273722,473697246.3400,2.096600
2025-06-16,11.2200,11.8000,11.0200,11.7800,42198328,483887922.0400,5.178600
2025-06-17,11.6800,11.7300,11.3500,11.4600,33054502,379440539.4400,-2.716500
2025-06-18,11.3000,11.4500,11.0700,11.1600,20336150,227102015.5400,-2.617800
2025-06-19,11.1000,11.1500,10.8300,10.8400,16902132,185098461.3900,-2.867400
2025-06-20,10.9100,11.6500,10.7400,11.1700,30007450,336230718.7500,3.044300
2025-06-23,11.0100,11.5500,11.0000,11.4400,25697429,290861803.9800,2.417200
2025-06-24,11.4000,12.2800,11.3500,11.8400,38698877,454721947.6500,3.496500
2025-06-25,11.6800,11.8600,11.6100,11.8100,29213775,342552548.0100,-0.253400
2025-06-26,11.7000,12.0600,11.6400,11.9500,29264876,348066496.9200,1.185400
2025-06-27,11.9900,12.0900,11.7000,11.7200,24352400,288760512.4800,-1.924700
2025-06-30,11.7200,11.9800,11.6400,11.8400,19931378,234421126.1200,1.023900
2025-07-01,11.8400,11.8600,11.5500,11.6100,16101600,187717048.0000,-1.942600
2025-07-02,11.6000,11.6100,11.3000,11.4800,13801600,158083947.0000,-1.119700
2025-07-03,11.5100,11.5100,11.3600,11.3900,9436400,107725085.0000,-0.784000
2025-07-04,11.4200,11.5800,11.2300,11.3800,15812222,180487398.1600,-0.087800
2025-07-07,11.3800,11.6300,11.3400,11.4200,11484000,131370355.1800,0.351500
2025-07-08,11.3700,11.7500,11.3300,11.6000,18610700,214794131.0000,1.576200
2025-07-09,11.5800,11.9500,11.5200,11.7500,27490315,323082836.3800,1.293100
2025-07-10,11.6800,11.6800,11.4300,11.5100,16680500,192357233.0000,-2.042600
2025-07-11,11.5100,11.8500,11.3900,11.6700,21002628,244013512.7800,1.390100
2025-07-14,11.6700,11.7200,11.4800,11.5700,12953765,149817404.3500,-0.856900
2025-07-15,11.5700,11.5700,11.2800,11.3400,14271164,162346973.8400,-1.987900
2025-07-16,11.3400,12.4700,11.3400,12.4700,65625725,796645988.4100,9.964700
2025-07-17,12.4900,12.6500,12.2400,12.3200,71083725,883107408.5500,-1.202900
2025-07-18,12.3100,12.3900,12.1200,12.2500,34368400,420553764.5000,-0.568200
2025-07-21,12.3000,12.4300,12.2300,12.3100,30358350,373984338.5000,0.489800
2025-07-22,12.2200,12.3000,11.9900,12.0900,23599400,285672730.5000,-1.787200
2025-07-23,12.0000,12.1500,11.9100,11.9600,17527800,210447263.6700,-1.075300
2025-07-24,12.0100,12.2000,12.0000,12.0800,14227287,171634419.6800,1.003300
2025-07-25,12.0500,12.1900,12.0000,12.1600,16822998,203773570.1700,0.662300
2025-07-28,12.1600,12.2200,12.0200,12.2200,17916817,217422406.2900,0.493400
2025-07-29,12.2300,12.2400,12.0200,12.1200,13075962,158118572.6100,-0.818300
2025-07-30,12.1000,12.1500,11.7700,11.8300,15592200,186086237.0000,-2.392700
2025-07-31,11.8100,12.0300,11.6600,11.7900,13868749,164621419.0200,-0.338100
2025-08-01,11.7800,11.9000,11.6400,11.8700,10444800,123011356.5000,0.678500
2025-08-04,11.8000,11.9400,11.7300,11.9400,8173050,96901919.0000,0.589700
2025-08-05,11.9400,12.0400,11.9200,11.9600,8557352,102385387.9000,0.167500
2025-08-06,11.9600,12.2400,11.9000,12.1700,19456593,235997162.0200,1.755900
2025-08-07,12.2000,12.2100,12.0300,12.0500,13291890,160794720.8400,-0.986000
2025-08-08,12.1000,13.0400,12.1000,12.4100,50354536,637563751.4000,2.987600
