date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.3600,4.8400,4.3600,4.8300,287079118,1365419952.8300,9.772700
2025-01-03,4.7200,4.7300,4.4200,4.5000,188847332,861867534.2800,-6.832300
2025-01-06,4.3800,4.9300,4.3400,4.7500,159751006,744044982.5000,5.555600
2025-01-07,4.7000,4.8400,4.5900,4.7300,126584804,593061352.4300,-0.421100
2025-01-08,4.7000,4.7800,4.4700,4.6000,112611109,517317461.2200,-2.748400
2025-01-09,4.5300,4.7900,4.5000,4.5600,103365694,477515384.4400,-0.869600
2025-01-10,4.4800,4.5000,4.1500,4.1600,126810475,540528592.9400,-8.771900
2025-01-13,4.0700,4.3900,3.9100,4.3000,134796482,553835433.2600,3.365400
2025-01-14,4.2900,4.7300,4.2400,4.7000,159414178,724970632.6300,9.302300
2025-01-15,4.8000,4.9000,4.6300,4.6700,143002878,678577830.2900,-0.638300
2025-01-16,4.7200,4.8800,4.5700,4.7600,149369362,708390800.5000,1.927200
2025-01-17,4.6500,4.6900,4.4800,4.5000,97990580,444543884.0000,-5.462200
2025-01-20,4.4000,4.7500,4.3600,4.6700,129200780,593448218.4400,3.777800
2025-01-21,4.6800,4.7800,4.6000,4.6700,75545597,352574271.6400,0.000000
2025-01-22,4.6200,5.1300,4.5900,4.8900,171871498,846946346.2000,4.710900
2025-01-23,4.9000,5.0800,4.7600,5.0000,132366757,658527326.5100,2.249500
2025-01-24,4.9300,5.1400,4.9200,5.1000,113806408,573258576.4900,2.000000
2025-01-27,5.0600,5.2000,4.9400,4.9500,87589408,442774862.0900,-2.941200
2025-02-05,4.9100,4.9400,4.6900,4.7400,76265300,363754660.5000,-4.242400
2025-02-06,4.7200,4.7700,4.6300,4.7300,68280555,321446205.6000,-0.211000
2025-02-07,4.7100,4.8300,4.6100,4.7500,76656300,363716967.0000,0.422800
2025-02-10,4.7300,5.0000,4.7300,4.9300,73726180,361438580.9300,3.789500
2025-02-11,4.9300,5.0500,4.8600,4.9900,68985071,343053260.0200,1.217000
2025-02-12,4.9700,5.0800,4.9200,5.0200,57414847,287087157.9700,0.601200
2025-02-13,5.0200,5.0800,4.8900,4.9700,60436444,301558302.2000,-0.996000
2025-02-14,4.9400,4.9900,4.8000,4.8500,55217484,268211924.2000,-2.414500
2025-02-17,4.8300,4.8700,4.7400,4.8400,67660200,325076245.0000,-0.206200
2025-02-18,4.8000,4.8300,4.4100,4.4600,102919373,471818255.5000,-7.851200
2025-02-19,4.4800,4.5100,4.4000,4.4500,56651050,252254317.7800,-0.224200
2025-02-20,4.4500,4.5300,4.3500,4.5300,70451865,313711428.8500,1.797800
2025-02-21,4.5200,4.5200,4.3000,4.3400,85870221,375641882.8600,-4.194300
2025-02-24,4.3300,4.4400,4.2900,4.3400,51703092,225183985.0700,0.000000
2025-02-25,4.3000,4.4000,4.2200,4.3100,61689955,265517294.7500,-0.691200
2025-02-26,4.3100,4.4200,4.2600,4.3000,50280439,217174956.2100,-0.232000
2025-02-27,4.3100,4.4000,4.2700,4.3800,64534706,279846469.4100,1.860500
2025-02-28,4.3400,4.5700,4.3300,4.4100,85141778,378232892.5800,0.684900
2025-03-03,4.3700,4.3900,4.2100,4.2100,76012003,324829278.9000,-4.535100
2025-03-04,4.2000,4.2100,4.0900,4.2000,40560808,168622024.9400,-0.237500
2025-03-05,4.2000,4.2400,4.1100,4.2400,38628923,161306418.0600,0.952400
2025-03-06,4.2200,4.3800,4.1800,4.3500,60071893,257777008.3700,2.594300
2025-03-07,4.3400,4.3500,4.2000,4.2400,38514691,164446276.4900,-2.528700
2025-03-10,4.2000,4.2600,4.1800,4.2000,25086090,105521135.1100,-0.943400
2025-03-11,4.1200,4.2500,4.0700,4.2400,76217603,316465055.1900,0.952400
2025-03-12,4.2400,4.5300,4.2200,4.4800,115199041,505693453.7800,5.660400
2025-03-13,4.4800,4.5700,4.4200,4.5100,64707469,290232929.0800,0.669600
2025-03-14,4.4800,4.6400,4.4500,4.6100,63247600,288795991.0000,2.217300
