date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.7000,6.8000,6.5200,6.6100,40613402,271438394.1000,0.000000
2025-01-03,6.6200,6.6800,6.0000,6.0200,49710800,311058078.6900,-8.925900
2025-01-06,6.0200,6.0600,5.6800,5.7700,32644351,190568551.4200,-4.152800
2025-01-07,5.8000,6.0400,5.7800,6.0400,29116560,171984670.5200,4.679400
2025-01-08,6.0000,6.2000,5.8500,6.1600,39301533,237552086.9900,1.986800
2025-01-09,6.0600,6.2700,6.0600,6.2200,27268901,169244035.5700,0.974000
2025-01-10,6.2000,6.3100,5.9600,5.9700,29914835,184383010.4000,-4.019300
2025-01-13,5.8500,5.9500,5.6700,5.8700,22968738,133753640.8400,-1.675000
2025-01-14,5.9300,6.2800,5.9100,6.2800,40448699,248933786.0900,6.984700
2025-01-15,6.3800,6.5100,6.2800,6.3400,41211300,262997451.4000,0.955400
2025-01-16,6.4100,6.5300,6.3300,6.4400,31964140,205502417.2000,1.577300
2025-01-17,6.4100,6.4900,6.3000,6.3900,26964100,172055706.0000,-0.776400
2025-01-20,6.4500,6.5100,6.3200,6.4500,23332661,150281324.5700,0.939000
2025-01-21,6.5000,6.7500,6.2700,6.5200,54527176,353777996.6000,1.085300
2025-01-22,6.6700,7.1700,6.6000,7.1700,59369189,411119109.7400,9.969300
2025-01-23,7.6600,7.6600,6.9300,6.9600,130003151,944851763.1700,-2.928900
2025-01-24,6.9400,7.0500,6.7100,6.9700,76149626,523635597.8100,0.143700
2025-01-27,6.9700,7.1000,6.6400,6.6500,47937195,326535458.9500,-4.591100
2025-02-05,6.8600,7.1800,6.8600,7.0300,66959304,468890163.0900,5.714300
2025-02-06,6.9300,7.3400,6.8900,7.3300,69090040,496255856.2000,4.267400
2025-02-07,7.3000,7.5400,7.2400,7.3800,87678073,646047079.7300,0.682100
2025-02-10,7.3600,7.5200,7.3300,7.5000,57037913,425275233.5100,1.626000
2025-02-11,7.4500,7.5000,7.3300,7.3800,41110360,304420506.6000,-1.600000
2025-02-12,7.4000,7.4300,7.3300,7.3600,40063700,295610842.0000,-0.271000
2025-02-13,7.4300,7.6700,7.3600,7.3600,51900916,387269052.2300,0.000000
2025-02-14,7.2700,7.3600,7.2100,7.2800,39183153,285168470.2500,-1.087000
2025-02-17,7.4000,7.6400,7.3800,7.5400,58934433,442549618.8800,3.571400
2025-02-18,7.5700,8.2300,7.4500,7.6800,86723049,670036679.1900,1.856800
2025-02-19,7.7000,8.2000,7.5600,8.1300,99370325,792055728.5300,5.859400
2025-02-20,8.2000,8.3000,7.9100,8.1300,78826477,638380482.4900,0.000000
2025-02-21,8.0500,8.1700,7.9200,8.0900,63945753,514978660.6600,-0.492000
2025-02-24,8.0900,8.4700,8.0500,8.2200,68820841,566902581.2400,1.606900
2025-02-25,8.0100,8.2000,7.7800,7.9600,51082996,406301564.9700,-3.163000
2025-02-26,7.9800,8.6800,7.9500,8.3000,79368815,661048084.6100,4.271400
2025-02-27,8.2100,8.2800,7.9600,8.0900,53918280,436412154.3500,-2.530100
2025-02-28,8.0100,8.0300,7.4000,7.4500,46953720,360331661.4600,-7.911000
2025-03-03,7.4400,7.5300,7.2500,7.3400,30293460,224188359.6000,-1.476500
2025-03-04,7.2300,7.6500,7.2000,7.5700,28121803,210391189.9100,3.133500
2025-03-05,7.5800,7.7500,7.5500,7.7000,26871880,205324293.2200,1.717300
2025-03-06,7.7100,7.9500,7.7000,7.8600,30891584,242889114.2000,2.077900
2025-03-07,7.8500,7.9200,7.6300,7.7000,29583174,230153737.1800,-2.035600
2025-03-10,7.7000,7.7500,7.5000,7.6000,21001381,159228411.1000,-1.298700
2025-03-11,7.5000,7.7500,7.4400,7.6700,18922520,143954300.6000,0.921100
2025-03-12,7.7200,7.8300,7.6700,7.7400,23955020,185966446.0000,0.912600
2025-03-13,7.7000,7.7400,7.3900,7.5100,23775400,178469000.0000,-2.971600
2025-03-14,7.4800,7.5900,7.4100,7.5700,16736860,125957689.6000,0.798900
2025-03-17,7.5700,7.6300,7.5100,7.5400,16010520,121064700.4000,-0.396300
2025-03-18,7.5600,7.8800,7.5600,7.6700,26484200,203934100.0000,1.724100
2025-03-19,7.6300,7.6400,7.4900,7.5400,19087140,143869933.6000,-1.694900
2025-03-20,7.5100,7.6200,7.4400,7.4800,15231300,114728089.0000,-0.795800
2025-03-21,7.4800,7.6500,7.3800,7.3800,22563780,169140501.4000,-1.336900
2025-03-24,7.3800,7.3900,6.9000,7.1500,24828740,176730681.9200,-3.116500
