date,open,high,low,close,volume,amount,pctChg
2025-01-02,17.4800,17.9000,16.7200,16.8700,10971002,189290823.7200,-4.689300
2025-01-03,16.9200,17.0400,15.6000,15.7700,10713490,173707658.7700,-6.520500
2025-01-06,15.6200,16.0700,15.3000,16.0200,9564100,151117855.2000,1.585300
2025-01-07,15.9900,16.7600,15.8800,16.7400,7398000,121180094.8800,4.494400
2025-01-08,16.5800,16.6500,15.9400,16.2600,6479970,104702855.9000,-2.867400
2025-01-09,16.1000,17.1900,16.0500,17.1500,9993370,168359571.3000,5.473600
2025-01-10,17.3800,18.8700,17.2000,18.4700,34556280,640364321.4200,7.696800
2025-01-13,17.6200,18.6400,17.6200,17.8800,21837572,394796320.6400,-3.194400
2025-01-14,17.9000,18.8000,17.5800,18.6700,17767438,324942772.3600,4.418300
2025-01-15,18.6800,19.3800,18.1300,18.2800,15661600,292215947.0000,-2.088900
2025-01-16,18.2600,18.4500,17.6200,18.0900,13750832,247720153.3000,-1.039400
2025-01-17,18.1100,18.6500,17.6100,18.3700,16876100,307646603.0000,1.547800
2025-01-20,18.4200,18.6500,17.9900,18.2900,12712495,232502020.8700,-0.435500
2025-01-21,18.3600,18.4000,17.5000,18.1000,13122400,234555433.0000,-1.038800
2025-01-22,17.9400,18.1100,17.3000,17.3300,11445218,201265393.4800,-4.254100
2025-01-23,17.4900,17.9100,17.4000,17.5300,10936295,192538728.0500,1.154100
2025-01-24,17.5700,17.7300,17.1700,17.6400,9278290,161767213.9000,0.627500
2025-01-27,17.6800,17.7000,17.0000,17.0000,5970500,102969890.0000,-3.628100
2025-02-05,17.0700,17.3400,16.9000,17.2000,9138302,156520390.2200,1.176500
2025-02-06,17.1800,18.1000,16.9600,17.8700,20567902,366381643.0200,3.895300
2025-02-07,17.7400,18.0300,17.3500,17.7500,20849431,369780347.2000,-0.671500
2025-02-10,17.7500,18.5500,17.4500,18.3600,24791802,448702566.7000,3.436600
2025-02-11,18.3600,19.2200,18.1000,18.8900,23666500,444083546.5000,2.886700
2025-02-12,18.8500,18.8500,18.2500,18.4200,17743700,327039714.9400,-2.488100
2025-02-13,18.3300,18.3800,17.8800,18.0500,10616209,191895877.3300,-2.008700
2025-02-14,18.0000,18.1500,17.4600,17.7700,12578806,223022532.2100,-1.551200
2025-02-17,17.6900,17.9300,17.4800,17.6900,11567200,205012412.0000,-0.450200
2025-02-18,17.7900,17.7900,16.7500,17.0000,14653153,252534161.3800,-3.900500
2025-02-19,17.1200,17.5900,17.0600,17.5700,11429875,199104374.7500,3.352900
2025-02-20,17.4700,19.3300,17.4200,19.3300,34997900,656067438.6400,10.017100
2025-02-21,19.8000,19.8000,18.9200,19.1000,25282270,484800447.4800,-1.189900
2025-02-24,19.3600,20.1100,18.9100,19.1000,28405600,552172734.0000,0.000000
2025-02-25,18.9000,19.7100,18.6700,19.1200,20380821,390826425.3500,0.104700
2025-02-26,19.4500,20.1500,19.3300,19.6500,22203472,437590412.7800,2.772000
2025-02-27,19.5000,19.5400,18.5600,18.9800,20022795,378661730.2500,-3.409700
2025-02-28,18.9000,19.1500,18.3600,18.4400,13409172,251437362.0900,-2.845100
2025-03-03,18.4900,19.7800,18.3500,19.1200,23381826,450392794.4400,3.687600
2025-03-04,18.9000,19.9500,18.7000,19.7500,22921491,448258211.2400,3.295000
2025-03-05,19.7000,20.5000,19.3300,20.1500,27132135,542081747.5200,2.025300
2025-03-06,20.1500,20.3400,19.8500,20.1900,22254100,446109040.0000,0.198500
2025-03-07,20.4500,22.2100,20.4500,21.8000,49216526,1069831735.5500,7.974200
2025-03-10,21.8000,22.2100,21.3700,21.4300,33609500,730519288.8200,-1.697200
2025-03-11,21.0100,23.1100,21.0000,22.8700,31358291,697989571.2600,6.719600
2025-03-12,23.0000,23.2300,22.2400,22.2500,26348711,597319365.2400,-2.711000
2025-03-13,22.3000,23.5500,21.8500,23.4400,30884550,697331903.8700,5.348300
2025-03-14,24.3900,25.5000,22.2600,23.6000,42019700,994848048.2400,0.682600
2025-03-17,24.0600,24.3900,23.2000,23.4800,25972149,614992008.8600,-0.508500
2025-03-18,23.2500,23.7900,22.5000,22.5500,25340162,580665754.0400,-3.960800
2025-03-19,22.5000,22.6900,21.8900,22.0000,18609528,413063461.5900,-2.439000
2025-03-20,21.9800,23.2800,21.6100,22.8600,27260884,614197542.6300,3.909100
2025-03-21,22.5000,23.7700,21.9900,22.0900,34020519,780279349.0800,-3.368300
2025-03-24,22.3500,22.6400,21.3200,22.2100,25449762,558865207.3200,0.543200
2025-03-25,21.9400,22.9900,21.7400,22.5100,26168404,590281293.5400,1.350700
2025-03-26,22.2200,23.0800,21.5800,21.6200,20309041,449928893.3600,-3.953800
2025-03-27,21.4000,21.4100,20.2400,20.3400,31552561,650753397.6600,-5.920400
2025-03-28,20.4000,20.6400,19.9800,20.2000,13729007,278788348.4800,-0.688300
2025-03-31,20.0200,20.4000,19.6000,20.0100,12958842,258699708.1700,-0.940600
2025-04-01,20.1000,21.1800,19.9500,20.7300,17705314,365873559.8900,3.598200
2025-04-02,20.5200,20.7000,20.2100,20.3800,8609960,175712592.0000,-1.688400
2025-04-03,20.0600,20.8000,19.9000,20.1700,7954800,161220117.5000,-1.030400
2025-04-07,19.1300,19.7700,18.1500,18.1500,21070750,392276127.5000,-10.014900
2025-04-08,18.1500,19.1700,18.0000,18.8600,19983300,372055511.9900,3.911800
2025-04-09,18.7600,20.6500,18.2300,20.1800,23939152,475104405.5400,6.998900
2025-04-10,20.1800,20.6800,20.0900,20.3800,12143337,248397780.7600,0.991100
2025-04-11,20.3800,21.0500,20.1600,20.6900,11554400,239778996.0000,1.521100
2025-04-14,20.9200,21.0000,20.2400,20.3800,10764100,221303157.0600,-1.498300
2025-04-15,20.3700,20.4100,19.7100,20.0600,7845500,156478487.0000,-1.570200
2025-04-16,20.0800,20.2000,19.2600,19.5300,7083556,139021502.1000,-2.642100
2025-04-17,19.3900,19.6800,19.3000,19.3300,4526605,88038889.4800,-1.024100
2025-04-18,19.2800,19.7100,19.1500,19.6100,4939705,96510548.6000,1.448500
2025-04-21,19.6900,20.0700,19.3800,19.7100,7095000,139905725.2200,0.509900
2025-04-22,19.7100,19.7100,19.0000,19.1400,10223976,196319396.1900,-2.891900
2025-04-23,19.0800,19.3500,18.7000,19.0800,12434166,236616170.8300,-0.313500
2025-04-24,19.0100,19.1500,18.5100,18.6200,12701399,237444118.6800,-2.410900
2025-04-25,18.6200,19.3200,18.4900,19.0900,9742088,184329748.5600,2.524200
2025-04-28,19.2900,19.4300,18.6300,18.7100,6216550,117431881.0000,-1.990600
2025-04-29,18.4900,19.0800,18.1100,18.8600,7254200,135561452.1700,0.801700
2025-04-30,18.7800,19.2300,18.4100,18.4100,11461463,214824756.1000,-2.386000
2025-05-06,18.5500,19.3900,18.5200,19.3000,11046654,211933719.5800,4.834300
2025-05-07,19.6000,19.6500,19.1400,19.5800,12475133,242284837.3500,1.450800
2025-05-08,19.4200,20.0400,19.1800,19.9500,13477469,265447155.0400,1.889700
2025-05-09,19.9900,20.0500,19.4000,19.7800,11220500,221257970.7300,-0.852100
2025-05-12,19.6800,20.8900,19.5300,20.1900,17070423,345973985.1900,2.072800
2025-05-13,20.3000,20.3000,19.5500,19.6500,10391470,205280196.3000,-2.674600
2025-05-14,19.5300,19.7500,19.4500,19.4800,6991600,136825292.0000,-0.865100
2025-05-15,19.4200,19.9800,19.1000,19.5000,9625192,187609520.2400,0.102700
2025-05-16,19.3100,20.0000,19.2600,19.3400,9027767,176851268.3100,-0.820500
2025-05-19,19.3600,19.9500,19.0100,19.6700,10634409,209030385.7300,1.706300
2025-05-20,19.5300,19.8300,19.4300,19.6400,6041398,118428965.7700,-0.152500
2025-05-21,19.5900,19.6900,19.2800,19.4100,6012500,116733091.0000,-1.171100
2025-05-22,19.3000,19.5000,18.9100,18.9300,7495800,143658453.0000,-2.473000
2025-05-23,18.8000,19.4300,18.8000,18.9400,8492435,162422059.0400,0.052800
2025-05-26,19.2700,19.5000,18.7300,19.1500,9375178,179194376.4800,1.108800
2025-05-27,18.9800,19.1000,18.2100,18.2500,16316418,300346991.6400,-4.699700
2025-05-28,18.2400,18.4100,17.9300,18.0200,13035850,236289842.5800,-1.260300
2025-05-29,18.0000,19.3600,17.9000,18.8300,18214213,340462520.8800,4.495000
2025-05-30,18.8500,18.8500,18.1000,18.3300,13975934,257291660.8900,-2.655300
2025-06-03,18.5700,18.9300,18.4700,18.6800,10265030,191890554.7200,1.909400
2025-06-04,18.9000,19.0000,18.4400,18.5400,11674732,217744496.6600,-0.749500
2025-06-05,18.5000,18.5900,18.2200,18.3500,12888346,236427796.8400,-1.024800
2025-06-06,18.4000,18.7100,18.1600,18.2700,12722564,233128086.4400,-0.436000
2025-06-09,18.3800,18.8600,18.2700,18.6300,16462893,306708412.5700,1.970400
2025-06-10,18.6600,18.7200,18.0100,18.1800,13912083,253894851.1600,-2.415500
2025-06-11,18.1800,18.5300,18.0300,18.4200,12296983,225773598.0000,1.320100
2025-06-12,18.3000,18.7500,18.0100,18.6000,16595600,304579164.0000,0.977200
2025-06-13,18.5000,18.7500,18.0800,18.3900,26419583,486192499.2600,-1.129000
2025-06-16,18.2600,18.5200,18.0800,18.1100,13523284,246181336.0600,-1.522600
2025-06-17,18.0900,18.3600,17.9500,18.0000,10916959,197205162.6000,-0.607400
2025-06-18,17.9500,17.9600,17.0700,17.3800,21508651,372750514.8000,-3.444400
2025-06-19,17.3700,17.3700,16.6900,16.8000,16441959,277942211.2600,-3.337200
2025-06-20,16.7000,16.8100,16.4800,16.6900,10429108,173539787.3400,-0.654800
2025-06-23,16.5300,17.1600,16.3800,17.0700,18289422,306168073.0200,2.276800
2025-06-24,16.9800,18.3700,16.8600,17.9400,25941231,459471760.9900,5.096700
2025-06-25,17.9400,18.7200,17.8400,18.6800,26409211,487951264.7200,4.124900
2025-06-26,18.8900,19.3500,18.6400,18.7500,26122902,496920969.1600,0.374700
2025-06-27,18.6600,19.4200,18.6600,19.2600,17870200,341968980.0000,2.720000
2025-06-30,19.3000,20.1200,19.0000,19.8500,23854804,472869510.2500,3.063300
2025-07-01,19.8600,19.9600,19.1900,19.6600,14003902,274038790.4400,-0.957200
2025-07-02,20.2500,20.2600,17.8900,19.2900,29581600,577002067.3600,-1.882000
2025-07-03,19.2100,19.4500,18.9100,19.1800,15304489,293852001.1100,-0.570200
2025-07-04,19.0300,19.1800,18.6800,18.8500,9979200,188351436.0000,-1.720500
2025-07-07,18.7100,19.1800,18.6100,18.8600,10505400,198788275.0000,0.053100
2025-07-08,18.9000,19.0000,18.7100,18.7300,8488000,159695977.0000,-0.689300
2025-07-09,18.6500,18.6600,18.2600,18.3500,8768600,161766160.0000,-0.971400
2025-07-10,18.3700,18.4300,17.9800,18.1600,10651515,193335947.7000,-1.035400
2025-07-11,18.1600,18.5400,18.0900,18.3200,11127864,203832155.1800,0.881100
2025-07-14,18.4500,18.4600,18.2000,18.3100,8201500,150302319.0000,-0.054600
2025-07-15,18.2600,19.8300,18.2400,19.6700,33956804,651600945.1300,7.427600
2025-07-16,19.4300,19.8400,19.3100,19.6700,14061998,276308007.6200,0.000000
2025-07-17,19.7900,19.8000,19.4000,19.6900,12457100,244375916.0000,0.101700
2025-07-18,19.7500,20.4300,19.6600,20.0800,16139700,324922086.0000,1.980700
2025-07-21,20.1700,20.6600,19.9300,20.1200,16612659,336755152.2700,0.199200
2025-07-22,20.0000,21.3000,19.9600,20.3600,20383859,419975441.5700,1.192800
2025-07-23,20.4000,21.2000,20.0600,20.9500,22868307,473122808.0300,2.897800
2025-07-24,20.8000,20.9300,20.5700,20.7900,19480757,404414327.2700,-0.763700
2025-07-25,20.8000,20.9400,20.5200,20.7600,12100500,250636415.0000,-0.144300
