date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.1500,7.2000,6.7000,6.7800,20062221,138723476.2600,-5.042000
2025-01-03,6.7900,6.8800,6.4700,6.5000,15975123,106019816.6300,-4.129800
2025-01-06,6.4900,6.5800,6.3800,6.5000,13175978,85439118.0300,0.000000
2025-01-07,6.5000,6.5700,6.4100,6.5500,10602992,68809170.6600,0.769200
2025-01-08,6.5300,6.5800,6.3000,6.5100,13841381,89225483.9000,-0.610700
2025-01-09,6.5200,6.6400,6.4500,6.5300,11232344,73717313.1400,0.307200
2025-01-10,6.5500,6.6600,6.3600,6.3600,9084104,58981832.5400,-2.603400
2025-01-13,6.3000,6.5200,6.1900,6.4700,9574486,61122555.7000,1.729600
2025-01-14,6.5200,6.7700,6.4900,6.7700,11985786,79978189.4000,4.636800
2025-01-15,6.7700,6.7900,6.6100,6.6500,9965480,66409251.9000,-1.772500
2025-01-16,6.6800,6.8400,6.6300,6.6600,9448098,63476484.1500,0.150400
2025-01-17,6.6200,6.7600,6.6000,6.7000,7870363,52592584.6900,0.600600
2025-01-20,6.7500,6.7900,6.6100,6.6400,13068500,87189151.1400,-0.895500
2025-01-21,6.6400,6.7100,6.6000,6.6800,8263330,54918818.4000,0.602400
2025-01-22,6.6400,6.6800,6.5500,6.6300,8379200,55489713.0000,-0.748500
2025-01-23,6.7300,6.8700,6.6400,6.6400,15546231,105121862.9100,0.150800
2025-01-24,6.4000,6.7600,6.3800,6.7500,19038833,126232231.6300,1.656600
2025-01-27,6.7500,6.8600,6.5600,6.5600,13923245,92613369.5500,-2.814800
2025-02-05,6.7400,7.2200,6.6600,7.0700,49458313,349283934.9700,7.774400
2025-02-06,7.1500,7.2800,6.8700,7.2100,43667665,311891410.3100,1.980200
2025-02-07,7.2000,7.5800,7.1600,7.4500,35945974,265799452.6000,3.328700
2025-02-10,7.6000,8.0000,7.5100,7.9600,57927688,450346362.6500,6.845600
2025-02-11,7.9000,7.9000,7.6100,7.6800,36805583,283449326.4200,-3.517600
2025-02-12,8.1600,8.4500,8.1600,8.4500,24398135,205810844.5700,10.026000
2025-02-13,8.7600,9.3000,8.2800,8.9500,161750248,1434380769.0700,5.917200
2025-02-14,8.5800,9.2200,8.2900,9.0400,122028788,1065048185.9600,1.005600
2025-02-17,9.2100,9.9000,8.7500,8.9000,122150518,1121614610.7500,-1.548700
2025-02-18,8.7200,8.8700,8.2700,8.3100,88578647,752763462.7800,-6.629200
2025-02-19,8.3800,8.4700,8.2800,8.4300,48812217,409834466.2400,1.444000
2025-02-20,8.4400,8.4800,8.2000,8.3600,44328815,369471670.6300,-0.830400
2025-02-21,8.6900,8.8000,8.3400,8.7300,81278236,699782332.9800,4.425800
2025-02-24,8.7600,8.7700,8.4000,8.5100,52572620,449089621.9700,-2.520000
2025-02-25,8.2900,8.4500,8.2100,8.2800,38569222,321151748.5800,-2.702700
2025-02-26,8.3400,8.3800,8.1600,8.3000,31285034,258733093.3100,0.241500
2025-02-27,8.3400,8.3700,7.9700,8.1100,34561333,280874613.5700,-2.289200
2025-02-28,8.0400,8.0800,7.6000,7.6200,34368158,268331302.5000,-6.041900
2025-03-03,7.6500,7.9200,7.5300,7.8200,30541807,238066069.5500,2.624700
2025-03-04,7.7000,8.0200,7.6600,7.9300,28149547,222509467.9700,1.406600
2025-03-05,7.9500,8.0200,7.7900,7.9300,22705950,179231324.0000,0.000000
2025-03-06,8.0200,8.7200,8.0100,8.7200,86974313,738793579.3100,9.962200
2025-03-07,8.6300,8.9800,8.5000,8.5800,97145249,849378810.3300,-1.605500
2025-03-10,8.5300,8.6100,8.2200,8.3200,50323355,419683298.9600,-3.030300
2025-03-11,8.2000,8.3600,8.1400,8.2600,29300800,241694900.6500,-0.721200
2025-03-12,8.3900,8.4500,8.2400,8.2500,37080848,309399775.3200,-0.121100
2025-03-13,8.2200,8.2500,7.9700,8.0600,29999922,242408961.3800,-2.303000
2025-03-14,8.0100,8.2000,7.9400,8.1700,23032901,186799635.6800,1.364800
2025-03-17,8.1700,8.2200,8.0700,8.1300,19448076,158496257.4600,-0.489600
2025-03-18,8.1800,8.3100,8.0800,8.1200,20973491,171711588.4100,-0.123000
2025-03-19,8.0900,8.1100,7.9200,7.9800,18753500,150006555.6000,-1.724100
2025-03-20,7.9600,8.0300,7.8600,7.8700,19212429,152257382.6400,-1.378400
2025-03-21,7.8200,7.8400,7.6400,7.6900,23620541,182400002.6600,-2.287200
2025-03-24,7.6700,7.7000,7.3700,7.5400,24460289,183937105.5700,-1.950600
2025-03-25,7.5100,7.8000,7.3600,7.7400,41531688,315358106.3100,2.652500
2025-03-26,7.6800,8.2400,7.6300,8.1700,70706028,571031108.6200,5.555600
2025-03-27,8.1000,8.3000,8.0100,8.0800,28821440,234565800.8000,-1.101600
