date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.6100,12.1000,11.5700,11.7300,12778813,152090407.3900,1.120700
2025-01-03,11.7700,11.8600,10.7600,10.7700,15397430,170596910.1800,-8.184100
2025-01-06,10.6000,10.7000,10.2600,10.4000,7811159,81627470.6700,-3.435500
2025-01-07,10.5000,10.6500,10.3600,10.6400,5668498,59618210.9500,2.307700
2025-01-08,10.6500,10.9100,10.5100,10.8400,8110898,87057222.7700,1.879700
2025-01-09,10.7500,10.9800,10.7000,10.8100,5631700,60948092.8700,-0.276800
2025-01-10,10.7600,10.8100,10.3000,10.3000,6257828,65819784.7000,-4.717900
2025-01-13,10.2500,10.4400,9.9200,10.3800,5253730,53861825.2000,0.776700
2025-01-14,10.5100,11.0800,10.5100,11.0200,10079438,109319981.8700,6.165700
2025-01-15,11.0400,11.4100,11.0400,11.1100,9998639,112094651.2000,0.816700
2025-01-16,11.1700,11.4700,11.1000,11.1700,9099699,102485701.1800,0.540100
2025-01-17,11.1700,11.5200,11.0000,11.2100,10231683,115689665.9400,0.358100
2025-01-20,11.3900,11.4800,11.2000,11.3100,7906777,89724473.0600,0.892100
2025-01-21,11.3800,11.3900,11.1300,11.2300,7352199,82576357.5300,-0.707300
2025-01-22,11.1900,11.1900,10.9000,10.9200,5740000,63203156.0000,-2.760500
2025-01-23,11.1000,11.2300,10.9000,10.9000,6133900,67887841.0200,-0.183200
2025-01-24,10.8500,10.9600,10.8200,10.8700,5137099,55835441.1600,-0.275200
2025-01-27,10.9600,11.0300,10.7300,10.7300,5471298,59556558.1300,-1.287900
2025-02-05,10.8400,10.8600,10.5100,10.5500,6299418,66839851.8700,-1.677500
2025-02-06,10.5400,10.5800,10.3900,10.5700,6495297,68239272.3600,0.189600
2025-02-07,10.5500,10.9100,10.5400,10.7400,8119934,87100373.1900,1.608300
2025-02-10,10.7500,11.0200,10.7000,11.0200,6627401,71997198.9500,2.607100
2025-02-11,11.0400,11.0800,10.7500,10.8300,5748301,62357608.8700,-1.724100
2025-02-12,10.8400,10.9400,10.7200,10.8200,4898897,52990926.6600,-0.092300
2025-02-13,10.8100,10.9500,10.7200,10.8500,6235299,67644048.1200,0.277300
2025-02-14,10.8100,10.9400,10.7200,10.7600,5451249,58773499.1600,-0.829500
2025-02-17,10.7500,10.9000,10.7100,10.8400,5557500,60086332.1600,0.743500
2025-02-18,10.8100,10.8600,10.3900,10.4500,7836400,83208708.0000,-3.597800
2025-02-19,10.4500,10.5000,10.3700,10.4500,4175599,43579565.5700,0.000000
2025-02-20,10.4300,10.6500,10.4200,10.5800,4887202,51669975.2000,1.244000
2025-02-21,10.5600,10.5900,10.3500,10.4000,5248020,54607020.6000,-1.701300
2025-02-24,10.3900,10.6300,10.3800,10.5000,4939096,51921805.2800,0.961500
2025-02-25,10.4700,10.5400,10.3600,10.3600,4995400,52202773.8100,-1.333300
2025-02-26,10.4100,10.5100,10.4000,10.5100,4444453,46472325.6500,1.447900
2025-02-27,10.4800,10.8400,10.4800,10.8100,11645848,124807118.1200,2.854400
2025-02-28,10.7600,10.9500,10.6000,10.6300,10946583,117864058.4500,-1.665100
2025-03-03,10.6900,11.2000,10.6500,10.9300,15598747,170664580.5800,2.822200
2025-03-04,10.8900,10.9600,10.7600,10.9300,9153354,99410213.1200,0.000000
2025-03-05,10.9200,10.9200,10.6000,10.7300,6725773,71930483.6900,-1.829800
2025-03-06,10.6900,10.7600,10.6200,10.7300,7137931,76367831.6400,0.000000
2025-03-07,10.7000,10.7800,10.6000,10.6500,5386268,57566072.0300,-0.745600
2025-03-10,10.6500,10.9000,10.6000,10.6800,5892498,63201145.7100,0.281700
2025-03-11,10.6100,10.7800,10.5600,10.7800,5152602,55010781.4800,0.936300
2025-03-12,10.7500,10.9000,10.7100,10.7500,5758108,62164369.9100,-0.278300
