date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.1200,11.3600,10.8000,10.9600,20519990,227760649.5900,-2.317300
2025-01-03,11.0000,11.0800,10.3300,10.3600,23912894,253881842.3700,-5.474500
2025-01-06,10.3600,10.5300,10.0700,10.2800,16913645,174901606.7600,-0.772200
2025-01-07,10.3100,10.7100,10.3100,10.7100,18670898,196642766.8700,4.182900
2025-01-08,10.6600,10.7600,10.2800,10.6500,19767822,208535524.5900,-0.560200
2025-01-09,10.5600,10.8600,10.5300,10.7600,14610800,157355864.2000,1.032900
2025-01-10,10.7300,10.8500,10.3900,10.3900,13551735,144001815.4500,-3.438700
2025-01-13,10.2100,10.4800,9.9900,10.3600,13601694,139546326.3900,-0.288700
2025-01-14,10.5000,10.9700,10.3300,10.9700,21510300,230745387.0000,5.888000
2025-01-15,10.9600,11.0400,10.8100,10.8400,14783645,161267811.9000,-1.185100
2025-01-16,10.9400,11.1400,10.7900,10.9800,15925200,174625286.2000,1.291500
2025-01-17,10.9400,11.1900,10.8700,11.0700,15992665,176660951.8500,0.819700
2025-01-20,11.1800,11.3200,11.0400,11.2100,15563687,174190808.4700,1.264700
2025-01-21,11.2700,11.3500,11.0700,11.2400,13539200,151623815.6000,0.267600
2025-01-22,11.2000,11.3000,11.0500,11.1100,11549780,129118521.6000,-1.156600
2025-01-23,11.2700,11.4700,11.0100,11.0100,18645920,209883689.4000,-0.900100
2025-01-24,11.0000,11.2000,10.9600,11.1600,12451200,138524265.6000,1.362400
2025-01-27,11.1700,11.2700,10.8300,10.8300,14963755,164697396.0500,-2.957000
2025-02-05,11.0000,11.1800,10.9200,11.0500,12240884,135257590.4400,2.031400
2025-02-06,11.0000,11.4700,10.9400,11.4700,21038941,237903529.0000,3.800900
2025-02-07,11.4600,11.7200,11.4000,11.5900,26897182,311200457.7000,1.046200
2025-02-10,11.6800,11.9000,11.5800,11.8800,26873664,316997827.4000,2.502200
2025-02-11,11.8500,12.4400,11.6700,12.2100,49036335,594050717.9400,2.777800
2025-02-12,12.0300,12.5000,12.0100,12.3800,45072249,553914408.5100,1.392300
2025-02-13,12.3200,12.3900,12.1000,12.1600,27274793,332573933.3200,-1.777100
2025-02-14,12.1000,12.2000,11.9500,12.0900,23894608,288289274.0900,-0.575700
2025-02-17,12.0500,12.2800,11.9800,12.1000,21654296,262711244.3200,0.082700
2025-02-18,12.0100,12.1700,11.6900,11.7600,21048055,251288197.4900,-2.809900
2025-02-19,11.7400,11.9700,11.7100,11.9600,18009203,214269051.8900,1.700700
2025-02-20,11.9500,12.1900,11.8500,12.1400,19668681,237190312.4700,1.505000
2025-02-21,12.1300,12.5200,12.0500,12.4700,41094105,508616850.9200,2.718300
2025-02-24,12.5000,12.5300,12.2300,12.3900,30416675,376782260.5200,-0.641500
2025-02-25,12.1400,12.9700,12.1000,12.8700,58501020,745836047.8600,3.874100
2025-02-26,12.7000,13.3500,12.6500,13.2600,68698871,896517049.0900,3.030300
2025-02-27,13.1600,13.1600,12.5500,12.8100,43917326,564635016.7500,-3.393700
2025-02-28,12.7000,12.9100,12.2400,12.3900,30740535,384761640.6700,-3.278700
2025-03-03,12.3000,12.5300,12.0300,12.1500,24194649,295892018.9400,-1.937000
2025-03-04,11.9000,12.2300,11.8800,12.1500,20413230,246289431.6000,0.000000
2025-03-05,12.6600,13.3700,12.6000,13.3700,44278019,586275451.2300,10.041200
2025-03-06,13.3700,14.0600,13.3700,13.4500,134607507,1836698773.7900,0.598400
2025-03-07,13.5200,14.6600,13.5000,13.5100,107412104,1486109991.8700,0.446100
2025-03-10,13.5000,14.3900,13.1600,14.1000,97463095,1346133230.4600,4.367100
2025-03-11,13.7100,13.9600,13.5100,13.8000,55460995,760570626.9500,-2.127700
2025-03-12,13.8100,14.3700,13.5400,13.8600,65281104,902172007.7400,0.434800
