date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.4000,5.5500,5.2900,5.3300,24048880,130371124.8000,-1.660500
2025-01-03,5.3300,5.6600,5.3200,5.3600,39167340,214013807.8000,0.562900
2025-01-06,5.3300,5.4900,5.2800,5.4100,23543860,127165305.2000,0.932800
2025-01-07,5.4100,5.4300,5.3200,5.4200,17299960,93007265.0000,0.184800
2025-01-08,5.3900,5.3900,5.1400,5.2800,28185421,147711783.1700,-2.583000
2025-01-09,5.2400,5.3600,5.1900,5.2700,16534160,87396761.2000,-0.189400
2025-01-10,5.2500,5.3400,5.1800,5.1800,12727680,66743514.8000,-1.707800
2025-01-13,5.1500,5.2100,5.1200,5.1800,12012960,62134140.0000,0.000000
2025-01-14,5.2000,5.3200,5.1600,5.3000,17949520,94279595.2000,2.316600
2025-01-15,5.3000,5.3000,5.2100,5.2500,14625803,76817083.2400,-0.943400
2025-01-16,5.2500,5.3700,5.2000,5.2500,17252651,91265374.5400,0.000000
2025-01-17,5.2300,5.4200,5.2100,5.3700,22161524,118111981.6700,2.285700
2025-01-20,5.3800,5.6900,5.3300,5.5800,36895410,204665614.4500,3.910600
2025-01-21,5.5800,5.7200,5.5400,5.6700,24311420,137168547.6000,1.612900
2025-01-22,5.6300,5.7500,5.5500,5.7000,21214865,119956583.1500,0.529100
2025-01-23,5.7100,5.8600,5.6500,5.6600,26479819,152271571.0600,-0.701800
2025-01-24,5.7100,5.7200,5.6400,5.6700,19673600,111533596.6000,0.176700
2025-01-27,5.6900,5.8500,5.6800,5.7900,28558826,165521859.3900,2.116400
2025-02-05,5.9000,5.9000,5.4500,5.5600,50305139,284899765.8400,-3.972400
2025-02-06,5.5500,5.6400,5.5100,5.6100,24227040,135222451.8000,0.899300
2025-02-07,5.6000,5.6400,5.5400,5.5800,22668460,126717966.8000,-0.534800
2025-02-10,5.5800,5.6700,5.5600,5.5700,23092280,129317684.8000,-0.179200
2025-02-11,5.5600,5.5900,5.4400,5.5200,19837360,109205003.4000,-0.897700
2025-02-12,5.5400,5.6800,5.5300,5.6400,22151971,124624046.7300,2.173900
2025-02-13,5.6400,5.6800,5.5900,5.6300,19778900,111442238.0000,-0.177300
2025-02-14,5.6000,5.6800,5.5100,5.5500,17746060,98816318.8000,-1.421000
2025-02-17,5.5900,5.6200,5.4500,5.5100,19673723,108189636.2700,-0.720700
2025-02-18,5.5000,5.5100,5.4000,5.4400,16314485,89071217.2200,-1.270400
2025-02-19,5.4200,5.4600,5.3900,5.4300,14521640,78762271.8000,-0.183800
2025-02-20,5.4500,5.5500,5.3800,5.5000,18955160,103643621.6000,1.289100
2025-02-21,5.5300,5.7500,5.5100,5.6600,36271885,204903796.0500,2.909100
2025-02-24,5.6500,5.8600,5.6300,5.7700,41080483,235290834.3600,1.943500
2025-02-25,5.7200,5.7900,5.5800,5.6200,21766948,123584026.3200,-2.599700
2025-02-26,5.6300,5.6900,5.5500,5.6600,18750620,105592131.8000,0.711700
2025-02-27,5.6900,5.7300,5.4700,5.5200,25861192,143340474.6500,-2.473500
2025-02-28,5.5000,5.5500,5.4200,5.4600,18094480,99063789.2000,-1.087000
2025-03-03,5.6300,6.0100,5.5700,5.7700,110734450,647125563.7300,5.677700
2025-03-04,5.6500,5.9000,5.6000,5.7900,66878537,387215420.0600,0.346600
2025-03-05,5.7700,5.8300,5.6700,5.8200,38069720,218813068.6000,0.518100
2025-03-06,5.8200,6.1500,5.7800,6.0400,69765979,418564885.5400,3.780100
2025-03-07,6.0500,6.2500,5.9900,6.0100,70057972,427633597.3900,-0.496700
2025-03-10,6.0100,6.0500,5.9200,6.0200,34590402,207017471.3600,0.166400
2025-03-11,5.9700,6.1000,5.9000,6.1000,33498947,202350988.5600,1.328900
2025-03-12,6.1500,6.1500,5.9300,5.9300,37389120,223694829.2000,-2.786900
2025-03-13,5.9300,5.9600,5.8300,5.8800,27458780,161471053.6000,-0.843200
2025-03-14,5.8600,5.9000,5.8000,5.9000,30138980,176883291.8000,0.340100
2025-03-17,5.9100,5.9300,5.8300,5.8600,19209200,112712153.6000,-0.678000
2025-03-18,5.8800,6.0500,5.8200,5.9700,32259955,190511678.7500,1.877100
2025-03-19,5.8900,5.9000,5.7600,5.8000,29241060,169946601.2000,-2.847600
2025-03-20,5.8100,5.8600,5.7000,5.7200,32092650,185148764.8000,-1.379300
2025-03-21,5.7200,5.8400,5.6700,5.6800,27889120,160195574.6000,-0.699300
2025-03-24,5.6900,5.7500,5.6200,5.7200,22601860,128199101.4000,0.704200
2025-03-25,5.7100,5.7900,5.6800,5.7800,22361320,128441202.0000,1.049000
2025-03-26,5.7600,5.8300,5.7500,5.7700,19369620,111944546.6000,-0.173000
2025-03-27,5.7800,6.0400,5.7600,5.9100,55788960,330539220.2000,2.426300
2025-03-28,5.8600,5.8700,5.6500,5.6700,38021560,217181788.0400,-4.060900
2025-03-31,5.6300,5.7100,5.6000,5.6300,22458411,126862690.5700,-0.705500
2025-04-01,5.6300,5.6700,5.6100,5.6500,14928160,84212360.0000,0.355200
2025-04-02,5.6600,5.7600,5.6300,5.7300,19735183,112276137.2700,1.415900
2025-04-03,5.6800,5.7400,5.6000,5.6700,23523559,133114269.9300,-1.047100
2025-04-07,5.4200,5.4300,5.1000,5.1000,34741109,180483646.9000,-10.052900
2025-04-08,5.0200,5.2000,4.9900,5.1500,46099340,235964540.1800,0.980400
2025-04-09,5.1000,5.4200,5.0000,5.3700,41205180,215843500.6000,4.271800
2025-04-10,5.3700,5.5900,5.3700,5.4800,27092740,148804019.8000,2.048400
2025-04-11,5.4400,5.6400,5.4100,5.5600,21275248,118318706.1200,1.459900
2025-04-14,5.5900,5.6500,5.5600,5.5800,15620160,87382029.6000,0.359700
2025-04-15,5.5800,5.5900,5.5100,5.5700,10686920,59358053.8000,-0.179200
2025-04-16,5.5500,5.7200,5.5400,5.7000,21439603,120997066.4400,2.333900
2025-04-17,5.6300,5.6800,5.4800,5.5300,37550800,208892802.2000,-2.982500
2025-04-18,5.5200,5.6500,5.4700,5.5900,19778983,110093001.0000,1.085000
2025-04-21,5.6500,5.8700,5.5700,5.8500,37737360,217549438.4000,4.651200
2025-04-22,5.8200,5.8900,5.8000,5.8400,20795262,121444487.2800,-0.170900
2025-04-23,5.8500,5.8800,5.7400,5.7900,16299120,94406524.8000,-0.856200
2025-04-24,5.7800,5.8200,5.6400,5.7400,16661080,95650266.0000,-0.863600
2025-04-25,5.7400,5.7500,5.6800,5.7200,11272267,64440434.0000,-0.348400
2025-04-28,5.6000,5.6100,5.4700,5.4900,24330724,134475487.1600,-4.021000
2025-04-29,5.5700,5.5800,5.3500,5.4800,23157020,125854619.6000,-0.182100
2025-04-30,5.4700,5.4900,5.3500,5.3500,18446604,99587222.6400,-2.372300
2025-05-06,5.3700,5.5000,5.3700,5.4100,21690020,117560842.6000,1.121500
2025-05-07,5.4700,5.6500,5.4200,5.6000,34337580,190288258.0000,3.512000
2025-05-08,5.5500,5.5500,5.4700,5.4900,25447580,139950014.0000,-1.964300
2025-05-09,5.5000,5.5000,5.3700,5.4300,19403648,105209079.5600,-1.092900
2025-05-12,5.4700,5.6800,5.4400,5.5800,36636386,204904415.9100,2.762400
2025-05-13,5.6300,5.6400,5.5000,5.5200,18706516,103570897.1600,-1.075300
2025-05-14,5.5100,5.5500,5.4400,5.4900,14291008,78422682.8000,-0.543500
2025-05-15,5.5000,5.5100,5.3200,5.3300,23201025,125018430.8500,-2.914400
2025-05-16,5.3300,5.3600,5.2800,5.3600,15970093,84996690.6500,0.562900
2025-05-19,5.3900,5.4000,5.2100,5.3000,25633354,135370866.1900,-1.119400
2025-05-20,5.2900,5.3200,5.2600,5.2900,14865592,78557288.0000,-0.188700
2025-05-21,5.2900,5.3500,5.2600,5.3100,13523388,71677521.0000,0.378100
2025-05-22,5.3000,5.3200,5.2000,5.2100,15179580,79595696.8000,-1.883200
2025-05-23,5.2000,5.3300,5.1800,5.2100,14943475,78424373.0000,0.000000
2025-05-26,5.2500,5.2900,5.2000,5.2800,15169960,79567334.4100,1.343600
2025-05-27,5.2700,5.2700,5.1600,5.2000,15507720,80529017.4000,-1.515200
2025-05-28,5.2100,5.2400,5.1600,5.1800,9127011,47391604.3800,-0.384600
2025-05-29,5.1800,5.2200,5.1600,5.2100,11030786,57390233.6600,0.579200
2025-05-30,5.1800,5.2300,5.1700,5.2200,10768160,56009384.0000,0.191900
2025-06-03,5.1800,5.1900,5.0500,5.1400,19404462,99587475.8800,-1.532600
2025-06-04,5.1200,5.4800,5.1200,5.2800,33292576,176506295.7000,2.723700
2025-06-05,5.2300,5.2900,5.2300,5.2400,17089900,89672847.0000,-0.757600
2025-06-06,5.2900,5.4500,5.2600,5.3600,28803140,154559843.4000,2.290100
2025-06-09,5.4100,5.4200,5.3100,5.3200,20953221,111775009.9200,-0.746300
2025-06-10,5.3400,5.3500,5.2300,5.2600,16050200,84701930.6000,-1.127800
2025-06-11,5.3000,5.3600,5.2800,5.3000,15647740,83244993.0000,0.760500
2025-06-12,5.2800,5.3200,5.2400,5.3000,15763172,83072271.3500,0.000000
2025-06-13,5.2900,5.3100,5.2600,5.2900,13052177,68982174.3600,-0.188700
2025-06-16,5.3000,5.3800,5.2900,5.3800,20587208,109863959.9200,1.701300
2025-06-17,5.3500,5.3700,5.2800,5.3200,16898377,89827159.0700,-1.115200
2025-06-18,5.3000,5.3000,5.2000,5.2600,14637200,76786015.0000,-1.127800
2025-06-19,5.2500,5.2800,5.1800,5.2000,13635880,71128710.8000,-1.140700
2025-06-20,5.2200,5.2400,5.1800,5.1900,7651695,39837298.0000,-0.192300
2025-06-23,5.3000,5.3800,5.2600,5.3100,32391975,172789957.2500,2.312100
2025-06-24,5.3800,5.4300,5.3300,5.4000,35293340,189836409.6000,1.694900
2025-06-25,5.4500,5.6500,5.4100,5.6100,57248400,316459095.0000,3.888900
2025-06-26,5.6800,5.7100,5.5600,5.5800,53447060,299923627.6000,0.540500
2025-06-27,5.6100,5.7800,5.6100,5.7100,52442400,299777555.6000,2.329700
2025-06-30,6.0100,6.0100,5.7400,5.8000,88880361,519584649.5600,1.576200
2025-07-01,5.8500,6.0800,5.6900,5.9700,100050940,587890611.6900,2.931000
2025-07-02,6.0100,6.0100,5.7100,5.7300,60426480,349830958.2000,-4.020100
2025-07-03,5.7400,5.7700,5.6400,5.7000,35458125,202060836.7000,-0.523600
2025-07-04,5.7500,5.7500,5.6500,5.6800,26938647,153237924.8600,-0.350900
2025-07-07,5.7000,5.7300,5.6600,5.6800,23721820,135039102.2000,0.000000
2025-07-08,5.6900,5.6900,5.6200,5.6400,26131240,147562634.0000,-0.704200
2025-07-09,5.6500,5.6800,5.5800,5.6100,26674940,150461753.8000,-0.531900
2025-07-10,5.5900,5.6200,5.5500,5.6200,24000920,134080519.6000,0.178300
2025-07-11,5.6200,5.6400,5.5700,5.6300,18806180,105489720.8000,0.177900
2025-07-14,5.6300,5.6600,5.6000,5.6300,18888543,106439564.5500,0.000000
2025-07-15,5.6500,5.7800,5.6000,5.7200,45476824,258930888.9600,1.598600
2025-07-16,5.7000,5.7200,5.5800,5.6000,31416104,176365954.0700,-2.097900
2025-07-17,5.5900,5.6200,5.5300,5.6000,21952880,122436741.4000,0.000000
2025-07-18,5.6300,5.8000,5.6100,5.7200,43573630,249174444.1600,2.142900
2025-07-21,6.2900,6.2900,6.2000,6.2900,72728323,457387510.9200,9.965000
2025-07-22,6.9200,6.9200,6.6600,6.9200,98658400,680921840.3600,10.015900
2025-07-23,7.5600,7.6100,6.6500,6.8100,407192474,2963271003.6100,-1.589600
2025-07-24,6.4000,6.5300,6.2000,6.4200,247158474,1579405073.6200,-5.726900
2025-07-25,6.5200,6.5300,6.1300,6.1700,152828491,952183546.5400,-3.894100
2025-07-28,6.1500,6.2500,6.1100,6.1800,85246860,527133552.6000,0.162100
2025-07-29,6.1900,6.3500,6.1600,6.3000,111871976,699630009.1600,1.941700
2025-07-30,6.2400,6.3500,6.1400,6.1800,87290020,544473684.4000,-1.904800
2025-07-31,6.2100,6.2500,6.0800,6.0900,58802700,361339769.4000,-1.456300
2025-08-01,6.1100,6.1900,6.0800,6.1400,39529438,242921872.7900,0.821000
2025-08-04,6.1400,6.1700,6.1000,6.1400,38312626,234809844.1200,0.000000
2025-08-05,6.1500,6.2800,6.1200,6.2200,63475440,393684991.2100,1.302900
2025-08-06,6.2500,6.2700,6.1700,6.2100,50807749,315547023.4000,-0.160800
2025-08-07,6.2400,6.3200,6.2100,6.2200,63045449,394199732.8500,0.161000
2025-08-08,6.2200,6.4900,6.1700,6.4700,107690820,682411610.0100,4.019300
2025-08-11,6.5100,6.5100,6.3700,6.4200,71394320,458813366.8800,-0.772800
2025-08-12,6.4500,6.4700,6.3500,6.3700,47688104,304357407.8400,-0.778800
2025-08-13,6.3800,6.5700,6.3600,6.4600,69044310,446857498.6000,1.412900
2025-08-14,6.4900,6.5100,6.2800,6.2900,68954560,439894151.6000,-2.631600
2025-08-15,6.2700,6.3400,6.2500,6.3000,40606660,255912656.0000,0.159000
2025-08-18,6.4400,6.5700,6.4000,6.5300,82839005,539227483.8200,3.650800
2025-08-19,6.6500,6.6500,6.4700,6.4800,53815382,350666735.5600,-0.765700
2025-08-20,6.4700,6.6100,6.4200,6.6100,62788974,410412533.9000,2.006200
2025-08-21,6.6300,6.6400,6.5100,6.5400,45801897,300712937.5200,-1.059000
2025-08-22,6.5300,6.5300,6.4500,6.5300,41290524,268091071.3400,-0.152900
2025-08-25,6.5100,6.5400,6.4300,6.4800,56788124,367965106.7600,-0.765700
2025-08-26,6.4700,6.5400,6.4100,6.4800,40423149,261940583.2900,0.000000
2025-08-27,6.4700,6.4800,6.2500,6.2600,61835024,394959811.6000,-3.395100
2025-08-28,6.2700,6.3300,6.1200,6.3300,47301586,295655636.0600,1.118200
2025-08-29,6.3300,6.4500,6.3200,6.3800,40951524,261271333.5200,0.789900
2025-09-01,6.4100,6.4300,6.2900,6.3200,36678960,232140580.6000,-0.940400
2025-09-02,6.3200,6.3300,6.1500,6.1900,38896480,241278170.8000,-2.057000
2025-09-03,6.2000,6.2200,6.0500,6.0600,27458420,168235849.6000,-2.100200
2025-09-04,6.0700,6.1600,5.9900,6.0800,29251023,177962790.1900,0.330000
2025-09-05,6.1200,6.2000,6.0500,6.1800,26893820,164977336.9200,1.644700
2025-09-08,6.1900,6.1900,6.1000,6.1700,22953780,141095951.2000,-0.161800
2025-09-09,6.1700,6.3000,6.1300,6.2300,46661100,290277541.0800,0.972400
2025-09-10,6.2300,6.2400,6.1100,6.1600,28250700,173811011.8000,-1.123600
2025-09-11,6.1300,6.2000,6.0900,6.1900,26925600,165529156.4000,0.487000
2025-09-12,6.1800,6.2400,6.1400,6.2000,26631392,165000024.5200,0.161600
2025-09-15,6.1900,6.3200,6.1200,6.2300,38117840,237349045.8000,0.483900
2025-09-16,6.2500,6.3100,6.1900,6.2900,29613520,185230036.8000,0.963100
2025-09-17,6.2900,6.4300,6.2400,6.4100,46121870,292907094.3000,1.907800
2025-09-18,6.4200,6.8600,6.3200,6.5800,123849126,821034932.3600,2.652100
2025-09-19,6.6500,6.9400,6.5800,6.8000,108268349,735908974.1300,3.343500
2025-09-22,6.8600,6.8700,6.6800,6.7200,70186620,473196328.7000,-1.176500
2025-09-23,6.6800,6.7100,6.3700,6.4700,70774720,459037036.8000,-3.720200
2025-09-24,6.4700,6.7000,6.3800,6.6000,58948060,385774882.4000,2.009300
2025-09-25,6.6000,6.6600,6.5200,6.5700,40061860,263289319.6000,-0.454500
2025-09-26,6.5400,6.9900,6.5300,6.9200,100531360,688702213.8000,5.327200
2025-09-29,6.9000,6.9000,6.7000,6.7900,52579189,356429659.6000,-1.878600
2025-09-30,6.8000,6.8800,6.7300,6.8800,41200960,280974919.6000,1.325500
2025-10-09,6.9300,6.9300,6.7400,6.8900,52483301,357413344.8200,0.145300
2025-10-10,6.8600,7.2000,6.8100,7.1400,77105701,543853547.8900,3.628400
2025-10-13,6.9500,7.1900,6.9000,7.0100,74885188,524507810.2000,-1.820700
2025-10-14,7.0000,7.1300,6.8100,6.8600,61083608,424856939.7600,-2.139800
2025-10-15,6.8500,6.9300,6.7300,6.8400,40193068,274263024.6000,-0.291500
2025-10-16,6.8200,6.8400,6.6700,6.7100,32347440,217440133.4000,-1.900600
2025-10-17,6.7000,6.7800,6.5500,6.5600,32211700,213304479.4000,-2.235500
2025-10-20,6.6300,6.7200,6.5600,6.6100,26483437,175640933.0800,0.762200
2025-10-21,6.6100,6.6900,6.5700,6.6700,20056503,133511284.6100,0.907700
2025-10-22,6.6500,6.7200,6.6100,6.6400,21173496,140911322.4000,-0.449800
2025-10-23,6.6300,6.6500,6.5000,6.6500,23222921,152522273.1400,0.150600
2025-10-24,6.6600,6.7500,6.5500,6.5800,28598221,189431595.3700,-1.052600
2025-10-27,6.5700,6.5800,6.4800,6.4800,39536081,257386875.6500,-1.519800
2025-10-28,6.5000,6.5100,6.3300,6.3400,38550315,246811507.5000,-2.160500
2025-10-29,6.3300,6.5400,6.3100,6.4900,30261657,194558228.1400,2.365900
2025-10-30,6.4800,6.4900,6.3600,6.4000,25084072,160751956.5600,-1.386700
2025-10-31,6.4000,6.4800,6.3800,6.4100,23551480,151090379.0000,0.156300
2025-11-03,6.4200,6.4200,6.2600,6.3100,38286748,241253228.5500,-1.560100
2025-11-04,6.3000,6.3400,6.1800,6.2300,23763420,148484194.2000,-1.267800
2025-11-05,6.2000,6.3000,6.1700,6.2800,19140240,119670335.4000,0.802600
2025-11-06,6.2700,6.3800,6.2600,6.3600,22438793,142288156.7700,1.273900
2025-11-07,6.3500,6.4400,6.3300,6.4000,24855020,158957437.2000,0.628900
2025-11-10,6.4400,6.5100,6.4300,6.4700,27775540,179620998.2000,1.093800
2025-11-11,6.5100,6.5400,6.4400,6.5000,26970340,175447611.4000,0.463700
2025-11-12,6.4800,6.9300,6.3500,6.7500,89513368,593767298.1600,3.846200
2025-11-13,6.7000,6.7900,6.6400,6.7100,55731240,374088298.6000,-0.592600
2025-11-14,6.6800,6.7100,6.5800,6.5900,28952162,191940912.0600,-1.788400
2025-11-17,6.5500,6.5900,6.4700,6.5400,25678900,167626672.6000,-0.758700
2025-11-18,6.5400,6.5400,6.2800,6.3100,30886400,196572405.2000,-3.516800
2025-11-19,6.3300,6.3900,6.2800,6.3200,16600260,104980792.0000,0.158500
2025-11-20,6.3300,6.4300,6.2900,6.3100,19592820,124507347.2000,-0.158200
2025-11-21,6.2900,6.2900,6.0600,6.0800,31271820,192524764.4200,-3.645000
2025-11-24,6.1200,6.1400,6.0300,6.1000,18007568,109536579.7200,0.328900
2025-11-25,6.1500,6.2400,6.1200,6.1800,15942580,98676419.6000,1.311500
2025-11-26,6.1700,6.2100,6.1400,6.1600,12944460,79949270.4000,-0.323600
2025-11-27,6.1500,6.2100,6.1100,6.1300,11884979,73227908.4400,-0.487000
2025-11-28,6.1200,6.1700,6.1000,6.1700,11800460,72365097.2000,0.652500
2025-12-01,6.1700,6.2500,6.1500,6.2000,17513600,108604202.2000,0.486200
2025-12-02,6.1900,6.2000,6.1400,6.1600,9974618,61446376.6800,-0.645200
2025-12-03,6.1700,6.2400,6.1300,6.2100,15527403,96050944.2000,0.811700
2025-12-04,6.1800,6.2000,6.1200,6.1800,11364980,70050662.8000,-0.483100
2025-12-05,6.1800,6.3500,6.1600,6.3500,28056938,176507878.3200,2.750800
2025-12-08,6.2700,6.2700,6.0100,6.0800,72288954,439296559.3700,-4.252000
2025-12-09,6.0400,6.0500,5.8600,5.8800,47716121,282419756.4600,-3.289500
2025-12-10,5.8700,5.9700,5.8100,5.9500,26695959,158023642.6900,1.190500
2025-12-11,5.9500,6.0000,5.8800,5.9400,19577300,116364928.2000,-0.168100
2025-12-12,5.9200,6.0500,5.9100,6.0100,25505380,153059112.6000,1.178500
2025-12-15,5.9800,6.0500,5.9400,6.0300,19636211,117893819.2800,0.332800
2025-12-16,6.0200,6.0200,5.8500,5.8600,18095440,106912199.0000,-2.819200
2025-12-17,5.8700,5.9200,5.8200,5.8800,13317220,78151473.4000,0.341300
2025-12-18,5.8500,5.8800,5.8100,5.8200,14122639,82508869.1800,-1.020400
2025-12-19,5.8200,5.9200,5.8100,5.9100,14418019,84748750.7300,1.546400
2025-12-22,5.9500,6.0600,5.9400,5.9500,14990060,89821800.6000,0.676800
2025-12-23,5.9300,5.9800,5.8700,5.8900,13830623,81779067.2400,-1.008400
2025-12-24,5.8800,5.9300,5.8500,5.9200,12754379,75163639.3500,0.509300
2025-12-25,5.9000,5.9400,5.8800,5.9200,12942100,76496642.8000,0.000000
2025-12-26,5.9100,5.9400,5.8800,5.9300,17495319,103331718.7000,0.168900
2025-12-29,5.9300,5.9800,5.8800,5.8800,18792420,111348098.8000,-0.843200
2025-12-30,5.8400,5.9200,5.8000,5.8500,18474006,108139368.0000,-0.510200
2025-12-31,5.8500,5.8800,5.7800,5.8100,18444840,107254162.2000,-0.683800
2026-01-05,5.8200,5.9000,5.8200,5.8600,17932230,105036225.9400,0.860600
2026-01-06,5.8700,5.9700,5.8600,5.9600,26091641,154848216.6000,1.706500
2026-01-07,5.9700,5.9800,5.8800,5.8900,21808440,129085902.4000,-1.174500
2026-01-08,5.9000,6.0200,5.8800,5.9700,31676620,189006281.3800,1.358200
2026-01-09,5.9700,6.0300,5.9600,6.0200,26351842,158140728.8400,0.837500
2026-01-12,6.0400,6.0500,5.9700,6.0200,37482839,225000924.8200,0.000000
2026-01-13,6.0200,6.0400,5.9400,5.9500,27689570,165520290.2800,-1.162800
2026-01-14,5.9600,5.9900,5.8600,5.9000,37236950,221330239.9200,-0.840300
2026-01-15,5.9000,5.9700,5.8800,5.9200,20572443,121867860.8200,0.339000
2026-01-16,5.9200,5.9600,5.8700,5.8900,19319745,114047411.2000,-0.506800
2026-01-19,5.8700,6.0100,5.8500,6.0100,36349544,216292905.4300,2.037400
2026-01-20,6.0100,6.0600,5.9400,6.0300,29593540,177547272.0000,0.332800
2026-01-21,6.0200,6.0600,5.9900,6.0300,28504562,171645072.6600,0.000000
2026-01-22,6.0300,6.2300,6.0200,6.1500,49551260,302585471.8000,1.990000
2026-01-23,6.1700,6.2100,6.1200,6.1900,38193058,235159139.1800,0.650400
2026-01-26,6.1700,6.2800,6.1600,6.2000,40869615,253819277.3900,0.161600
2026-01-27,6.2000,6.2500,6.0800,6.1600,31402720,193404636.6000,-0.645200
2026-01-28,6.1600,6.3700,6.1000,6.3400,58563445,368652775.7900,2.922100
2026-01-29,6.3400,6.4200,6.2300,6.2700,40556148,256005903.0800,-1.104100
2026-01-30,6.2000,6.3000,6.0700,6.2000,34929598,215889080.4800,-1.116400
2026-02-02,6.1600,6.1800,5.8800,5.8900,44663660,268731515.3600,-5.000000
2026-02-03,5.9700,5.9900,5.9000,5.9800,22275954,132602099.3200,1.528000
2026-02-04,5.9800,6.1400,5.9600,6.1100,29729634,180834804.6000,2.173900
2026-02-05,6.0800,6.2900,6.0600,6.1500,38431280,237667197.0000,0.654700
2026-02-06,6.0900,6.2500,6.0400,6.1500,31443148,194088369.5000,0.000000
2026-02-09,6.21,6.24,6.12,6.16,23483314,144593766.36,0.1626
