date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.9800,3.0800,2.9600,2.9800,16263863,49213807.0400,-0.666700
2025-01-03,3.0000,3.0000,2.8400,2.8600,20229548,58896175.3200,-4.026800
2025-01-06,2.8700,2.8700,2.7500,2.8400,12576400,35538660.8000,-0.699300
2025-01-07,2.8500,2.8900,2.8200,2.8800,9502499,27095452.5600,1.408500
2025-01-08,2.8700,2.9000,2.7900,2.8800,11865248,33841309.8000,0.000000
2025-01-09,2.8800,2.8900,2.8500,2.8500,8388060,24051588.0000,-1.041700
2025-01-10,2.8500,2.8700,2.8000,2.8000,9772990,27693998.7000,-1.754400
2025-01-13,2.7800,2.8200,2.7300,2.7900,13581662,37695848.7300,-0.357100
2025-01-14,2.8100,2.9000,2.8100,2.9000,11427340,32688464.4000,3.942700
2025-01-15,2.8900,2.9300,2.8700,2.9100,10880760,31616144.6000,0.344800
2025-01-16,2.9200,2.9600,2.8900,2.9200,10070500,29496428.0000,0.343600
2025-01-17,2.9200,3.0100,2.8700,2.9600,13391654,39363450.1400,1.369900
2025-01-20,2.9600,3.0200,2.9100,2.9900,13782188,40978723.7800,1.013500
2025-01-21,3.0000,3.0000,2.9500,2.9700,8300500,24683581.0000,-0.668900
2025-01-22,2.9700,2.9700,2.9200,2.9300,10123600,29767257.0000,-1.346800
2025-01-23,2.9500,3.0000,2.9400,2.9600,11304000,33576780.0000,1.023900
2025-01-24,2.9500,2.9700,2.9200,2.9600,10983120,32346441.3200,0.000000
2025-01-27,2.9600,3.0300,2.9600,2.9800,12289460,36887516.4600,0.675700
2025-02-05,2.9800,3.0300,2.9800,3.0000,12988360,39063431.6000,0.671100
2025-02-06,3.0000,3.0300,2.9700,3.0100,10518500,31546696.2000,0.333300
2025-02-07,3.0100,3.0600,3.0000,3.0500,12971300,39359195.0000,1.328900
2025-02-10,3.0500,3.0800,3.0400,3.0700,9385403,28712644.1800,0.655700
2025-02-11,3.0700,3.0800,3.0400,3.0700,11618840,35569958.4000,0.000000
2025-02-12,3.0600,3.0800,3.0200,3.0400,10603480,32244173.2000,-0.977200
2025-02-13,3.0500,3.0500,3.0100,3.0400,10100080,30625134.2000,0.000000
2025-02-14,3.0500,3.0500,3.0000,3.0200,10552186,31902571.7200,-0.657900
2025-02-17,3.0300,3.0800,3.0100,3.0600,9829700,29956094.0000,1.324500
2025-02-18,3.0600,3.0600,2.9700,2.9900,13490780,40596407.8000,-2.287600
2025-02-19,3.0000,3.0200,2.9700,2.9900,9462200,28382154.0000,0.000000
2025-02-20,2.9900,3.0200,2.9700,3.0000,6410462,19225222.2000,0.334400
2025-02-21,3.0100,3.0100,2.9600,2.9800,10337040,30764235.8000,-0.666700
2025-02-24,2.9800,3.0400,2.9800,3.0200,10696691,32194725.9700,1.342300
2025-02-25,3.0100,3.0300,2.9600,2.9700,8540138,25580578.2400,-1.655600
2025-02-26,2.9900,3.0500,2.9800,3.0200,10045802,30308930.4400,1.683500
2025-02-27,3.0100,3.0500,2.9900,3.0500,9707049,29300030.5900,0.993400
2025-02-28,3.0300,3.0400,2.9900,3.0000,9227400,27781649.0000,-1.639300
2025-03-03,3.0000,3.0500,2.9800,3.0200,13076720,39515755.8000,0.666700
2025-03-04,3.0100,3.0500,3.0000,3.0500,8116900,24602739.0000,0.993400
2025-03-05,3.0600,3.0600,2.9900,3.0100,8289700,24974455.0000,-1.311500
2025-03-06,3.0200,3.0400,3.0000,3.0300,6795000,20524607.0000,0.664500
2025-03-07,3.0300,3.0400,3.0000,3.0200,7167984,21634940.8400,-0.330000
2025-03-10,3.0100,3.0600,3.0100,3.0300,9821493,29830827.9900,0.331100
2025-03-11,3.0300,3.0500,3.0000,3.0500,6335800,19174001.0000,0.660100
2025-03-12,3.0400,3.0600,3.0200,3.0300,8785837,26685826.0100,-0.655700
2025-03-13,3.0400,3.0500,2.9900,3.0400,10637490,32112584.0000,0.330000
2025-03-14,3.0300,3.0900,3.0300,3.0900,16114646,49359083.1400,1.644700
2025-03-17,3.0900,3.1200,3.0800,3.1000,10453496,32386854.7000,0.323600
2025-03-18,3.1000,3.1100,3.0700,3.1100,8508444,26304347.4000,0.322600
2025-03-19,3.1000,3.1100,3.0700,3.0900,7104200,21954719.0000,-0.643100
2025-03-20,3.0900,3.1600,3.0800,3.1400,16667239,52175894.0700,1.618100
2025-03-21,3.1400,3.1700,3.0800,3.1000,11731400,36606849.0000,-1.273900
2025-03-24,3.1200,3.1300,2.9900,3.0400,14040700,42773125.0000,-1.935500
2025-03-25,3.0400,3.0900,3.0200,3.0800,11351508,34728596.4000,1.315800
2025-03-26,3.0800,3.1500,3.0600,3.1400,12976503,40572121.6900,1.948100
2025-03-27,3.1400,3.1700,3.0800,3.1500,12350900,38727041.0000,0.318500
2025-03-28,3.1500,3.1600,3.0900,3.1200,8985580,28023869.2000,-0.952400
2025-03-31,3.1300,3.1300,3.0100,3.0400,13819200,42143128.0000,-2.564100
2025-04-01,3.0500,3.1600,3.0500,3.1400,22593340,70681769.8000,3.289500
2025-04-02,3.1500,3.1900,3.1300,3.1700,15100044,47670081.1600,0.955400
2025-04-03,3.1500,3.1900,3.1100,3.1600,15289972,48294595.6400,-0.315500
2025-04-07,3.0200,3.0400,2.8400,2.8400,24947300,72666065.0000,-10.126600
2025-04-08,2.8400,2.8800,2.7500,2.8100,23484620,65953584.2000,-1.056300
2025-04-09,2.7800,2.8700,2.6700,2.8500,22742087,63068094.0600,1.423500
2025-04-10,2.8600,2.9200,2.8400,2.8700,17100573,49384296.2800,0.701800
2025-04-11,2.8600,2.9100,2.8500,2.8800,11205659,32253449.5100,0.348400
2025-04-14,2.8900,2.9400,2.8900,2.9300,10655039,31166494.2700,1.736100
2025-04-15,2.9400,2.9900,2.9200,2.9900,12336979,36505797.0700,2.047800
2025-04-16,2.9700,3.0200,2.8900,2.9500,11960968,35326643.5600,-1.337800
2025-04-17,2.9300,2.9900,2.9100,2.9700,8083765,24004278.2500,0.678000
2025-04-18,2.9800,2.9900,2.9300,2.9800,8750800,25873671.0000,0.336700
2025-04-21,2.9700,3.0200,2.9600,3.0200,9846900,29515451.8900,1.342300
2025-04-22,3.0300,3.3200,3.0200,3.1600,64254461,206187072.1600,4.635800
2025-04-23,3.1300,3.1700,3.0000,3.1100,48607421,151505221.7000,-1.582300
2025-04-24,3.1200,3.1600,3.0900,3.1400,27177420,85088770.0600,0.964600
2025-04-25,3.1500,3.2800,3.1500,3.1700,22778534,72582319.8000,0.955400
2025-04-28,3.1800,3.2800,3.1400,3.2200,31025334,99898666.4800,1.577300
2025-04-29,3.2000,3.2600,3.1800,3.2400,22619440,73221758.0000,0.621100
2025-04-30,3.2300,3.2700,3.1600,3.1700,21576580,68967861.6000,-2.160500
2025-05-06,3.1800,3.2300,3.1600,3.2000,19666395,62765265.0500,0.946400
2025-05-07,3.2200,3.3100,3.2200,3.2700,27753055,90950102.2800,2.187500
2025-05-08,3.2800,3.3100,3.2600,3.2900,16580367,54503505.7600,0.611600
2025-05-09,3.2900,3.3900,3.2800,3.3100,16046760,53289242.0000,0.607900
