date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.7000,7.8600,7.5100,7.5600,13820272,107021612.2100,-1.434200
2025-01-03,7.5900,7.6700,7.4100,7.4500,10209314,76879869.3000,-1.455000
2025-01-06,7.4300,7.6700,7.4200,7.5900,9126337,69145539.8800,1.879200
2025-01-07,7.5900,7.6800,7.3900,7.4600,10054100,75448728.7300,-1.712800
2025-01-08,7.4600,7.5200,7.2800,7.3800,8236444,60958448.7200,-1.072400
2025-01-09,7.3400,7.3500,7.2600,7.2600,5873600,42807124.0000,-1.626000
2025-01-10,7.2800,7.3200,7.1900,7.1900,4908867,35602814.1400,-0.964200
2025-01-13,7.1700,7.3000,7.1000,7.2000,5981890,43014768.9800,0.139100
2025-01-14,7.2000,7.3000,7.2000,7.3000,7863404,57035684.6100,1.388900
2025-01-15,7.2700,7.3200,7.2200,7.3000,5767423,41926660.6700,0.000000
2025-01-16,7.3000,7.4200,7.2600,7.3900,6059323,44699293.5100,1.232900
2025-01-17,7.3600,7.5000,7.3100,7.4800,6431001,47820344.4400,1.217900
2025-01-20,7.5000,7.5200,7.3800,7.4000,6442759,47951349.3900,-1.069500
2025-01-21,7.4100,7.4200,7.3000,7.3800,4533249,33331150.3600,-0.270300
2025-01-22,7.3600,7.4400,7.3200,7.4300,4582602,33810711.7800,0.677500
2025-01-23,7.4700,7.5800,7.4600,7.4800,6193510,46592241.4500,0.672900
2025-01-24,7.5000,7.8300,7.4600,7.8100,14768549,113647807.0100,4.411800
2025-01-27,7.8300,7.9400,7.7700,7.8500,12275825,96761276.5400,0.512200
2025-02-05,7.8800,7.8900,7.5300,7.5500,10891013,83558984.0100,-3.821700
2025-02-06,7.5500,7.5800,7.4600,7.5300,7214021,54154852.5000,-0.264900
2025-02-07,7.5400,7.6600,7.4900,7.6200,7020500,53278357.7700,1.195200
2025-02-10,7.6500,7.7300,7.5800,7.6300,7316400,56026023.0000,0.131200
2025-02-11,7.6600,7.6800,7.5500,7.6500,6229500,47452394.0000,0.262100
2025-02-12,7.6300,7.6700,7.5200,7.6000,6030000,45719514.0000,-0.653600
2025-02-13,7.6200,7.6500,7.5600,7.5900,6869124,52252870.5300,-0.131600
2025-02-14,7.5800,7.6300,7.5100,7.5300,4551123,34363205.2200,-0.790500
2025-02-17,7.5300,7.5800,7.4000,7.4800,7658904,57302678.9400,-0.664000
2025-02-18,7.5000,7.5200,7.4100,7.4400,4853300,36242112.0000,-0.534800
2025-02-19,7.4600,7.4800,7.4000,7.4400,5019723,37313299.6600,0.000000
2025-02-20,7.4300,7.4800,7.4000,7.4200,4301621,31949319.5900,-0.268800
2025-02-21,7.4200,7.4400,7.3600,7.4200,5528320,40899332.0000,0.000000
2025-02-24,7.4200,7.5200,7.4000,7.4400,7541910,56355908.9000,0.269500
2025-02-25,7.4200,7.4600,7.3600,7.3900,5765801,42646281.3900,-0.672000
2025-02-26,7.3800,7.5000,7.3800,7.4600,4643514,34613072.9000,0.947200
2025-02-27,7.4800,7.5500,7.4400,7.5500,8071817,60415231.8400,1.206400
2025-02-28,7.5400,7.5800,7.4800,7.5300,6822400,51343555.0000,-0.264900
2025-03-03,7.5100,7.5700,7.4400,7.4700,7892700,59251000.0000,-0.796800
2025-03-04,7.4700,7.6100,7.4400,7.5600,8106610,61204326.3000,1.204800
2025-03-05,7.6200,7.7400,7.5200,7.6600,8669694,66422822.1000,1.322800
2025-03-06,7.6700,7.6800,7.5900,7.6600,8645621,65969272.0200,0.000000
