date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.7600,11.7600,11.5400,11.7600,107113326,1259179646.7600,10.009400
2025-01-03,11.8000,12.3500,11.1800,11.6500,249097110,2934382712.2400,-0.935400
2025-01-06,11.4400,12.8200,11.2700,12.3600,225173291,2748428818.8900,6.094400
2025-01-07,12.0000,13.6000,11.9000,13.6000,266053175,3462676920.6400,10.032400
2025-01-08,13.0000,13.2000,12.2400,12.4800,271699692,3439439099.3700,-8.235300
2025-01-09,12.0200,13.6300,12.0200,12.7100,225463728,2908727001.9600,1.842900
2025-01-10,12.3100,12.4500,11.4400,11.4400,169553688,2017683953.6500,-9.992100
2025-01-13,11.0300,11.3500,10.8600,11.0500,105093657,1160160258.9600,-3.409100
2025-01-14,11.1000,11.6000,10.9500,11.5500,109999316,1247547334.1100,4.524900
2025-01-15,11.5100,12.0700,11.1200,11.5000,137021301,1579099786.2900,-0.432900
2025-01-16,11.4900,11.9600,11.3600,11.5100,82573296,959690254.4400,0.087000
2025-01-17,11.3900,11.5400,11.1000,11.3100,68341732,773499951.4400,-1.737600
2025-01-20,11.4000,11.9100,11.3900,11.7500,105298649,1236090319.6500,3.890400
2025-01-21,11.7600,12.0800,11.5000,11.9900,118040181,1394397006.8500,2.042600
2025-01-22,11.8800,12.2300,11.8200,12.0500,102117849,1230693640.4600,0.500400
2025-01-23,12.7100,13.2600,12.5500,12.8600,225082332,2918715141.5000,6.722000
2025-01-24,12.8800,13.3800,12.6200,13.0700,163010196,2112518284.8400,1.633000
2025-01-27,12.8200,12.9800,12.2400,12.2400,104939213,1311806829.4600,-6.350400
2025-02-05,12.4300,12.4700,11.7300,11.9800,111227276,1331866555.3500,-2.124200
2025-02-06,11.8700,12.3600,11.7700,12.2900,96950048,1184924946.5200,2.587600
2025-02-07,12.2500,12.4300,12.1100,12.3000,92933134,1143575724.8800,0.081400
2025-02-10,12.2100,12.3000,12.0300,12.1400,71673082,869845107.6800,-1.300800
2025-02-11,12.1900,12.2500,11.9700,12.0700,60474600,730244920.0000,-0.576600
2025-02-12,12.0300,12.8000,12.0200,12.7400,139053287,1733138733.7500,5.551000
