date,open,high,low,close,volume,amount,pctChg
2025-01-02,24.3400,24.4700,23.4300,23.6000,9002407,214771418.6200,-3.080100
2025-01-03,23.5900,24.1000,23.3700,23.5200,8714842,206776003.1000,-0.339000
2025-01-06,23.5600,24.0300,23.3700,23.8100,6354662,150842751.3600,1.233000
2025-01-07,23.8100,23.8800,22.5000,22.6200,10933963,251591418.6100,-4.997900
2025-01-08,22.5900,22.7700,21.9100,22.3300,16789128,373318677.5500,-1.282100
2025-01-09,22.3300,22.6000,21.9600,22.4100,7469686,167443474.4800,0.358300
2025-01-10,22.4100,22.8700,22.3700,22.5500,6615433,149677666.4200,0.624700
2025-01-13,22.4000,22.7200,22.0100,22.2600,7112910,158811826.1000,-1.286000
2025-01-14,22.2600,22.5800,22.0800,22.5200,7647265,171335804.1400,1.168000
2025-01-15,22.5500,22.6000,22.0700,22.2900,5689451,126590050.0700,-1.021300
2025-01-16,22.4800,23.4500,22.4600,22.7700,13448133,309296069.9300,2.153400
2025-01-17,22.7300,22.8500,22.5200,22.6400,6927200,157099253.8500,-0.570900
2025-01-20,22.8800,23.7500,22.8000,23.3500,11490241,269326122.3700,3.136000
2025-01-21,23.3900,23.5600,23.1000,23.3400,5746798,134025691.4400,-0.042800
2025-01-22,23.3400,23.4400,22.9500,23.0000,6976061,160933196.4600,-1.456700
2025-01-23,23.1300,23.2300,22.3000,22.3100,11598475,262528932.2500,-3.000000
2025-01-24,22.3200,22.4700,22.2100,22.4200,9179659,205416538.9700,0.493100
2025-01-27,22.5800,23.0500,22.4900,22.9700,10328499,236352772.0400,2.453200
2025-02-05,23.0800,23.2000,22.5100,22.6300,8499098,192570249.8400,-1.480200
2025-02-06,22.5700,22.7200,22.5000,22.6300,8013079,181215623.7700,0.000000
2025-02-07,22.6800,22.9300,22.3100,22.6000,15783773,356629853.6800,-0.132600
2025-02-10,22.6100,22.7600,22.5000,22.5900,7740432,175136717.4800,-0.044200
2025-02-11,22.7400,22.7400,22.2300,22.4300,6509599,145640294.5400,-0.708300
2025-02-12,22.3500,22.3600,21.9700,22.0900,13765360,304283792.3000,-1.515800
