date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.5000,2.5800,2.4000,2.4300,40252700,100068002.0000,-2.016100
2025-01-03,2.4400,2.4500,2.3300,2.3500,34024534,81295064.0000,-3.292200
2025-01-06,2.3600,2.3600,2.2500,2.3200,23113060,53318100.0000,-1.276600
2025-01-07,2.3100,2.3700,2.2900,2.3600,15744000,36631041.0000,1.724100
2025-01-08,2.3500,2.3800,2.2700,2.3500,18962398,44170304.4400,-0.423700
2025-01-09,2.3300,2.4000,2.3300,2.3700,17145748,40597692.2800,0.851100
2025-01-10,2.3800,2.4000,2.2900,2.2900,16000400,37617853.0000,-3.375500
2025-01-13,2.2600,2.3000,2.2200,2.2800,16888700,38314867.0000,-0.436700
2025-01-14,2.3000,2.3800,2.2900,2.3800,22652700,53239783.0000,4.386000
2025-01-15,2.3900,2.4000,2.3400,2.3700,15885700,37564545.0000,-0.420200
2025-01-16,2.3800,2.4400,2.3700,2.3900,20694291,49703774.4100,0.843900
2025-01-17,2.3900,2.3900,2.3400,2.3700,10715300,25364524.0000,-0.836800
2025-01-20,2.3800,2.4000,2.3200,2.3800,18915800,44725076.0000,0.421900
2025-01-21,2.4000,2.4100,2.3300,2.3400,16939300,39850984.0000,-1.680700
2025-01-22,2.3300,2.3400,2.3000,2.3200,9537800,22134898.0000,-0.854700
2025-01-23,2.3400,2.3800,2.3100,2.3100,13681900,32112752.0000,-0.431000
2025-01-24,2.3100,2.3200,2.2700,2.3000,15758000,36100729.0000,-0.432900
2025-01-27,2.3100,2.4000,2.3100,2.3200,16653700,39116342.0000,0.869600
2025-02-05,2.3400,2.4200,2.3300,2.3900,20954200,49734638.0000,3.017200
2025-02-06,2.3900,2.4900,2.3600,2.4900,35177800,86372994.0000,4.184100
2025-02-07,2.4900,2.5300,2.4500,2.4800,30265092,75250177.1600,-0.401600
2025-02-10,2.4700,2.5200,2.4700,2.5100,21142000,52938728.0000,1.209700
2025-02-11,2.5200,2.5500,2.4700,2.5200,30416475,76358616.2700,0.398400
2025-02-12,2.5300,2.5500,2.4800,2.5100,19454500,48769158.0000,-0.396800
2025-02-13,2.5100,2.5300,2.4800,2.4800,18733742,46882426.4200,-1.195200
2025-02-14,2.4800,2.4900,2.4400,2.4600,17569220,43308994.0000,-0.806500
2025-02-17,2.4700,2.5300,2.4600,2.5200,29082200,72856950.7900,2.439000
2025-02-18,2.5200,2.5200,2.4200,2.4500,28599300,70441447.9800,-2.777800
2025-02-19,2.4500,2.4700,2.4300,2.4500,21978221,53741661.2400,0.000000
2025-02-20,2.4500,2.5700,2.4400,2.4900,33161307,82694766.0400,1.632700
2025-02-21,2.4800,2.5300,2.4500,2.4700,33003302,81966928.2500,-0.803200
2025-02-24,2.4700,2.5000,2.4400,2.4800,31685342,78142269.1200,0.404900
2025-02-25,2.4600,2.5000,2.4300,2.4600,24391400,60221981.0000,-0.806500
2025-02-26,2.4800,2.5800,2.4700,2.5300,55233210,139410850.0000,2.845500
2025-02-27,2.5400,2.5900,2.4800,2.5200,38573888,97434603.0000,-0.395300
2025-02-28,2.5000,2.5200,2.4000,2.4100,29409402,72256698.9800,-4.365100
2025-03-03,2.4200,2.5200,2.4100,2.4800,40771355,101318328.0400,2.904600
2025-03-04,2.4600,2.4900,2.4300,2.4700,26927700,66168611.0000,-0.403200
2025-03-05,2.4800,2.5700,2.4300,2.5300,60427700,151129817.0000,2.429100
2025-03-06,2.5300,2.5400,2.4900,2.5200,34358560,86352365.6000,-0.395300
2025-03-07,2.5100,2.5100,2.4500,2.4600,29597500,73216769.0000,-2.381000
2025-03-10,2.4500,2.4900,2.4500,2.4600,16183242,39906336.9000,0.000000
2025-03-11,2.4500,2.4700,2.4300,2.4700,17834490,43676978.6000,0.406500
2025-03-12,2.4700,2.6100,2.4600,2.5700,75069399,191266322.6000,4.048600
2025-03-13,2.5500,2.5700,2.4800,2.5100,40005600,100437008.0000,-2.334600
2025-03-14,2.5200,2.5600,2.4900,2.5400,33531992,84731011.1800,1.195200
2025-03-17,2.5500,2.6200,2.5400,2.5800,42209569,109241711.9100,1.574800
2025-03-18,2.5900,2.6000,2.5400,2.5700,27317578,69997990.4600,-0.387600
2025-03-19,2.5700,2.6900,2.5600,2.6800,70686360,186638159.6000,4.280200
2025-03-20,2.6800,2.7100,2.6400,2.6800,47644300,127765358.0000,0.000000
2025-03-21,2.6700,2.6900,2.6300,2.6500,38751520,102974385.6000,-1.119400
2025-03-24,2.6500,2.6500,2.5000,2.5500,41975100,107530620.0000,-3.773600
2025-03-25,2.5600,2.5800,2.5400,2.5700,21590860,55342265.6000,0.784300
2025-03-26,2.5700,2.5900,2.5500,2.5700,17360800,44666363.0000,0.000000
2025-03-27,2.5700,2.6000,2.5100,2.5800,24507432,62749170.6000,0.389100
2025-03-28,2.5700,2.5800,2.5000,2.5000,25554002,64418873.0000,-3.100800
2025-03-31,2.4700,2.4900,2.4300,2.4600,21137344,51951384.8000,-1.600000
2025-04-01,2.4700,2.5100,2.4500,2.4700,20392072,50637512.1200,0.406500
2025-04-02,2.4700,2.4700,2.4300,2.4500,18723645,45877934.2500,-0.809700
2025-04-03,2.4300,2.5100,2.4300,2.4900,23144302,57219891.0000,1.632700
2025-04-07,2.4000,2.4000,2.2400,2.2400,36100200,82186359.0000,-10.040200
2025-04-08,2.2200,2.2600,2.1400,2.1700,39407424,86191249.6700,-3.125000
2025-04-09,2.1600,2.2400,2.0200,2.2200,34008433,73278757.6800,2.304100
2025-04-10,2.2500,2.3100,2.2500,2.2700,26667500,60900884.0000,2.252300
2025-04-11,2.2700,2.3200,2.2500,2.3000,23399020,53874710.2000,1.321600
2025-04-14,2.3200,2.3600,2.3200,2.3600,15940800,37349289.0000,2.608700
2025-04-15,2.3500,2.3900,2.3200,2.3400,15651800,36760863.0000,-0.847500
2025-04-16,2.3400,2.3500,2.2600,2.3000,17756900,40778162.0000,-1.709400
2025-04-17,2.2900,2.3400,2.2700,2.3000,13081200,30269411.0000,0.000000
2025-04-18,2.3000,2.3400,2.2900,2.3300,14533262,33705244.6000,1.304300
2025-04-21,2.3300,2.3600,2.3200,2.3400,10771700,25200124.0000,0.429200
2025-04-22,2.3500,2.3800,2.3400,2.3400,13523500,31815326.0000,0.000000
2025-04-23,2.3600,2.3800,2.3300,2.3500,18995196,44619448.6000,0.427400
2025-04-24,2.3600,2.4000,2.3500,2.3600,24524214,58150219.1600,0.425500
2025-04-25,2.3600,2.4200,2.3400,2.4200,25833072,61734066.5200,2.542400
2025-04-28,2.4200,2.5300,2.4000,2.5100,49664072,123158985.5600,3.719000
2025-04-29,2.5000,2.5600,2.4900,2.5100,30684716,77447884.4800,0.000000
2025-04-30,2.5100,2.5700,2.4900,2.4900,25050500,62972888.0000,-0.796800
2025-05-06,2.5100,2.5300,2.4900,2.5200,23932656,60055372.1200,1.204800
2025-05-07,2.5500,2.6100,2.5400,2.5700,41821221,107585942.5400,1.984100
2025-05-08,2.5600,2.5800,2.5400,2.5700,27093900,69500498.0000,0.000000
2025-05-09,2.5700,2.5900,2.5300,2.5400,19986900,50912102.0000,-1.167300
2025-05-12,2.5500,2.6100,2.5500,2.5900,28569100,73736513.0000,1.968500
2025-05-13,2.6200,2.6700,2.5800,2.5900,30399200,79688366.8000,0.000000
2025-05-14,2.5800,2.6200,2.5800,2.6100,23030890,59882069.0000,0.772200
2025-05-15,2.6100,2.6200,2.5600,2.5700,23086500,59466389.0000,-1.532600
2025-05-16,2.5800,2.6600,2.5800,2.6200,24474600,64285810.0000,1.945500
2025-05-19,2.6100,2.7900,2.5900,2.7600,79677868,216493273.3200,5.343500
2025-05-20,2.7500,2.7600,2.6800,2.7500,45183603,122878318.2200,-0.362300
2025-05-21,2.7200,2.7600,2.7100,2.7500,34411303,94201105.1600,0.000000
2025-05-22,2.7300,2.7800,2.7000,2.7200,34269200,93841200.0000,-1.090900
2025-05-23,2.7000,2.8200,2.6900,2.7800,51527111,142856762.7200,2.205900
2025-05-26,2.7400,2.7800,2.7100,2.7300,36438621,99818849.7400,-1.798600
2025-05-27,2.7200,2.7500,2.6500,2.6700,55509403,149395552.9000,-2.197800
2025-05-28,2.6600,2.7300,2.6600,2.7200,53592132,144259456.4000,1.872700
2025-05-29,2.7000,2.7400,2.6900,2.7300,33914880,91870047.0000,0.367600
2025-05-30,2.7100,2.7300,2.6500,2.6600,26000002,69630339.3000,-2.564100
2025-06-03,2.6500,2.6900,2.6100,2.6700,24639200,65258507.0000,0.375900
2025-06-04,2.6700,2.7300,2.6700,2.7000,23034000,62230354.0000,1.123600
2025-06-05,2.7000,2.7100,2.6600,2.6800,18218400,48854068.0000,-0.740700
2025-06-06,2.6700,2.7000,2.6600,2.6800,18780300,50242415.0000,0.000000
2025-06-09,2.6900,2.7000,2.6700,2.7000,18991148,50975482.1600,0.746300
2025-06-10,2.7000,2.7000,2.6100,2.6600,28100180,74581805.2000,-1.481500
2025-06-11,2.6500,2.6900,2.6400,2.6600,20658780,55096433.2000,0.000000
2025-06-12,2.6500,2.6600,2.6200,2.6500,15846020,41825029.6000,-0.375900
2025-06-13,2.6400,2.6500,2.5800,2.6000,23142000,60374538.0000,-1.886800
2025-06-16,2.6000,2.6400,2.5800,2.6000,17559000,45881197.0000,0.000000
2025-06-17,2.6000,2.6300,2.5900,2.6100,15005500,39091188.0000,0.384600
2025-06-18,2.6100,2.6200,2.5600,2.5700,18462700,47652376.0000,-1.532600
2025-06-19,2.5700,2.5900,2.5100,2.5100,19448000,49436424.0000,-2.334600
2025-06-20,2.5200,2.5500,2.4900,2.5000,22848082,57518100.6400,-0.398400
2025-06-23,2.4800,2.5600,2.4600,2.5600,32520802,81929322.0000,2.400000
2025-06-24,2.5500,2.8200,2.5400,2.8200,49136720,135952167.4000,10.156300
2025-06-25,3.0000,3.1000,2.9800,3.1000,95165472,291775566.2000,9.929100
2025-06-26,3.3900,3.4100,3.1500,3.4100,464934734,1543688191.2000,10.000000
2025-06-27,3.7500,3.7500,3.6900,3.7500,257464771,965298815.2500,9.970700
2025-06-30,3.8000,4.1300,3.7100,4.1300,606394817,2425240525.6500,10.133300
2025-07-01,4.3900,4.5400,4.0700,4.2100,758686124,3322002640.8500,1.937000
2025-07-02,3.9300,4.4800,3.8300,3.9200,624961653,2605449448.6600,-6.888400
2025-07-03,3.9100,4.3100,3.5300,4.3100,655295543,2509680105.2600,9.949000
2025-07-04,4.3800,4.6800,4.3500,4.4200,730786300,3262426656.5100,2.552200
2025-07-07,4.3800,4.5300,4.1300,4.1500,591014938,2547029055.5100,-6.108600
2025-07-08,4.2200,4.5700,4.1600,4.5700,535583764,2353971748.3500,10.120500
2025-07-09,4.6400,4.8500,4.4000,4.5900,760718109,3548486333.3500,0.437600
2025-07-10,4.5200,4.5800,4.2600,4.3300,524436520,2288548131.3900,-5.664500
2025-07-11,4.1100,4.2500,3.9300,4.0300,425461879,1718891211.9700,-6.928400
2025-07-14,4.0300,4.0600,3.9000,3.9100,278832904,1104841143.6000,-2.977700
2025-07-15,3.9100,3.9600,3.7800,3.8200,230618400,889135093.0000,-2.301800
2025-07-16,3.7900,3.8900,3.7600,3.8100,182417700,697640567.0000,-0.261800
2025-07-17,3.8000,3.8700,3.7500,3.8400,197235297,752287234.8500,0.787400
2025-07-18,3.8500,4.0600,3.8200,3.9400,295848882,1169601421.0900,2.604200
2025-07-21,3.8700,3.9900,3.8200,3.9200,215282514,837579268.2600,-0.507600
2025-07-22,3.8600,3.8900,3.7300,3.7500,263321339,999143748.3500,-4.336700
2025-07-23,3.7000,3.7200,3.5900,3.6100,203907505,739876040.5300,-3.733300
2025-07-24,3.5800,3.6200,3.5700,3.6200,118525178,425817525.3800,0.277000
2025-07-25,3.6000,3.6100,3.5400,3.5500,113023842,402323538.3900,-1.933700
2025-07-28,3.5600,3.6100,3.5500,3.6100,116974700,419492792.0000,1.690100
2025-07-29,3.5900,3.6200,3.5200,3.5700,97978600,348752330.5600,-1.108000
2025-07-30,3.5800,3.5800,3.4700,3.4900,103856753,364093342.5400,-2.240900
2025-07-31,3.4800,3.5500,3.4700,3.4800,89146171,312561402.5900,-0.286500
2025-08-01,3.4700,3.4800,3.4300,3.4500,79258326,273358216.2000,-0.862100
2025-08-04,3.4300,3.4900,3.4100,3.4900,61118150,211483782.2800,1.159400
2025-08-05,3.5000,3.5100,3.4600,3.5000,62342907,217170836.2100,0.286500
2025-08-06,3.4900,3.5300,3.4700,3.5100,86060378,301360161.2200,0.285700
2025-08-07,3.5100,3.5300,3.4600,3.4800,74520900,259837223.0000,-0.854700
2025-08-08,3.4700,3.5000,3.4600,3.4900,73089542,254760783.7800,0.287400
2025-08-11,3.5000,3.5700,3.5000,3.5500,113106100,400082462.0000,1.719200
2025-08-12,3.5300,3.5500,3.4800,3.5100,78823710,276368562.1000,-1.126800
2025-08-13,3.5200,3.6600,3.5100,3.5700,148332734,529717556.1600,1.709400
2025-08-14,3.5500,3.5700,3.4700,3.4700,117269678,411986589.6000,-2.801100
2025-08-15,3.4600,3.6100,3.4500,3.5800,142681360,507743530.4000,3.170000
2025-08-18,3.6300,3.7300,3.6100,3.6500,167053888,609822585.3600,1.955300
2025-08-19,3.6500,3.6800,3.6000,3.6600,133407168,486741917.8800,0.274000
2025-08-20,3.6500,3.6600,3.5800,3.6500,95661300,346855008.0000,-0.273200
2025-08-21,3.8000,3.8800,3.6700,3.7400,322206402,1218964096.5400,2.465800
2025-08-22,3.6800,3.7200,3.6200,3.6600,152911500,558079627.0000,-2.139000
2025-08-25,3.6600,3.6800,3.6000,3.6200,131690492,478457687.4700,-1.092900
2025-08-26,3.6100,3.6500,3.5800,3.6200,82318032,297846705.6000,0.000000
2025-08-27,3.6100,3.6400,3.5000,3.5000,122508781,437959698.4600,-3.314900
2025-08-28,3.4900,3.5300,3.3300,3.4700,126975991,436156376.6800,-0.857100
2025-08-29,3.4500,3.5200,3.4200,3.4700,73400344,254813429.4400,0.000000
2025-09-01,3.4700,3.7500,3.4200,3.6600,208265452,750147119.0700,5.475500
2025-09-02,3.6600,4.0300,3.6200,4.0300,364443809,1424538511.9500,10.109300
2025-09-03,4.0300,4.0800,3.8000,3.8200,414600539,1625909896.7200,-5.210900
2025-09-04,3.8400,4.1200,3.7700,4.0100,418651681,1655866787.4500,4.973800
2025-09-05,3.9900,4.4100,3.9300,4.4100,498054062,2101872499.0900,9.975100
2025-09-08,4.2500,4.3600,4.1200,4.3000,430154068,1822329450.2200,-2.494300
2025-09-09,4.1900,4.4800,4.0900,4.3800,393339077,1695296322.9700,1.860500
2025-09-10,4.2900,4.2900,4.1200,4.1400,261392497,1093460479.4200,-5.479500
2025-09-11,4.1500,4.2100,4.0200,4.1600,231509476,950344327.4000,0.483100
2025-09-12,4.1300,4.4200,4.1000,4.2400,306182849,1294850643.9800,1.923100
2025-09-15,4.1800,4.3500,4.1500,4.1700,215873067,913217142.0300,-1.650900
2025-09-16,4.1400,4.3700,4.1100,4.2800,256695932,1083387965.8100,2.637900
2025-09-17,4.3100,4.4800,4.2800,4.3200,292087808,1273710513.6300,0.934600
2025-09-18,4.3100,4.3900,4.1500,4.2300,247053458,1056287445.8200,-2.083300
2025-09-19,4.1700,4.2200,4.0000,4.0100,184180717,750687886.4800,-5.200900
2025-09-22,4.0100,4.0200,3.8300,3.8800,140086085,543850100.5400,-3.241900
2025-09-23,3.8700,3.8800,3.6000,3.6800,150893213,556337166.4600,-5.154600
2025-09-24,3.6800,3.7900,3.6400,3.7800,125813537,468659930.3400,2.717400
2025-09-25,3.7800,3.7900,3.6800,3.6900,87463317,325274904.3900,-2.381000
2025-09-26,3.6900,3.6900,3.6000,3.6100,63949207,232959070.1300,-2.168000
