date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.3600,7.5100,7.1500,7.2500,11718645,85884044.1100,-1.761500
2025-01-03,7.3500,7.3700,6.8300,6.8600,13256500,92727132.8000,-5.379300
2025-01-06,6.8500,6.8800,6.5900,6.7600,9106820,61417508.4000,-1.457700
2025-01-07,6.7800,7.0100,6.7800,7.0100,9098460,62873294.4000,3.698200
2025-01-08,7.0100,7.0700,6.8000,6.9900,8953060,62119781.4000,-0.285300
2025-01-09,6.9300,7.1400,6.9200,7.0100,7714400,54365354.0000,0.286100
2025-01-10,7.0200,7.1300,6.7800,6.8200,9376000,65383446.0000,-2.710400
2025-01-13,6.8300,7.0500,6.6700,7.0500,8308840,57617115.5200,3.372400
2025-01-14,7.0700,7.3000,7.0400,7.2900,10071420,72649490.4000,3.404300
2025-01-15,7.3000,7.3000,7.1300,7.1900,7118500,51244389.3900,-1.371700
2025-01-16,7.2000,7.3200,7.1200,7.2400,7766151,56150209.9700,0.695400
2025-01-17,7.2000,7.2700,7.1200,7.2000,5884800,42342967.0000,-0.552500
2025-01-20,7.2500,7.3500,7.1000,7.3000,7241803,52713038.9300,1.388900
2025-01-21,7.3300,7.3900,7.1400,7.2100,6207500,44859297.0000,-1.232900
2025-01-22,7.2100,7.2100,7.1100,7.1300,4292780,30671395.8000,-1.109600
2025-01-23,7.2000,7.3800,7.1500,7.1600,6454461,46929215.0300,0.420800
2025-01-24,7.1300,7.2000,7.0400,7.0900,7387644,52507264.7200,-0.977700
2025-01-27,7.4500,7.7000,7.3800,7.5300,20608262,155194992.5600,6.205900
2025-02-05,7.5500,7.8400,7.5500,7.7600,17178620,132959333.4000,3.054400
2025-02-06,7.7000,8.0000,7.6100,7.9400,15830036,123865021.3700,2.319600
2025-02-07,7.9400,8.1500,7.8700,7.9800,16052220,128647326.0000,0.503800
2025-02-10,8.0100,8.4400,8.0100,8.3600,19481092,160909300.3600,4.761900
2025-02-11,8.3200,8.4300,8.2400,8.2700,13098180,109164790.6000,-1.076600
2025-02-12,8.2700,8.5700,8.2700,8.4500,13789480,116250429.6000,2.176500
2025-02-13,8.3900,8.4400,8.2200,8.3300,13040120,108699834.0000,-1.420100
2025-02-14,8.3600,8.6800,8.2700,8.5000,14390079,121819685.1500,2.040800
2025-02-17,8.5400,8.6500,8.4500,8.5500,13063100,111673085.0000,0.588200
2025-02-18,8.5100,8.5800,8.2000,8.2400,14160200,118527681.6000,-3.625700
2025-02-19,8.1400,8.4500,8.1400,8.4300,11097520,92861994.4000,2.305800
2025-02-20,8.4300,8.5300,8.3700,8.4600,7835399,66131491.7700,0.355900
2025-02-21,8.4600,8.5900,8.3100,8.5300,8856720,75118658.2000,0.827400
2025-02-24,8.5500,8.5500,8.3800,8.5000,8355686,70613150.2000,-0.351700
2025-02-25,8.4200,8.6200,8.2900,8.4700,7496160,63561324.0000,-0.352900
2025-02-26,8.5100,8.5900,8.4300,8.4800,8043921,68306907.0800,0.118100
2025-02-27,8.4800,8.5200,8.2700,8.4200,7795580,65279455.8000,-0.707500
2025-02-28,8.3600,8.3900,8.0300,8.0700,9043626,73892048.6200,-4.156800
2025-03-03,8.1700,8.3500,8.0700,8.1400,9242458,75995392.8200,0.867400
2025-03-04,8.0800,8.3600,8.0700,8.3600,7268120,60175252.2000,2.702700
2025-03-05,8.3300,8.5000,8.2000,8.4800,8023666,66949086.3600,1.435400
2025-03-06,8.5600,8.6900,8.5200,8.5900,9800766,84331750.4800,1.297200
2025-03-07,8.6000,8.6400,8.3500,8.4400,8290580,70503707.8000,-1.746200
2025-03-10,8.4400,8.4800,8.1900,8.3100,7866738,65217064.6400,-1.540300
2025-03-11,8.1800,8.3700,8.1600,8.3200,6001101,49585964.3100,0.120300
2025-03-12,8.3900,8.6700,8.3400,8.5700,11049518,94278002.1600,3.004800
2025-03-13,8.5500,8.7600,8.3500,8.6000,15431420,131430996.6000,0.350100
2025-03-14,8.5500,8.6700,8.3900,8.6200,12184201,104164206.5300,0.232600
2025-03-17,8.6300,8.6500,8.4600,8.5300,9988900,85376781.9900,-1.044100
2025-03-18,8.5200,9.0700,8.4800,8.7800,25618094,223467033.3400,2.930800
2025-03-19,8.6900,8.7400,8.4700,8.5400,18417586,158188705.6000,-2.733500
2025-03-20,8.5000,8.6200,8.4300,8.4900,11166370,95276183.0000,-0.585500
2025-03-21,8.4400,8.4700,8.2000,8.2500,11081526,92084000.2400,-2.826900
2025-03-24,8.2200,8.2600,7.4500,7.6700,18300020,142612303.4000,-7.030300
2025-03-25,7.6700,7.8100,7.5100,7.6700,10792357,82844402.8800,0.000000
2025-03-26,7.6100,7.9400,7.6100,7.8100,9843154,76878086.1400,1.825300
2025-03-27,7.7800,7.8300,7.5500,7.7300,7287880,56039935.6000,-1.024300
2025-03-28,7.7300,7.9900,7.5800,7.6300,9696900,75044217.0000,-1.293700
2025-03-31,7.5700,7.6300,7.3800,7.6100,8651884,64899305.7600,-0.262100
2025-04-01,7.6000,7.7500,7.6000,7.6200,5513760,42278689.6000,0.131400
2025-04-02,7.6300,7.7900,7.5500,7.7000,7142600,55099752.0000,1.049900
2025-04-03,7.5800,7.8200,7.5700,7.7000,6277120,48353350.0000,0.000000
2025-04-07,7.2000,7.3000,6.9300,6.9300,8662000,60559639.3600,-10.000000
2025-04-08,6.7000,6.8900,6.3700,6.5800,16117400,106341595.0000,-5.050500
2025-04-09,6.4600,6.8800,6.0700,6.8100,13383937,87218052.3000,3.495400
2025-04-10,6.9500,7.1700,6.9300,7.0100,9047713,63927277.3700,2.936900
2025-04-11,6.9800,7.1100,6.9600,7.0400,4761320,33586600.0000,0.428000
2025-04-14,7.1000,7.2300,7.0900,7.1500,4969680,35575457.0000,1.562500
2025-04-15,7.1200,7.2000,7.0800,7.1700,4447600,31738657.0000,0.279700
2025-04-16,7.1300,7.1600,6.8600,7.0200,6420640,44948457.2000,-2.092100
2025-04-17,6.9400,7.1600,6.9100,7.0800,5092120,36045642.4000,0.854700
2025-04-18,7.0600,7.1700,6.9800,7.0900,4601080,32491393.0000,0.141200
2025-04-21,7.1000,7.3100,7.0600,7.2900,6164300,44631025.4000,2.820900
2025-04-22,7.3000,7.3500,7.2100,7.2600,5556600,40392205.0000,-0.411500
2025-04-23,7.2600,7.4000,7.2600,7.3100,4765600,34846257.4000,0.688700
2025-04-24,7.3400,7.5600,7.1800,7.2700,11238320,82585784.6000,-0.547200
2025-04-25,7.2400,7.8000,7.2100,7.4500,12769200,95382597.0000,2.475900
2025-04-28,7.2600,7.4000,7.0700,7.1200,11790960,84373199.0000,-4.429500
2025-04-29,7.2500,7.4800,7.0500,7.2900,9962351,72794715.1500,2.387600
2025-04-30,7.3500,7.4400,7.2800,7.3400,6005720,44287270.0000,0.685900
2025-05-06,7.4000,7.5400,7.4000,7.5400,7524020,56338063.0000,2.724800
2025-05-07,7.6200,7.7000,7.5100,7.6000,9296151,70705929.4900,0.795800
2025-05-08,7.5800,7.6800,7.5300,7.6500,6250900,47670053.0000,0.657900
2025-05-09,7.6500,7.6500,7.4600,7.5200,6346700,47774927.0000,-1.699300
2025-05-12,7.5600,8.2700,7.5100,8.2700,60312780,488412586.6000,9.973400
2025-05-13,8.3300,9.1000,8.1500,9.1000,90584425,797257259.0900,10.036300
2025-05-14,9.5100,10.0100,9.0000,9.1900,140005862,1332725380.8000,0.989000
2025-05-15,9.0100,9.3000,8.2700,8.2700,93795034,805111244.5400,-10.010900
2025-05-16,7.9100,8.1800,7.7300,7.9700,72876580,579346382.1400,-3.627600
2025-05-19,7.9200,8.0400,7.8000,7.9500,41930548,331390382.4300,-0.250900
2025-05-20,7.9000,7.9900,7.7800,7.8900,36435261,286683171.6000,-0.754700
2025-05-21,7.8500,7.9600,7.6700,7.9300,40537890,316808305.8000,0.507000
2025-05-22,7.8600,8.0900,7.7700,8.0900,48119118,383559413.5100,2.017700
2025-05-23,8.0000,8.0500,7.7000,7.7500,34073400,269345303.2600,-4.202700
2025-05-26,7.6700,7.8400,7.6100,7.7800,20286492,156884369.4000,0.387100
2025-05-27,7.7700,7.8400,7.6700,7.7200,17351100,134155406.0000,-0.771200
2025-05-28,7.7100,7.8800,7.6800,7.7500,19935542,154677777.9600,0.388600
2025-05-29,7.7500,8.1200,7.7500,8.0200,39654192,316432603.6600,3.483900
2025-05-30,8.0000,8.1500,7.8700,7.8900,26572362,212726919.2400,-1.620900
2025-06-03,7.8800,8.0200,7.8800,7.9100,17658106,140233502.1900,0.253500
2025-06-04,7.9200,8.0300,7.8600,7.9900,17162700,136720735.0000,1.011400
2025-06-05,7.9800,8.1300,7.9800,8.0100,20400400,164036452.8200,0.250300
2025-06-06,8.0800,8.1000,7.9600,8.0200,15793674,126635798.5200,0.124800
2025-06-09,8.0200,8.0600,7.9800,8.0300,17022920,136583230.2000,0.124700
2025-06-10,8.0100,8.0200,7.7100,7.8400,21832800,171318946.8200,-2.366100
2025-06-11,7.8400,7.9800,7.8000,7.9200,11945540,94517897.4000,1.020400
2025-06-12,7.8600,7.9400,7.8100,7.9000,10429040,82230854.0000,-0.252500
2025-06-13,7.8600,7.8800,7.6200,7.7000,14274400,110200886.0000,-2.160100
2025-06-16,7.6700,7.8200,7.6300,7.7800,10271800,79828945.0000,1.039000
2025-06-17,7.7900,7.8400,7.6600,7.7900,10252320,79550141.4000,0.128500
2025-06-18,7.8500,7.8500,7.7000,7.7400,8966720,69422703.0000,-0.641800
2025-06-19,7.7400,7.8300,7.5500,7.5800,12018300,92220199.2000,-2.067200
2025-06-20,7.5500,7.6100,7.4300,7.4800,9611020,72131198.8000,-1.319300
2025-06-23,7.4100,7.7700,7.3800,7.7600,12957660,99090811.8000,3.743300
2025-06-24,7.7300,7.9200,7.7300,7.9100,12960280,102195678.8000,1.933000
2025-06-25,7.9100,7.9400,7.8500,7.9400,10442120,82521121.4000,0.379300
2025-06-26,7.9100,8.0700,7.8700,7.9200,14303980,113618546.0000,-0.251900
2025-06-27,8.0100,8.0600,7.9200,8.0100,14208240,113749890.0000,1.136400
2025-06-30,8.0200,8.0800,7.9900,8.0500,12446100,100031937.6000,0.499400
2025-07-01,8.0200,8.0600,7.9000,8.0200,12541400,100056696.0000,-0.372700
2025-07-02,8.0200,8.0200,7.9000,7.9500,8025460,63713926.6000,-0.872800
2025-07-03,8.0000,8.1400,7.9700,8.0400,10619780,85407134.4000,1.132100
2025-07-04,8.0000,8.0900,7.9000,8.0300,13579300,108799211.0000,-0.124400
2025-07-07,7.9900,8.0500,7.9600,8.0200,7710180,61783366.6000,-0.124500
2025-07-08,7.9900,8.0900,7.9800,8.0900,9140400,73683298.0000,0.872800
2025-07-09,8.0900,8.1800,8.0500,8.1100,12661540,102955294.8000,0.247200
2025-07-10,8.1100,8.3200,8.0400,8.2500,25966630,213523715.5000,1.726300
2025-07-11,8.2800,8.3100,8.1500,8.2100,14186560,116539411.6000,-0.484800
2025-07-14,8.0500,8.2000,8.0000,8.1800,14729661,119434525.0100,-0.365400
2025-07-15,8.1500,8.1800,7.9600,8.0900,13257265,106552656.5500,-1.100200
2025-07-16,8.1000,8.1400,8.0200,8.0500,8035700,64890874.0000,-0.494400
2025-07-17,8.0300,8.0900,8.0100,8.0500,8686540,69951141.0000,0.000000
2025-07-18,8.0500,8.1100,8.0200,8.0700,8179100,65966777.0000,0.248400
2025-07-21,8.0700,8.1500,8.0500,8.1300,9623105,78099842.6000,0.743500
2025-07-22,8.1000,8.1900,8.0900,8.1000,15936720,129609141.6000,-0.369000
2025-07-23,8.1000,8.1100,7.9100,7.9400,13529220,108311047.2000,-1.975300
2025-07-24,7.9500,8.0300,7.9500,8.0300,8927200,71399564.0000,1.133500
2025-07-25,8.0300,8.3400,8.0100,8.2700,24819680,203996893.8000,2.988800
2025-07-28,8.2900,8.3300,8.1200,8.2500,15683401,129105740.2500,-0.241800
2025-07-29,8.2900,8.2900,8.0400,8.1900,14151205,114971407.8500,-0.727300
2025-07-30,8.1400,8.1800,8.0100,8.0700,11707681,94655375.8800,-1.465200
2025-07-31,8.0200,8.1000,7.9400,7.9500,10083660,80933768.8000,-1.487000
2025-08-01,7.9500,8.0700,7.9000,8.0400,10567200,84275383.0000,1.132100
2025-08-04,7.9700,8.1000,7.9200,8.0900,7930460,63803862.2000,0.621900
2025-08-05,8.1000,8.1300,8.0600,8.1000,6428325,51977031.5000,0.123600
2025-08-06,8.0800,8.9100,8.0700,8.9100,61488892,537947014.2000,10.000000
2025-08-07,9.8000,9.8000,9.1000,9.2500,83551261,805401531.0500,3.815900
2025-08-08,9.0000,9.1000,8.4200,8.4500,99058440,850392706.6300,-8.648600
2025-08-11,8.5400,9.3000,8.4500,9.3000,64939617,570641336.7000,10.059200
2025-08-12,9.4100,9.6600,9.1700,9.2600,104681643,980829610.0900,-0.430100
2025-08-13,9.1900,9.2800,9.0700,9.0800,55833517,510566378.1600,-1.943800
2025-08-14,9.1900,9.2600,8.8500,8.8600,44566240,401587490.4000,-2.422900
2025-08-15,9.0100,9.0700,8.8500,8.9200,35552949,318657633.8300,0.677200
2025-08-18,9.0900,9.3700,9.0500,9.1000,47391220,434204245.6000,2.017900
2025-08-19,9.0300,9.1400,8.9200,9.0600,35487220,320589855.8000,-0.439600
2025-08-20,9.0000,9.0000,8.7000,8.8900,34178464,301739397.3300,-1.876400
2025-08-21,8.9100,8.9500,8.7200,8.7700,21370540,188637885.2000,-1.349800
2025-08-22,8.7700,8.8900,8.7100,8.8300,22083663,194000359.6600,0.684200
2025-08-25,8.9000,8.9000,8.7200,8.7600,22251869,195692394.0600,-0.792800
2025-08-26,8.7300,8.8700,8.6900,8.8300,18741140,165144040.4000,0.799100
2025-08-27,8.8700,8.9500,8.4500,8.4600,26207840,227995141.8000,-4.190300
2025-08-28,8.4100,8.5900,8.2000,8.5000,22000960,184861390.2000,0.472800
2025-08-29,8.5300,8.5500,8.3100,8.3400,14584360,122385305.4000,-1.882400
2025-09-01,8.3500,8.4800,8.2900,8.4700,14803780,124218174.4000,1.558800
2025-09-02,8.4300,8.4400,8.1500,8.2300,15846701,130487447.2100,-2.833500
2025-09-03,8.2300,8.2800,7.9900,8.0100,12509700,101412240.8000,-2.673100
2025-09-04,8.0700,8.1700,7.9500,8.0400,14326900,115714944.0000,0.374500
2025-09-05,8.0800,8.1800,7.9500,8.1500,11714640,94667290.4000,1.368200
2025-09-08,8.1800,8.3200,8.1100,8.3000,11964423,98386917.5700,1.840500
2025-09-09,8.2900,8.3000,8.0800,8.1300,10483860,85693079.0000,-2.048200
2025-09-10,8.1200,8.1900,8.1000,8.1800,6903960,56347440.8000,0.615000
2025-09-11,8.2000,8.3000,8.1300,8.3000,10373600,85481825.2000,1.467000
2025-09-12,8.3000,8.4200,8.2500,8.3500,12096260,100927448.6000,0.602400
2025-09-15,8.3500,8.4200,8.2200,8.3700,9447440,78532054.4000,0.239500
2025-09-16,8.4100,8.7900,8.3800,8.5600,24159906,207556263.6400,2.270000
2025-09-17,8.5400,8.5400,8.3600,8.4100,15415000,130033316.6000,-1.752300
2025-09-18,8.3900,8.5800,8.2300,8.3000,18377820,155083942.6000,-1.308000
2025-09-19,8.3500,8.4000,8.1500,8.2000,12085140,99575602.4000,-1.204800
2025-09-22,8.2200,8.2600,8.0700,8.1500,8450980,68736573.9700,-0.609800
2025-09-23,8.1500,8.2100,7.9800,8.1900,14455327,116845713.3200,0.490800
