date,open,high,low,close,volume,amount,pctChg
2025-01-02,37.6800,38.1700,36.1300,36.5100,5610400,208517191.0000,-3.207800
2025-01-03,36.5100,36.9000,34.8500,34.8800,5096100,182111472.0000,-4.464500
2025-01-06,35.3000,37.3000,35.1100,35.4900,6321500,227358367.0000,1.748900
2025-01-07,35.4000,36.1100,35.2200,36.0700,4601840,164344756.0000,1.634300
2025-01-08,36.1000,36.9000,34.8800,36.5600,6565700,237353395.0000,1.358500
2025-01-09,36.0200,36.8000,36.0200,36.3500,4373800,159410168.0000,-0.574400
2025-01-10,36.2700,37.6500,35.8800,35.8800,6318700,233329229.4400,-1.293000
2025-01-13,35.2000,39.4000,35.0200,38.2700,11423549,428078549.0000,6.661100
2025-01-14,37.9100,39.6200,37.8400,39.6000,9608040,372701771.1000,3.475300
2025-01-15,39.5000,39.5000,38.8800,38.9300,4787349,187191235.5900,-1.691900
2025-01-16,39.3100,40.4100,38.6300,38.9500,6054500,239248207.0000,0.051400
2025-01-17,38.7500,39.9500,38.5000,39.3400,5696400,224080882.0000,1.001300
2025-01-20,39.3700,39.6300,38.6600,38.8400,5182800,201851245.0000,-1.271000
2025-01-21,39.0000,39.2200,38.3800,39.1700,3994517,155069094.6000,0.849600
2025-01-22,39.1500,39.2800,38.2600,38.5000,3605556,139256513.6100,-1.710500
2025-01-23,38.9300,39.5300,38.3600,38.3700,5136817,200667736.4000,-0.337700
2025-01-24,38.4000,38.6800,38.0000,38.5000,4588100,176174878.1000,0.338800
2025-01-27,38.5500,38.7900,37.2900,37.2900,3414000,129351097.0000,-3.142900
2025-02-05,37.8000,38.5600,37.7000,38.2500,4261900,163188876.0000,2.574400
2025-02-06,38.0700,40.4900,37.9400,40.1100,7386408,293001123.8800,4.862700
2025-02-07,39.8000,41.0500,39.6100,40.2000,9028806,364435592.6800,0.224400
2025-02-10,40.2400,41.3900,39.9200,41.3000,8267030,337092629.9500,2.736300
2025-02-11,41.2000,41.4800,40.2300,40.7300,6076254,248506096.8700,-1.380100
2025-02-12,40.4900,41.1500,40.3200,41.0700,5186100,211370311.0000,0.834800
2025-02-13,41.0900,41.0900,39.7100,39.7500,5214506,209338587.0400,-3.214000
2025-02-14,39.6500,39.9100,39.1000,39.3600,4840979,190427211.6500,-0.981100
2025-02-17,39.4000,40.3900,39.3000,39.7200,4834432,192214157.9600,0.914600
2025-02-18,39.8000,41.6200,39.5000,40.3000,11556417,468958046.9300,1.460200
2025-02-19,40.5000,41.4400,40.1000,41.3000,9309166,381477123.7800,2.481400
2025-02-20,41.7200,42.2200,40.9000,41.7900,9641900,401838214.0000,1.186400
2025-02-21,41.2000,42.9700,41.2000,42.3100,10516079,443466680.6800,1.244300
2025-02-24,42.5500,43.6800,42.0400,42.7500,11927200,511776595.8800,1.039900
2025-02-25,42.0000,44.4500,41.4200,43.4000,13620992,585657483.4500,1.520500
2025-02-26,43.0800,43.3600,42.2900,42.9500,8584400,367722504.7600,-1.036900
2025-02-27,42.9000,42.9000,41.0100,41.7700,7577706,316860018.3800,-2.747400
2025-02-28,41.5800,41.8600,38.6000,39.0000,8916496,356439006.4100,-6.631600
2025-03-03,38.8000,40.1900,38.2900,39.3600,6647373,261353430.6100,0.923100
2025-03-04,38.9800,40.8100,38.7400,40.5000,7224290,288467526.2400,2.896300
2025-03-05,40.0200,41.4600,39.7700,40.2900,5652800,228187969.4000,-0.518500
2025-03-06,40.9400,41.1600,40.3500,40.4500,7173340,292359648.8000,0.397100
2025-03-07,40.0000,40.1500,39.3100,39.5200,6216751,246696451.1900,-2.299100
2025-03-10,40.2300,42.4000,40.2300,41.5100,12447855,514597568.2000,5.035400
2025-03-11,40.5300,41.3600,40.3400,41.1700,7843960,320499954.8000,-0.819100
2025-03-12,41.4400,41.9300,41.2200,41.4900,8321580,346672987.8000,0.777300
2025-03-13,41.4800,41.4900,39.6400,40.1400,6774461,273501541.7000,-3.253800
2025-03-14,39.9900,40.4800,39.6000,40.3200,4421930,177578004.6000,0.448400
2025-03-17,40.3700,40.4800,39.9600,40.1900,3276601,131993163.4800,-0.322400
2025-03-18,40.2600,40.4600,39.8000,39.9700,3999827,160153465.1000,-0.547400
2025-03-19,39.7200,39.8300,39.0500,39.1900,4239900,166858469.0000,-1.951500
2025-03-20,39.2000,39.7800,38.9400,39.3500,3771149,148580721.6400,0.408300
