date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.6300,13.0400,12.4300,12.5600,16059942,205200608.8900,-0.554200
2025-01-03,12.5800,12.8200,12.3100,12.3300,10752602,134677997.6800,-1.831200
2025-01-06,12.3000,12.5900,12.2000,12.4900,8344902,103985667.7100,1.297600
2025-01-07,12.5200,12.6400,12.3500,12.5200,5438396,67803798.8900,0.240200
2025-01-08,12.4900,12.9400,12.3000,12.8600,12908911,163294043.1700,2.715700
2025-01-09,12.8000,12.8300,12.4100,12.4200,11148261,139790928.3900,-3.421500
2025-01-10,12.4000,12.4100,12.0500,12.0800,8749264,106753489.0000,-2.737500
2025-01-13,12.0600,12.3000,12.0100,12.1600,6314002,76775620.8500,0.662300
2025-01-14,12.1500,12.2900,11.9500,12.2600,12296345,149049099.3000,0.822400
2025-01-15,12.2000,12.3300,12.0500,12.1600,6705548,81443970.6600,-0.815700
2025-01-16,12.1500,12.4800,12.1500,12.2900,8387540,103357536.0900,1.069100
2025-01-17,12.2200,12.6400,12.0700,12.5400,12311451,153170714.7700,2.034200
2025-01-20,12.6100,12.6800,12.3000,12.3400,8330300,103935604.5600,-1.594900
2025-01-21,12.3500,12.4300,12.1700,12.3800,6026731,74235059.8000,0.324100
2025-01-22,12.3200,12.3300,12.0200,12.0800,7724600,93596789.6400,-2.423300
2025-01-23,12.1700,12.2600,12.0200,12.0200,6217203,75302025.1800,-0.496700
2025-01-24,12.0200,12.2000,11.9600,12.0900,5737324,69446694.3900,0.582400
2025-01-27,12.1300,12.3000,12.1200,12.1600,6474660,79130136.4000,0.579000
2025-02-05,12.1900,12.2100,11.9000,11.9900,8320049,99717272.5700,-1.398000
2025-02-06,11.9600,12.1100,11.8500,12.1000,7633472,91417116.3600,0.917400
2025-02-07,12.0800,12.4200,12.0000,12.2100,10340818,126564637.2400,0.909100
2025-02-10,12.2900,12.2900,12.1200,12.2000,8113840,98814003.5600,-0.081900
2025-02-11,12.2000,12.2000,11.9700,12.0300,8517755,102479756.0000,-1.393400
2025-02-12,12.0000,12.0700,11.9300,12.0600,5630304,67463968.0200,0.249400
2025-02-13,12.0600,12.3000,12.0400,12.1000,9653368,117767315.7900,0.331700
2025-02-14,12.1000,12.1300,11.9800,12.1000,5511584,66463086.1000,0.000000
2025-02-17,12.0900,12.1200,11.9300,12.0000,7778696,93280607.1000,-0.826400
2025-02-18,11.9800,11.9800,11.6800,11.7200,10064369,119112352.6800,-2.333300
2025-02-19,11.7000,11.7700,11.6100,11.7100,7009948,81925948.1700,-0.085300
2025-02-20,11.7200,11.7300,11.5200,11.5600,8431483,97603580.6500,-1.281000
2025-02-21,11.5300,11.6400,11.4200,11.6000,9492279,109492685.6600,0.346000
2025-02-24,11.6000,11.7200,11.5500,11.6700,10790040,125641879.3200,0.603400
2025-02-25,11.6500,11.6600,11.4900,11.5000,8063066,93026613.1100,-1.456700
2025-02-26,11.5100,11.6100,11.4700,11.5300,6662682,76692692.8000,0.260900
2025-02-27,11.5000,12.0900,11.5000,11.9500,22916335,271761466.2900,3.642700
2025-02-28,12.0000,12.2800,11.8600,11.9000,15464318,186903577.4400,-0.418400
2025-03-03,11.8800,12.1400,11.8500,11.9100,8841077,106014736.7700,0.084000
2025-03-04,11.9100,11.9500,11.7400,11.8000,6855031,80921566.5100,-0.923600
2025-03-05,11.8000,11.8100,11.6700,11.7200,7446177,87249787.5600,-0.678000
2025-03-06,11.7700,12.0600,11.6900,12.0500,13018652,154750140.5700,2.815700
2025-03-07,12.0000,12.3200,11.8800,12.2300,12757692,155217541.0200,1.493800
2025-03-10,12.2700,12.4600,12.2100,12.3100,11454354,141324512.5200,0.654100
2025-03-11,12.2000,12.3200,12.1200,12.2100,8414785,102694375.6900,-0.812300
2025-03-12,12.2400,12.2600,11.9600,12.0200,9422463,113373297.0000,-1.556100
2025-03-13,12.0300,12.1000,11.9400,11.9600,6493950,77938149.0800,-0.499200
2025-03-14,11.9900,12.2700,11.8800,12.2400,11530121,139814833.9600,2.341100
2025-03-17,12.2800,12.5500,12.2600,12.4000,10135410,125711352.8300,1.307200
2025-03-18,12.4200,12.5500,12.3200,12.4200,6077500,75502023.7400,0.161300
2025-03-19,12.3700,12.5100,12.2600,12.4800,7480066,92638331.8200,0.483100
2025-03-20,12.4800,12.5400,12.3000,12.3200,5033266,62242902.6400,-1.282100
2025-03-21,12.3300,12.4400,12.1700,12.2800,6915353,85037496.7000,-0.324700
2025-03-24,12.2600,12.4000,12.1500,12.3100,5841513,71699103.4000,0.244300
2025-03-25,12.2600,12.4000,12.2100,12.3900,5930300,73081369.0000,0.649900
2025-03-26,12.4000,12.4500,12.1600,12.1700,6994493,85647109.3500,-1.775600
2025-03-27,12.1400,12.4500,12.0800,12.4100,9726155,119982487.8300,1.972100
2025-03-28,12.4200,12.4400,12.1900,12.1900,5642522,69345795.1400,-1.772800
2025-03-31,12.2000,12.3600,11.9600,11.9700,6958401,84089710.1300,-1.804800
2025-04-01,11.9800,12.2800,11.9500,12.1800,6731000,82034067.1400,1.754400
2025-04-02,12.1800,12.3000,12.1100,12.1200,5173600,63170822.1000,-0.492600
2025-04-03,12.0900,12.2100,11.9500,11.9900,6895154,83043713.7300,-1.072600
2025-04-07,11.6500,11.6600,10.8500,11.1800,17163516,193569349.3000,-6.755600
2025-04-08,11.2000,11.6300,11.1900,11.5000,13728825,157768211.6000,2.862300
2025-04-09,11.3800,12.4500,11.3000,12.4500,21573119,258267580.5200,8.260900
2025-04-10,12.3500,12.4100,12.0300,12.0900,14967627,182103240.3100,-2.891600
2025-04-11,11.9900,12.0500,11.8100,11.8900,8112873,96625376.0500,-1.654300
2025-04-14,11.9500,11.9800,11.8200,11.8500,6236208,74068849.8000,-0.336400
2025-04-15,11.8600,11.8900,11.6500,11.7200,5972038,69996346.7000,-1.097000
2025-04-16,11.7700,12.0200,11.7100,11.9900,9301293,110179451.8500,2.303800
2025-04-17,11.8900,12.6800,11.8200,12.4400,23705210,294874302.4200,3.753100
2025-04-18,12.4400,12.5600,12.2800,12.3000,8696010,107846892.4700,-1.125400
2025-04-21,12.3100,12.3500,12.0400,12.2500,9819969,119408989.8400,-0.406500
2025-04-22,12.2400,12.6000,12.0800,12.5400,16614009,206772863.7300,2.367300
2025-04-23,12.5000,12.5800,12.1800,12.2000,10481289,128938580.9100,-2.711300
2025-04-24,12.2500,12.3600,12.1100,12.3000,5990858,73310885.9800,0.819700
2025-04-25,12.2800,12.4800,12.1700,12.2600,6103735,75341804.2000,-0.325200
2025-04-28,12.0800,12.0800,11.6400,11.7100,13076980,154027714.6600,-4.486100
2025-04-29,11.7100,11.7500,11.6400,11.7000,3562360,41676635.6400,-0.085400
2025-04-30,11.7300,11.8400,11.7000,11.8000,4391023,51717811.3000,0.854700
2025-05-06,11.8300,12.0100,11.7900,11.9600,5831298,69363932.0200,1.355900
2025-05-07,12.1000,12.3400,11.8900,11.9500,6811309,82333635.1100,-0.083600
2025-05-08,11.9500,12.0000,11.8600,11.9300,2913900,34785018.0000,-0.167400
2025-05-09,11.9600,11.9800,11.8300,11.9100,3301844,39276249.6000,-0.167600
2025-05-12,11.9700,12.0000,11.7500,11.8400,6158710,72769618.8800,-0.587700
2025-05-13,11.9200,11.9400,11.8100,11.8700,5005610,59397217.8000,0.253400
2025-05-14,11.8300,11.8900,11.6700,11.8200,5667579,66640001.4300,-0.421200
2025-05-15,11.7900,11.8500,11.6000,11.6400,7357260,85915732.9200,-1.522800
2025-05-16,11.6700,11.7300,11.6100,11.6600,2763908,32228883.6400,0.171800
2025-05-19,11.6200,11.7300,11.6100,11.6900,3441920,40144095.0500,0.257300
2025-05-20,11.7300,11.8700,11.6300,11.7600,5928799,69573203.0500,0.598800
2025-05-21,11.7200,11.8200,11.7200,11.7700,2704769,31829800.1200,0.085000
2025-05-22,11.7500,12.0000,11.7300,11.7400,8354552,99025629.0800,-0.254900
2025-05-23,11.7400,11.9000,11.7000,11.7900,5596761,66104599.4100,0.425900
2025-05-26,11.7600,11.8800,11.6300,11.7200,5697064,66917930.4800,-0.593700
2025-05-27,11.7300,11.8700,11.6400,11.8700,6943303,81816073.1100,1.279900
2025-05-28,11.3600,11.3800,11.1200,11.1400,9098898,101739217.1400,-2.109000
2025-05-29,11.1600,11.2800,11.1000,11.2400,5456055,61232858.1200,0.897700
2025-05-30,11.2400,11.2700,11.1900,11.2000,3153800,35388678.0000,-0.355900
2025-06-03,11.1500,11.2100,11.1100,11.1800,4069222,45375229.6400,-0.178600
2025-06-04,11.1700,11.2300,11.0900,11.1900,4406722,49217591.3800,0.089400
2025-06-05,11.2100,11.2700,11.0900,11.1900,7427176,82903742.0500,0.000000
2025-06-06,11.1800,11.2200,11.1000,11.1200,4805062,53549717.6300,-0.625600
2025-06-09,11.1300,11.1500,11.0800,11.1100,3959227,44023502.7000,-0.089900
2025-06-10,11.1100,11.1500,10.9700,11.0600,4974319,55010366.6100,-0.450000
2025-06-11,11.0100,11.1300,11.0000,11.0800,3061515,33990649.2900,0.180800
2025-06-12,11.0600,11.0800,10.9400,10.9600,6376281,70132399.9500,-1.083000
2025-06-13,10.9300,10.9800,10.8100,10.8300,5681630,61727580.3600,-1.186100
2025-06-16,10.8200,10.9300,10.8000,10.8400,5493129,59667472.2600,0.092300
2025-06-17,10.8200,10.8700,10.7200,10.7500,4307032,46425442.3600,-0.830300
2025-06-18,10.7500,10.7600,10.5000,10.5500,7849522,82800092.5600,-1.860500
2025-06-19,10.5200,10.5600,10.2600,10.3300,10453581,108506589.8600,-2.085300
2025-06-20,10.3200,10.4000,10.2700,10.3800,6193686,64047244.0400,0.484000
2025-06-23,10.2900,10.3000,10.1300,10.2600,7375302,75322382.5200,-1.156100
2025-06-24,10.2900,10.4000,10.2700,10.3200,9071721,93591125.1100,0.584800
2025-06-25,10.3400,10.3900,10.2700,10.3800,7187449,74259399.4400,0.581400
2025-06-26,10.3800,10.3900,10.3000,10.3200,7823100,80812282.0000,-0.578000
2025-06-27,10.3200,10.4100,10.2700,10.2800,9584855,99069230.6000,-0.387600
2025-06-30,10.2900,10.3800,10.2800,10.3600,7982418,82403685.8400,0.778200
2025-07-01,10.3600,10.3900,10.3000,10.3500,6147300,63474207.8000,-0.096500
2025-07-02,10.3600,10.3700,10.2000,10.3100,19385885,198677643.0100,-0.386500
2025-07-03,10.3300,10.6000,10.3200,10.4400,22446607,234623066.3100,1.260900
2025-07-04,10.4400,10.4800,10.3000,10.3200,14622751,151450318.0800,-1.149400
2025-07-07,10.3000,10.4700,10.2600,10.4000,14268198,148443081.2600,0.775200
2025-07-08,10.4000,10.4500,10.3600,10.4100,11894140,123804174.4000,0.096200
2025-07-09,10.4500,10.6800,10.3900,10.5000,21145424,222646118.8500,0.864600
2025-07-10,10.5000,10.6100,10.4600,10.6000,17231632,181697934.4700,0.952400
2025-07-11,10.6000,10.6300,10.5200,10.5600,14300200,151183380.0000,-0.377400
2025-07-14,10.5500,10.6400,10.5200,10.5400,9755824,102922527.1600,-0.189400
2025-07-15,10.5100,10.9200,10.3800,10.5900,19144579,202181884.2800,0.474400
2025-07-16,10.5700,10.5900,10.5000,10.5500,8588604,90624375.4800,-0.377700
2025-07-17,10.5600,10.5700,10.4500,10.4900,7896905,82826136.4000,-0.568700
2025-07-18,10.5200,10.5300,10.4600,10.5200,7121830,74698712.9400,0.286000
2025-07-21,10.5600,10.7900,10.5600,10.7600,21424944,229238635.2100,2.281400
2025-07-22,10.8700,11.3000,10.7500,11.2900,37409967,411767125.8300,4.925700
2025-07-23,11.4000,11.4500,11.1000,11.1100,23892689,267316207.2600,-1.594300
2025-07-24,11.1400,11.2100,10.9600,11.1500,17403569,193405145.4300,0.360000
2025-07-25,11.1400,11.2400,10.9900,11.1500,13185850,147414593.3800,0.000000
2025-07-28,11.1800,11.2500,10.9000,10.9500,16749500,184194075.2800,-1.793700
2025-07-29,11.0000,11.0500,10.8800,10.9300,12523381,136923686.6400,-0.182600
2025-07-30,10.9300,11.0300,10.8300,10.9400,11552136,126402483.6000,0.091500
2025-07-31,10.9400,10.9400,10.6300,10.6700,15115019,162161054.1900,-2.468000
2025-08-01,10.6000,10.7100,10.5800,10.6600,7182994,76525269.9800,-0.093700
2025-08-04,10.6200,10.7400,10.5600,10.7100,6958987,74299468.1900,0.469000
2025-08-05,10.7100,10.7700,10.6500,10.7500,7774181,83304578.8000,0.373500
2025-08-06,10.7300,10.8000,10.6800,10.7900,5692186,61225113.3000,0.372100
2025-08-07,10.8100,10.8600,10.7400,10.7900,7885545,85093602.6700,0.000000
2025-08-08,10.7700,10.8200,10.7200,10.7600,5834949,62830667.3600,-0.278000
2025-08-11,10.7900,10.9200,10.7800,10.8800,8892302,96667393.0600,1.115200
2025-08-12,10.8900,11.1200,10.8900,11.0300,12984943,143092577.0000,1.378700
2025-08-13,11.0000,11.1200,10.7200,11.0000,24749336,269082757.5800,-0.272000
2025-08-14,10.9600,11.0800,10.8000,10.8000,12327009,134587223.9000,-1.818200
2025-08-15,10.8000,10.9300,10.7800,10.8600,9723103,105561815.3700,0.555600
2025-08-18,10.9000,10.9800,10.8300,10.9300,12789440,139402521.3600,0.644600
2025-08-19,10.9200,10.9500,10.8400,10.8900,9459186,103088152.5400,-0.366000
2025-08-20,10.8600,10.9400,10.8000,10.9400,8536737,92875613.5000,0.459100
2025-08-21,10.9400,11.0300,10.9000,10.9600,11411582,125119545.1700,0.182800
2025-08-22,10.9400,10.9900,10.8800,10.9900,11046872,120837009.5200,0.273700
2025-08-25,11.0100,11.0800,10.9500,11.0300,16094413,177344350.6000,0.364000
2025-08-26,11.0200,11.1400,10.9200,11.1000,14733357,163251406.8400,0.634600
2025-08-27,11.1200,11.1500,10.8400,10.8400,13372265,146993062.2400,-2.342300
2025-08-28,10.8500,10.9200,10.6200,10.7900,11863298,127897498.4300,-0.461300
2025-08-29,10.8100,10.9700,10.7600,10.7800,9411571,102060089.3100,-0.092700
