date,open,high,low,close,volume,amount,pctChg
2025-01-02,18.8600,19.0000,17.8000,18.0300,23643140,435478750.5200,-5.055300
2025-01-03,18.1300,18.2300,17.0700,17.1600,20707297,364979358.0500,-4.825300
2025-01-06,17.1000,17.5800,16.6800,16.8800,18188200,310836037.0000,-1.631700
2025-01-07,16.8000,18.5700,16.7900,18.5700,30602594,544661935.0800,10.011800
2025-01-08,18.5500,19.0200,17.9600,18.7400,39705138,736585654.4700,0.915500
2025-01-09,18.5800,19.5000,18.4300,18.9800,30283759,576857910.2100,1.280700
2025-01-10,18.7000,18.9200,17.9000,17.9500,27588300,507704844.0000,-5.426800
2025-01-13,17.6900,17.8800,17.2600,17.4800,17988200,315154074.0000,-2.618400
2025-01-14,17.9700,19.2300,17.7500,19.2300,13700683,255080916.2100,10.011400
2025-01-15,19.6300,20.4000,19.5000,19.8800,52483276,1050531061.5000,3.380100
2025-01-16,20.0000,20.3700,19.5700,19.9100,33382714,664421973.6200,0.150900
2025-01-17,19.8800,20.0600,19.5800,19.8900,24309777,482239799.7200,-0.100500
2025-01-20,20.2000,20.3000,19.7700,20.0500,30978228,620752655.7000,0.804400
2025-01-21,20.1000,20.5500,19.9800,20.4200,36088789,731622031.3600,1.845400
2025-01-22,20.1000,20.6000,20.0100,20.3000,29894232,608959193.8200,-0.587700
2025-01-23,20.6500,21.0300,19.9800,19.9900,37313423,763335680.4900,-1.527100
2025-01-24,19.9800,21.0000,19.9800,20.5100,36895693,760539374.1900,2.601300
2025-01-27,20.5100,20.5900,19.4700,19.5700,28397900,563508249.8900,-4.583100
2025-02-05,19.9000,20.0800,19.5500,19.6200,23409533,462538419.7600,0.255500
2025-02-06,19.6100,20.3600,19.5200,20.2700,26476215,531756488.0700,3.312900
2025-02-07,20.2700,20.9200,20.1100,20.6600,32408334,665877671.7200,1.924000
2025-02-10,20.7300,20.8800,20.4500,20.7900,26286189,543664843.8000,0.629200
2025-02-11,20.6500,21.2800,20.4700,20.9600,31387697,654967786.6800,0.817700
2025-02-12,20.8800,21.4600,20.8600,21.2500,29125622,616516371.9700,1.383600
2025-02-13,21.0800,21.1200,20.5000,20.7100,25913404,537859240.2600,-2.541200
2025-02-14,20.6100,22.2200,20.5700,21.6100,39219692,839229492.2000,4.345700
2025-02-17,22.2200,22.9200,21.8800,22.6500,52283845,1173290973.9600,4.812600
2025-02-18,22.2000,22.2100,20.9700,21.0600,41551285,896128873.7800,-7.019900
2025-02-19,21.0700,21.5600,20.9100,21.5000,26269021,560429781.2200,2.089300
2025-02-20,21.6400,22.2500,21.3900,22.0000,29594996,645793349.0000,2.325600
2025-02-21,22.5000,23.8000,22.4000,23.5600,56297030,1304436258.8600,7.090900
2025-02-24,23.4900,24.2400,23.0800,23.4800,46347642,1090678483.3300,-0.339600
2025-02-25,22.9300,23.4500,22.6500,22.9400,29211024,670833836.8300,-2.299800
2025-02-26,23.0300,23.5600,22.5000,23.3000,34471724,793099387.1200,1.569300
2025-02-27,23.4200,23.7100,22.2800,22.6300,29192403,666562836.7100,-2.875500
2025-02-28,22.4200,22.6900,21.0500,21.1100,26932002,583922375.8200,-6.716700
2025-03-03,21.1900,21.3900,20.5600,20.9000,19739701,413081493.1800,-0.994800
2025-03-04,20.7000,21.4800,20.6300,21.3200,16433642,348346382.7400,2.009600
2025-03-05,21.3300,21.9800,21.2600,21.7900,16072676,347577822.7300,2.204500
2025-03-06,21.8900,22.5000,21.8900,22.2000,20592016,458182435.4600,1.881600
2025-03-07,22.2000,22.5100,21.8000,21.9800,16035806,355102018.4400,-0.991000
2025-03-10,22.0100,22.1000,21.5000,21.6900,12231946,265536514.9000,-1.319400
2025-03-11,21.3000,21.4700,21.0600,21.4300,13060697,277918486.9500,-1.198700
2025-03-12,21.6000,22.9300,21.4600,22.3300,25724306,574363123.5000,4.199700
2025-03-13,22.3400,22.3800,21.4600,21.6700,16705354,363992424.6400,-2.955700
2025-03-14,21.6700,22.0600,21.4700,22.0600,15372395,335369316.1500,1.799700
2025-03-17,22.0100,22.2400,21.7200,21.9400,12263949,269235618.2200,-0.544000
2025-03-18,22.0600,22.7500,21.8500,22.2900,20196294,449468149.7400,1.595300
2025-03-19,22.2000,22.2000,21.2500,21.3200,22186415,476919411.9900,-4.351700
2025-03-20,21.3400,21.5500,21.1200,21.2400,11691100,249239929.9600,-0.375200
2025-03-21,21.1500,21.3300,20.7200,20.7400,11986222,251806424.4500,-2.354000
2025-03-24,20.6500,20.8600,20.2000,20.7100,11867999,244279874.1000,-0.144600
2025-03-25,20.6300,20.7400,20.0000,20.0500,10774385,218222860.1300,-3.186900
2025-03-26,20.0300,20.4500,20.0100,20.0300,7403800,149408355.8800,-0.099800
2025-03-27,19.9700,20.1800,19.7500,19.8600,8656121,172765085.4000,-0.848700
2025-03-28,19.9000,20.0900,19.8600,19.9100,5964300,119171040.3100,0.251800
2025-03-31,19.7600,20.1200,19.5400,19.9900,8758071,173688099.2000,0.401800
2025-04-01,19.9900,20.1400,19.8600,19.9300,6951900,138976645.9300,-0.300200
2025-04-02,19.8800,20.2300,19.8300,20.1000,7396503,148565036.9100,0.853000
2025-04-03,20.0000,20.2100,19.6500,19.9200,12403700,247288646.6900,-0.895500
2025-04-07,18.5000,18.8500,17.9300,17.9300,13354000,242496397.0000,-9.990000
2025-04-08,17.9000,18.0400,16.6300,17.1100,20089138,346380453.0300,-4.573300
2025-04-09,16.7400,17.6600,16.0700,17.4300,14873263,252925616.9000,1.870300
2025-04-10,18.5200,18.9000,18.2600,18.2900,19413678,360723067.8000,4.934000
2025-04-11,18.0000,18.6500,18.0000,18.3800,13136827,240759609.6000,0.492100
2025-04-14,18.8600,18.9900,18.4500,18.5500,13167002,246363075.9300,0.924900
2025-04-15,18.5800,18.6900,18.2800,18.4700,7531493,138935387.5400,-0.431300
2025-04-16,18.4700,18.6500,18.0900,18.5200,9350651,172295586.4800,0.270700
2025-04-17,18.3000,19.0500,18.3000,18.5200,12539102,234367839.0100,0.000000
2025-04-18,18.4700,18.8000,18.3500,18.7400,8154439,151765278.4200,1.187900
2025-04-21,18.8100,19.0000,18.6200,18.9800,8910750,168199119.5000,1.280700
2025-04-22,18.9500,18.9600,18.7300,18.8600,7804600,147166272.0000,-0.632200
2025-04-23,18.9900,19.2500,18.9600,19.1600,10665368,203807679.6700,1.590700
2025-04-24,19.2100,19.2100,18.7000,18.8500,7837102,148303700.5400,-1.618000
2025-04-25,18.9200,19.4800,18.8700,19.2500,11492160,221120373.8100,2.122000
2025-04-28,19.1800,19.4500,18.9900,19.2900,9292103,179145125.6000,0.207800
2025-04-29,19.1700,19.5100,18.9800,19.2200,8339300,160715910.0000,-0.362900
2025-04-30,19.0700,19.5500,19.0500,19.3300,13118250,253983320.0000,0.572300
2025-05-06,19.5000,19.8900,19.4800,19.8500,13557440,267327783.9000,2.690100
2025-05-07,20.0900,20.2000,19.5800,19.7600,12539571,248757016.3600,-0.453400
2025-05-08,19.7100,20.1600,19.6900,20.1200,11588497,232252031.7300,1.821900
2025-05-09,20.1000,20.1100,19.7900,19.8900,7803400,155338137.0000,-1.143100
2025-05-12,20.0600,20.2300,19.9700,20.1700,8647315,174025351.1000,1.407700
2025-05-13,20.3800,20.3900,19.8800,19.9800,9667101,193999677.0400,-0.942000
2025-05-14,19.9800,20.1200,19.8100,19.9900,7792458,155489896.8800,0.050100
2025-05-15,19.9500,19.9900,19.4900,19.5300,7557267,148373518.8500,-2.301200
2025-05-16,19.4300,19.7500,19.3800,19.5400,5815020,114173961.4500,0.051200
2025-05-19,19.5000,20.1000,19.2800,19.8900,8328820,164072821.5500,1.791200
2025-05-20,19.8800,20.0500,19.7000,19.9400,7088609,141124368.2500,0.251400
2025-05-21,20.2800,20.5100,19.9800,20.0000,15174079,307375104.7500,0.300900
2025-05-22,19.8100,19.9500,19.5200,19.5300,10115300,199218071.0000,-2.350000
2025-05-23,19.5400,19.6300,19.2300,19.2300,6202408,120558608.9800,-1.536100
2025-05-26,19.2000,19.4800,19.2000,19.3800,4025123,77918740.3200,0.780000
2025-05-27,19.3800,19.3800,18.8000,18.8800,8058423,152847555.0100,-2.580000
2025-05-28,18.9500,19.2800,18.9200,19.0700,7602651,145107660.5000,1.006400
2025-05-29,19.0000,19.4600,19.0000,19.4500,7081076,136978349.6600,1.992700
2025-05-30,19.2200,19.3000,19.0700,19.1500,5755000,110344175.1200,-0.260400
2025-06-03,19.0300,19.3400,19.0300,19.1100,7106000,136338804.0000,-0.208900
2025-06-04,19.1800,19.4000,19.1500,19.2700,5579363,107693089.2700,0.837300
2025-06-05,19.2700,19.7400,19.1400,19.6800,11147336,217698762.2900,2.127700
2025-06-06,19.6800,19.9700,19.5900,19.8100,12421294,245875416.2000,0.660600
2025-06-09,19.9000,20.0000,19.7700,19.8500,8694891,172816030.4100,0.201900
2025-06-10,20.0000,20.5500,19.5400,19.6600,12943760,259253378.0800,-0.957200
2025-06-11,19.8000,19.8900,19.5300,19.7300,6390134,126246729.5400,0.356100
2025-06-12,19.7000,19.8700,19.5700,19.6700,7056700,139411868.3400,-0.304100
2025-06-13,19.7000,20.8600,19.6600,19.9300,24673070,501924984.0600,1.321800
2025-06-16,19.7800,20.3100,19.7300,20.0700,13939506,280167727.4200,0.702500
2025-06-17,20.1500,20.5000,20.0000,20.2700,14584394,295885270.6500,0.996500
2025-06-18,20.2100,20.6100,20.1300,20.4000,13029800,265623234.9400,0.641300
