date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.4300,7.4500,7.0100,7.0900,31560828,227724736.8900,-4.576000
2025-01-03,7.1100,7.1600,6.8700,6.9000,23792346,166757391.5100,-2.679800
2025-01-06,6.8800,6.9500,6.7800,6.8500,21769800,149247130.6300,-0.724600
2025-01-07,6.8700,6.9600,6.8400,6.9400,17898399,123467628.3800,1.313900
2025-01-08,6.9300,6.9400,6.6600,6.8300,26352565,179445078.1600,-1.585000
2025-01-09,6.8000,6.9800,6.7800,6.9400,22766066,157540503.6800,1.610500
2025-01-10,6.9500,7.0900,6.8200,6.8200,19384638,134862601.7600,-1.729100
2025-01-13,6.9000,7.0400,6.8200,6.8800,29260027,202763459.3200,0.879800
2025-01-14,6.8800,7.1400,6.8000,7.1200,31328678,219621100.9400,3.488400
2025-01-15,7.1300,7.1300,6.9700,7.0000,21490755,150850797.1200,-1.685400
2025-01-16,7.0600,7.1600,6.9500,6.9900,21305524,149865996.1800,-0.142900
2025-01-17,6.9400,7.1700,6.9400,7.1100,21894426,154699799.7200,1.716700
2025-01-20,7.1400,7.2100,7.0400,7.0500,16389470,116305694.5600,-0.843900
2025-01-21,7.0800,7.1100,6.9800,7.0500,13030102,91634713.9900,0.000000
2025-01-22,7.0200,7.0900,6.9500,7.0600,14245741,100081740.6200,0.141800
2025-01-23,6.7900,6.8000,6.4800,6.5700,77954481,518824473.1000,-6.940500
2025-01-24,6.5800,6.7500,6.5500,6.6300,38027443,252835801.7000,0.913200
2025-01-27,6.6900,6.7200,6.5200,6.5200,21364516,140817071.8000,-1.659100
2025-02-05,6.6200,6.7300,6.5400,6.6500,32160514,213713302.3400,1.993900
2025-02-06,6.6500,7.0700,6.5800,7.0200,41307361,284389854.6300,5.563900
2025-02-07,7.0500,7.1900,6.9900,7.0900,39891960,283574298.9700,0.997200
2025-02-10,7.1000,7.2900,7.0500,7.2700,37799491,272263827.9400,2.538800
2025-02-11,7.3000,7.4000,7.1700,7.2500,54788739,399166238.4600,-0.275100
2025-02-12,7.2500,7.2800,7.1500,7.2500,35551379,256038648.3800,0.000000
2025-02-13,7.2500,7.2700,7.1000,7.1000,26527228,189604076.4200,-2.069000
2025-02-14,7.1300,7.1900,7.0600,7.1700,24127724,172308886.4600,0.985900
2025-02-17,7.1800,7.3000,7.1000,7.2700,46394615,334757348.1900,1.394700
2025-02-18,7.2800,7.3200,7.0400,7.0600,37396781,268451736.9100,-2.888600
2025-02-19,7.0600,7.5900,7.0400,7.4900,75918743,561579530.2800,6.090700
2025-02-20,7.5800,8.2400,7.5700,8.2400,92245156,750147450.2300,10.013400
2025-02-21,8.0800,8.3000,7.9700,8.1600,155881958,1273240974.0700,-0.970900
2025-02-24,8.7400,8.9800,8.3600,8.9800,174397018,1513778145.4700,10.049000
2025-02-25,8.5000,8.7000,8.3100,8.4200,195112511,1656717183.4100,-6.236100
2025-02-26,8.4900,8.5800,8.2400,8.3600,123969768,1035846750.7600,-0.712600
2025-02-27,8.3900,8.4200,8.0000,8.1500,97523974,794341978.2700,-2.512000
2025-02-28,8.1500,8.1700,7.9100,7.9800,72633256,583385483.8800,-2.085900
2025-03-03,7.9500,8.1300,7.8600,7.9300,56573431,451891322.1500,-0.626600
2025-03-04,7.8800,8.1000,7.8000,8.0800,64664830,519069364.7300,1.891600
2025-03-05,8.0800,8.4200,8.0500,8.2500,84873737,700301501.2900,2.104000
2025-03-06,8.2400,8.4600,8.1700,8.4400,78834280,656903809.2600,2.303000
2025-03-07,8.4300,8.7000,8.3200,8.4100,86292932,732841046.2200,-0.355500
2025-03-10,8.5000,8.5900,8.3600,8.4700,59246697,501498956.9700,0.713400
2025-03-11,8.3700,8.7200,8.3100,8.7100,90514478,777629938.5300,2.833500
