date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.8600,13.0100,12.4800,12.5400,4505327,57564060.5800,-2.941200
2025-01-03,12.5900,12.6900,12.1900,12.2400,4509152,56121571.8800,-2.392300
2025-01-06,12.2800,12.6000,12.0200,12.3900,3727196,46022584.4000,1.225500
2025-01-07,12.4000,12.4200,12.0800,12.3600,3131500,38333165.9000,-0.242100
2025-01-08,12.2900,12.4100,12.0500,12.3100,3012723,36945060.7400,-0.404500
2025-01-09,12.2600,12.3900,12.1700,12.3000,2080200,25582865.0000,-0.081200
2025-01-10,12.2900,12.3000,11.9400,11.9400,2716500,32881649.0000,-2.926800
2025-01-13,11.7800,12.0300,11.7100,12.0300,2206200,26235920.0000,0.753800
2025-01-14,12.0300,12.3000,12.0300,12.3000,3049879,37207318.7500,2.244400
2025-01-15,12.3200,12.4600,12.1800,12.4400,2768900,34086657.8600,1.138200
2025-01-16,12.3900,12.6600,12.3900,12.4500,2880493,36039563.7100,0.080400
2025-01-17,12.4300,12.5500,12.3800,12.4800,1663400,20742641.0000,0.241000
2025-01-20,12.5000,12.8300,12.4800,12.7000,2687350,34001237.0000,1.762800
2025-01-21,12.8200,12.8200,12.5400,12.6500,1502700,18970481.0000,-0.393700
2025-01-22,12.6000,12.6700,12.4800,12.6100,1645500,20715748.0000,-0.316200
2025-01-23,12.8400,12.8400,12.6100,12.6400,1843869,23468949.9700,0.237900
2025-01-24,12.6900,12.6900,12.4900,12.6400,1733900,21816605.5000,0.000000
2025-01-27,12.6600,12.8600,12.6300,12.6300,2323569,29639267.0800,-0.079100
2025-02-05,12.6800,12.7400,12.4900,12.5900,1937200,24439665.0000,-0.316700
2025-02-06,12.5500,12.7200,12.4400,12.6800,2450401,30828677.5600,0.714900
2025-02-07,12.7000,12.9000,12.6500,12.8200,3235601,41445132.7200,1.104100
2025-02-10,12.8000,12.9600,12.7800,12.9600,2880700,37156341.0000,1.092000
2025-02-11,12.9200,12.9600,12.7500,12.8500,2379300,30525401.0000,-0.848800
