date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.5400,13.8200,12.9900,13.1900,53483258,716513416.7300,-3.086000
2025-01-03,13.2000,13.2500,12.8000,12.8700,35808294,466471654.2100,-2.426100
2025-01-06,12.8700,13.1100,12.7000,12.8300,33838333,435867469.7200,-0.310800
2025-01-07,12.8500,13.2800,12.7900,13.2500,33333611,435364491.1300,3.273600
2025-01-08,13.1900,13.2800,12.6500,12.8500,40068844,516654271.3100,-3.018900
2025-01-09,12.7800,13.0200,12.5300,12.8900,32120387,411028620.7400,0.311300
2025-01-10,12.8000,13.1700,12.7300,12.8800,33413794,435529484.4800,-0.077600
2025-01-13,12.8000,13.1800,12.7000,12.8400,30338179,392515179.5900,-0.310600
2025-01-14,12.9100,13.3800,12.6100,13.2300,48697858,637992846.7600,3.037400
2025-01-15,13.2600,13.3300,13.0100,13.0900,28371611,372370546.7800,-1.058200
2025-01-16,13.1100,13.4200,12.9000,12.9600,40502581,531115955.4000,-0.993100
2025-01-17,12.8500,13.0200,12.7400,12.9000,29672144,381873779.2800,-0.463000
2025-01-20,12.9900,13.2000,12.9700,13.0100,29266515,382602381.0700,0.852700
2025-01-21,13.0500,13.8400,13.0400,13.8200,67567343,913752295.2000,6.226000
2025-01-22,13.6900,14.1300,13.4300,14.0200,46461412,641558446.0600,1.447200
2025-01-23,14.1300,14.3000,13.8600,13.9000,41576760,584841161.1300,-0.855900
2025-01-24,13.8600,14.1000,13.8300,13.9300,31898272,445012761.1800,0.215800
2025-01-27,13.8000,14.0500,13.7800,13.8700,31147787,433367160.6300,-0.430700
2025-02-05,14.1800,15.2600,14.1800,15.1800,107170162,1596810763.4400,9.444800
2025-02-06,15.1500,15.7500,14.9700,15.4900,87110600,1339838839.3500,2.042200
2025-02-07,15.4600,16.2700,15.4600,15.8800,83482455,1326865988.5200,2.517800
2025-02-10,16.0900,16.1100,15.3100,15.6500,70392943,1096806213.1300,-1.448400
2025-02-11,15.6000,15.8500,15.4500,15.5200,45239728,707636176.1000,-0.830700
2025-02-12,15.4500,15.6500,15.2000,15.5900,55547381,858482302.2800,0.451000
2025-02-13,15.6000,15.6700,15.1500,15.3500,44274376,680882276.2800,-1.539400
2025-02-14,15.4900,16.1800,14.9000,16.0700,82377789,1283568003.4600,4.690600
2025-02-17,16.7500,17.2000,16.1200,16.3500,98719027,1645166918.3700,1.742400
2025-02-18,16.9000,17.3000,16.1400,16.2800,82976966,1384239786.8900,-0.428100
2025-02-19,16.0600,16.5400,15.9000,16.4500,50174464,817289833.4700,1.044200
2025-02-20,16.3200,16.8500,16.0900,16.2500,44878799,735171685.4300,-1.215800
2025-02-21,16.2600,17.0300,16.0700,16.8500,57296632,951067797.4300,3.692300
2025-02-24,16.8500,16.8600,16.3000,16.4900,36317790,601198892.1500,-2.136500
2025-02-25,16.2800,16.4000,16.0000,16.1000,41392496,669111071.1100,-2.365100
2025-02-26,16.2400,16.3300,15.8800,16.0000,33553262,538742513.9200,-0.621100
2025-02-27,16.0000,16.3700,15.8600,16.0400,36427193,584092368.6600,0.250000
2025-02-28,15.9400,15.9600,15.0800,15.1800,47932241,739772013.2900,-5.361600
