date,open,high,low,close,volume,amount,pctChg
2025-01-02,22.4200,22.9200,21.4200,21.7700,24350104,537714327.5800,-3.373300
2025-01-03,21.6800,23.1800,21.0100,22.2500,43288090,958839373.0900,2.204900
2025-01-06,22.0100,23.7800,21.7800,23.7800,43777962,1004478689.6700,6.876400
2025-01-07,23.4300,24.7400,22.7800,24.6200,49476084,1180896494.2200,3.532400
2025-01-08,23.9000,24.6000,23.1200,24.0700,41458199,992744958.8000,-2.234000
2025-01-09,23.7500,26.4800,23.7500,24.7500,64228524,1628597884.3800,2.825100
2025-01-10,24.0500,24.3100,22.2800,22.2800,48832688,1129061155.0200,-9.979800
2025-01-13,21.9300,22.8000,21.9000,22.1000,25708925,572084967.3400,-0.807900
2025-01-14,22.5000,24.1700,22.5000,23.8000,38889545,909557657.6000,7.692300
2025-01-15,23.8800,24.2200,23.5000,23.6500,28432400,677382548.0000,-0.630300
2025-01-16,23.8800,24.5000,23.4300,23.5700,20777767,494871828.6700,-0.338300
2025-01-17,23.5000,24.0800,22.8800,23.4900,20875654,488329806.3000,-0.339400
2025-01-20,23.6000,24.7600,23.1400,24.7500,38419332,934134941.4000,5.364000
2025-01-21,24.5100,25.2000,24.0400,25.0400,35213423,867339630.9300,1.171700
2025-01-22,24.7100,25.4800,24.6500,24.7900,26407222,658979209.0300,-0.998400
2025-01-23,24.2900,25.2800,23.6000,23.6100,40531801,984085997.5300,-4.760000
2025-01-24,23.2000,25.4800,23.0800,25.1100,43589693,1073400871.5800,6.353200
2025-01-27,24.9000,25.1400,23.2000,23.2800,27629981,659987646.9600,-7.287900
2025-02-05,23.1200,23.2000,22.2100,22.8200,16601216,378112675.6400,-1.975900
2025-02-06,22.7500,23.3200,22.5100,23.3000,19266046,442865356.8200,2.103400
2025-02-07,23.1900,24.3500,23.1000,23.9200,26054231,618310989.1100,2.660900
2025-02-10,24.2900,25.1600,23.6600,25.0000,36586381,901663801.6500,4.515100
2025-02-11,24.9600,25.8600,24.7300,25.4000,41308752,1042633795.6400,1.600000
2025-02-12,25.4000,25.8500,25.3100,25.7600,30121028,771570858.6900,1.417300
2025-02-13,25.7000,26.1000,24.8000,24.9500,25879019,652286666.5900,-3.144400
2025-02-14,24.9600,27.1300,24.7200,26.5000,48096380,1252321864.1700,6.212400
2025-02-17,27.5000,28.1200,26.9000,27.9500,51552614,1421592849.5300,5.471700
2025-02-18,27.9600,27.9800,25.8000,26.0200,38327430,1024958183.7800,-6.905200
2025-02-19,26.0300,27.1000,26.0300,26.9300,28349804,757579510.9500,3.497300
2025-02-20,26.6000,27.1800,26.2500,26.6000,19779700,525896997.1600,-1.225400
