date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.8800,8.0000,7.6900,7.7600,54340568,426066415.5600,-1.397700
2025-01-03,7.7600,8.2300,7.7500,7.8400,86003313,689168809.8300,1.030900
2025-01-06,7.8600,8.1000,7.7800,7.9200,67143897,533686346.3600,1.020400
2025-01-07,7.9200,8.1600,7.7900,8.1300,60565220,486754654.6300,2.651500
2025-01-08,8.1200,8.1800,7.8100,8.0000,57766517,459188467.2200,-1.599000
2025-01-09,7.9500,8.0600,7.9200,7.9800,28535601,228249335.2000,-0.250000
2025-01-10,8.0600,8.2900,8.0100,8.2000,58611320,480909143.6400,2.756900
2025-01-13,8.1200,8.5700,8.1200,8.5600,97783378,826447005.9300,4.390200
2025-01-14,8.4800,8.7000,8.4200,8.6700,71960715,619905140.5700,1.285000
2025-01-15,8.6900,8.7600,8.5200,8.7100,56711579,490800254.9500,0.461400
2025-01-16,8.7500,8.9600,8.6800,8.9400,64361978,570004652.9100,2.640600
2025-01-17,8.8800,8.8900,8.6900,8.7200,74943032,656732833.8800,-2.460900
2025-01-20,8.7800,8.8800,8.7100,8.7800,45034607,397144379.4400,0.688100
2025-01-21,8.9100,8.9700,8.7200,8.8800,42938579,380637513.3100,1.139000
2025-01-22,8.8700,8.9400,8.7700,8.8500,29517050,261167630.7600,-0.337800
2025-01-23,8.9000,8.9500,8.7000,8.8000,46234352,407701495.8000,-0.565000
2025-01-24,8.7600,9.0900,8.7600,9.0500,53017765,475021357.4800,2.840900
2025-01-27,9.0400,9.2100,9.0000,9.1300,35905370,327982080.2000,0.884000
2025-02-05,9.1400,9.1800,8.9200,8.9800,48293359,436186338.8400,-1.642900
2025-02-06,8.9800,9.0200,8.6500,8.6900,62040029,543299611.5100,-3.229400
2025-02-07,8.6900,8.9800,8.5900,8.9400,47671162,421944808.9400,2.876900
2025-02-10,8.9600,9.0700,8.8000,8.8300,51402546,457367811.5700,-1.230400
2025-02-11,8.8800,9.1700,8.8500,9.0200,49431985,447702205.6700,2.151800
2025-02-12,8.9700,8.9900,8.7000,8.7900,52726754,464381141.0600,-2.549900
2025-02-13,8.8000,8.8500,8.6600,8.6700,35398867,308930137.3400,-1.365200
2025-02-14,8.6500,8.7800,8.5500,8.7600,34142360,296282054.9100,1.038100
2025-02-17,8.7600,8.7600,8.5600,8.7200,32193996,279048053.4000,-0.456600
2025-02-18,8.7300,8.7600,8.5600,8.6000,35050189,303897541.3700,-1.376100
