date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.8600,13.2400,12.5300,12.8300,13617100,175521238.0000,-0.233300
2025-01-03,12.9000,12.9500,11.9800,12.0100,13719800,169003143.0000,-6.391300
2025-01-06,12.0200,12.1800,11.5700,11.8300,10519034,124565436.2200,-1.498800
2025-01-07,11.9000,12.4700,11.8000,12.4500,14126400,171803230.9800,5.240900
2025-01-08,12.4500,12.9700,12.2200,12.7300,22709972,286036934.8600,2.249000
2025-01-09,12.6600,13.1800,12.5200,13.0200,21767872,280715998.0800,2.278100
2025-01-10,12.8200,13.4000,12.7900,12.8100,23375002,306874056.4200,-1.612900
2025-01-13,12.5700,13.1400,12.3900,12.7500,16729600,214062823.0000,-0.468400
2025-01-14,12.7500,13.6500,12.7500,13.6300,24363304,324779851.9600,6.902000
2025-01-15,13.6200,13.8500,13.5100,13.7900,28362004,389102485.5200,1.173900
2025-01-16,13.7000,13.9500,13.2400,13.4800,27528900,375145697.0000,-2.248000
2025-01-17,13.3100,14.8300,13.2500,14.2200,59396804,857015645.1600,5.489600
2025-01-20,14.1400,14.2400,13.8900,14.0500,42342204,595108998.4000,-1.195500
2025-01-21,14.0500,15.4600,13.6700,14.8000,60302108,881687466.0400,5.338100
2025-01-22,14.3400,15.1100,14.2600,14.7200,42403704,622371710.7600,-0.540500
2025-01-23,14.8000,15.1900,14.6900,14.7600,40847300,608778878.9000,0.271700
2025-01-24,14.6000,14.9800,14.3800,14.8900,29417600,433508342.0000,0.880800
2025-01-27,14.7500,14.7500,14.1200,14.1300,22047900,316078306.0000,-5.104100
2025-02-05,14.1600,14.5000,14.0200,14.4400,18941304,271902318.0400,2.193900
2025-02-06,14.2800,15.3700,14.2800,15.2000,45029400,677874527.0000,5.263200
2025-02-07,15.0500,15.3800,14.8800,15.1100,43755800,662608048.0000,-0.592100
2025-02-10,15.0100,15.2700,14.7500,15.1500,32194804,481982836.6800,0.264700
2025-02-11,15.0300,15.1400,14.7700,14.8100,18941431,281784719.3500,-2.244200
2025-02-12,14.7000,14.9900,14.6000,14.9600,20138004,298745153.8000,1.012800
2025-02-13,14.9000,15.0700,14.5500,14.5500,21797300,321475917.0000,-2.740600
2025-02-14,14.5000,14.6100,14.0500,14.1400,21351041,304813532.3500,-2.817900
2025-02-17,14.1000,14.5700,14.1000,14.5400,17784100,256953823.0000,2.828900
2025-02-18,14.5500,14.9000,14.3800,14.6800,28534604,419988773.0400,0.962900
2025-02-19,14.5600,16.0000,14.4000,15.9800,61823522,944987803.2900,8.855600
2025-02-20,15.8000,15.9900,15.3500,15.6800,49122981,766334687.6800,-1.877300
2025-02-21,15.5600,15.8500,15.4200,15.6200,35728141,556685785.0100,-0.382700
2025-02-24,15.6700,16.1000,15.4100,15.8200,40498800,641245338.0000,1.280400
2025-02-25,15.5000,16.6100,15.3800,16.3000,52244700,841386968.0000,3.034100
2025-02-26,16.2800,16.8000,15.8100,15.9800,53470000,869663387.0000,-1.963200
2025-02-27,15.7600,17.0900,15.7600,16.6500,56660840,936826675.3600,4.192700
2025-02-28,16.3100,16.3400,14.9900,15.0000,42844202,665258825.0400,-9.909900
2025-03-03,14.8000,14.9900,14.2100,14.3400,27867104,406035547.7600,-4.400000
2025-03-04,14.2200,15.7700,14.1800,15.7700,36029700,560176698.0000,9.972100
2025-03-05,15.9400,16.6600,15.7000,16.0100,63934994,1026899408.7600,1.521900
2025-03-06,15.9900,16.2000,15.9000,16.1200,43974261,706997973.4100,0.687100
2025-03-07,16.0100,16.7600,15.9800,16.4000,46263441,758762764.9400,1.737000
2025-03-10,16.3600,17.0800,16.2800,17.0800,59098664,989694944.4400,4.146300
2025-03-11,16.5000,16.7800,16.2000,16.7200,41270501,681281546.0800,-2.107700
2025-03-12,16.6000,17.2600,16.5300,17.1700,49497260,840541543.5500,2.691400
2025-03-13,17.6100,18.8900,16.4000,16.4600,68130139,1196754185.0400,-4.135100
2025-03-14,16.4500,17.0000,15.8600,16.6300,44302883,731383509.2000,1.032800
2025-03-17,16.5100,17.6700,16.1600,17.5200,50732995,865187750.0200,5.351800
2025-03-18,17.2300,19.2700,17.1800,19.2700,73051108,1369057161.1600,9.988600
2025-03-19,19.8300,21.2000,19.2900,21.2000,133543337,2731677295.1500,10.015600
2025-03-20,21.0000,23.3200,20.5000,23.3200,112127009,2525155064.8200,10.000000
2025-03-21,23.3200,25.6500,22.7800,25.6500,118606726,2930579850.1100,9.991400
2025-03-24,25.8800,26.4800,23.0900,23.0900,114176064,2753345799.9200,-9.980500
2025-03-25,22.8600,25.4000,22.2000,25.4000,108573806,2697649754.2700,10.004300
2025-03-26,25.3700,27.9400,24.9600,27.9400,82475449,2238989960.4200,10.000000
2025-03-27,27.6700,28.6800,25.1500,25.1500,95584581,2447409860.1400,-9.985700
2025-03-28,23.1200,23.6100,22.6400,22.6400,47314854,1078341653.1200,-9.980100
2025-03-31,20.4000,21.3900,20.3800,20.3800,79964447,1646935657.7300,-9.982300
2025-04-01,20.7000,21.6900,20.4100,20.9900,92536142,1944698008.4400,2.993100
2025-04-02,20.2000,21.3500,19.3000,20.3600,75307954,1549246127.4200,-3.001400
2025-04-03,19.8000,20.2000,18.8900,19.0000,74001088,1439471046.1600,-6.679800
2025-04-07,17.1000,17.5100,17.1000,17.1000,14701600,252273343.0000,-10.000000
2025-04-08,15.8200,16.5700,15.4000,15.9300,68165307,1083895794.8400,-6.842100
2025-04-09,15.5000,17.0800,14.3400,16.6100,68020390,1076827779.2000,4.268700
2025-04-10,17.1900,17.8500,17.0000,17.3200,56390100,980858025.5400,4.274500
2025-04-11,16.8800,18.0000,16.8800,17.7000,53232095,938010831.9000,2.194000
2025-04-14,18.0000,18.5000,17.7500,17.9200,47920600,867989485.0000,1.242900
2025-04-15,18.0900,19.7100,18.0000,19.7100,63434604,1188464231.2000,9.988800
2025-04-16,20.0000,21.1200,19.9900,20.1700,104639199,2155978566.3000,2.333800
2025-04-17,20.3700,22.1000,19.4700,21.4500,99915195,2045214725.9900,6.346100
2025-04-18,21.0000,21.0000,19.3200,19.5500,73836708,1496952684.6200,-8.857800
2025-04-21,19.3600,19.9900,19.0200,19.5100,62068413,1206061394.7100,-0.204600
2025-04-22,19.5200,19.5500,18.6100,18.7300,51482220,971378229.5700,-3.997900
2025-04-23,18.8500,20.6000,18.8500,20.6000,50531305,1011771860.0000,9.984000
2025-04-24,21.0700,21.6000,20.4100,20.6900,107782011,2270096326.8800,0.436900
2025-04-25,20.7600,21.2300,20.0800,20.2500,54574389,1111596848.9100,-2.126600
2025-04-28,20.0200,20.2400,19.5100,19.6700,37404800,741082734.4300,-2.864200
2025-04-29,19.7300,20.4400,19.5000,19.8100,48384224,966661495.9400,0.711700
2025-04-30,20.6500,21.7900,20.4100,21.7900,80072018,1693442331.6600,9.995000
2025-05-06,22.7000,23.9700,22.5000,23.1000,111908248,2594196775.6200,6.011900
2025-05-07,23.7900,24.6000,22.8300,23.4900,102043632,2409152823.8800,1.688300
2025-05-08,23.6900,24.0800,23.0600,23.3800,82219903,1935668209.0900,-0.468300
2025-05-09,23.3800,25.7200,22.4400,25.0000,116491900,2813127279.0100,6.929000
2025-05-12,25.0100,27.3900,24.3100,26.2200,115199720,2942268701.8000,4.880000
2025-05-13,25.5000,26.0600,24.6900,25.0000,84286856,2135287981.3400,-4.652900
2025-05-14,24.6900,26.4100,24.6100,25.5100,79215602,2026300629.5200,2.040000
2025-05-15,25.0400,25.3700,24.0300,24.2100,61685480,1510621917.4000,-5.096000
2025-05-16,24.2000,24.9500,23.8000,24.1700,53899621,1317439521.9300,-0.165200
2025-05-19,23.7300,24.3000,23.0000,23.6500,52515720,1231144151.8000,-2.151400
2025-05-20,24.0000,24.1200,23.0000,23.7800,40122300,948035736.0000,0.549700
2025-05-21,23.8000,23.8800,23.0100,23.0900,35236500,816409010.0000,-2.901600
2025-05-22,23.0100,23.9700,22.9000,23.3300,44756700,1050046552.5200,1.039400
2025-05-23,23.0100,24.1200,22.5000,23.6100,54294200,1270172294.0000,1.200200
2025-05-26,23.1800,24.2000,22.6400,24.1500,52248669,1211895133.1200,2.287200
2025-05-27,23.7900,25.1500,23.6900,24.3300,67782180,1666957924.4000,0.745300
2025-05-28,24.0200,25.4000,23.7000,24.3200,57233169,1400628845.0300,-0.041100
2025-05-29,23.8800,24.1900,23.7000,23.7700,42312801,1012021488.5300,-2.261500
2025-05-30,23.5400,23.5400,22.2200,22.2400,41932000,950534971.0000,-6.436700
2025-06-03,21.8100,22.1900,21.5800,21.8800,22574400,494252339.0000,-1.618700
2025-06-04,21.8800,22.3900,21.8700,21.9700,21603400,476987107.0000,0.411300
2025-06-05,21.8700,22.3500,21.6400,22.2300,26780486,590888406.3800,1.183400
2025-06-06,22.2400,22.2400,21.7500,21.7600,20529400,448058855.0000,-2.114300
2025-06-09,22.1600,22.7100,22.0900,22.3000,29870873,669399933.9400,2.481600
2025-06-10,22.3100,22.9100,21.3900,22.4900,39403014,872102810.2800,0.852000
2025-06-11,22.2700,24.6500,22.1000,23.3800,60587399,1404490195.9000,3.957300
2025-06-12,22.8200,23.1400,22.6000,22.6400,33063379,755410526.1300,-3.165100
2025-06-13,22.3800,22.9500,22.1300,22.1300,26330402,591850392.8200,-2.252700
2025-06-16,21.8000,22.3300,21.6700,21.9300,21205901,465969377.0200,-0.903800
2025-06-17,21.7800,22.0700,21.7000,21.8200,18067900,394676403.0000,-0.501600
2025-06-18,21.7000,21.7200,21.0500,21.2100,24363805,519277274.8000,-2.795600
2025-06-19,21.2000,21.6700,21.0300,21.1000,19646405,418842877.4000,-0.518600
2025-06-20,21.0200,21.0300,20.0200,20.0900,23552700,479368097.0000,-4.786700
2025-06-23,19.7400,20.2600,19.6800,20.2300,15873600,319667489.0000,0.696900
2025-06-24,20.2700,21.5200,20.2700,21.2700,36133122,762387765.2000,5.140900
2025-06-25,21.2800,21.5600,21.0500,21.4000,28491823,607578876.6800,0.611200
2025-06-26,21.3900,21.7900,21.1500,21.1800,23066440,494108823.2000,-1.028000
2025-06-27,21.1600,21.4300,21.0800,21.1800,14393800,305262086.0000,0.000000
2025-06-30,21.1000,21.6000,21.0600,21.4800,17691900,379217891.0000,1.416400
2025-07-01,21.5500,22.4100,21.4400,22.1900,38255440,844302919.4000,3.305400
2025-07-02,22.1400,22.1400,21.5600,21.7500,21848552,475134193.6400,-1.982900
2025-07-03,21.7000,21.8400,21.4100,21.6100,15644680,337707716.0000,-0.643700
2025-07-04,21.7000,21.7000,21.1300,21.2700,14783180,315136858.8000,-1.573300
2025-07-07,21.2000,21.3800,21.0100,21.2800,10192780,216062419.6000,0.047000
2025-07-08,21.1600,21.5000,21.0500,21.3900,13786180,293878018.8000,0.991500
2025-07-09,21.4800,22.2000,21.4800,21.7000,27119000,592904762.9900,1.449300
2025-07-10,21.4500,23.1600,21.3100,22.3700,51512740,1153173285.3100,3.087600
2025-07-11,22.1500,22.5500,21.7000,22.4100,38055961,841458722.9300,0.178800
2025-07-14,22.5000,23.9800,22.3500,23.5300,58458102,1357324866.7600,4.997800
2025-07-15,25.0000,25.8800,24.0300,24.2000,97195711,2438842948.0700,2.847400
2025-07-16,23.5600,25.5000,23.5600,25.1600,84388190,2083906882.9900,3.966900
2025-07-17,25.0000,27.1400,24.2700,25.6500,92480163,2367762488.4100,1.947500
2025-07-18,25.3800,26.5000,25.2700,25.5400,67936122,1747936480.6500,-0.428800
2025-07-21,25.6200,26.4600,25.1000,25.7900,61205229,1581848728.0900,0.978900
2025-07-22,25.4000,25.4200,24.5400,24.6500,58451114,1456488029.9400,-4.420300
2025-07-23,24.7400,25.1500,24.6100,24.6900,37885055,942545280.7800,0.162300
2025-07-24,24.5500,24.9500,24.5500,24.6900,25433248,628049550.5500,0.000000
2025-07-25,24.8000,24.9000,24.5000,24.7500,22983422,567897328.7400,0.243000
2025-07-28,24.9000,25.2800,24.7600,25.0400,31315840,784710073.3100,1.171700
2025-07-29,24.7200,24.9600,24.6000,24.8400,20959104,518433657.5600,-0.798700
2025-07-30,24.7400,25.2900,24.4900,24.9300,28195695,700831244.2500,0.362300
2025-07-31,24.7000,24.9500,24.1400,24.2400,24591587,602980304.3900,-2.767700
2025-08-01,24.1400,24.4000,23.8300,23.9000,17208221,414008494.1100,-1.402600
2025-08-04,23.6700,24.5500,23.5800,24.5400,19754370,478103298.3800,2.677800
2025-08-05,24.5400,25.5000,24.4800,25.4000,46171415,1165999554.5800,3.504500
2025-08-06,25.4100,26.2000,25.1000,25.9400,51540801,1330230546.2500,2.126000
2025-08-07,25.9400,26.5000,25.6100,25.9800,49903422,1299446885.9400,0.154200
2025-08-08,25.5000,28.5000,25.3600,26.4600,88394110,2386033811.7700,1.847600
2025-08-11,26.2000,26.4600,25.8100,26.2500,55286116,1445780720.9000,-0.793700
2025-08-12,26.2500,27.2500,26.0000,26.3600,54743878,1461283477.4700,0.419000
2025-08-13,26.3300,28.6700,26.2000,27.6900,71915926,1957702819.7700,5.045500
2025-08-14,27.6100,27.6100,26.2100,26.7200,58573453,1569000648.4300,-3.503100
2025-08-15,26.3200,27.2300,26.2600,26.7400,41608137,1115672704.5100,0.074900
2025-08-18,26.7500,27.6700,26.5600,27.2700,49677314,1340270335.5700,1.982000
2025-08-19,27.1500,30.0000,26.6000,30.0000,54616855,1550215896.0700,10.011000
2025-08-20,32.5000,33.0000,32.2000,33.0000,24678754,807245170.6400,10.000000
2025-08-21,35.4800,35.5800,32.2100,32.5500,132203110,4497433210.3500,-1.363600
2025-08-22,31.8200,35.1200,30.8000,34.3400,112094636,3661045856.3200,5.499200
2025-08-25,34.5000,36.5000,33.6000,33.8000,93971247,3262327718.7100,-1.572500
2025-08-26,32.8000,34.5800,32.6000,33.2400,65354486,2194065224.6700,-1.656800
2025-08-27,33.0000,35.2300,32.9000,34.0200,77931440,2686465951.2500,2.346600
2025-08-28,33.1600,36.3600,32.6800,36.2800,92839248,3252807110.4900,6.643200
2025-08-29,35.9200,35.9200,33.5800,33.9600,67226164,2311947731.4300,-6.394700
2025-09-01,33.4800,34.1500,32.2600,32.6100,50415376,1658986339.7600,-3.975300
2025-09-02,32.3200,33.6500,30.5600,33.0200,61203899,1962066390.1300,1.257300
2025-09-03,32.8600,32.8600,30.5700,30.6000,38042417,1195417155.5300,-7.328900
2025-09-04,30.4300,31.1500,28.5900,29.3000,32880575,985259010.3100,-4.248400
2025-09-05,29.4000,30.7500,29.0200,30.6700,28429686,852268713.5600,4.675800
2025-09-08,30.5900,31.9900,30.4200,31.7800,35340451,1113063370.5200,3.619200
2025-09-09,31.4700,31.4700,30.7000,30.8100,23905503,740824001.1800,-3.052200
2025-09-10,30.5400,31.0400,30.2000,30.3800,19409172,592612723.0900,-1.395700
2025-09-11,30.0600,31.2800,29.9600,31.2000,24918943,767076756.8000,2.699100
2025-09-12,31.2000,31.8600,30.8300,30.9200,27541098,863352871.7300,-0.897400
2025-09-15,30.7500,31.6800,30.7000,31.2000,22621424,706755972.4100,0.905600
2025-09-16,31.0000,33.5300,30.8100,33.2800,55462494,1797910746.2200,6.666700
2025-09-17,32.7900,33.6400,32.5400,33.0900,41308990,1365225259.3100,-0.570900
2025-09-18,33.0300,33.8200,31.8900,32.3100,48857269,1614835195.9600,-2.357200
2025-09-19,31.9900,31.9900,30.5600,30.8000,31621315,984787985.9600,-4.673500
2025-09-22,30.5600,31.1400,30.4700,30.8000,17150711,528317737.2900,0.000000
2025-09-23,30.8000,31.0400,29.7900,30.3500,20725215,626733185.4900,-1.461000
2025-09-24,30.1500,30.5800,29.5100,30.5300,17258836,521977854.7800,0.593100
2025-09-25,30.4600,30.8400,30.0600,30.2200,15644165,474503243.3500,-1.015400
2025-09-26,30.3000,30.3000,29.4900,29.5000,14214813,423854149.4100,-2.382500
2025-09-29,29.5200,29.7500,29.0500,29.6700,12889187,379802912.6200,0.576300
2025-09-30,29.7800,30.1800,29.5100,29.8900,14611088,435520019.1200,0.741500
2025-10-09,30.0200,30.7800,29.6500,30.6700,20646720,627437202.3000,2.609600
2025-10-10,30.6000,30.6000,29.7500,29.7600,14151987,425898827.0600,-2.967100
2025-10-13,27.4500,29.1000,27.4200,28.9100,13015035,372768076.5200,-2.856200
2025-10-14,28.9900,30.3500,28.9900,29.2000,16838338,498782263.4900,1.003100
2025-10-15,29.2800,29.8900,28.3800,29.7500,17352844,505912437.9000,1.883600
2025-10-16,29.3300,29.4700,28.6200,28.7200,11355057,329580467.0600,-3.462200
2025-10-17,28.7200,28.7500,27.1800,27.2500,12914719,359651047.5100,-5.118400
2025-10-20,27.7800,28.3800,27.6000,28.0000,12179156,341627410.3900,2.752300
2025-10-21,28.0000,28.3700,27.8100,28.3500,9752069,274540121.9300,1.250000
2025-10-22,28.0900,29.1000,28.0500,28.6800,13017491,374539411.9700,1.164000
2025-10-23,28.5100,28.5400,27.8900,28.3000,8795923,247240522.6400,-1.325000
2025-10-24,28.3900,29.2500,28.3900,28.9400,12507484,361102631.2600,2.261500
2025-10-27,29.2900,29.3500,28.8800,29.1700,12845973,373961781.0600,0.794700
2025-10-28,29.1700,29.5000,28.8800,29.3100,13438427,393041632.9300,0.479900
2025-10-29,29.2000,29.8000,29.0400,29.7000,16651884,491233726.6600,1.330600
2025-10-30,30.5100,30.6800,29.6800,29.6900,26280318,790887797.9500,-0.033700
2025-10-31,29.3700,30.4800,29.0700,30.1400,20677355,622453496.2500,1.515700
2025-11-03,30.1100,31.3300,29.5300,31.3100,33872983,1039991189.4200,3.881900
2025-11-04,30.8000,31.0400,30.2200,30.6300,20476664,625917571.4800,-2.171800
2025-11-05,29.9900,30.5000,29.5000,29.6300,17075643,510800000.8900,-3.264800
2025-11-06,29.6900,30.2700,28.9300,29.7900,16299362,481337126.9600,0.540000
2025-11-07,29.5100,29.5100,28.9900,28.9900,12828163,373552556.0100,-2.685500
2025-11-10,28.9000,29.8000,28.8100,29.0200,8957846,261410232.0000,0.103500
2025-11-11,29.1700,29.2900,28.2700,28.3100,11068225,315967447.4400,-2.446600
2025-11-12,28.2700,28.2900,27.5200,27.7100,8733224,243159333.8000,-2.119400
2025-11-13,27.6600,27.9400,27.5100,27.8500,6411006,178134914.5400,0.505200
2025-11-14,27.6500,27.7500,27.3000,27.3100,7753526,213257013.7100,-1.939000
2025-11-17,27.3000,27.5300,27.0600,27.4600,6118111,167436756.7900,0.549200
2025-11-18,27.4600,28.1800,27.2200,28.0000,10581183,294137625.8800,1.966500
2025-11-19,27.9900,27.9900,27.3800,27.5400,6780917,187389771.2000,-1.642900
2025-11-20,27.7100,27.8000,27.1600,27.1800,5471739,149715816.8600,-1.307200
2025-11-21,26.9800,27.8800,25.8600,26.9100,14748965,394723285.5000,-0.993400
2025-11-24,26.7700,27.3700,25.9200,26.9100,11937674,315985376.3200,0.000000
2025-11-25,27.0000,27.8300,26.8800,27.4300,12472645,341673114.7800,1.932400
2025-11-26,27.2000,27.6800,26.9400,27.1800,9099100,248679000.0000,-0.911400
2025-11-27,26.0100,26.3700,25.9800,26.0700,18211157,475533174.7300,-4.083900
2025-11-28,25.9000,26.2000,25.0800,26.0000,16524696,423573720.2600,-0.268500
2025-12-01,25.9200,26.7300,25.9000,26.5400,14963272,396178429.8500,2.076900
2025-12-02,26.5400,26.6000,25.8400,25.9400,10181496,264914372.4200,-2.260700
2025-12-03,25.8600,26.1600,25.5300,25.6000,6872729,176600729.5300,-1.310700
