date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.0800,4.2200,4.0300,4.1100,13525700,56043787.0000,0.243900
2025-01-03,4.1300,4.1800,3.8700,3.8800,12106376,48002591.4300,-5.596100
2025-01-06,3.8800,4.1000,3.7100,3.9500,12307500,48117199.0000,1.804100
2025-01-07,3.9800,4.2000,3.9200,4.2000,10032033,40632264.3400,6.329100
2025-01-08,4.1700,4.4200,4.1300,4.3800,20860350,89403105.5000,4.285700
2025-01-09,4.3800,4.8200,4.3100,4.8200,30375754,143809258.5900,10.045700
2025-01-10,5.0500,5.3000,4.7100,5.3000,50280800,258397814.0000,9.958500
2025-01-13,5.5700,5.6000,4.7700,4.7700,88697056,453279934.7700,-10.000000
2025-01-14,5.0000,5.2500,4.8800,4.9500,87484556,443494813.1000,3.773600
2025-01-15,4.6900,4.8600,4.4600,4.4600,71384455,328009925.3500,-9.899000
2025-01-16,4.3000,4.5500,4.2500,4.4800,49946650,220129859.0500,0.448400
2025-01-17,4.4000,4.4100,4.1800,4.1900,36473200,155457212.9900,-6.473200
2025-01-20,4.1100,4.2500,4.0800,4.2000,23875261,99706549.4700,0.238700
2025-01-21,4.2200,4.2400,4.0100,4.0700,25579300,104761104.9400,-3.095200
2025-01-22,4.0400,4.1700,3.9900,4.0800,20502304,83415475.0800,0.245700
2025-01-23,4.0900,4.2400,4.0700,4.1600,21432800,89241456.0000,1.960800
2025-01-24,4.1600,4.2200,4.0800,4.1500,14839710,61199126.4600,-0.240400
2025-01-27,4.1500,4.2400,4.0700,4.0800,13774910,57180192.7600,-1.686700
2025-02-05,4.1100,4.1600,4.0700,4.1300,10294304,42447620.5200,1.225500
2025-02-06,4.1800,4.1800,4.0600,4.1700,12838704,52937935.5200,0.968500
2025-02-07,4.1600,4.2600,4.1400,4.2500,16750800,70711824.0000,1.918500
2025-02-10,4.2700,4.6800,4.2400,4.6800,42966811,193388228.9600,10.117600
2025-02-11,4.6500,4.9400,4.6500,4.7000,44922240,213852839.6000,0.427400
2025-02-12,4.7600,4.8800,4.6500,4.8800,33602270,160227343.8000,3.829800
2025-02-13,4.8700,5.2200,4.8200,5.0800,38354987,193095179.3300,4.098400
2025-02-14,5.0500,5.0900,4.8800,4.9500,19156100,95428628.0000,-2.559100
2025-02-17,4.9600,5.1800,4.8000,5.0700,22473500,111815747.0000,2.424200
2025-02-18,5.0700,5.2200,4.9200,4.9400,15401900,77821218.0000,-2.564100
2025-02-19,5.0100,5.3200,4.9200,5.2400,21966999,113133129.7700,6.072900
2025-02-20,5.2000,5.2900,5.1000,5.1700,13109799,68169176.7700,-1.335900
2025-02-21,5.1700,5.2400,5.0300,5.1800,11957299,61718663.8400,0.193400
2025-02-24,5.1800,5.3100,5.0200,5.2400,13947533,72301027.2900,1.158300
2025-02-25,5.1900,5.2500,5.0700,5.1000,11229500,57845293.0000,-2.671800
2025-02-26,5.1500,5.1900,5.0400,5.1000,10214700,52106108.0000,0.000000
2025-02-27,5.1400,5.1400,4.9800,5.1100,9769600,49356225.0000,0.196100
2025-02-28,5.1000,5.1100,4.9800,4.9800,7563500,38047731.0000,-2.544000
2025-03-03,5.0000,5.1100,4.9900,5.0500,8516300,43079569.0000,1.405600
2025-03-04,5.0400,5.1000,5.0100,5.0900,7055300,35691576.0000,0.792100
2025-03-05,5.1000,5.1100,4.9200,4.9900,8445200,42039810.0000,-1.964600
2025-03-06,4.9900,5.1000,4.9400,5.0600,9209220,46302315.0000,1.402800
2025-03-07,5.0300,5.0700,4.9800,5.0100,7231090,36355454.6200,-0.988100
2025-03-10,5.0100,5.2500,5.0100,5.1400,11659586,59578026.4400,2.594800
2025-03-11,5.0600,5.1800,5.0300,5.1500,9024600,46333307.0000,0.194600
2025-03-12,5.1600,5.4100,5.1600,5.3500,15576000,82845377.0000,3.883500
2025-03-13,5.3500,5.7700,5.2200,5.6700,22129870,121427446.5000,5.981300
2025-03-14,5.7200,5.8400,5.6100,5.7200,22655900,129045126.0000,0.881800
2025-03-17,5.7700,6.2900,5.7300,6.2900,34932701,213966921.2900,9.965000
2025-03-18,6.3000,6.4900,6.2100,6.4700,33476600,212524604.7800,2.861700
2025-03-19,6.4300,6.6600,6.2100,6.3200,21495500,135832107.3000,-2.318400
2025-03-20,6.2900,6.5700,6.2500,6.5000,18325100,117788360.8000,2.848100
2025-03-21,6.4900,6.7300,6.2400,6.4800,20859000,133773584.0000,-0.307700
2025-03-24,6.5300,6.5500,6.2500,6.4000,16878600,107883185.0000,-1.234600
2025-03-25,6.5300,6.5500,6.2800,6.3200,13968600,88949421.0000,-1.250000
2025-03-26,6.2900,6.5600,6.2800,6.5000,15656900,100851082.0000,2.848100
2025-03-27,6.5000,6.5800,5.9800,6.0300,21407100,132976943.0000,-7.230800
2025-03-28,6.0200,6.1200,5.8600,6.0000,14134700,84784564.0000,-0.497500
2025-03-31,5.9900,6.0900,5.7600,5.9000,12894600,76266743.0000,-1.666700
2025-04-01,5.9300,6.0100,5.7800,5.9000,8544000,50673679.0000,0.000000
2025-04-02,5.9700,6.4900,5.8100,6.4900,14925600,93295114.0000,10.000000
2025-04-03,6.4700,6.7600,6.2900,6.6600,30652700,200335516.0000,2.619400
2025-04-07,6.2300,6.5000,5.9900,6.0600,23290088,144189881.5700,-9.009000
2025-04-08,6.0500,6.5800,6.0300,6.5000,23061801,143109501.2100,7.260700
2025-04-09,6.4800,7.1500,6.1500,6.9000,41768900,280952235.0000,6.153800
2025-04-10,7.1200,7.2300,6.9100,7.0200,25548400,181070987.0000,1.739100
