date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.0400,4.4700,4.0400,4.1800,89204458,371720080.0100,-6.904200
2025-01-03,3.9900,4.0400,3.7600,3.7600,22151600,84694309.6000,-10.047800
2025-01-06,3.3800,3.3800,3.3800,3.3800,3440200,11627876.0000,-10.106400
2025-01-07,3.0400,3.7200,3.0400,3.7200,46511382,154059898.7700,10.059200
2025-01-08,4.0000,4.0900,3.6000,3.7200,79891809,311061999.3600,0.000000
2025-01-09,3.5800,3.6700,3.3500,3.3500,49198700,168975253.0000,-9.946200
2025-01-10,3.2800,3.3600,3.0300,3.0300,42272918,133450325.1700,-9.552200
2025-01-13,2.9800,3.2700,2.8400,3.1300,37531662,112835951.6600,3.300300
2025-01-14,3.1300,3.2700,3.0600,3.2300,33265750,106323616.3800,3.194900
2025-01-15,3.2700,3.2800,3.1100,3.1600,23199800,73705049.0000,-2.167200
2025-01-16,3.1900,3.3100,3.1500,3.2200,25551000,82645593.0000,1.898700
2025-01-17,3.2200,3.2500,3.0900,3.1000,18485042,57901613.2400,-3.726700
2025-01-20,3.0700,3.1900,3.0000,3.1500,20585162,64227862.1000,1.612900
2025-01-21,3.2100,3.3000,3.0200,3.0400,19370360,60182419.8000,-3.492100
2025-01-22,3.0000,3.0400,2.9000,2.9200,15741700,46450605.0000,-3.947400
2025-01-23,2.9500,3.0300,2.8900,2.9000,15653300,46261186.0000,-0.684900
2025-01-24,2.9000,2.9200,2.8000,2.8900,12585894,35922153.5200,-0.344800
2025-01-27,2.9700,3.1400,2.9500,2.9900,24359719,74008329.0000,3.460200
2025-02-05,2.9900,3.1700,2.9900,3.1200,21405109,66291055.4800,4.347800
2025-02-06,3.1200,3.1900,3.0200,3.1700,17221340,53751296.4000,1.602600
2025-02-07,3.2000,3.2900,3.1700,3.2500,16084600,52160179.0000,2.523700
2025-02-10,3.2700,3.3600,3.2500,3.3500,15058000,49938438.0000,3.076900
2025-02-11,3.3900,3.4300,3.2600,3.3400,12371093,41078372.6900,-0.298500
2025-02-12,3.3400,3.4000,3.2900,3.3300,12119900,40464172.0000,-0.299400
2025-02-13,3.3900,3.3900,3.2700,3.3000,8771900,29097706.0000,-0.900900
2025-02-14,3.2800,3.3800,3.2600,3.2900,10681700,35359133.0000,-0.303000
2025-02-17,3.2800,3.4900,3.2700,3.4300,14381052,48936399.8000,4.255300
2025-02-18,3.6200,3.7700,3.4400,3.5100,57976792,210867481.6000,2.332400
2025-02-19,3.3800,3.4900,3.3300,3.4300,39833266,135991349.3800,-2.279200
2025-02-20,3.4500,3.7700,3.4500,3.5300,40625341,146386285.3700,2.915500
2025-02-21,3.5200,3.5600,3.3900,3.4500,32204100,110835341.5000,-2.266300
2025-02-24,3.4800,3.5600,3.4100,3.5100,26185900,91776781.0000,1.739100
2025-02-25,3.5800,3.6500,3.5500,3.5600,25196400,90503219.0000,1.424500
2025-02-26,3.5800,3.7200,3.5800,3.7100,23180652,84891046.3200,4.213500
2025-02-27,3.7100,3.7400,3.6300,3.6900,17889400,65834460.0000,-0.539100
2025-02-28,3.6600,3.7200,3.5700,3.6000,15109200,54992705.0000,-2.439000
2025-03-03,3.5900,3.6700,3.5500,3.6000,14533000,52322509.0000,0.000000
2025-03-04,3.6100,3.7200,3.5700,3.7100,15111000,55317682.0000,3.055600
2025-03-05,3.7400,3.7800,3.6500,3.7200,16054937,59453862.5300,0.269500
2025-03-06,3.7200,3.7500,3.6600,3.7000,11920900,44122223.5000,-0.537600
2025-03-07,3.7100,3.7300,3.5800,3.6000,14436300,52556842.0000,-2.702700
2025-03-10,3.6000,3.6800,3.5700,3.6800,11798350,43053328.0000,2.222200
2025-03-11,3.6600,3.8300,3.6400,3.8100,18653900,70179627.0000,3.532600
2025-03-12,3.8500,4.0500,3.8500,3.8700,18657500,72994049.5000,1.574800
2025-03-13,3.8900,3.9300,3.8100,3.9000,11991450,46403310.5000,0.775200
2025-03-14,3.9200,3.9500,3.8500,3.9100,9359100,36384632.5000,0.256400
2025-03-17,3.9000,3.9500,3.8700,3.9200,12091450,47317987.5000,0.255800
2025-03-18,3.9000,3.9400,3.8200,3.8600,10935650,42202638.0000,-1.530600
2025-03-19,3.8600,3.9000,3.8000,3.8300,11861050,45616256.5000,-0.777200
2025-03-20,3.8100,4.0500,3.8100,3.9200,16904675,66144733.0000,2.349900
2025-03-21,4.0300,4.1000,3.8700,3.9000,30784250,121157102.6800,-0.510200
2025-03-24,3.9100,3.9200,3.6500,3.7200,19596200,74174591.0000,-4.615400
2025-03-25,3.6900,3.7300,3.5700,3.6000,13538900,49176469.0000,-3.225800
2025-03-26,3.6100,3.7800,3.6100,3.7600,14374845,53636414.3000,4.444400
2025-03-27,3.7600,3.7800,3.6500,3.7200,10844523,40325803.2100,-1.063800
2025-03-28,3.7100,3.7500,3.6300,3.6400,11767997,43251477.0500,-2.150500
2025-03-31,3.5900,3.6200,3.5100,3.5600,14036990,50120164.9400,-2.197800
2025-04-01,3.5800,3.6900,3.5700,3.6200,10904300,39586594.0000,1.685400
2025-04-02,3.6500,3.7500,3.6000,3.6500,8965700,33000263.0000,0.828700
2025-04-03,3.6400,3.7100,3.5800,3.6900,8972500,32753806.0000,1.095900
2025-04-07,3.4800,3.5000,3.3200,3.3200,12771800,42751996.0000,-10.027100
2025-04-08,3.1500,3.3000,3.0400,3.1200,17876400,56652654.0000,-6.024100
2025-04-09,3.2800,3.4300,3.2300,3.4300,31785500,107922851.5000,9.935900
2025-04-10,3.4300,3.7000,3.4300,3.6200,29212969,104025956.5300,5.539400
2025-04-11,3.6200,3.7800,3.6200,3.7500,20515203,75979080.0400,3.591200
2025-04-14,3.7300,3.8100,3.6800,3.7800,17108300,64350939.5000,0.800000
