date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.1300,4.5500,3.8300,4.2700,76574183,323108094.1500,0.470600
2025-01-03,4.0500,4.0800,3.8400,3.8400,39593969,156482941.5500,-10.070300
2025-01-06,3.8200,3.8200,3.4600,3.5100,34790573,123700811.9700,-8.593800
2025-01-07,3.4700,3.7700,3.4700,3.7500,30400831,111893981.1600,6.837600
2025-01-08,3.7600,3.7900,3.5200,3.6600,21554600,78313618.0000,-2.400000
2025-01-09,3.6800,3.7800,3.5200,3.6000,23907501,86689184.6900,-1.639300
2025-01-10,3.6000,3.9600,3.6000,3.9600,61315498,239951886.6800,10.000000
2025-01-13,4.0200,4.2000,3.9200,4.0300,80042320,325489321.0800,1.767700
2025-01-14,3.8900,4.2700,3.8400,4.1100,63280921,254534461.3300,1.985100
2025-01-15,4.0800,4.1000,3.9000,3.9500,36468393,144787056.3500,-3.892900
2025-01-16,3.9800,4.2200,3.9700,4.0000,38940953,158451736.8300,1.265800
2025-01-17,3.9600,4.0500,3.8700,3.9800,27393160,108436798.6700,-0.500000
2025-01-20,4.0100,4.1400,3.9900,4.0600,28215558,114692685.5400,2.010100
2025-01-21,4.0700,4.0800,3.9400,3.9700,19030400,75739621.0000,-2.216700
2025-01-22,3.9700,4.2500,3.9000,4.1700,38533650,158547533.0000,5.037800
2025-01-23,4.2200,4.4300,4.1500,4.3800,39332525,169322212.2000,5.036000
2025-01-24,4.4900,4.8200,4.3800,4.8200,60484999,279071598.9200,10.045700
2025-01-27,4.8100,4.8300,4.3400,4.3400,48730100,215888355.0000,-9.958500
2025-02-05,4.2400,4.2900,4.1300,4.2600,32456220,136642834.2000,-1.843300
2025-02-06,4.2600,4.4200,4.2300,4.3500,25607250,110885197.0000,2.112700
2025-02-07,4.3900,4.7900,4.3800,4.7900,30293876,141343130.3000,10.114900
2025-02-10,4.8900,5.0500,4.7000,4.7300,72388980,352719890.0300,-1.252600
2025-02-11,4.8300,4.8700,4.6700,4.7500,41446650,197115418.5000,0.422800
2025-02-12,4.7400,4.8300,4.6800,4.7800,26324509,124827432.1200,0.631600
2025-02-13,4.8500,4.9200,4.6600,4.6700,26520600,126238210.0000,-2.301300
2025-02-14,4.6700,4.7900,4.5200,4.5800,20970209,96369846.9500,-1.927200
2025-02-17,4.5800,5.0400,4.5600,5.0400,43752557,216712646.7400,10.043700
2025-02-18,5.0400,5.1200,4.8500,4.8800,56102100,279313201.9700,-3.174600
2025-02-19,4.9600,5.1500,4.8000,5.0700,49571395,246983385.1800,3.893400
2025-02-20,5.1100,5.1600,4.9200,4.9300,27981650,139869754.0000,-2.761300
2025-02-21,4.9200,4.9400,4.8100,4.9300,25917436,126302438.3200,0.000000
2025-02-24,4.9000,5.1100,4.8700,4.9800,25031150,124404514.5000,1.014200
