date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.8400,3.9500,3.6300,3.6800,40580207,153391460.6400,-2.127700
2025-01-03,3.7400,3.8000,3.4400,3.5200,29106608,103034447.6300,-4.347800
2025-01-06,3.3000,3.4000,3.1700,3.1700,17435860,55699661.0000,-9.943200
2025-01-07,3.0300,3.3000,3.0300,3.2600,20916960,67042743.6000,2.839100
2025-01-08,3.3100,3.3600,3.1800,3.3000,17653864,57888747.5200,1.227000
2025-01-09,3.2900,3.3600,3.2400,3.2900,10771150,35520331.5000,-0.303000
2025-01-10,3.3000,3.3300,3.0900,3.1000,13815420,44100150.8000,-5.775100
2025-01-13,3.0700,3.1400,2.9400,3.1300,11001700,33642606.0000,0.967700
2025-01-14,3.2000,3.3500,3.1400,3.3500,13328499,43546247.7000,7.028800
2025-01-15,3.4100,3.4100,3.2600,3.3600,12669000,42310825.0000,0.298500
2025-01-16,3.3700,3.4800,3.3600,3.4100,10165900,34744389.0000,1.488100
2025-01-17,3.4100,3.4100,3.2900,3.3400,9256729,30827822.5700,-2.052800
2025-01-20,3.3900,3.4700,3.2600,3.4500,11030500,37498802.0000,3.293400
2025-01-21,3.4800,3.5300,3.3200,3.3300,9296900,31326396.6000,-3.478300
2025-01-22,3.3400,3.3500,3.2300,3.2600,8795100,28707803.0000,-2.102100
2025-01-23,3.3000,3.4300,3.2500,3.2500,10818000,36096938.0000,-0.306700
2025-01-24,3.2500,3.3000,3.2000,3.2700,7216200,23411873.0000,0.615400
2025-01-27,3.3100,3.4500,3.2700,3.2800,10434800,35048641.0000,0.305800
2025-02-05,3.4000,3.4300,3.3100,3.3500,12728929,42886106.0200,2.134100
2025-02-06,3.3800,3.4000,3.2700,3.3800,10632893,35543997.4800,0.895500
2025-02-07,3.3800,3.7200,3.3600,3.7200,14161034,50702072.6600,10.059200
2025-02-10,3.7300,3.8000,3.6200,3.6700,34307452,125630788.4000,-1.344100
2025-02-11,3.6900,3.7400,3.6000,3.7100,19124200,70165406.0000,1.089900
2025-02-12,3.7700,3.8500,3.6500,3.6800,18717800,69733216.0000,-0.808600
2025-02-13,3.7200,3.7300,3.6100,3.6300,13785200,50338853.0000,-1.358700
2025-02-14,3.6300,3.6700,3.5500,3.5800,9785500,35371806.0000,-1.377400
2025-02-17,3.5800,3.7500,3.5700,3.6900,12303000,45220575.0000,3.072600
2025-02-18,3.7500,4.0500,3.6500,3.7000,30163560,114822670.4000,0.271000
2025-02-19,3.7000,3.7600,3.6000,3.6600,16532660,60611319.4000,-1.081100
2025-02-20,3.6600,3.7200,3.6100,3.7100,13088860,48142050.4000,1.366100
2025-02-21,3.7000,3.7400,3.5900,3.6400,13272400,48204914.0000,-1.886800
2025-02-24,3.7000,3.8000,3.5800,3.7500,18930427,70260832.1800,3.022000
2025-02-25,3.7400,3.8500,3.7100,3.7900,14634300,55506382.0000,1.066700
2025-02-26,3.8100,3.8900,3.7800,3.8400,11993960,45915370.8000,1.319300
2025-02-27,3.8400,3.9100,3.7200,3.8000,10137540,38426688.0000,-1.041700
2025-02-28,3.8000,3.8300,3.6800,3.7200,9276400,34764895.0000,-2.105300
2025-03-03,3.7200,3.7900,3.6600,3.6800,10979300,40878280.0000,-1.075300
2025-03-04,3.6400,3.7200,3.6200,3.7100,8242000,30269818.0000,0.815200
2025-03-05,3.6800,3.7400,3.5700,3.6500,10317180,37280837.8000,-1.617300
2025-03-06,3.6500,3.7300,3.6000,3.7000,10222900,37670829.0000,1.369900
2025-03-07,3.7000,3.7100,3.5000,3.5100,14922080,53311038.4000,-5.135100
2025-03-10,3.5500,3.8300,3.5300,3.7200,29646900,109911200.0000,5.982900
2025-03-11,3.6600,3.8000,3.6500,3.7600,18004300,66906575.0000,1.075300
2025-03-12,3.7400,3.8000,3.7100,3.7500,13356600,50044369.0000,-0.266000
2025-03-13,3.7600,3.8700,3.7000,3.8500,21488300,81763053.0000,2.666700
2025-03-14,3.8200,3.9200,3.7800,3.9000,16977600,65676636.0000,1.298700
2025-03-17,3.9300,4.0800,3.8800,4.0200,23848200,95342068.0000,3.076900
2025-03-18,4.0200,4.0400,3.9300,4.0000,15370160,61257428.8000,-0.497500
2025-03-19,4.0000,4.0000,3.9400,3.9700,9986400,39523867.0000,-0.750000
2025-03-20,3.9700,4.2100,3.9500,4.1300,19464500,79587028.0000,4.030200
2025-03-21,4.1300,4.1900,3.9600,4.0000,13995200,56381511.0000,-3.147700
2025-03-24,3.9600,3.9900,3.6000,3.6200,21546800,80691320.0000,-9.500000
2025-03-25,3.6600,3.7000,3.5400,3.5900,13877000,49835831.0000,-0.828700
2025-03-26,3.5600,3.7600,3.5500,3.7600,13824000,51230599.0000,4.735400
2025-03-27,3.7000,3.7600,3.6000,3.6600,12603000,46138563.0000,-2.659600
2025-03-28,3.6900,3.7000,3.4800,3.4800,13024900,46264090.0000,-4.918000
2025-03-31,3.4500,3.4900,3.3000,3.4200,13464100,45656454.0000,-1.724100
2025-04-01,3.4600,3.5600,3.4000,3.4600,11414500,39836513.0000,1.169600
2025-04-02,3.4600,3.5000,3.4100,3.4400,8679100,29978900.0000,-0.578000
2025-04-03,3.3700,3.4700,3.2400,3.4600,16498500,55832143.0000,0.581400
2025-04-07,3.3200,3.3200,3.1100,3.1100,7755600,24302249.0000,-10.115600
2025-04-08,2.9500,3.0600,2.8400,2.9200,22292760,65340861.2000,-6.109300
2025-04-09,2.8400,3.0700,2.6600,3.0300,15223305,43805358.9700,3.767100
2025-04-10,3.1100,3.2400,3.0900,3.2200,10885300,34713560.0000,6.270600
2025-04-11,3.2000,3.3000,3.1800,3.2600,8554500,27818193.0000,1.242200
2025-04-14,3.3600,3.4100,3.2600,3.3700,7171200,24022623.0000,3.374200
2025-04-15,3.3500,3.4500,3.3500,3.4000,8306700,28176389.0000,0.890200
2025-04-16,3.4000,3.4800,3.2500,3.3300,9279950,31181142.5000,-2.058800
2025-04-17,3.3000,3.4200,3.2800,3.4000,8328500,28164668.0000,2.102100
2025-04-18,3.4000,3.4300,3.3200,3.3800,7520400,25324501.0000,-0.588200
2025-04-21,3.3800,3.4000,3.3000,3.3600,10642328,35800299.6800,-0.591700
2025-04-22,3.3600,3.4000,3.2500,3.3100,11456600,37869151.0000,-1.488100
2025-04-23,3.3500,3.6400,3.3300,3.6400,21900482,77182671.3600,9.969800
2025-04-24,3.8000,4.0000,3.4500,4.0000,25284300,96408650.0000,9.890100
2025-04-25,4.1000,4.2000,3.6000,3.7400,60863991,233750239.6200,-6.500000
2025-04-28,3.6000,3.6900,3.3800,3.6500,38960995,137224643.3500,-2.406400
2025-04-29,3.6500,3.7000,3.5000,3.6000,23403520,84540381.4000,-1.369900
2025-04-30,3.6500,3.7900,3.6000,3.6300,20886780,76579666.0000,0.833300
2025-05-06,3.7700,3.9500,3.7000,3.8000,23353856,88413573.0000,4.683200
2025-05-07,3.8800,3.9500,3.8100,3.8500,20529128,79632810.8000,1.315800
2025-05-08,3.8000,3.9700,3.7900,3.8800,18575028,72414429.6400,0.779200
2025-05-09,3.8500,3.9500,3.8000,3.8000,14763600,56968855.0000,-2.061900
2025-05-12,3.8800,3.9500,3.8000,3.9200,18043500,70019930.0000,3.157900
2025-05-13,4.0500,4.1200,3.8900,3.9200,18400400,73177908.0000,0.000000
2025-05-14,3.8900,4.1800,3.8400,4.0100,24690608,98404729.3600,2.295900
2025-05-15,4.0200,4.0900,3.9300,3.9500,17144500,68244581.0000,-1.496300
2025-05-16,3.9700,3.9900,3.9000,3.9600,10924300,43054348.0000,0.253200
2025-05-19,3.9500,4.0900,3.9000,4.0400,14093100,56629220.0000,2.020200
2025-05-20,4.1100,4.1100,4.0000,4.0300,9480700,38235423.0000,-0.247500
2025-05-21,4.0800,4.2000,4.0100,4.0300,15291253,62348184.5900,0.000000
