date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.2400,12.6700,12.1300,12.2500,1579824,19581875.6000,0.163500
2025-01-03,12.2600,12.5900,11.3400,11.4400,1980800,23228182.0000,-6.612200
2025-01-06,11.5500,11.8200,10.5800,11.6100,2803850,32071471.0000,1.486000
2025-01-07,11.7800,12.3500,11.6500,12.1700,2081900,25012840.0000,4.823400
2025-01-08,12.1100,12.7400,12.0500,12.5500,2689500,33403245.0000,3.122400
2025-01-09,12.4300,12.7500,12.3100,12.4200,1700000,21270911.0000,-1.035900
2025-01-10,12.4400,12.5300,11.8000,11.8000,1606800,19535064.0000,-4.991900
2025-01-13,11.7900,11.7900,11.2600,11.6300,1756250,20285134.5000,-1.440700
2025-01-14,11.6700,12.3800,11.3500,12.3800,2017412,24438609.0000,6.448800
2025-01-15,12.3800,12.9900,12.1500,12.4100,2986028,37393143.2000,0.242300
2025-01-16,12.2900,12.6300,12.2200,12.5500,2016050,25097146.0000,1.128100
2025-01-17,12.6500,13.1400,12.1900,13.0000,3096450,39621456.5000,3.585700
2025-01-20,12.8100,13.4900,12.7900,13.3700,3397327,44894785.2200,2.846200
2025-01-21,13.3700,14.1600,13.1700,14.1600,3295690,45153494.9000,5.908800
2025-01-22,13.8500,15.5800,13.5500,15.5800,6562891,99130127.4700,10.028200
2025-01-23,15.6300,17.1400,15.6300,17.1400,7678247,125902344.7100,10.012800
2025-01-24,18.0000,18.1900,15.4300,15.4300,14240778,230540065.5800,-9.976700
2025-01-27,16.1700,16.9700,15.5000,16.9700,11831659,196171348.4600,9.980600
2025-02-05,17.0000,17.4900,15.2800,16.7400,13656143,217784926.4700,-1.355300
2025-02-06,17.1100,18.4100,16.8300,17.6000,17434846,310911550.8800,5.137400
2025-02-07,16.5000,16.5000,15.8400,15.8400,14350396,228887373.3200,-10.000000
2025-02-10,15.1000,15.2200,14.3500,14.5800,12141028,177881441.0900,-7.954500
2025-02-11,14.3500,14.6100,14.2200,14.6000,6974150,100444851.0000,0.137200
2025-02-12,14.4500,14.5900,14.3600,14.5800,4797300,69394421.5000,-0.137000
2025-02-13,14.5700,14.6800,14.4000,14.4100,4045540,58616529.4000,-1.166000
2025-02-14,14.2600,14.2700,13.9100,14.0000,3854450,54213480.5000,-2.845200
2025-02-17,13.9000,14.1800,13.9000,14.0700,3089950,43469439.1100,0.500000
2025-02-18,14.1500,14.1500,13.6600,13.6900,3180390,44129989.3100,-2.700800
2025-02-19,13.6900,13.8500,13.6000,13.7500,2165300,29788856.0000,0.438300
2025-02-20,13.7100,13.8000,13.6800,13.7400,2248750,30861127.0000,-0.072700
2025-02-21,13.7300,13.7900,13.5100,13.7100,2466543,33641548.8800,-0.218300
2025-02-24,13.7000,13.9200,13.6600,13.7200,2426700,33431150.5000,0.072900
2025-02-25,13.7000,13.8000,13.6500,13.7000,1625550,22337283.0000,-0.145800
2025-02-26,13.7000,13.9000,13.6800,13.7200,2152200,29603417.0000,0.146000
2025-02-27,13.7200,13.8400,13.4400,13.8000,2901550,39702314.0000,0.583100
2025-02-28,13.8000,13.8900,13.4800,13.5700,2250640,30832145.0000,-1.666700
2025-03-03,13.6100,13.8400,13.5000,13.6300,2338750,32082614.5000,0.442200
2025-03-04,13.6200,13.9900,13.6200,13.8500,2213600,30576198.0000,1.614100
2025-03-05,13.8000,13.8500,13.3800,13.6400,2186600,29681204.0000,-1.516200
2025-03-06,13.6500,13.8300,13.5200,13.7500,2708250,37140450.5000,0.806500
2025-03-07,13.7100,13.7800,13.4900,13.5600,2021800,27522462.2000,-1.381800
2025-03-10,13.6800,13.7900,13.5700,13.7800,1965240,26985755.1000,1.622400
2025-03-11,13.6700,13.9000,13.6000,13.9000,1514268,20843119.1200,0.870800
2025-03-12,13.9000,14.1100,13.9000,13.9400,1944950,27212604.0000,0.287800
2025-03-13,13.9400,14.0000,13.6500,13.8500,2010068,27733132.8600,-0.645600
2025-03-14,13.8000,14.1900,13.7200,14.1600,3278995,46016272.2500,2.238300
2025-03-17,14.1900,14.3000,14.0000,14.1500,2138800,30170337.5000,-0.070600
2025-03-18,14.2000,14.2200,14.0300,14.2100,1357600,19201729.0000,0.424000
2025-03-19,14.1800,14.2600,13.9300,13.9800,1382200,19383066.0000,-1.618600
2025-03-20,13.9200,14.2000,13.9200,14.0900,1705800,24048695.0000,0.786800
2025-03-21,14.1500,14.1500,13.6800,13.8100,1601400,22162098.0000,-1.987200
2025-03-24,13.8000,13.8400,12.9300,13.1300,2960450,39473862.0000,-4.924000
2025-03-25,13.2500,14.0700,13.0000,13.8900,3847600,51897436.4000,5.788300
2025-03-26,13.8800,15.2800,13.7800,14.4600,6861112,100417980.4900,4.103700
2025-03-27,14.7900,14.7900,14.0700,14.0900,3810957,54452159.9900,-2.558800
2025-03-28,14.0000,14.0800,13.3000,13.3800,3530300,47971725.0000,-5.039000
2025-03-31,13.1600,13.3100,12.9000,13.2600,1837800,24100232.0000,-0.896900
2025-04-01,13.3000,13.6400,13.2800,13.3700,1877450,25203684.5000,0.829600
2025-04-02,13.4200,13.6000,13.2900,13.4100,1166900,15675801.0000,0.299200
2025-04-03,13.2600,13.4200,13.0000,13.4000,1280000,16937351.5100,-0.074600
2025-04-07,12.6700,12.6700,12.0600,12.0600,2683100,32729050.0000,-10.000000
2025-04-08,12.0000,12.6500,11.5300,11.8300,2912800,34959352.0000,-1.907100
2025-04-09,11.6100,12.1300,10.7000,12.0000,3557450,40741450.5000,1.437000
2025-04-10,12.1600,12.7000,12.0000,12.4200,2764700,34450890.0000,3.500000
2025-04-11,12.3800,12.6500,12.2600,12.3900,1888700,23548249.0200,-0.241500
2025-04-14,12.5300,13.0000,12.5300,12.7700,2097450,26846895.0000,3.067000
2025-04-15,13.0000,13.0900,12.7200,12.8400,1786100,22969380.0000,0.548200
2025-04-16,12.7700,12.8700,12.1600,12.2600,3205850,39885061.0000,-4.517100
2025-04-17,12.2600,12.8100,12.1500,12.5800,2559650,32244482.5000,2.610100
2025-04-18,12.5500,12.8000,12.3500,12.5600,1947300,24413533.0000,-0.159000
2025-04-21,12.5600,12.9000,12.4100,12.8900,1955100,24937098.0000,2.627400
2025-04-22,12.8900,13.0900,12.7700,12.9800,1313600,16970062.0000,0.698200
2025-04-23,12.9800,13.0800,12.9100,12.9100,1029300,13365284.0000,-0.539300
2025-04-24,12.9100,13.0400,12.7100,12.8700,1418300,18249081.0000,-0.309800
2025-04-25,13.0200,13.2100,12.8500,12.9900,1750950,22817997.0000,0.932400
2025-04-28,13.1200,13.1500,12.5600,12.9300,1979950,25422099.5000,-0.461900
2025-04-29,12.8500,13.5400,12.8500,13.3500,2593700,34558234.0000,3.248300
2025-04-30,13.4200,13.9700,13.3800,13.7700,2732660,37590727.8000,3.146100
2025-05-06,13.9800,14.3500,13.7800,14.2000,2703900,38319638.5700,3.122700
2025-05-07,14.3300,15.1300,14.3300,14.5000,4073215,59700731.8000,2.112700
2025-05-08,14.4900,14.7000,14.3200,14.6500,2303700,33490095.0000,1.034500
2025-05-09,14.6800,14.9800,14.5400,14.6200,2138000,31393528.0000,-0.204800
2025-05-12,14.6200,14.8800,14.2200,14.4300,2610150,37666470.0000,-1.299600
2025-05-13,14.6800,14.8800,14.4400,14.4900,1722500,25179893.0000,0.415800
2025-05-14,14.4700,14.6000,14.2800,14.3900,1328200,19164710.0000,-0.690100
2025-05-15,14.4000,14.5800,14.2100,14.3800,1350290,19431490.8000,-0.069500
2025-05-16,14.3800,14.5900,14.3300,14.5000,1250200,18100536.0000,0.834500
2025-05-19,14.5700,14.9900,14.5200,14.8800,1841450,27280237.5000,2.620700
2025-05-20,14.8800,15.0400,14.7100,15.0100,1123160,16730363.0000,0.873700
2025-05-21,15.0000,15.2300,14.5900,14.9000,1920650,28466370.5000,-0.732800
2025-05-22,14.7500,15.1100,14.4200,14.4900,2439650,35826155.5000,-2.751700
2025-05-23,14.7000,14.7400,14.3000,14.3900,1862807,27028350.2300,-0.690100
2025-05-26,14.3700,14.7000,14.2300,14.5200,1695500,24645078.0000,0.903400
2025-05-27,14.4500,14.8700,14.3800,14.8500,1753000,25711405.0000,2.272700
2025-05-28,14.8600,15.2300,14.6500,14.7300,1915000,28523102.0000,-0.808100
2025-05-29,14.8100,14.9900,14.6700,14.9300,1859310,27648588.0000,1.357800
2025-05-30,14.9300,15.0100,14.6400,14.7700,1424000,21016489.0000,-1.071700
2025-06-03,14.8800,15.0900,14.6000,14.8600,1651812,24584201.3400,0.609300
2025-06-04,14.8700,15.1300,14.8500,15.0800,1610100,24174333.0000,1.480500
2025-06-05,15.2200,15.2500,14.9300,14.9700,1208800,18209582.0000,-0.729400
2025-06-06,15.0000,15.2200,14.8600,15.2000,1727599,26049503.8200,1.536400
2025-06-09,15.2500,15.2500,14.9000,15.0800,1769200,26626152.0000,-0.789500
2025-06-10,15.0800,15.3000,14.6200,14.9900,2140500,32059749.0000,-0.596800
2025-06-11,15.0000,15.2000,14.9500,15.0200,1186200,17879059.0000,0.200100
2025-06-12,15.2600,15.2900,14.9300,15.1400,1247250,18831144.5000,0.798900
2025-06-13,15.0600,15.2000,14.7000,14.7900,1509200,22432311.0000,-2.311800
2025-06-16,14.8500,15.7500,14.7500,15.4300,4340000,66886870.0000,4.327200
2025-06-17,15.4800,15.8900,15.0100,15.1600,3037300,46673610.0000,-1.749800
2025-06-18,15.2200,15.2700,14.7000,14.8500,2290250,34050374.8600,-2.044900
2025-06-19,14.9900,14.9900,14.4000,14.4900,1813750,26507351.0000,-2.424200
2025-06-20,14.4900,14.8000,14.2800,14.3400,1566900,22651702.0000,-1.035200
2025-06-23,14.3800,14.8500,14.1400,14.7700,2284850,33391464.9600,2.998600
2025-06-24,14.8800,15.4800,14.7700,15.3600,3107080,47341425.1000,3.994600
2025-06-25,15.5000,15.8000,15.3300,15.6600,2292900,35751035.0000,1.953100
2025-06-26,15.6700,15.7400,15.2300,15.4100,1536360,23642578.6000,-1.596400
2025-06-27,15.4000,15.6300,15.3800,15.4800,1310350,20272981.5000,0.454300
2025-06-30,15.5500,15.9300,15.4200,15.8400,2207150,34649038.0000,2.325600
