date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.9200,9.0700,8.7500,8.7900,14747107,130907366.2700,-1.787700
2025-01-03,8.8000,9.3500,8.5200,9.1000,40012905,364007219.3800,3.526700
2025-01-06,9.3200,9.9000,9.1800,9.7500,74519922,711249128.1100,7.142900
2025-01-07,9.4000,9.4400,8.8200,9.2800,51778982,472953603.9700,-4.820500
2025-01-08,9.2300,9.6600,9.1400,9.5500,63445553,604222709.6200,2.909500
2025-01-09,9.3800,9.5900,9.2400,9.2900,34483884,323242388.3700,-2.722500
2025-01-10,9.2400,9.2900,8.6600,8.6700,38107336,340305221.6800,-6.673800
2025-01-13,8.5300,8.5300,8.1600,8.2000,23294288,192152093.9200,-5.421000
2025-01-14,8.2200,8.6600,8.2100,8.5100,21612226,181113239.2200,3.780500
2025-01-15,8.4300,8.5100,8.3200,8.4500,15824523,133013255.4200,-0.705100
2025-01-16,8.4500,8.5600,8.3900,8.4400,12605160,106708649.9600,-0.118300
2025-01-17,8.4500,8.4900,8.3500,8.4000,8433152,70822449.7600,-0.473900
2025-01-20,8.4500,8.4600,8.3700,8.4100,8066080,67844071.9600,0.119000
2025-01-21,8.4200,8.4400,8.2000,8.2500,9590200,79302236.6400,-1.902500
2025-01-22,8.2500,8.2500,8.0000,8.0100,14350030,115640545.4200,-2.909100
2025-01-23,8.0700,8.1600,8.0100,8.0100,8554591,69158935.0200,0.000000
2025-01-24,8.0300,8.0800,7.9100,8.0100,8524047,68079760.7700,0.000000
2025-01-27,8.0000,8.0800,7.9300,7.9500,7636914,61229719.2000,-0.749100
2025-02-05,8.0600,8.1800,8.0300,8.1500,10169516,82562610.4000,2.515700
2025-02-06,8.1800,8.2100,8.0600,8.2100,10532856,85800277.3200,0.736200
2025-02-07,8.2100,8.3800,8.1500,8.3200,16086299,133361913.9400,1.339800
2025-02-10,8.3100,8.5300,8.2900,8.5000,19789450,167465853.2800,2.163500
2025-02-11,8.5000,8.5100,8.3200,8.3400,11677715,97578007.0600,-1.882400
2025-02-12,8.3100,8.3400,8.2600,8.3400,10005268,82982964.2800,0.000000
2025-02-13,8.3100,8.3400,8.2600,8.2600,8132222,67460401.8600,-0.959200
2025-02-14,8.2700,8.4000,8.2300,8.3200,10720324,89409844.1100,0.726400
2025-02-17,8.3200,8.3900,8.2800,8.3200,8981353,74761501.5800,0.000000
2025-02-18,8.3600,8.3600,8.1100,8.1300,10183969,83686550.5500,-2.283700
2025-02-19,8.1000,8.1700,8.0900,8.1600,7118316,57892712.9600,0.369000
