date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.5500,9.0500,8.3700,8.8100,51714816,454747394.4400,2.441900
2025-01-03,8.7900,8.7900,7.9300,8.0200,48966110,404271139.5500,-8.967100
2025-01-06,7.9700,8.3500,7.6600,7.9900,40667384,325704157.7600,-0.374100
2025-01-07,8.1900,8.7900,8.0000,8.6700,72114331,607824856.0800,8.510600
2025-01-08,8.6300,9.2000,8.4000,9.1000,85288728,750018158.4000,4.959600
2025-01-09,8.9000,9.7400,8.8000,9.6000,98659578,922562411.8600,5.494500
2025-01-10,9.3300,9.9800,9.3300,9.4500,92932235,898605611.4400,-1.562500
2025-01-13,9.3000,9.8900,9.0800,9.5500,75139514,717057425.3800,1.595700
2025-01-14,9.4200,10.2900,9.4100,10.2100,93870536,939206562.6400,6.911000
2025-01-15,10.1100,10.1100,9.6800,9.8600,82232565,809161972.0700,-3.428000
2025-01-16,10.0000,10.8500,10.0000,10.8500,89677692,963260603.0600,10.040600
2025-01-17,10.4200,10.9200,9.7800,9.9800,137370428,1401872466.3400,-8.018400
2025-01-20,10.0900,10.1400,9.7200,10.0000,77606752,772219609.2600,0.200400
2025-01-21,10.1000,11.0000,9.9800,10.8200,142944164,1491480564.7200,8.200000
2025-01-22,9.9000,10.2600,9.8000,10.0700,98367455,988210637.3800,-6.931600
2025-01-23,10.2300,10.3800,9.8400,9.9400,81717054,826115036.6800,-1.291000
2025-01-24,9.7500,10.2500,9.6500,10.1400,74161482,742820490.6600,2.012100
2025-01-27,10.1300,10.1700,9.5500,9.8000,54952700,536676869.0000,-3.353100
2025-02-05,9.7700,10.3800,9.7700,10.0500,73048988,735332906.1600,2.551000
2025-02-06,10.0000,10.6800,10.0000,10.5900,86554010,905196801.1200,5.373100
2025-02-07,10.5500,10.8800,10.2900,10.5800,94204367,999088401.0800,-0.094400
2025-02-10,10.5800,10.7500,10.3500,10.5400,69177794,726568348.9000,-0.378100
2025-02-11,10.4800,10.7200,10.3200,10.5900,77868182,820978792.7600,0.474400
2025-02-12,10.4700,11.6500,10.3100,11.3000,161237715,1786851714.4700,6.704400
2025-02-13,11.2200,11.8500,10.9200,10.9500,130632382,1480578973.8000,-3.097300
2025-02-14,10.7300,10.9900,10.3500,10.5500,97190204,1033386673.5500,-3.653000
2025-02-17,10.4900,10.7200,10.3500,10.6300,63959956,676060279.3600,0.758300
2025-02-18,10.5900,10.7000,10.1100,10.2600,58260828,606221473.8000,-3.480700
2025-02-19,10.1900,10.8700,10.1900,10.8200,85732574,914207367.6100,5.458100
2025-02-20,10.8300,10.8800,10.6000,10.7400,55608812,597055852.0400,-0.739400
2025-02-21,10.7700,11.4900,10.7300,11.1900,94871397,1060557961.4400,4.189900
2025-02-24,11.2500,12.3100,11.2400,12.3100,89228191,1073166387.3900,10.008900
2025-02-25,11.8900,13.5400,11.7900,13.5300,212679988,2730696171.3800,9.910600
2025-02-26,13.7400,14.7500,13.4800,13.8600,207103923,2919901159.5600,2.439000
2025-02-27,14.0700,14.2500,13.0200,13.3800,145772704,1987492523.9300,-3.463200
2025-02-28,13.3900,13.5200,12.0800,12.1500,108091249,1344702376.4200,-9.192800
2025-03-03,12.2100,12.4200,11.8800,11.9900,67452210,818424229.6000,-1.316900
2025-03-04,12.1600,12.6700,11.9400,12.4600,76076700,946775602.3000,3.919900
2025-03-05,12.5000,13.2600,12.4700,13.1700,89124500,1142684235.6200,5.698200
2025-03-06,13.2400,14.4900,13.0500,14.4900,105075735,1459276931.1500,10.022800
2025-03-07,14.5100,14.8800,13.8200,14.1300,134622153,1930493729.1100,-2.484500
2025-03-10,14.4600,14.5600,13.4900,13.6700,65819800,904431923.5700,-3.255500
2025-03-11,13.3800,13.7900,12.9000,13.3600,69377800,926631542.0000,-2.267700
2025-03-12,13.5000,13.6400,13.2500,13.3000,56439565,757671300.2100,-0.449100
2025-03-13,13.3300,13.4400,12.6600,12.8700,60581817,779192472.8500,-3.233100
2025-03-14,12.8100,13.6900,12.7000,13.6800,73548102,977788875.7100,6.293700
2025-03-17,13.8000,14.2800,13.4100,14.1500,68745149,962783822.9600,3.435700
2025-03-18,14.0000,14.8000,13.8600,14.2400,76557151,1091773815.5500,0.636000
2025-03-19,14.3300,15.4600,14.2400,14.9600,104664675,1556248658.4400,5.056200
2025-03-20,14.7000,16.4600,14.7000,16.0000,148888411,2355345871.8800,6.951900
2025-03-21,15.9800,17.1200,15.8100,16.0700,165905526,2730151340.1100,0.437500
2025-03-24,15.5000,16.5000,14.6800,15.7000,128388529,1985663274.4000,-2.302400
2025-03-25,15.7600,15.9900,14.2600,14.2600,112373839,1678226648.7400,-9.172000
2025-03-26,14.6700,15.6900,14.3000,15.6900,90919618,1379163739.1400,10.028100
2025-03-27,15.4900,15.9700,14.9300,14.9700,93767411,1440682715.4000,-4.588900
2025-03-28,14.9700,16.4000,14.9700,15.6600,105820911,1680865330.1600,4.609200
2025-03-31,15.6300,15.6800,14.0900,14.4000,110490925,1590755593.7500,-8.046000
2025-04-01,14.5400,14.8200,13.7600,13.8400,68744281,977015020.4400,-3.888900
2025-04-02,13.9300,14.7300,13.5800,14.5800,85729596,1222923066.8400,5.346800
2025-04-03,14.3300,15.2000,14.3300,15.0300,87590438,1308804003.3000,3.086400
2025-04-07,13.5600,13.9900,13.5300,13.5300,21443200,291542447.0000,-9.980000
2025-04-08,12.5000,12.8800,12.1800,12.1800,62046600,766216505.5600,-9.977800
2025-04-09,11.4000,12.6400,10.9600,12.3900,76903128,905315616.5200,1.724100
2025-04-10,13.0900,13.4500,12.5000,12.5500,70142236,909510924.8400,1.291400
2025-04-11,12.2000,13.5400,12.2000,13.2000,84020312,1102266684.0200,5.179300
2025-04-14,13.6300,14.1900,13.3600,14.0200,66140300,918871911.0000,6.212100
2025-04-15,13.9500,14.1700,13.6800,13.8500,56984902,792564100.4800,-1.212600
2025-04-16,13.8500,13.9800,13.1000,13.2200,45689100,614660352.6600,-4.548700
2025-04-17,13.3300,13.7400,13.1500,13.1800,41089600,552710486.0000,-0.302600
2025-04-18,13.1800,13.7100,13.0800,13.5700,47857400,646982049.0000,2.959000
2025-04-21,13.4100,13.8400,13.0100,13.7400,45175900,608563803.4000,1.252800
2025-04-22,13.9700,14.1200,13.6000,13.7100,44935434,621941543.1600,-0.218300
2025-04-23,13.8700,14.6300,13.8500,14.5000,71987060,1027445847.4000,5.762200
2025-04-24,14.4400,14.4600,13.9200,14.0600,50937600,721245981.0000,-3.034500
2025-04-25,13.9600,14.9000,13.7100,14.5200,63713460,919048122.4000,3.271700
2025-04-28,14.4900,14.5500,14.0300,14.1400,35412560,502898587.6000,-2.617100
2025-04-29,14.2600,15.5100,14.0300,14.9800,70774500,1048465420.8000,5.940600
2025-04-30,15.2700,15.9000,14.7700,15.7600,71832000,1102476762.0000,5.206900
2025-05-06,15.9000,16.4000,15.7000,16.2100,66057188,1058671926.8800,2.855300
2025-05-07,16.3500,16.6000,15.5500,15.7900,61795300,985070331.2000,-2.591000
2025-05-08,15.6400,16.0400,15.6400,15.7500,36797200,581885776.0000,-0.253300
2025-05-09,15.6500,16.1300,15.0500,15.4000,62266200,965163685.0000,-2.222200
2025-05-12,15.6000,16.1800,15.4500,15.9900,59407000,943733977.0000,3.831200
2025-05-13,16.2500,16.3000,15.6700,15.9700,49957644,797171814.1200,-0.125100
