date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.1200,9.3700,8.9700,9.1300,4732710,43474212.0600,-0.218600
2025-01-03,9.1500,9.2700,8.5600,8.5900,6028584,53158044.9600,-5.914600
2025-01-06,8.5400,8.6300,8.0500,8.3500,5619181,47005116.8800,-2.793900
2025-01-07,8.3800,8.7800,8.3800,8.7800,5244059,44973432.2700,5.149700
2025-01-08,8.7800,8.9600,8.5000,8.8400,5204800,45660292.7500,0.683400
2025-01-09,8.8000,9.0100,8.6700,8.9300,3931154,35056241.3600,1.018100
2025-01-10,8.9300,8.9600,8.3500,8.3700,4501385,38793419.4500,-6.271000
2025-01-13,8.2900,8.5400,7.9700,8.3900,4601970,38153671.1000,0.238900
2025-01-14,8.4800,8.8700,8.4800,8.8700,4661500,40616160.0000,5.721100
2025-01-15,8.9500,9.0300,8.7000,8.8800,4840200,42733532.0000,0.112700
2025-01-16,8.9800,9.1600,8.5900,8.7100,7619080,67191019.0000,-1.914400
2025-01-17,8.7100,8.7300,8.0500,8.2500,11611360,96571308.6000,-5.281300
2025-01-20,8.2900,8.5300,7.9900,8.5100,11409750,95109146.3000,3.151500
2025-01-21,8.5100,8.6000,8.1000,8.1500,8665690,71291743.1000,-4.230300
2025-01-22,7.3400,7.3400,7.3400,7.3400,2245900,16484906.0000,-9.938700
2025-01-23,6.6100,6.9500,6.6100,6.6400,22771075,152784003.4000,-9.536800
2025-01-24,6.4500,6.6400,6.3600,6.6100,10861110,70970665.0000,-0.451800
2025-01-27,6.8000,7.0100,6.6400,6.6400,10215100,69403633.8000,0.453900
2025-02-05,6.8200,7.0700,6.7700,7.0300,10225252,71219203.2800,5.873500
2025-02-06,7.1600,7.3900,6.9000,7.3100,9526140,68135328.5000,3.982900
2025-02-07,7.4100,7.5200,7.2500,7.4100,8136003,60154108.0300,1.368000
2025-02-10,7.5100,7.7800,7.4200,7.7800,7474410,57020903.9000,4.993300
2025-02-11,7.8300,7.8700,7.5200,7.7000,6716720,51230329.1000,-1.028300
2025-02-12,7.6800,7.7700,7.5500,7.7000,4838790,37004070.3000,0.000000
2025-02-13,7.7700,7.8200,7.5900,7.6100,4197180,32097644.0000,-1.168800
2025-02-14,7.5700,7.6300,7.3000,7.3500,5909410,43849197.5000,-3.416600
2025-02-17,7.4900,7.9100,7.4600,7.7800,9790480,75627841.9000,5.850300
2025-02-18,7.8800,7.8900,7.4500,7.4800,6959355,52974554.1500,-3.856000
2025-02-19,7.5500,7.6700,7.5200,7.6000,4942735,37598068.9500,1.604300
2025-02-20,7.6200,7.6800,7.4100,7.6500,4700905,35427695.8000,0.657900
2025-02-21,7.6500,7.6800,7.3500,7.5500,6458490,48321091.6000,-1.307200
2025-02-24,7.6200,7.7500,7.5000,7.6900,6718760,51414715.1000,1.854300
2025-02-25,7.6700,8.0500,7.5600,7.8700,8912110,70026298.4000,2.340700
2025-02-26,7.9100,8.0800,7.6600,7.9100,7842530,61349000.0000,0.508300
2025-02-27,7.8300,8.0500,7.6600,7.7900,6812370,53400179.6000,-1.517100
2025-02-28,7.9000,7.9200,7.6500,7.6500,5219018,40275156.2800,-1.797200
2025-03-03,7.6000,7.8100,7.5100,7.6300,5716208,43885503.4800,-0.261400
2025-03-04,7.5700,7.7400,7.5500,7.7400,4921700,37745115.0000,1.441700
2025-03-05,7.6700,7.7500,7.2600,7.4300,7428100,55006176.8000,-4.005200
2025-03-06,7.4200,7.4800,7.1500,7.3500,7038550,51357931.5000,-1.076700
2025-03-07,7.3400,7.3700,7.1600,7.1800,4901600,35512576.0000,-2.312900
2025-03-10,7.2300,7.8000,7.2100,7.4300,8934400,66699436.0000,3.481900
2025-03-11,7.3500,7.4900,7.2700,7.4200,5798100,42655060.0000,-0.134600
2025-03-12,7.5500,7.6800,7.4200,7.5200,6153040,46506174.8000,1.347700
2025-03-13,7.5600,7.6500,7.2400,7.3500,4689900,34591085.0000,-2.260600
2025-03-14,7.3200,7.4300,7.2100,7.3900,5145200,37730342.0000,0.544200
2025-03-17,7.4800,8.1300,7.4800,8.1300,5123740,41054023.2000,10.013500
2025-03-18,8.2600,8.9400,8.1000,8.9400,29221330,247800320.9000,9.963100
2025-03-19,8.7600,9.8300,8.7600,9.8300,27959885,265595144.7500,9.955300
2025-03-20,9.8300,10.7000,9.4000,9.4500,35770738,361309301.8200,-3.865700
2025-03-21,8.7900,10.4000,8.7900,10.4000,32683978,317277984.5600,10.052900
2025-03-24,10.3600,10.9200,9.3600,9.3600,23534100,232648072.3000,-10.000000
2025-03-25,8.9900,9.2400,8.4200,8.4900,24224753,209962564.5500,-9.294900
2025-03-26,8.2800,8.8800,8.1700,8.6600,18225360,154433073.5000,2.002400
2025-03-27,8.6000,8.6000,7.8000,7.8400,16524830,134490564.7000,-9.468800
2025-03-28,7.8300,7.9200,7.4000,7.4100,12950320,98359075.9000,-5.484700
2025-03-31,7.6600,7.8000,7.1800,7.2000,11103860,82395814.4500,-2.834000
2025-04-01,7.3500,7.9200,7.2700,7.9200,8008770,61459788.3000,10.000000
2025-04-02,8.0400,8.5500,7.9400,8.0200,20864583,171184952.2900,1.262600
2025-04-03,7.9700,8.0300,7.6500,7.8200,11061297,86460011.2000,-2.493800
2025-04-07,7.0400,7.0700,7.0400,7.0400,2755800,19401247.5800,-9.974400
2025-04-08,6.3400,6.8800,6.3400,6.5800,14750632,95754753.4300,-6.534100
2025-04-09,6.4700,6.8000,5.9200,6.6100,12153162,76611365.2000,0.455900
