date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.9000,12.0700,11.4800,11.6300,5724990,67733119.6000,-2.268900
2025-01-03,11.6300,11.8100,11.1000,11.1200,5595940,64038427.8000,-4.385200
2025-01-06,11.1000,11.2200,10.7900,11.0300,4800230,52850365.4000,-0.809400
2025-01-07,11.0200,11.2800,10.9500,11.2800,3840500,42683185.8000,2.266500
2025-01-08,11.2800,11.2800,10.8200,11.1500,4250060,47065685.4000,-1.152500
2025-01-09,11.0600,11.3000,11.0200,11.2200,3956520,44425264.2000,0.627800
2025-01-10,11.2100,11.3500,10.8100,10.8100,4331879,47958457.9000,-3.654200
2025-01-13,10.6000,10.9500,10.5400,10.8900,3329380,35971806.8000,0.740100
2025-01-14,11.0500,11.3900,10.9800,11.3800,4730600,53092197.1000,4.499500
2025-01-15,11.4700,11.5500,11.2100,11.3800,4298000,48812891.0000,0.000000
2025-01-16,11.4500,11.6200,11.3700,11.5200,4288740,49268232.0000,1.230200
2025-01-17,11.5000,12.6000,11.5000,11.8100,10805102,127673733.0200,2.517400
2025-01-20,11.8000,12.0500,11.8000,11.9000,6673920,79667160.2000,0.762100
2025-01-21,12.0100,12.0700,11.5400,11.6500,5339172,62446994.0800,-2.100800
2025-01-22,11.4400,11.5000,11.2000,11.2500,4779820,54082953.2000,-3.433500
2025-01-23,11.3300,11.4200,11.0000,11.0000,5610162,62933145.8200,-2.222200
2025-01-24,10.9400,11.2800,10.9000,11.1300,4086380,45241159.9000,1.181800
2025-01-27,11.2200,11.3200,10.9500,10.9600,3539320,39243424.6000,-1.527400
2025-02-05,11.2000,11.2000,11.0100,11.1500,3364970,37455592.0000,1.733600
2025-02-06,11.1500,11.5500,11.0300,11.5300,7012520,79582070.4000,3.408100
2025-02-07,11.5800,11.8500,11.5000,11.7000,6738120,78785680.8000,1.474400
2025-02-10,11.7200,11.8300,11.5600,11.8300,5666530,66418895.0100,1.111100
2025-02-11,11.8000,11.8300,11.5200,11.7100,4486100,52243935.2000,-1.014400
2025-02-12,11.7000,11.9900,11.6200,11.9400,6630360,78302512.8000,1.964100
2025-02-13,11.8900,12.3100,11.8600,11.9600,10624900,128773429.8000,0.167500
2025-02-14,11.9500,13.1600,11.9400,12.3300,16538931,207736308.0200,3.093600
2025-02-17,12.3300,12.6000,12.0900,12.3800,12280225,150658574.4700,0.405500
2025-02-18,12.5300,12.9000,12.3300,12.7000,17786282,225839113.5500,2.584800
2025-02-19,12.4000,12.9800,12.1000,12.8700,15111171,190533034.0400,1.338600
2025-02-20,12.7200,12.9800,12.6100,12.8800,11135619,142844207.1800,0.077700
2025-02-21,12.8900,13.1300,12.6900,13.0700,14220651,184399277.0200,1.475200
2025-02-24,13.0900,13.1700,12.8300,12.9400,10557260,137086581.8000,-0.994600
2025-02-25,12.6200,12.9200,12.6100,12.7500,8896840,113882354.4000,-1.468300
2025-02-26,12.7800,13.4700,12.7800,13.2200,15647930,206148367.5000,3.686300
2025-02-27,13.3300,13.7400,13.1200,13.2600,16558220,221454129.9600,0.302600
2025-02-28,13.1000,13.7200,13.1000,13.3000,18338685,246050411.4100,0.301700
2025-03-03,13.5000,14.0500,13.4100,14.0500,27795796,385406931.6000,5.639100
