date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.2100,10.6600,9.0700,9.1700,13667870,133288600.1300,-5.366400
2025-01-03,9.0800,9.3900,8.7400,8.7700,9129934,81982522.7600,-4.362100
2025-01-06,8.6800,8.8000,8.2800,8.6000,5297596,45447990.9400,-1.938400
2025-01-07,8.6000,8.9800,8.5600,8.9600,3846123,33805088.3700,4.186000
2025-01-08,8.9700,9.0900,8.5800,8.9000,3075400,27226704.0000,-0.669600
2025-01-09,8.8800,8.9700,8.7400,8.9200,2269500,20218065.0000,0.224700
2025-01-10,9.0000,9.0600,8.6600,8.6700,2438800,21562982.0200,-2.802700
2025-01-13,8.6700,8.8500,8.4000,8.8000,2948068,25600195.5500,1.499400
2025-01-14,8.8000,9.3200,8.8000,9.3100,4328808,39508064.3500,5.795500
2025-01-15,9.3900,9.3900,9.1700,9.2700,2728600,25309173.1800,-0.429600
2025-01-16,9.2900,9.4200,9.1700,9.2800,2456300,22790578.0000,0.107900
2025-01-17,9.2300,9.3400,9.1900,9.2900,1589231,14738179.3700,0.107800
2025-01-20,9.2900,9.6300,9.2900,9.5700,3183432,30270605.1700,3.014000
2025-01-21,9.6500,9.6900,9.3800,9.5300,1750834,16630643.6100,-0.418000
2025-01-22,9.5300,9.5300,9.3500,9.4100,2527050,23777047.0000,-1.259200
2025-01-23,9.4700,9.6600,9.4300,9.4900,2393508,22837204.9200,0.850200
2025-01-24,9.4600,9.6000,9.3900,9.5200,2329210,22078375.2000,0.316100
2025-01-27,9.6500,9.7800,9.4500,9.6000,2537503,24437203.2800,0.840300
2025-02-05,9.6000,9.7000,9.5300,9.6400,1780035,17126925.1000,0.416700
2025-02-06,9.6800,9.8100,9.5600,9.7900,2832386,27459452.3600,1.556000
2025-02-07,9.8100,9.9300,9.7000,9.8200,2818710,27749206.6400,0.306400
2025-02-10,9.8200,9.9200,9.6800,9.9000,2199641,21611138.4300,0.814700
2025-02-11,9.9100,9.9600,9.8000,9.8900,1774450,17516857.5800,-0.101000
2025-02-12,9.8400,9.9600,9.7900,9.8800,2008120,19794538.9000,-0.101100
2025-02-13,9.8800,9.9400,9.6900,9.7300,1877200,18377052.3000,-1.518200
2025-02-14,9.7100,9.7800,9.5600,9.6700,1973155,19082482.5500,-0.616600
2025-02-17,9.6400,9.8800,9.6400,9.7800,2361377,23119001.4700,1.137500
2025-02-18,9.7800,9.8500,9.5300,9.5800,2530851,24521358.7300,-2.045000
2025-02-19,9.5800,9.7500,9.5500,9.6800,1761660,17028661.4000,1.043800
2025-02-20,9.6800,9.8500,9.6000,9.8200,2412915,23604171.1400,1.446300
2025-02-21,9.7700,9.8100,9.5900,9.6700,2670055,25793325.0200,-1.527500
2025-02-24,9.5900,9.8100,9.4900,9.6700,2951026,28486049.4300,0.000000
