date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.8800,13.5800,12.8800,13.1800,8595700,114221016.7500,1.697500
2025-01-03,13.2200,13.2900,11.9800,12.0400,9440100,117323715.0000,-8.649500
2025-01-06,11.8800,12.0900,11.4000,11.7400,5671100,66772680.0000,-2.491700
2025-01-07,11.7600,12.3600,11.7600,12.3500,7920500,95793094.0000,5.195900
2025-01-08,12.3100,12.4100,11.9700,12.2800,6634900,81143076.0000,-0.566800
2025-01-09,12.2800,12.4600,12.0400,12.2200,5143800,63113635.0000,-0.488600
2025-01-10,12.3200,12.3500,11.6600,11.6600,7243600,86722615.0000,-4.582700
2025-01-13,11.5600,11.7200,11.2600,11.6800,4950600,57268334.0000,0.171500
2025-01-14,11.8200,12.5100,11.7200,12.5100,9399010,114192609.0000,7.106200
2025-01-15,12.6900,12.9500,12.3000,12.4400,10302500,130192964.0000,-0.559600
2025-01-16,12.5800,12.7400,12.2400,12.3800,7725100,96337020.0000,-0.482300
2025-01-17,12.3800,12.3800,12.0700,12.1400,5783200,70472832.0000,-1.938600
2025-01-20,12.2200,12.4700,11.9400,12.3100,5598960,68839405.6000,1.400300
2025-01-21,12.3200,12.3500,11.8600,11.9300,7088260,85191721.8000,-3.086900
2025-01-22,11.8800,12.0000,11.5100,11.5500,5687689,66161923.3900,-3.185200
2025-01-23,11.7000,11.9600,11.6000,11.6000,4864529,57257375.9200,0.432900
2025-01-24,11.6000,11.7400,11.4400,11.7300,4265470,49475796.2000,1.120700
2025-01-27,11.7900,11.9000,11.5800,11.6500,4069904,47846662.8400,-0.682000
2025-02-05,11.6800,12.2000,11.6600,12.0500,5353880,64229585.8000,3.433500
2025-02-06,12.0300,12.2700,11.8600,12.2300,5561818,67299010.1600,1.493800
2025-02-07,12.1100,12.5800,12.1100,12.4800,7353510,91289065.9000,2.044200
2025-02-10,12.6500,13.0900,12.5700,12.9200,9772128,125029421.6800,3.525600
2025-02-11,13.0000,13.0000,12.5000,12.5300,7526100,94853380.0000,-3.018600
2025-02-12,12.5900,12.6100,12.3700,12.6000,7093145,88605352.1000,0.558700
2025-02-13,12.5800,12.6800,12.4400,12.4500,5965928,74738246.4400,-1.190500
2025-02-14,12.5000,12.5000,12.2400,12.3100,5490528,67689662.5200,-1.124500
2025-02-17,12.3600,12.5900,12.2800,12.4300,5840904,72623763.1700,0.974800
2025-02-18,12.5000,12.5000,11.8100,11.8200,8697845,104954539.4000,-4.907500
2025-02-19,12.0400,12.0400,11.7600,11.9800,4988404,59549938.5600,1.353600
2025-02-20,11.9800,12.2900,11.8800,12.2600,6221959,75615153.9800,2.337200
2025-02-21,12.2600,12.4800,12.0200,12.2400,7436204,90998224.0700,-0.163100
2025-02-24,12.2000,12.5800,12.0500,12.3300,9656100,118771361.0000,0.735300
2025-02-25,12.1900,12.7600,11.9900,12.5200,10840445,135110973.0500,1.541000
2025-02-26,12.5300,12.8400,12.4500,12.6700,7852220,98882240.0000,1.198100
2025-02-27,12.6700,12.7500,12.2400,12.5200,9028720,112693548.6000,-1.183900
2025-02-28,12.4200,13.4500,12.4100,13.0900,23062129,298200420.1600,4.552700
2025-03-03,13.0000,13.6200,12.9000,13.1000,18591245,246220700.0500,0.076400
2025-03-04,12.9800,13.1800,12.8300,13.1200,9592510,125013328.9200,0.152700
2025-03-05,13.1000,13.2800,12.7400,12.9400,7811500,100973780.0000,-1.372000
2025-03-06,12.9200,13.1800,12.7800,12.9600,10245500,132955791.0500,0.154600
2025-03-07,12.8700,13.0000,12.6800,12.7600,7210300,92367265.0000,-1.543200
2025-03-10,12.7400,12.8000,12.6000,12.6700,4607132,58432051.7700,-0.705300
2025-03-11,12.5500,13.9400,12.3000,13.9400,17187017,226269949.1100,10.023700
2025-03-12,14.0000,14.1000,13.5100,13.6500,18892460,261618831.9500,-2.080300
2025-03-13,13.8800,14.0700,13.6500,13.8500,12720357,176813539.4100,1.465200
2025-03-14,14.2000,15.2200,13.7100,14.5600,25005220,359255941.4500,5.126400
2025-03-17,14.0000,14.1900,13.5300,13.8300,21174758,294433053.8600,-5.013700
2025-03-18,13.8200,13.8200,13.3600,13.4800,13350038,179834143.4400,-2.530700
2025-03-19,13.3800,13.5800,13.2500,13.4900,8486945,113813086.7000,0.074200
2025-03-20,13.4400,13.5900,13.2000,13.2100,6864945,91732418.0000,-2.075600
2025-03-21,13.1000,13.6600,12.9000,13.5400,10780110,143541868.9000,2.498100
2025-03-24,13.4500,13.7500,12.3500,12.8000,14942120,196452783.4200,-5.465300
2025-03-25,12.8400,12.8400,12.1000,12.1500,10950200,134697018.0000,-5.078100
2025-03-26,12.0400,12.4100,12.0400,12.1700,5193900,63556008.0000,0.164600
2025-03-27,12.1200,12.4000,12.0800,12.3100,5003400,61335985.0000,1.150400
2025-03-28,12.2700,12.2800,12.0200,12.0400,3873500,46901112.8300,-2.193300
2025-03-31,12.0000,12.4500,11.7900,12.3300,6073222,73373937.3200,2.408600
2025-04-01,12.3100,12.7600,12.2500,12.3900,5143700,63979560.4000,0.486600
2025-04-02,12.3900,12.6900,12.3100,12.5800,4811175,60190433.4500,1.533500
2025-04-03,12.4600,12.9800,12.3700,12.7100,6630025,84259922.1000,1.033400
2025-04-07,12.0000,12.0000,11.4400,11.4400,4536700,52557218.0000,-9.992100
2025-04-08,11.2800,11.7500,11.1000,11.2700,6090400,69095111.0000,-1.486000
2025-04-09,11.2200,11.2200,10.1400,10.9500,8143145,86463348.6000,-2.839400
2025-04-10,11.1600,12.0400,11.1600,11.7400,11366376,132109847.0000,7.214600
2025-04-11,11.5400,12.3300,11.5400,11.8200,9837329,117735314.9200,0.681400
2025-04-14,11.8800,12.6600,11.8300,12.3600,10598450,130615708.5000,4.568500
2025-04-15,12.3600,12.8100,12.2000,12.6300,9424262,117933635.3500,2.184500
2025-04-16,12.6400,12.7900,12.2800,12.6200,8169508,102461142.4600,-0.079200
2025-04-17,12.4200,12.8700,12.4200,12.5100,5727748,72424888.4500,-0.871600
2025-04-18,12.4100,12.7000,12.1200,12.3400,5832800,71807382.0000,-1.358900
2025-04-21,12.2000,12.5800,12.1500,12.5300,3849303,47800521.5700,1.539700
2025-04-22,12.5000,12.6600,12.3200,12.3800,3585788,44658184.5600,-1.197100
