date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.9600,7.2000,6.8700,7.1900,6380375,44897342.5000,3.156400
2025-01-03,7.1300,7.3000,6.7200,6.7500,8031174,56677645.1200,-6.119600
2025-01-06,6.7600,6.7900,6.4300,6.6600,5352649,35484356.0200,-1.333300
2025-01-07,6.6600,6.8100,6.6200,6.8000,2831700,19042907.0000,2.102100
2025-01-08,6.9100,6.9500,6.6100,6.7300,4444780,30047539.8000,-1.029400
2025-01-09,6.7000,6.7600,6.6500,6.6800,3188680,21407712.2000,-0.742900
2025-01-10,6.6800,6.7100,6.4200,6.4200,4028300,26362456.7500,-3.892200
2025-01-13,6.3400,6.7000,6.1600,6.6600,5470525,35417583.7500,3.738300
2025-01-14,6.6400,6.8900,6.6400,6.8500,5737704,39024767.0800,2.852900
2025-01-15,6.8700,6.8900,6.7500,6.8700,3289900,22482147.0000,0.292000
2025-01-16,6.8700,7.2800,6.8200,7.0300,8116475,56886472.2500,2.329000
2025-01-17,7.0200,7.2800,6.8600,7.2000,9219195,65156765.8000,2.418200
2025-01-20,7.1700,7.2200,6.9800,7.1500,6131083,43498403.3500,-0.694400
2025-01-21,7.1500,7.1800,6.9900,7.0300,3497220,24648255.4000,-1.678300
2025-01-22,6.9800,7.0500,6.9000,6.9200,2458100,17086808.0000,-1.564700
2025-01-23,7.0900,7.0900,6.9100,6.9200,2705665,18870170.0500,0.000000
2025-01-24,6.9300,6.9600,6.8400,6.9200,3005945,20744860.4000,0.000000
2025-01-27,6.9400,7.2300,6.9400,7.0500,4761895,33802043.1500,1.878600
2025-02-05,7.0800,7.1500,7.0100,7.0600,2696600,19048388.0000,0.141800
2025-02-06,7.0700,7.0700,6.9200,7.0600,3437700,24102397.0000,0.000000
2025-02-07,7.0800,7.1700,7.0500,7.1100,3606050,25654725.0000,0.708200
2025-02-10,7.1300,7.2500,7.0800,7.2500,3486400,25056456.0000,1.969100
2025-02-11,7.3100,7.3100,7.1300,7.2200,2881692,20699448.8000,-0.413800
2025-02-12,7.2200,7.2700,7.1500,7.2100,2301450,16564104.0000,-0.138500
2025-02-13,7.2000,7.2600,7.1000,7.1100,2523874,18066875.1000,-1.387000
2025-02-14,7.0900,7.1600,7.0200,7.0500,2935854,20769492.9600,-0.843900
2025-02-17,7.0700,7.2400,7.0400,7.2100,4043844,28952891.7000,2.269500
2025-02-18,7.1600,7.2200,6.9600,6.9900,3642000,25762157.3000,-3.051300
2025-02-19,6.9800,7.0700,6.9800,7.0400,2684680,18905172.0000,0.715300
2025-02-20,7.0400,7.1800,7.0200,7.1500,3133000,22292251.0000,1.562500
2025-02-21,7.1200,7.1500,6.9800,7.0600,3973000,27952088.2500,-1.258700
2025-02-24,7.0900,7.1900,7.0200,7.1700,5701608,40698898.8600,1.558100
2025-02-25,7.1300,7.1500,6.9900,7.0000,4356240,30770616.7000,-2.371000
2025-02-26,7.0400,7.1200,7.0200,7.0900,3416575,24165508.2000,1.285700
2025-02-27,7.0900,7.2300,7.0200,7.1700,6801870,48524705.2000,1.128300
2025-02-28,7.1500,7.1700,6.8800,6.9000,5407524,37895141.5000,-3.765700
2025-03-03,6.9200,7.0500,6.9200,6.9700,4014301,28082570.9900,1.014500
2025-03-04,6.9800,7.1100,6.9300,7.1000,2671370,18820271.1000,1.865100
2025-03-05,7.1000,7.2600,7.0200,7.2600,7426730,53147846.7000,2.253500
2025-03-06,7.2700,7.4000,7.2100,7.3800,6515715,47770951.6500,1.652900
2025-03-07,7.3300,7.6600,7.3300,7.5400,9353045,70515652.9500,2.168000
2025-03-10,7.4900,7.7400,7.4900,7.6800,7295950,55625512.8000,1.856800
2025-03-11,7.6600,7.6600,7.3000,7.3600,11029770,81337717.9000,-4.166700
2025-03-12,7.4500,7.5700,7.2900,7.5500,11488700,85131202.5000,2.581500
2025-03-13,7.4800,7.7400,7.3600,7.5900,9067230,67977380.8000,0.529800
2025-03-14,7.5200,7.7200,7.4800,7.5300,7925650,59895521.0000,-0.790500
2025-03-17,7.5300,7.7600,7.5000,7.6600,6938490,52774490.1000,1.726400
2025-03-18,7.6700,7.7200,7.5800,7.6700,4122520,31502162.3000,0.130500
2025-03-19,7.6600,7.6800,7.5700,7.6200,3336200,25439726.0000,-0.651900
2025-03-20,7.5900,7.6600,7.5700,7.6200,3306500,25189391.0000,0.000000
2025-03-21,7.6500,7.7000,7.5200,7.6200,4476000,34046794.0000,0.000000
2025-03-24,7.6300,7.9900,7.3700,7.5600,12222103,93703782.9400,-0.787400
2025-03-25,7.4100,7.5800,7.3600,7.5100,7123060,53128992.0000,-0.661400
2025-03-26,7.4900,7.6600,7.4600,7.5900,5506100,41688889.0000,1.065200
2025-03-27,7.5700,7.5700,7.3800,7.4400,4471510,33303108.7000,-1.976300
2025-03-28,7.4200,7.4900,7.2600,7.3200,3571400,26256611.0000,-1.612900
2025-03-31,7.2800,7.6300,7.0600,7.4100,8717700,64144182.0000,1.229500
2025-04-01,7.3800,7.4600,7.1500,7.3400,6798280,49921415.4500,-0.944700
2025-04-02,7.3400,7.3700,7.2500,7.2900,2523700,18461333.0000,-0.681200
2025-04-03,7.2500,7.3700,7.2100,7.3200,3015000,22013106.0000,0.411500
2025-04-07,7.0400,7.0400,6.5900,6.5900,4784030,32033655.6000,-9.972700
2025-04-08,6.4600,6.7000,6.1900,6.2900,6471110,41237410.3000,-4.552400
2025-04-09,6.2200,6.5500,5.8300,6.5100,5818560,36326265.8000,3.497600
2025-04-10,6.5800,6.7400,6.5400,6.6400,4456700,29750345.0000,1.996900
2025-04-11,6.6100,6.7400,6.5900,6.6800,3125365,20902477.9000,0.602400
2025-04-14,6.8600,6.9700,6.7800,6.8400,3954465,27086133.6500,2.395200
2025-04-15,6.8200,6.9700,6.7700,6.9500,2851000,19602668.0000,1.608200
2025-04-16,6.9500,7.0200,6.6900,6.8100,2898500,19826461.0000,-2.014400
2025-04-17,6.8100,6.9900,6.7600,6.9400,3359080,23290959.4000,1.909000
2025-04-18,6.8500,6.9800,6.8300,6.9600,2044800,14124263.0000,0.288200
2025-04-21,6.9500,7.0700,6.8600,7.0200,2392275,16769933.8500,0.862100
2025-04-22,7.0500,7.1100,7.0000,7.0900,2305580,16285348.0000,0.997200
2025-04-23,7.0900,7.1500,7.0600,7.1300,2149400,15292331.0000,0.564200
2025-04-24,7.1200,7.1700,7.0200,7.1100,2448020,17377369.8000,-0.280500
2025-04-25,7.0800,7.2200,7.0600,7.1300,2170008,15523881.4400,0.281300
2025-04-28,7.1500,7.2000,7.0800,7.1500,3382990,24170558.8000,0.280500
2025-04-29,7.1200,7.3400,7.1000,7.3200,3908300,28471983.9000,2.377600
2025-04-30,7.3100,7.4400,7.2800,7.3900,3094385,22852732.6000,0.956300
2025-05-06,7.4300,7.5400,7.4100,7.4100,6552100,48994948.2000,0.270600
2025-05-07,7.4900,7.6400,7.4600,7.5300,4675440,35278401.9000,1.619400
2025-05-08,7.5600,7.7000,7.5100,7.6800,4607070,35216978.3000,1.992000
2025-05-09,7.6800,7.7800,7.6500,7.6700,4012295,30854946.9500,-0.130200
2025-05-12,7.6600,7.7200,7.5800,7.6800,3399320,26003967.5000,0.130400
2025-05-13,7.7200,7.7400,7.6200,7.6600,2575255,19734658.0000,-0.260400
2025-05-14,7.6200,7.7000,7.5700,7.6100,2896600,22032050.0000,-0.652700
2025-05-15,7.5900,7.6800,7.5500,7.6300,3063500,23338483.0000,0.262800
2025-05-16,7.6200,7.7300,7.5900,7.7100,3455630,26532339.4000,1.048500
2025-05-19,7.7100,7.8700,7.7100,7.8700,4661100,36416894.5000,2.075200
2025-05-20,7.8900,7.9400,7.8200,7.9100,3033055,23916501.1500,0.508300
2025-05-21,7.9200,7.9600,7.7900,7.8000,3761945,29482233.3500,-1.390600
2025-05-22,7.8400,7.9000,7.7200,7.7300,3575545,27893265.7500,-0.897400
2025-05-23,7.7400,7.7900,7.6000,7.6200,3059350,23544279.0000,-1.423000
2025-05-26,7.6300,7.7600,7.6200,7.7300,2979700,22968652.0000,1.443600
2025-05-27,7.7200,7.8300,7.6800,7.8200,2459100,19093882.0000,1.164300
2025-05-28,7.8000,7.8700,7.7300,7.7900,2548800,19829621.0000,-0.383600
2025-05-29,7.7800,7.9500,7.7500,7.9200,3613008,28481020.8600,1.668800
2025-05-30,7.9300,7.9900,7.8500,7.8800,2968590,23494477.9000,-0.505100
2025-06-03,7.8100,7.9500,7.7800,7.9200,3067905,24180787.5000,0.507600
2025-06-04,7.9200,7.9900,7.8800,7.9800,3075190,24434745.1000,0.757600
2025-06-05,7.9900,8.0100,7.8800,7.9100,2691025,21338053.1000,-0.877200
2025-06-06,7.7300,8.0600,7.6300,7.8600,10256108,80419678.2200,2.611000
2025-06-09,7.8300,8.1400,7.7100,8.0300,12295990,98248576.8000,2.162800
2025-06-10,8.0900,8.1100,7.7700,7.8800,8897270,70560968.6500,-1.868000
2025-06-11,7.9000,8.0600,7.8500,8.0100,7329380,58335602.8500,1.649700
2025-06-12,7.9900,8.8100,7.9800,8.8100,28119782,242438561.7200,9.987500
2025-06-13,8.8100,9.4700,8.0800,8.1900,46913614,411133775.4500,-7.037500
2025-06-16,8.0200,9.0100,8.0200,9.0100,11555285,100732557.8000,10.012200
2025-06-17,9.4500,9.6500,8.8800,8.9900,41806719,385238652.4400,-0.222000
2025-06-18,8.9200,8.9800,8.4000,8.5000,25829405,220726090.1000,-5.450500
2025-06-19,8.4800,8.4800,7.9900,8.0100,18315890,148680768.1000,-5.764700
2025-06-20,7.9400,8.0100,7.6500,7.6900,13573830,105429694.3000,-3.995000
2025-06-23,7.6200,7.9800,7.6200,7.9600,10879225,85419691.4000,3.511100
2025-06-24,8.0100,8.0600,7.8700,8.0300,8763445,70097486.4000,0.879400
2025-06-25,8.0800,8.1900,8.0000,8.0600,8254631,66641245.5600,0.373600
2025-06-26,8.3500,8.4900,8.0900,8.1200,10094501,82533026.1400,0.744400
2025-06-27,8.2300,8.3600,8.1700,8.2600,7833650,64544068.0000,1.724100
2025-06-30,8.2500,8.3600,8.1700,8.3600,7133745,59094496.3000,1.210700
2025-07-01,8.3100,8.4100,8.2200,8.3500,6052435,50323916.9000,-0.119600
2025-07-02,8.3500,8.3900,8.2200,8.2600,4828300,39975993.0000,-1.077800
2025-07-03,8.2700,8.3400,8.2500,8.3100,4539700,37692304.6600,0.605300
2025-07-04,8.2900,8.3200,8.1500,8.1600,5147100,42335866.0000,-1.805100
2025-07-07,8.1300,8.3200,8.1200,8.3100,4514380,37345297.0000,1.838200
2025-07-08,8.3100,8.3300,8.2100,8.2900,4011558,33162283.0000,-0.240700
2025-07-09,8.3000,8.3400,8.2600,8.2800,3207200,26615518.2500,-0.120600
2025-07-10,8.2800,8.4000,8.2300,8.3900,4029050,33467786.0000,1.328500
2025-07-11,8.3700,8.4400,8.2300,8.3100,4036780,33515944.2000,-0.953500
2025-07-14,8.3100,8.3900,8.2600,8.3700,4707600,39230019.0000,0.722000
2025-07-15,8.4000,8.4000,8.1500,8.2500,4427100,36546772.0000,-1.433700
2025-07-16,8.2500,8.3400,8.2300,8.2800,3744200,31038826.0000,0.363600
2025-07-17,8.2800,8.3900,8.2400,8.3200,4007565,33333752.1000,0.483100
2025-07-18,8.3100,8.3500,8.2500,8.3200,3311045,27435586.4500,0.000000
2025-07-21,8.3900,8.5500,8.3600,8.5100,5919335,50190911.1000,2.283700
2025-07-22,8.5000,8.6200,8.3900,8.5000,4515520,38296368.8500,-0.117500
2025-07-23,8.5800,8.6200,8.3800,8.3800,4544005,38536836.0000,-1.411800
2025-07-24,8.3900,9.2200,8.3900,9.2200,30882365,274429606.6000,10.023900
2025-07-25,9.3500,9.5200,8.5900,8.6800,37554130,334827664.0500,-5.856800
2025-07-28,8.7700,8.8000,8.4800,8.5400,17702750,151367908.8000,-1.612900
2025-07-29,8.5300,9.3900,8.1900,9.3900,25938860,228304767.3500,9.953200
2025-07-30,9.3900,9.9500,9.0200,9.6700,48128521,453656253.2400,2.981900
2025-07-31,9.3200,9.3500,8.9800,9.0000,28067375,255831891.8300,-6.928600
2025-08-01,9.1100,9.1400,8.8600,8.9200,17811144,159867030.4000,-0.888900
2025-08-04,8.8300,8.9400,8.6900,8.8800,12880774,113856915.1600,-0.448400
2025-08-05,8.9000,8.9800,8.8400,8.9500,11139099,99399611.9300,0.788300
2025-08-06,8.9300,8.9400,8.8000,8.8400,8497669,75229961.7600,-1.229100
2025-08-07,8.8800,8.8800,8.7200,8.7800,7120444,62486047.3900,-0.678700
2025-08-08,8.7100,8.9000,8.7000,8.8800,7095815,62531370.4500,1.139000
2025-08-11,8.8800,8.9500,8.8100,8.9400,6304015,56209430.7500,0.675700
2025-08-12,8.9200,9.0400,8.9100,8.9400,7145315,63990614.9500,0.000000
2025-08-13,9.0500,9.0500,8.8900,8.9100,6010700,53730389.4000,-0.335600
2025-08-14,8.9200,9.1900,8.9100,9.1300,13544040,122799871.0000,2.469100
2025-08-15,9.0400,9.0400,8.8900,8.9800,11347070,101663517.7500,-1.642900
2025-08-18,8.9600,9.1100,8.9200,9.0300,7525405,67603789.9500,0.556800
2025-08-19,8.9900,9.0800,8.8400,8.9800,7502295,67236311.6500,-0.553700
2025-08-20,8.9400,9.1300,8.8900,9.0700,8061375,72646357.3000,1.002200
2025-08-21,9.0800,9.2800,9.0500,9.1200,9266685,85032035.8500,0.551300
2025-08-22,9.0900,9.1500,9.0000,9.0700,6149625,55739595.6500,-0.548200
2025-08-25,9.1700,9.1700,9.0100,9.0700,6184789,56091041.7900,0.000000
2025-08-26,9.0700,9.1000,8.9400,8.9500,8549639,77114302.3900,-1.323000
2025-08-27,8.9700,8.9700,8.4900,8.5000,11476205,100465374.9000,-5.027900
2025-08-28,8.5500,8.8000,8.3200,8.5400,7381765,63134471.9500,0.470600
2025-08-29,8.8500,9.1400,8.7500,9.0500,17686275,159392971.7600,5.971900
2025-09-01,8.9600,9.2200,8.9300,9.1100,11653035,105810619.9000,0.663000
2025-09-02,9.0500,9.1400,8.9000,9.1300,9308500,84193107.5100,0.219500
2025-09-03,9.0700,9.1300,8.9300,8.9800,6229395,56291890.2500,-1.642900
2025-09-04,8.9400,9.3100,8.8600,9.2000,13246819,121001438.5400,2.449900
2025-09-05,9.5300,10.1200,9.0600,9.8600,33619222,322408094.0800,7.173900
2025-09-08,9.8700,10.2900,9.6700,10.0400,23889664,238410390.1200,1.825600
2025-09-09,10.0100,10.0700,9.8400,9.8900,12272045,121854995.2000,-1.494000
2025-09-10,10.0000,10.1500,9.8500,10.0400,10723369,107531777.9900,1.516700
2025-09-11,10.0000,10.0300,9.6900,9.7900,11268400,110173213.0000,-2.490000
2025-09-12,9.8200,9.8600,9.7000,9.7200,6194225,60620266.5000,-0.715000
2025-09-15,9.7300,9.8400,9.5800,9.6600,5281465,51047586.8000,-0.617300
2025-09-16,9.6900,9.7600,9.6200,9.7600,4785665,46320468.3000,1.035200
2025-09-17,9.7600,9.8000,9.5900,9.6200,4181050,40365333.5000,-1.434400
2025-09-18,9.6600,9.6700,9.3100,9.4100,8020256,76395275.0700,-2.183000
2025-09-19,9.3600,9.4600,9.2400,9.3600,4751200,44305271.0000,-0.531300
2025-09-22,9.4000,9.4800,9.2400,9.3600,3336350,31144645.0000,0.000000
2025-09-23,9.3600,9.3600,8.9000,9.3100,6242425,56886886.7000,-0.534200
2025-09-24,9.2600,9.3800,9.1700,9.3500,3535140,32922834.1000,0.429600
2025-09-25,9.3500,9.4900,9.1800,9.3300,3774980,35295801.8000,-0.213900
2025-09-26,9.2800,9.4400,9.1700,9.3000,5079155,47428358.9000,-0.321500
2025-09-29,9.3000,9.5700,9.1100,9.5000,4979104,46850571.3200,2.150500
2025-09-30,9.4700,9.5700,9.3800,9.4000,3844310,36430352.5000,-1.052600
2025-10-09,9.4100,9.4800,9.2300,9.4400,4513820,42166681.1000,0.425500
2025-10-10,9.4600,9.6900,9.3600,9.5800,4685665,44885379.7500,1.483100
2025-10-13,9.2200,9.5200,9.0700,9.4600,5511055,51686189.2500,-1.252600
2025-10-14,9.5300,9.6700,9.4600,9.5000,4758990,45441778.4000,0.422800
2025-10-15,9.5000,9.6400,9.4100,9.6300,4343675,41627266.5000,1.368400
