date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.5400,9.6000,9.2200,9.3000,2534184,23864208.6400,-2.515700
2025-01-03,9.4000,10.2300,9.1900,9.8600,8974903,88244369.7200,6.021500
2025-01-06,9.8900,10.0500,9.5300,9.9000,7891350,77566017.8400,0.405700
2025-01-07,9.6900,9.8500,9.4300,9.6100,6302618,60337460.3000,-2.929300
2025-01-08,9.5300,9.9000,9.4100,9.7300,4949767,47811213.0300,1.248700
2025-01-09,9.6900,9.6900,9.4100,9.4200,3099229,29488210.4700,-3.186000
2025-01-10,9.4500,9.5300,9.0400,9.0500,4281579,39671200.5200,-3.927800
2025-01-13,8.8800,9.0700,8.7000,9.0300,2422475,21595812.0900,-0.221000
2025-01-14,9.1500,9.3000,9.0900,9.2600,3374591,31070624.0300,2.547100
2025-01-15,9.2100,9.2800,9.1000,9.1500,1303278,11938479.5600,-1.187900
2025-01-16,9.1500,9.2700,9.0400,9.1100,1678307,15386977.3600,-0.437200
2025-01-17,9.0700,10.0200,9.0100,10.0200,13993962,138178410.5100,9.989000
2025-01-20,10.6500,11.0200,10.5200,11.0200,8530538,92973649.8800,9.980000
2025-01-21,11.9800,12.1200,10.4900,10.7500,35786471,410199384.1200,-2.450100
2025-01-22,10.1600,11.2600,9.8900,10.5800,25238609,267179388.5500,-1.581400
2025-01-23,10.5300,11.2400,10.3600,11.0000,25254745,272696977.5700,3.969800
2025-01-24,10.7200,11.0000,10.5400,10.6400,13778405,147248917.6400,-3.272700
2025-01-27,10.7000,10.9000,10.0100,10.1200,12867449,133224867.6700,-4.887200
2025-02-05,10.0200,10.1200,9.8900,9.9100,7452566,74303129.6800,-2.075100
2025-02-06,9.8700,9.9500,9.6100,9.8700,7675830,74768629.3400,-0.403600
2025-02-07,9.8600,10.5900,9.7700,10.2500,13505766,138851069.4400,3.850100
2025-02-10,10.2900,10.4600,10.1700,10.4100,9033005,93023901.7300,1.561000
2025-02-11,10.5800,10.5800,10.2100,10.2600,6394224,65917423.1400,-1.440900
2025-02-12,10.2600,10.2600,10.0600,10.2400,5166969,52502603.5200,-0.194900
2025-02-13,10.2000,10.3500,10.1200,10.1300,4060171,41539801.1300,-1.074200
