date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.7300,8.9500,8.5300,8.6500,7923750,69312372.5000,-0.916400
2025-01-03,8.6600,8.7000,8.3400,8.4400,6459300,55001195.5000,-2.427700
2025-01-06,8.4300,8.7000,8.2400,8.5600,5677809,48469909.3600,1.421800
2025-01-07,8.5600,8.6500,8.4900,8.6500,4649509,39739523.3100,1.051400
2025-01-08,8.6300,8.7500,8.4500,8.6600,5731150,49215579.0000,0.115600
2025-01-09,8.6100,8.8000,8.5100,8.7200,6189000,53895949.0000,0.692800
2025-01-10,8.7500,8.7900,8.3900,8.4100,6754094,57708117.1200,-3.555000
2025-01-13,8.3000,8.8300,8.1600,8.7900,10077400,86671604.5000,4.518400
2025-01-14,8.9600,9.3600,8.8500,9.3400,15879909,145594798.8200,6.257100
2025-01-15,9.2500,9.5700,9.2300,9.5000,14157000,134032415.2200,1.713100
2025-01-16,9.5000,9.5700,9.3300,9.5000,10718650,101371711.5000,0.000000
2025-01-17,9.5100,9.7500,9.4700,9.6700,10412037,100443607.9000,1.789500
2025-01-20,9.6800,9.8500,9.5600,9.7800,10281215,100217765.7700,1.137500
2025-01-21,9.8000,9.8500,9.6300,9.6800,6260483,60715080.4400,-1.022500
2025-01-22,9.6500,9.6500,9.4800,9.5700,8972050,85916235.0000,-1.136400
2025-01-23,9.6200,9.6900,9.2700,9.2900,10218250,96619853.9100,-2.925800
2025-01-24,9.2900,9.5800,9.0800,9.5000,10388721,96754572.4600,2.260500
2025-01-27,9.6700,9.8500,9.5600,9.5700,10934200,105945073.0000,0.736800
2025-02-05,9.5900,9.7400,9.3400,9.3900,7630500,71889870.5000,-1.880900
2025-02-06,9.3900,9.4400,9.0600,9.1500,15295500,141096908.5000,-2.555900
2025-02-07,9.1600,9.6300,9.0500,9.4200,16252850,151829769.5000,2.950800
2025-02-10,9.4500,9.6500,9.2700,9.5900,13174500,124920601.5000,1.804700
2025-02-11,9.5900,9.6000,9.2400,9.2900,11422350,106631712.5000,-3.128300
