date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.0500,3.0700,2.9200,2.9400,91854311,274930206.5500,-3.289500
2025-01-03,2.9400,2.9600,2.8800,2.9000,69706280,203737752.2000,-1.360500
2025-01-06,2.9000,2.9200,2.8600,2.9200,50925280,147381199.0000,0.689700
2025-01-07,2.9100,2.9500,2.8900,2.9500,47285622,138194469.4600,1.027400
2025-01-08,2.9400,2.9600,2.8800,2.9400,51345672,149888840.0800,-0.339000
2025-01-09,2.9300,2.9400,2.8900,2.9100,42800974,124547312.6000,-1.020400
2025-01-10,2.9100,2.9200,2.8600,2.8900,44169750,127412451.5000,-0.687300
2025-01-13,2.8700,2.8700,2.8100,2.8300,64260244,182521978.5200,-2.076100
2025-01-14,2.8400,2.9200,2.8300,2.9100,68872974,198688479.7500,2.826900
2025-01-15,2.9100,2.9500,2.8900,2.9100,45805474,133577165.3400,0.000000
2025-01-16,2.9200,2.9800,2.9200,2.9600,66330900,195930684.0000,1.718200
2025-01-17,2.9500,2.9700,2.9200,2.9500,45219700,133376587.1700,-0.337800
2025-01-20,2.9700,2.9900,2.9300,2.9500,50733007,150162460.9000,0.000000
2025-01-21,2.9600,2.9600,2.9100,2.9300,46524209,136507150.4600,-0.678000
2025-01-22,2.9200,2.9300,2.8900,2.9100,43846944,127284845.1600,-0.682600
2025-01-23,2.9300,2.9900,2.9200,2.9500,65032199,192404484.0500,1.374600
2025-01-24,2.9500,2.9700,2.9200,2.9600,53506359,157702848.3500,0.339000
2025-01-27,2.9600,3.0300,2.9600,2.9900,66196445,198988808.5800,1.013500
2025-02-05,3.0000,3.0100,2.9500,2.9500,48886800,145295680.0000,-1.337800
2025-02-06,2.9500,2.9700,2.9300,2.9600,53374800,157581363.0000,0.339000
2025-02-07,2.9600,3.0300,2.9500,3.0000,76085244,227557222.6800,1.351400
2025-02-10,3.0000,3.0100,2.9800,2.9900,41058707,122946776.3000,-0.333300
2025-02-11,3.0100,3.0300,2.9900,3.0100,62033270,186612963.4000,0.668900
2025-02-12,3.0100,3.0200,2.9800,3.0100,44846929,134484733.7100,0.000000
2025-02-13,3.0000,3.0300,3.0000,3.0200,53747810,162048917.1000,0.332200
2025-02-14,3.0200,3.0200,2.9800,3.0100,45074485,134995402.0000,-0.331100
2025-02-17,3.0100,3.0100,2.9800,3.0000,41175334,123323081.6000,-0.332200
2025-02-18,3.0000,3.0900,2.9900,3.0600,124557785,379805308.2500,2.000000
2025-02-19,3.0500,3.0700,3.0200,3.0300,51464750,156508294.5000,-0.980400
2025-02-20,3.0500,3.0700,3.0300,3.0500,51479500,156908451.0900,0.660100
2025-02-21,3.0500,3.0600,2.9900,3.0100,56974328,171806392.7200,-1.311500
2025-02-24,3.0100,3.0500,3.0000,3.0200,56712334,171501446.3400,0.332200
2025-02-25,3.0300,3.0400,2.9800,2.9900,44493185,133955075.8500,-0.993400
2025-02-26,2.9900,3.0300,2.9900,3.0100,39106838,117664319.6600,0.668900
2025-02-27,3.0200,3.0200,2.9900,3.0100,38382311,115386267.5500,0.000000
2025-02-28,3.0100,3.0200,2.9700,2.9800,49914941,149374629.0000,-0.996700
2025-03-03,2.9800,2.9900,2.9500,2.9500,41769241,123873644.9500,-1.006700
2025-03-04,2.9500,2.9900,2.9500,2.9800,45095009,133936320.7300,1.016900
2025-03-05,2.9800,3.0000,2.9600,3.0000,48333087,144186994.1300,0.671100
2025-03-06,3.0000,3.0100,2.9800,3.0000,45909370,137539779.3000,0.000000
2025-03-07,3.0000,3.0100,2.9700,2.9800,38133321,114080499.3700,-0.666700
2025-03-10,2.9700,2.9800,2.9400,2.9400,51681970,152584352.8000,-1.342300
2025-03-11,2.9300,2.9500,2.9100,2.9500,57721193,169089923.0100,0.340100
2025-03-12,2.9500,2.9600,2.9300,2.9400,39048794,115010790.3600,-0.339000
2025-03-13,2.9400,2.9700,2.9300,2.9500,57641486,169710206.2800,0.340100
2025-03-14,2.9400,3.0000,2.9400,2.9900,63375204,188882385.1900,1.355900
2025-03-17,3.0000,3.0400,2.9900,3.0300,60175731,181931766.0200,1.337800
2025-03-18,3.0400,3.0400,3.0100,3.0300,33109791,99982589.8200,0.000000
