date,open,high,low,close,volume,amount,pctChg
2025-01-02,27.2000,27.5900,26.2300,26.4100,1663524,44712795.4000,-2.940100
2025-01-03,26.4600,26.7600,25.3800,25.4000,1429596,36992931.3200,-3.824300
2025-01-06,25.5000,25.7200,24.6000,25.1200,1046492,26338556.1600,-1.102400
2025-01-07,25.2200,25.5100,25.0000,25.5000,1134860,28643548.8000,1.512700
2025-01-08,25.5100,25.7400,24.7100,25.3500,1268464,32001190.2000,-0.588200
2025-01-09,25.2000,25.8200,25.1300,25.6700,1193556,30516838.8400,1.262300
2025-01-10,25.6100,25.8800,24.9000,24.9000,1202180,30553515.5200,-2.999600
2025-01-13,24.7200,25.3800,24.2400,25.2500,1040720,25992041.6400,1.405600
2025-01-14,25.2500,26.0500,25.2500,26.0300,1319212,34064187.2400,3.089100
2025-01-15,26.0700,26.0700,25.6100,25.7200,1113840,28724313.6400,-1.190900
2025-01-16,25.8700,26.1500,25.4900,25.7200,1011200,26100867.9200,0.000000
2025-01-17,25.5100,25.9100,25.4900,25.7400,826064,21253097.2000,0.077800
2025-01-20,25.9100,25.9400,25.6000,25.7400,878104,22632148.7200,0.000000
2025-01-21,25.9400,25.9500,25.6700,25.8100,1000566,25832230.3600,0.272000
2025-01-22,25.8400,25.8800,25.4200,25.5500,706068,18074680.5200,-1.007400
2025-01-23,25.7600,26.1100,25.6300,25.6600,1062700,27581892.8400,0.430500
2025-01-24,25.6800,25.8300,25.4100,25.7800,858296,22045864.5200,0.467700
2025-01-27,25.8700,26.4300,25.6300,25.8600,780400,20238028.0800,0.310300
2025-02-05,25.9300,26.2700,25.9300,26.2400,801056,20946647.0800,1.469500
2025-02-06,26.1100,26.8400,26.1000,26.8400,1086564,28916845.5600,2.286600
2025-02-07,27.0000,27.1800,26.5300,26.8500,1454311,39205798.1700,0.037300
2025-02-10,26.8500,27.2500,26.8300,27.2200,1202060,32594373.8800,1.378000
2025-02-11,27.3000,27.3000,26.8100,27.0100,977136,26397097.5200,-0.771500
2025-02-12,26.9500,27.0900,26.7800,27.0200,1164276,31392558.7200,0.037000
2025-02-13,27.0200,27.1300,26.5200,26.5700,1070588,28587688.0800,-1.665400
2025-02-14,26.7700,26.7700,26.3200,26.5600,1009252,26751526.6000,-0.037600
2025-02-17,26.4800,27.6800,26.4600,27.0200,1732300,47025424.9600,1.731900
2025-02-18,27.0300,27.0700,26.1600,26.3400,1422856,37919571.5200,-2.516700
2025-02-19,26.2400,26.8600,26.2400,26.8300,1176389,31406427.2200,1.860300
2025-02-20,26.8200,27.3300,26.7200,27.2600,1410160,38263905.5200,1.602700
