date,open,high,low,close,volume,amount,pctChg
2025-01-02,93.5200,95.6900,90.2000,91.0700,1853629,171943359.2700,-2.619800
2025-01-03,92.7200,92.7200,88.5000,89.6900,1417608,128030266.5900,-1.515300
2025-01-06,89.6800,90.8700,85.2600,86.0200,1319806,116099245.1600,-4.091900
2025-01-07,85.6700,87.6900,84.6200,87.5000,1183335,101808115.8300,1.720500
2025-01-08,87.4900,87.4900,84.0600,87.2000,799404,68780702.0800,-0.342900
2025-01-09,86.4200,87.4100,84.8600,85.5900,669759,57557956.8400,-1.846300
2025-01-10,85.5700,86.0500,84.1800,84.2900,449800,38215601.0000,-1.518900
2025-01-13,83.8400,85.5800,83.0300,84.7900,958101,80905461.0500,0.593200
2025-01-14,85.2000,90.8200,84.5100,90.5700,1202800,106982656.6000,6.816800
2025-01-15,90.7500,92.4700,89.1600,90.3800,816600,74482234.0000,-0.209800
2025-01-16,90.9600,90.9600,87.5500,88.6800,583204,51755314.6000,-1.880900
2025-01-17,88.3600,93.4500,87.4000,92.0000,918304,83630572.0800,3.743800
2025-01-20,91.7200,92.4900,88.1800,88.4900,1270980,113758166.3800,-3.815200
2025-01-21,88.6100,92.3000,88.0100,91.3200,1049614,95132661.1100,3.198100
2025-01-22,90.9900,91.9000,87.3000,87.6500,952376,84410729.9600,-4.018800
2025-01-23,88.6800,88.8000,84.8400,85.6200,1422593,122203101.6000,-2.316000
2025-01-24,85.1900,86.4000,84.0100,86.1300,817300,70039427.0000,0.595700
2025-01-27,86.1300,89.3800,85.7400,87.2200,837393,73391420.3800,1.265500
2025-02-05,87.2200,87.2200,78.5800,78.7100,2051391,164667768.2700,-9.756900
2025-02-06,78.5400,81.4200,77.0400,81.3000,1492100,118046980.0000,3.290600
2025-02-07,80.4400,84.8900,80.4400,84.2000,1248401,104272326.7200,3.567000
2025-02-10,83.8600,85.8800,82.6300,84.5200,796100,66973443.0000,0.380000
2025-02-11,85.3000,85.8000,80.5500,81.0700,1102900,90785007.0000,-4.081900
2025-02-12,80.7900,80.7900,77.2300,77.8900,1910786,149323507.7700,-3.922500
2025-02-13,77.8900,79.1400,76.8600,78.4500,1157800,90263515.0000,0.719000
2025-02-14,77.6700,78.4700,76.6700,76.9000,741738,57263431.3000,-1.975800
2025-02-17,76.9000,77.2500,75.6500,76.3900,1036600,79190124.6000,-0.663200
2025-02-18,76.3500,76.9600,74.6600,75.2100,957900,72776876.0000,-1.544700
2025-02-19,75.2300,75.5500,74.1100,75.1200,790100,59051029.0000,-0.119700
2025-02-20,75.3700,77.1000,74.9000,77.0000,893486,68307697.4600,2.502700
2025-02-21,77.2200,77.3100,75.8000,76.8000,805253,61775612.8800,-0.259700
2025-02-24,76.8600,79.5000,76.0000,78.9600,1082574,84453772.5000,2.812500
2025-02-25,78.4100,79.6900,76.5000,77.1800,993725,76971028.0600,-2.254300
2025-02-26,76.7700,77.5800,75.8000,77.0100,1040700,79864395.0000,-0.220300
2025-02-27,77.0100,80.9700,76.7000,78.4100,1550300,122667218.0000,1.817900
2025-02-28,78.1100,80.5000,77.0000,77.8200,1074700,84371150.0000,-0.752500
2025-03-03,77.8800,78.7800,71.2000,71.8200,2767842,204543944.0000,-7.710100
2025-03-04,71.3200,71.8000,69.0200,70.0900,1759400,123224203.0000,-2.408800
2025-03-05,70.0500,70.3900,68.6000,69.2600,1105300,76421681.0000,-1.184200
2025-03-06,69.2500,69.4800,67.8500,68.4900,1929068,131877444.8200,-1.111800
2025-03-07,68.4700,69.8000,68.1900,68.7700,1330681,91645451.7600,0.408800
2025-03-10,68.6900,69.3700,67.6100,68.6500,1559165,106191830.9200,-0.174500
2025-03-11,68.0000,69.8000,67.6700,69.3800,1024438,70442454.2900,1.063400
2025-03-12,69.4000,70.3900,67.7900,67.9500,1241500,84971794.0000,-2.061100
2025-03-13,67.9400,68.8000,67.2200,67.7700,1059300,71824527.0000,-0.264900
2025-03-14,67.9900,73.0000,67.6200,72.9000,3178826,225529294.4900,7.569700
2025-03-17,72.9900,73.8600,71.0800,71.2400,1847194,133189537.9200,-2.277100
2025-03-18,71.4800,71.6600,70.2000,70.6000,1084400,76576283.0000,-0.898400
2025-03-19,70.5000,70.9600,69.7000,70.2300,780600,54780467.0000,-0.524100
2025-03-20,70.1900,70.6800,69.6100,69.7900,745700,52137611.0000,-0.626500
2025-03-21,69.6100,70.1100,69.0400,69.3500,630116,43766110.0000,-0.630500
2025-03-24,69.0300,71.3800,69.0000,71.1700,1236100,87374813.0000,2.624400
2025-03-25,71.1700,72.0000,69.8200,70.3000,672121,47393287.1500,-1.222400
2025-03-26,70.0000,70.7900,69.7200,70.7000,510100,35896793.0000,0.569000
2025-03-27,70.5200,71.9400,70.3500,71.5700,635200,45330578.0000,1.230600
2025-03-28,71.1700,71.9800,69.4000,70.0600,670200,47194148.0000,-2.109800
2025-03-31,69.7900,73.8000,69.3600,72.9000,1898265,137305272.0500,4.053700
2025-04-01,72.9000,78.0000,72.9000,76.8300,2739075,208057629.1800,5.390900
2025-04-02,76.2600,76.7000,73.9300,74.1700,1981370,148998315.5100,-3.462200
2025-04-03,73.8200,77.8100,73.1500,76.3400,2740610,208593536.2000,2.925700
