date,open,high,low,close,volume,amount,pctChg
2025-01-02,34.6000,35.0700,33.6000,33.9000,5625936,193042876.1600,-2.164500
2025-01-03,33.9000,34.1300,32.8500,32.9300,3698117,123782167.9500,-2.861400
2025-01-06,32.8600,33.1500,32.0800,32.4300,3881784,126459681.8200,-1.518400
2025-01-07,32.4500,33.4400,32.2500,33.4200,4515589,148034115.7000,3.052700
2025-01-08,33.4200,34.9800,32.6000,34.2900,6651499,224662881.3200,2.603200
2025-01-09,33.9500,35.5500,33.7500,35.2300,8459196,295294246.3900,2.741300
2025-01-10,35.2000,36.7300,34.8500,36.0200,9591039,345843997.1300,2.242400
2025-01-13,35.8800,37.1200,34.9800,35.8100,6884885,247077861.4700,-0.583000
2025-01-14,35.9200,38.5700,35.9200,38.0400,9278432,350042335.5600,6.227300
2025-01-15,39.1700,39.5900,37.9400,38.2600,10400686,402487885.9000,0.578300
2025-01-16,38.2700,38.5500,36.9000,37.9900,7032946,265952482.7600,-0.705700
2025-01-17,38.0000,38.9000,37.5500,38.1000,5764149,220038719.0100,0.289500
2025-01-20,38.4000,38.9000,37.8000,38.1000,5020958,191749780.8000,0.000000
2025-01-21,38.1000,38.7500,37.6000,38.6300,5318758,203333633.5400,1.391100
2025-01-22,39.0000,39.0000,37.8300,38.0000,4209916,160986726.0500,-1.630900
2025-01-23,38.1500,38.4500,36.7800,36.8700,7491960,280343998.6800,-2.973700
2025-01-24,36.8200,38.4000,36.5200,37.9600,6270424,236264696.8800,2.956300
2025-01-27,38.1300,38.3500,37.2500,37.6100,4410794,166358352.3800,-0.922000
2025-02-05,37.7000,39.3000,37.5600,38.8200,8043691,311428017.7000,3.217200
2025-02-06,38.4500,39.9100,38.4500,39.6700,8474938,333913257.7100,2.189600
2025-02-07,39.7000,40.4800,38.6700,39.3400,12176583,482258245.0200,-0.831900
2025-02-10,39.0800,39.4400,38.4100,38.9300,6200063,240646987.9300,-1.042200
2025-02-11,38.9300,39.2700,38.5900,39.0000,3863459,150422172.9100,0.179800
2025-02-12,38.7600,39.4800,38.3200,39.3300,4703403,183701740.2700,0.846200
2025-02-13,39.6000,42.2500,39.6000,39.9200,12056502,494930228.1100,1.500100
2025-02-14,39.6000,40.9900,39.3700,39.9500,7853223,314999949.9000,0.075200
2025-02-17,39.8900,41.5000,39.5300,41.3900,9617708,391921556.5000,3.604500
2025-02-18,41.5000,44.1000,40.8600,42.7200,13609223,584554891.8200,3.213300
2025-02-19,43.1800,44.3800,42.7300,44.0200,9662992,423794359.6700,3.043100
2025-02-20,44.0300,44.2900,43.1400,43.9000,7397800,323635019.6600,-0.272600
2025-02-21,43.8800,45.4500,43.8000,44.2900,9261043,413078193.7900,0.888400
2025-02-24,44.0600,47.2400,43.8600,46.5200,12061031,556646983.9800,5.035000
2025-02-25,45.9000,46.1100,44.5000,45.4100,7881103,356490994.7500,-2.386100
2025-02-26,45.5000,49.9500,44.6400,48.3000,18737319,902287186.7600,6.364200
2025-02-27,48.5100,48.7000,45.9800,46.4000,12531890,592305357.7800,-3.933700
2025-02-28,46.6000,47.2800,43.0000,43.3400,14201643,630266428.2000,-6.594800
2025-03-03,43.2200,43.8500,42.1700,42.6700,8294916,355941608.4700,-1.545900
2025-03-04,42.1100,44.8700,42.0200,44.1000,10212676,449583819.2800,3.351300
2025-03-05,44.2000,45.9000,44.0100,45.8000,7843945,354148434.2100,3.854900
2025-03-06,45.6800,46.7500,45.1100,45.5000,8865800,407048654.6600,-0.655000
2025-03-07,45.4800,48.5900,45.4300,47.1700,12098936,571053400.6400,3.670300
2025-03-10,48.0000,48.8400,46.9600,48.0600,10639387,510416345.2400,1.886800
2025-03-11,46.8200,49.1800,46.6000,48.3000,10387587,495327520.8600,0.499400
2025-03-12,47.9800,48.8800,47.2900,47.9600,9395486,450994237.5500,-0.703900
2025-03-13,47.8000,47.8600,43.1900,43.5000,17764120,793190828.8400,-9.299400
2025-03-14,43.7500,46.2600,43.3000,46.0600,12377707,560146503.8100,5.885100
2025-03-17,46.6000,48.4900,45.6000,46.9700,12836853,604790831.5300,1.975700
2025-03-18,47.2000,47.2400,45.4000,46.8800,10762803,498773519.7400,-0.191600
2025-03-19,46.3100,46.6400,44.4800,45.9300,10664000,486264100.0000,-2.026500
2025-03-20,45.5400,47.3000,44.9200,46.1000,9012709,415928204.4100,0.370100
2025-03-21,45.6800,45.8600,43.3200,43.5300,9976131,440813163.7300,-5.574800
2025-03-24,43.7800,44.4800,42.6000,43.4000,6431080,279067888.1200,-0.298600
2025-03-25,43.0700,44.3900,41.2200,41.4100,8974375,378771543.2000,-4.585300
2025-03-26,41.4200,42.7300,41.2200,41.7000,5802722,243699966.4600,0.700300
2025-03-27,41.6700,42.0900,41.0000,41.2100,4143992,171841986.3000,-1.175100
2025-03-28,41.2100,41.4700,40.1000,40.2900,5429100,220193050.0000,-2.232500
2025-03-31,40.0000,40.7800,38.7100,40.4000,6717016,266570994.1700,0.273000
2025-04-01,40.6000,40.7300,39.7800,39.8800,4414658,176940241.6200,-1.287100
2025-04-02,39.8800,40.8900,39.3800,40.2500,5002724,201263580.3200,0.927800
2025-04-03,39.8000,40.5500,38.7000,38.8000,5630992,222132487.8000,-3.602500
2025-04-07,35.0300,36.4000,34.9200,34.9200,4768692,167513580.2800,-10.000000
2025-04-08,34.6200,34.9000,31.6000,32.8500,11088500,362967937.3600,-5.927800
2025-04-09,32.0000,34.9300,31.0300,34.6500,10599589,353675697.1600,5.479500
2025-04-10,35.6000,36.7500,35.4500,35.6000,8491360,306409520.5500,2.741700
2025-04-11,35.6000,36.4900,35.2000,36.0000,5080900,182853957.0000,1.123600
2025-04-14,36.4700,36.9800,36.1400,36.7000,5045608,184902079.9200,1.944400
2025-04-15,36.7000,36.9500,35.8100,36.2700,4470417,162186337.1900,-1.171700
2025-04-16,36.2700,36.2700,35.0400,35.9700,3608542,128906193.8800,-0.827100
2025-04-17,35.9300,36.1900,35.5000,35.5500,2952264,105803305.4400,-1.167600
2025-04-18,35.4300,36.0800,35.4100,36.0200,2880000,103016875.0000,1.322100
2025-04-21,36.0400,37.4800,35.5100,37.4800,6895345,252716243.1500,4.053300
2025-04-22,37.2400,37.6800,36.9500,37.1100,4328494,161575386.8800,-0.987200
2025-04-23,37.4800,38.8700,37.3500,38.6000,6760131,258916663.0100,4.015100
2025-04-24,38.4500,38.5500,37.5100,37.9600,6010734,228205423.5600,-1.658000
2025-04-25,37.9600,38.7700,37.5700,38.3600,5549200,212698683.0000,1.053700
2025-04-28,38.3900,38.6900,37.3800,37.4000,2950780,111334620.0400,-2.502600
2025-04-29,37.3000,37.9100,36.8000,37.4700,3372751,126304994.5000,0.187200
2025-04-30,37.4800,39.1500,36.9300,38.8800,6126049,234631411.6600,3.763000
