date,open,high,low,close,volume,amount,pctChg
2025-01-02,27.0100,27.5700,26.2000,26.6000,3304900,89014382.0000,-1.917400
2025-01-03,26.6000,26.9800,25.6000,25.6800,3494600,91610428.0000,-3.458600
2025-01-06,25.5000,26.8000,24.7100,25.8600,3672554,94521025.2000,0.700900
2025-01-07,25.7900,26.6700,25.7300,26.6500,3050800,79989656.0000,3.054900
2025-01-08,26.5500,27.9900,25.9600,27.9900,5744750,155808190.8800,5.028100
2025-01-09,28.5400,30.7900,28.5200,30.7900,8270990,250560018.4000,10.003600
2025-01-10,30.2100,30.2100,28.6300,28.6700,8890700,260681903.0000,-6.885400
2025-01-13,27.7900,28.7700,27.3000,27.6200,4881550,135340281.0000,-3.662400
2025-01-14,28.0100,29.0800,27.7600,29.0700,6244040,178373152.8000,5.249800
2025-01-15,28.6800,29.5000,28.6800,28.9000,5278040,153429905.0000,-0.584800
2025-01-16,29.0700,29.3900,28.6500,28.8200,3927000,113863516.0000,-0.276800
2025-01-17,28.5900,28.8000,28.1500,28.4900,3041100,86731433.0000,-1.145000
2025-01-20,29.3700,29.4900,28.6000,28.7000,4593600,133172877.0000,0.737100
2025-01-21,28.9900,29.3600,28.3500,28.9900,3909800,112440683.0000,1.010500
2025-01-22,28.6600,28.9800,28.1200,28.3100,2954586,84357357.9200,-2.345600
2025-01-23,28.5200,29.3500,28.1700,28.1700,4262300,122958613.0000,-0.494500
2025-01-24,28.1500,29.5000,28.0900,29.4700,6320617,183486016.2500,4.614800
2025-01-27,32.4200,32.4200,32.4200,32.4200,5154393,167105421.0600,10.010200
2025-02-05,35.6600,35.6600,35.6600,35.6600,1837170,65513482.2000,9.993800
2025-02-06,35.0000,39.2300,33.8000,36.8700,25567584,942670100.6900,3.393200
2025-02-07,34.2900,40.5600,34.2900,40.5600,24283221,893497919.5200,10.008100
2025-02-10,41.3000,43.5200,38.7800,40.0100,25000408,1023918196.2300,-1.356000
2025-02-11,38.5200,41.6800,37.2200,38.0200,18928058,734361763.6800,-4.973800
2025-02-12,37.5000,39.8800,37.4500,39.0400,16117213,625025887.3800,2.682800
2025-02-13,38.2500,40.5000,36.8000,39.2900,18028133,697724388.0300,0.640400
2025-02-14,38.4300,41.3000,37.5800,40.9900,19208600,762424552.8300,4.326800
2025-02-17,41.0000,42.5100,39.6100,41.7900,18703656,769203927.4600,1.951700
2025-02-18,40.6700,41.3000,37.6100,37.7800,13670478,539622754.1400,-9.595600
2025-02-19,37.2600,41.5600,37.2600,41.5600,9765213,398072825.2800,10.005300
2025-02-20,41.9000,43.3700,39.9000,40.0800,17765971,730508050.4300,-3.561100
2025-02-21,40.1400,41.1600,38.9500,40.7100,13401229,537409107.5300,1.571900
2025-02-24,40.0000,40.5000,38.6700,39.0600,9422068,372036502.3600,-4.053100
2025-02-25,38.0000,41.6000,37.8500,40.3100,12309962,490598960.8000,3.200200
2025-02-26,40.3200,41.0000,39.6500,40.1000,8446237,338650351.2500,-0.521000
2025-02-27,40.0700,41.3600,38.0400,39.0000,8121016,319921287.4800,-2.743100
2025-02-28,38.4600,38.4900,35.4300,35.7000,8674550,318717066.3200,-8.461500
2025-03-03,35.6000,36.7000,35.1700,36.0200,5189043,187247917.3900,0.896400
2025-03-04,35.6100,36.6300,35.5500,36.4300,3906831,141925691.9200,1.138300
2025-03-05,36.2600,36.8600,35.9200,36.7100,4309323,156995242.2800,0.768600
2025-03-06,37.3700,40.3800,37.1100,40.3800,14563725,571667556.2000,9.997300
2025-03-07,40.5800,40.7000,38.6700,39.0700,10596242,419127192.9200,-3.244200
2025-03-10,39.0700,39.5000,38.3600,38.8000,4872042,189109661.0800,-0.691100
2025-03-11,38.0000,38.6000,37.8000,38.2300,4039132,154032126.0400,-1.469100
2025-03-12,38.7100,38.8400,37.8700,37.8800,5148940,196678869.4000,-0.915500
2025-03-13,37.7100,37.8000,36.2600,36.9400,4775868,176562704.8000,-2.481500
2025-03-14,37.8000,37.8700,36.5800,37.1500,4208800,156258973.6000,0.568500
2025-03-17,36.9100,37.3700,36.6400,37.1400,2920300,108113319.0000,-0.026900
2025-03-18,37.2100,37.4800,36.8000,37.0500,3266253,121167163.9000,-0.242300
2025-03-19,37.0000,37.8800,36.2800,36.8100,3698725,136866757.0000,-0.647800
2025-03-20,36.7100,37.7800,36.3000,36.8100,5056340,187397802.2000,0.000000
2025-03-21,36.4500,36.5200,35.1700,35.2600,4197897,149661616.6500,-4.210800
2025-03-24,34.9900,35.4000,33.2100,34.1500,3684038,126134706.0000,-3.148000
2025-03-25,34.2300,34.3700,33.2300,33.4300,2599300,87414573.0000,-2.108300
2025-03-26,33.3800,33.7900,33.2100,33.6000,2247500,75468486.0000,0.508500
2025-03-27,33.5500,33.6500,32.7000,32.9800,2128440,70665549.6000,-1.845200
2025-03-28,33.0000,33.4700,32.7100,32.9800,2030210,67127978.9000,0.000000
2025-03-31,32.6600,33.1800,31.8000,33.1000,2740710,88962872.0000,0.363900
2025-04-01,33.3300,33.3500,32.5500,32.6000,2418000,79701695.0000,-1.510600
2025-04-02,32.5000,33.2900,32.4300,32.7400,2107290,69254960.2200,0.429400
2025-04-03,32.1200,32.8400,32.0000,32.4100,1996000,64699100.0000,-1.007900
2025-04-07,29.4700,30.0700,29.1700,29.1700,1384300,40601363.0000,-9.996900
2025-04-08,27.4000,28.7000,26.2500,26.7000,6158855,166412496.9500,-8.467600
2025-04-09,25.8200,27.9100,24.5600,27.7200,5597625,149139173.5800,3.820200
2025-04-10,28.3800,29.1700,28.2700,28.6500,4029160,115962421.4000,3.355000
2025-04-11,28.3000,29.6900,28.3000,29.0500,3371000,97736721.0000,1.396200
2025-04-14,29.5500,29.9100,29.3500,29.5300,2526840,74812121.8000,1.652300
2025-04-15,29.2600,29.8900,29.2500,29.5800,2138767,63193785.5000,0.169300
2025-04-16,29.5000,31.4000,28.8000,29.1900,5868198,174321823.1600,-1.318500
2025-04-17,28.8600,29.7600,28.8600,29.1900,3421660,100374256.4000,0.000000
2025-04-18,29.0000,29.3000,28.7600,29.0300,2484872,72165365.6000,-0.548100
2025-04-21,29.0000,31.9300,28.8000,30.7800,8866009,272344633.0600,6.028200
2025-04-22,30.5100,31.0100,29.9700,30.0300,4893192,148510849.2400,-2.436600
2025-04-23,30.4200,31.5000,30.2000,31.1000,5997632,185200318.1600,3.563100
2025-04-24,30.8300,30.9700,29.9500,30.2500,3636622,110341080.8800,-2.733100
2025-04-25,30.3200,31.7700,30.1400,30.7100,5550412,171893967.2800,1.520700
2025-04-28,30.5100,30.8700,29.9000,30.1400,3234500,97721971.0000,-1.856100
2025-04-29,30.0100,30.5800,29.4000,30.2000,2675800,80901224.0000,0.199100
2025-04-30,30.4000,30.9600,30.2300,30.6600,3034100,93086862.0000,1.523200
2025-05-06,30.8100,31.5500,30.7100,31.5500,3483540,108775076.2000,2.902800
2025-05-07,31.8000,31.9800,30.7200,31.1000,3846700,120136462.0000,-1.426300
2025-05-08,30.8000,31.8900,30.7200,31.5500,3321400,104798652.0000,1.446900
2025-05-09,31.4300,31.8500,30.8600,30.9100,2812700,87811429.0000,-2.028500
2025-05-12,31.3200,31.3800,30.7600,30.9800,2777800,85943900.0000,0.226500
2025-05-13,31.3000,31.5000,30.8100,30.9000,2476300,77120779.0000,-0.258200
2025-05-14,30.8600,31.2800,30.5200,30.9600,2444000,75489659.0000,0.194200
2025-05-15,30.9300,30.9300,29.6000,29.6000,3446500,103412360.0000,-4.392800
2025-05-16,29.8500,29.8600,29.4000,29.5200,2153500,63829561.0000,-0.270300
2025-05-19,29.4900,29.9000,29.1500,29.8100,1881700,55618375.0000,0.982400
2025-05-20,29.6700,29.9800,29.4200,29.9200,1588200,47301975.0000,0.369000
2025-05-21,29.8300,29.9000,29.3900,29.6700,1796100,53239450.0000,-0.835600
2025-05-22,29.6700,29.9300,29.2000,29.2500,1684100,49731688.0000,-1.415600
2025-05-23,29.3100,29.4900,28.6700,28.7000,2153400,62587940.0000,-1.880300
2025-05-26,28.8100,29.2800,28.7500,29.2600,1817800,52887522.0000,1.951200
2025-05-27,20.8800,20.8800,20.3100,20.7300,2590080,53280905.0000,0.290300
2025-05-28,20.7300,20.9500,20.2500,20.3200,2556840,52287878.3200,-1.977800
2025-05-29,20.3300,21.4500,20.2000,21.4500,5750114,121362570.0000,5.561000
2025-05-30,21.3500,21.4700,20.7200,20.8500,3145060,65960272.4000,-2.797200
2025-06-03,20.7600,21.3900,20.6800,21.2900,3162460,67037545.0400,2.110300
2025-06-04,21.1800,22.4900,20.9700,21.6700,9717434,211377350.2400,1.784900
2025-06-05,21.6700,21.9400,21.5000,21.8000,6216276,135046327.5200,0.599900
2025-06-06,21.0700,21.1500,20.5600,21.0000,11770869,245127961.3200,-3.669700
2025-06-09,20.9500,21.5000,20.9500,21.2600,8171539,174135566.5000,1.238100
2025-06-10,21.2500,21.3000,20.4300,20.7000,6188440,128971030.8400,-2.634100
2025-06-11,20.7000,20.9900,20.6000,20.6800,4043502,83899114.2600,-0.096600
2025-06-12,20.5600,20.8500,20.4000,20.5600,3673413,75735581.7700,-0.580300
2025-06-13,20.4600,20.5100,19.8000,19.8800,4821014,96656030.5600,-3.307400
