date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.0000,13.4100,12.6500,13.1800,15275155,198857445.5900,0.841600
2025-01-03,13.2300,14.5000,13.0000,13.8200,36679839,508751572.8400,4.855800
2025-01-06,13.7300,13.7800,12.6800,12.9300,25177222,328206022.2600,-6.439900
2025-01-07,13.5000,13.7800,13.0000,13.4700,20635700,275436236.3600,4.176300
2025-01-08,13.1300,13.3400,12.6100,13.0400,18740100,243494685.5400,-3.192300
2025-01-09,12.8600,13.0900,12.7000,12.7300,13838600,178062270.0000,-2.377300
2025-01-10,12.6000,12.7900,12.0000,12.0000,13541450,167600721.5000,-5.734500
2025-01-13,11.6700,11.8100,11.3100,11.7500,9798200,113835718.0000,-2.083300
2025-01-14,11.8000,12.3700,11.7800,12.3600,13009915,158045024.1700,5.191500
2025-01-15,12.3900,12.4600,12.2000,12.2200,8965312,110228117.6400,-1.132700
2025-01-16,12.4200,12.7800,12.2600,12.3500,12023586,150248038.1000,1.063800
2025-01-17,12.2200,12.4200,12.1800,12.3400,8076200,99366969.0000,-0.081000
2025-01-20,13.0000,13.0000,12.4800,12.5900,15432796,195376717.5900,2.025900
2025-01-21,12.7100,13.0900,12.4500,12.8800,19737800,252446229.0000,2.303400
2025-01-22,12.6100,13.9700,12.5500,13.2000,25937925,342099259.0000,2.484500
2025-01-23,13.2600,13.5300,12.8100,12.8200,19975542,264094941.5800,-2.878800
2025-01-24,12.8000,14.1000,12.7100,14.1000,31970929,441233317.0400,9.984400
2025-01-27,14.1000,14.8800,13.9700,14.2800,49615129,711547393.4200,1.276600
2025-02-05,14.1500,14.7800,14.0300,14.4200,36740649,526254112.0400,0.980400
2025-02-06,14.1500,14.4900,13.9600,14.4900,28527508,406384560.2400,0.485400
2025-02-07,14.3000,14.8500,14.2100,14.5100,31800200,462210903.7000,0.138000
2025-02-10,14.6200,15.1600,14.4100,15.1500,35228400,520736497.0000,4.410800
2025-02-11,15.0000,15.0100,14.5300,14.5800,24521130,359715841.9000,-3.762400
2025-02-12,14.5300,14.9700,14.3700,14.7800,23632700,346842340.7000,1.371700
2025-02-13,14.7800,15.0000,14.5000,14.7500,23306499,344645882.6100,-0.203000
2025-02-14,14.7000,14.8900,14.5100,14.8400,21116771,311017524.8200,0.610200
2025-02-17,14.9400,15.0000,14.6100,14.7600,21335800,316067067.7000,-0.539100
2025-02-18,14.6300,14.6900,13.9000,13.9300,22557500,322706218.2600,-5.623300
2025-02-19,13.9400,14.4500,13.8800,14.3800,15209687,216548796.1100,3.230400
2025-02-20,14.3800,14.5500,14.2400,14.3600,12258885,176238544.7400,-0.139100
2025-02-21,14.3400,14.6500,14.1600,14.6100,16094607,232636140.3400,1.740900
2025-02-24,14.5200,14.6600,14.2500,14.4000,12288662,177549455.1800,-1.437400
2025-02-25,14.1500,14.4600,14.0300,14.1800,10396200,148046989.0000,-1.527800
2025-02-26,14.2700,14.3500,14.1200,14.2900,10760500,153110713.0000,0.775700
2025-02-27,14.2500,14.3500,13.7200,13.9500,13360399,187129233.6500,-2.379300
2025-02-28,13.8900,13.9500,13.0200,13.0600,13479698,180943694.4800,-6.379900
2025-03-03,13.3000,13.5900,13.0900,13.2400,13115100,175387733.0000,1.378300
2025-03-04,13.1500,13.6500,13.1300,13.5600,10350898,138950529.1400,2.416900
2025-03-05,13.5500,13.6600,13.3500,13.5700,9619581,129863907.2400,0.073700
2025-03-06,13.6400,14.3900,13.5900,14.2400,18033797,254148211.7200,4.937400
2025-03-07,14.3200,14.8600,14.2100,14.3000,27044110,391620853.8000,0.421300
2025-03-10,14.1500,14.2500,13.7000,13.8800,15424410,214349520.5300,-2.937100
2025-03-11,13.6400,13.8300,13.5900,13.8000,8587693,117639980.4500,-0.576400
2025-03-12,13.8600,14.0800,13.7600,13.8800,9762536,136071888.2200,0.579700
2025-03-13,13.8000,13.8100,13.3400,13.5500,10824010,146428849.4000,-2.377500
2025-03-14,13.4000,13.7700,13.3100,13.7400,9296800,126383634.0000,1.402200
2025-03-17,13.7800,13.8900,13.6100,13.7000,7314200,100494015.0000,-0.291100
2025-03-18,13.7500,13.8800,13.6300,13.7200,6018500,82716871.0000,0.146000
2025-03-19,13.6300,13.6400,13.4500,13.5000,6077315,82175852.2000,-1.603500
2025-03-20,13.4900,13.6900,13.3600,13.3900,6319200,85522665.0000,-0.814800
2025-03-21,13.3100,13.3900,13.0600,13.1100,7192900,94867846.0000,-2.091100
2025-03-24,13.1900,13.2300,12.4900,12.7500,9620800,123383007.0000,-2.746000
2025-03-25,12.7400,12.8300,12.5400,12.7000,5466033,69407340.4700,-0.392200
2025-03-26,12.6500,12.8300,12.6500,12.7800,4827560,61650161.6600,0.629900
2025-03-27,12.7600,12.8900,12.5100,12.7000,5159579,65598970.3000,-0.626000
2025-03-28,12.7500,12.8200,12.6000,12.6100,4387615,55626618.1500,-0.708700
2025-03-31,12.5000,12.5300,12.2500,12.4600,6465331,80099387.8000,-1.189500
2025-04-01,12.4800,12.6900,12.4800,12.5300,4775955,60110130.7800,0.561800
2025-04-02,12.6200,12.8100,12.5300,12.6700,4930730,62647147.2000,1.117300
2025-04-03,12.5700,12.8400,12.5300,12.7500,6359115,80764965.2500,0.631400
2025-04-07,12.1200,12.3000,11.4800,11.4800,7620355,88808632.5000,-9.960800
2025-04-08,11.2300,11.5400,10.7400,11.0500,13016510,144223628.4000,-3.745600
2025-04-09,10.9900,11.4500,10.2600,11.3900,11365800,124290910.4500,3.076900
2025-04-10,11.5900,11.9500,11.5600,11.7300,9413525,110981990.3100,2.985100
2025-04-11,11.5700,11.9100,11.5300,11.8200,5701996,67276595.7500,0.767300
2025-04-14,12.1000,12.4400,12.0400,12.2000,8171400,100219236.0000,3.214900
2025-04-15,12.2000,12.3500,12.0600,12.2800,6255027,76458161.5600,0.655700
2025-04-16,12.2600,12.3500,11.7800,12.1800,8646281,104841223.7700,-0.814300
2025-04-17,12.0200,12.4500,12.0200,12.1200,7400400,90495914.0000,-0.492600
2025-04-18,12.1100,12.4600,12.0300,12.1500,6673803,81608758.5000,0.247500
2025-04-21,12.0500,13.2500,12.0500,12.6800,15367371,195279502.6400,4.362100
2025-04-22,12.9000,13.8200,12.9000,13.3300,26351508,350969697.6800,5.126200
2025-04-23,13.2500,13.6800,13.1500,13.1700,20256579,270846256.3300,-1.200300
2025-04-24,13.2000,13.2800,12.7600,12.8100,12760700,165158918.7300,-2.733500
2025-04-25,12.8100,12.9600,12.7200,12.7200,8128822,104215872.6000,-0.702600
2025-04-28,12.7300,12.8200,12.4600,12.6100,8181515,103441672.4500,-0.864800
2025-04-29,12.4400,12.8900,12.2600,12.7400,8326200,105226295.0000,1.030900
2025-04-30,12.7500,12.9400,12.6500,12.7900,6863100,88211453.0000,0.392500
2025-05-06,12.9300,13.2300,12.8200,13.2100,9866973,129182589.4100,3.283800
2025-05-07,13.4300,13.5700,13.1100,13.2300,8583227,113931337.2100,0.151400
2025-05-08,13.1500,13.3800,13.1200,13.3400,7079490,94229159.1000,0.831400
2025-05-09,13.0500,13.2000,12.9100,13.0000,8401306,109276371.4000,-2.548700
2025-05-12,13.0800,13.1400,12.9100,13.0200,7466400,97021664.0000,0.153800
2025-05-13,13.1500,13.1500,12.8600,12.8800,5999600,77839482.0000,-1.075300
2025-05-14,12.8600,13.1500,12.7700,13.0300,6817000,88266425.0000,1.164600
2025-05-15,12.9600,13.0200,12.6600,12.6900,4749815,60595002.2000,-2.609400
2025-05-16,12.6000,12.7600,12.5600,12.6700,4032921,51166574.4900,-0.157600
2025-05-19,12.6800,12.8700,12.5800,12.8600,4272700,54491837.0000,1.499600
2025-05-20,12.8500,13.0200,12.6700,13.0000,5179879,66833150.2200,1.088600
2025-05-21,13.0100,13.0200,12.7700,12.8200,4365011,56165951.5800,-1.384600
2025-05-22,12.9500,13.0800,12.6500,12.6700,5755355,73955708.0600,-1.170000
2025-05-23,12.6400,13.0300,12.4300,12.4600,8138505,103417978.9400,-1.657500
2025-05-26,12.4500,12.9600,12.4000,12.8500,8897900,113627212.0000,3.130000
2025-05-27,12.7700,13.0800,12.6500,12.9900,9127543,117997570.1400,1.089500
2025-05-28,13.0000,13.3400,12.8600,13.1900,11761999,154459986.2700,1.539600
2025-05-29,13.0800,13.9300,13.0000,13.8900,34639076,473000224.6100,5.547100
2025-05-30,14.0000,14.5900,13.8000,14.1400,48421984,688457053.4900,1.799900
2025-06-03,14.8000,15.1500,14.0700,14.2000,50821012,739760000.3500,0.424300
2025-06-04,13.8600,14.2000,13.7700,13.9700,32933754,458483878.0400,-1.619700
2025-06-05,14.0000,14.4200,13.8800,14.1600,27549653,389192211.7600,1.360100
2025-06-06,14.6100,15.5800,14.4800,15.5800,29096486,446166926.9500,10.028200
2025-06-09,17.1400,17.1400,17.1400,17.1400,5068100,86867234.0000,10.012800
2025-06-10,17.9400,18.8000,17.1000,17.4500,120776035,2132217329.3800,1.808600
2025-06-11,17.0000,19.2000,16.3000,19.2000,128939148,2362806101.6700,10.028700
2025-06-12,18.3000,20.5000,18.1200,18.9200,127903582,2502131154.5500,-1.458300
2025-06-13,19.0300,19.3900,17.0300,17.0800,100758864,1802775021.2700,-9.725200
2025-06-16,17.1100,18.1100,17.1100,17.9000,81502395,1445842239.9900,4.800900
2025-06-17,17.9400,19.3600,17.4100,18.2000,94973165,1726145998.2200,1.676000
2025-06-18,17.7100,20.0200,17.5200,20.0200,76804668,1488030514.1300,10.000000
2025-06-19,21.2000,22.0200,19.5200,21.2100,140106823,2937760038.0400,5.944100
2025-06-20,19.9900,23.3300,19.0900,23.3300,141896137,3024280020.9300,9.995300
2025-06-23,23.3800,25.6500,22.4100,24.7800,143635597,3447993152.1400,6.215200
2025-06-24,23.2800,25.9200,23.1300,23.6200,136183831,3295744367.4100,-4.681200
2025-06-25,22.1000,23.4500,22.1000,22.1300,99599329,2244537356.1500,-6.308200
2025-06-26,21.8000,24.3400,21.5900,24.3400,123336310,2897016177.2200,9.986400
2025-06-27,24.2000,25.1700,23.1500,23.2200,126475082,3064368450.4300,-4.601500
2025-06-30,22.9100,24.5400,22.9100,24.2500,98294848,2348499820.3100,4.435800
2025-07-01,24.2500,25.8100,23.5600,25.2400,114609034,2842187149.3500,4.082500
