date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.7900,3.8200,3.6700,3.7000,36813192,138124240.4300,-2.374700
2025-01-03,3.7200,3.8000,3.6500,3.6800,47765355,178218717.4400,-0.540500
2025-01-06,3.7000,4.0800,3.6900,4.0000,143768356,564006208.0900,8.695700
2025-01-07,3.9500,3.9600,3.7600,3.8500,89836698,343938623.7000,-3.750000
2025-01-08,3.8300,3.9400,3.8100,3.8800,73361713,284618351.9300,0.779200
2025-01-09,3.8600,3.8600,3.7700,3.7800,55229447,209836887.0700,-2.577300
2025-01-10,3.7800,3.8000,3.6500,3.6500,45603806,169138972.6900,-3.439200
2025-01-13,3.6300,3.6300,3.5300,3.5900,30564500,109627370.2600,-1.643800
2025-01-14,3.6000,3.7400,3.5900,3.7300,43395779,159725114.8200,3.899700
2025-01-15,3.7100,3.7300,3.6600,3.6800,33109905,122054538.4000,-1.340500
2025-01-16,3.7000,3.7600,3.6700,3.6900,32868500,122313548.0000,0.271700
2025-01-17,3.6900,3.7200,3.6600,3.7000,26665300,98293530.0000,0.271000
2025-01-20,3.7100,3.7500,3.6900,3.7100,26644100,99175220.0000,0.270300
2025-01-21,3.6800,3.7100,3.6000,3.6200,37221359,135273710.0500,-2.425900
2025-01-22,3.6000,3.6100,3.5500,3.5800,24469542,87369281.4000,-1.105000
2025-01-23,3.6100,3.6700,3.5600,3.5600,34536469,125086018.5400,-0.558700
2025-01-24,3.5700,3.5800,3.5300,3.5700,36845960,130983575.2000,0.280900
2025-01-27,3.5700,3.6200,3.4700,3.4800,43767225,155052463.2400,-2.521000
2025-02-05,3.5300,3.6000,3.5100,3.5700,43912467,156264674.9300,2.586200
2025-02-06,3.5800,3.6200,3.5100,3.6200,39020500,139414593.0000,1.400600
2025-02-07,3.6100,3.7100,3.5900,3.6900,53288371,195538770.5700,1.933700
2025-02-10,3.6900,3.7700,3.6800,3.7500,51815984,193494495.3200,1.626000
2025-02-11,3.7600,3.7700,3.6700,3.6900,33512960,123708874.0000,-1.600000
2025-02-12,3.6900,3.7000,3.6400,3.6800,33852064,124146872.6000,-0.271000
2025-02-13,3.6700,3.7100,3.6500,3.6800,35762600,131772287.0000,0.000000
2025-02-14,3.6600,3.7500,3.6600,3.7200,38746771,144024656.4100,1.087000
2025-02-17,3.7300,3.7800,3.7000,3.7300,49251064,184522264.0000,0.268800
2025-02-18,3.7200,3.7300,3.6000,3.6200,43472600,158915099.0000,-2.949100
2025-02-19,3.6100,3.6200,3.5700,3.6000,38559100,138507220.9400,-0.552500
2025-02-20,3.6100,3.6600,3.5800,3.6200,39207605,142151445.8900,0.555600
2025-02-21,3.6200,3.6500,3.5600,3.6100,37154392,133681268.2000,-0.276200
2025-02-24,3.6100,3.6500,3.5900,3.6100,41089600,148593325.3600,0.000000
2025-02-25,3.6000,3.6200,3.5500,3.5700,36636800,131202073.0000,-1.108000
2025-02-26,3.5800,3.6200,3.5700,3.6200,36873853,132636484.7400,1.400600
2025-02-27,3.6200,3.6400,3.5600,3.6000,37312900,134294684.0000,-0.552500
2025-02-28,3.5800,3.6200,3.4900,3.4900,47667500,169060446.0800,-3.055600
2025-03-03,3.4900,3.5600,3.4800,3.5000,35445592,124627441.0800,0.286500
2025-03-04,3.4800,3.5100,3.4500,3.5000,29121563,101396558.6300,0.000000
2025-03-05,3.5000,3.5000,3.4200,3.4500,33218600,114513056.0000,-1.428600
2025-03-06,3.4500,3.4900,3.4400,3.4800,34364537,119135064.3100,0.869600
2025-03-07,3.4700,3.4900,3.4400,3.4500,30931050,107061641.5000,-0.862100
2025-03-10,3.4700,3.5500,3.4700,3.5400,55116321,193636584.6700,2.608700
2025-03-11,3.5300,3.6300,3.4800,3.5800,65794588,234119312.2800,1.129900
2025-03-12,3.5700,3.5800,3.5300,3.5400,40366500,143125088.0000,-1.117300
2025-03-13,3.5400,3.5400,3.4800,3.5100,28402300,99605065.0000,-0.847500
2025-03-14,3.4900,3.5700,3.4900,3.5700,44586854,158051802.3200,1.709400
2025-03-17,3.5800,3.5900,3.5500,3.5600,35305500,126126585.0000,-0.280100
2025-03-18,3.5700,3.5800,3.5400,3.5600,27159406,96689039.4200,0.000000
2025-03-19,3.5500,3.5800,3.5400,3.5600,27274900,97022174.0000,0.000000
2025-03-20,3.5500,3.6200,3.5400,3.6200,56991350,204209177.0000,1.685400
2025-03-21,3.7400,3.8100,3.6200,3.6300,117591409,435582069.4300,0.276200
2025-03-24,3.5800,3.6700,3.5400,3.5800,65439850,235028522.0000,-1.377400
2025-03-25,3.5400,3.5400,3.4400,3.5000,58281306,203083286.4400,-2.234600
2025-03-26,3.4800,3.5200,3.4800,3.4900,33022800,115692837.0000,-0.285700
2025-03-27,3.4800,3.5700,3.4500,3.5600,49714088,174855268.9000,2.005700
2025-03-28,3.5500,3.6100,3.5200,3.5600,50349514,179304134.8400,0.000000
2025-03-31,3.5500,3.6000,3.5300,3.5800,51483075,183857758.0000,0.561800
2025-04-01,3.5900,3.7300,3.5800,3.6600,78868749,289295026.9800,2.234600
2025-04-02,3.6300,3.6500,3.5900,3.6000,44614500,160899966.0000,-1.639300
2025-04-03,3.5700,3.6600,3.5700,3.6200,38837275,140889516.7500,0.555600
2025-04-07,3.5400,3.5400,3.0800,3.1500,91513475,302207671.5000,-12.983400
2025-04-08,3.1800,3.3200,3.1800,3.2900,62483800,204361758.0000,4.444400
2025-04-09,3.2500,3.3700,3.1100,3.3300,61123772,199108561.3300,1.215800
2025-04-10,3.3700,3.4200,3.3400,3.3600,49051800,165717057.0000,0.900900
2025-04-11,3.3300,3.3800,3.3100,3.3400,35794700,119747521.0000,-0.595200
2025-04-14,3.3600,3.4400,3.3600,3.3900,42297787,143510203.5400,1.497000
2025-04-15,3.3900,3.4000,3.3400,3.3700,29307409,98651112.0600,-0.590000
2025-04-16,3.3600,3.3600,3.2600,3.3200,38518464,127262319.2600,-1.483700
2025-04-17,3.3000,3.3500,3.2900,3.3300,23369509,77822759.9700,0.301200
2025-04-18,3.3300,3.3600,3.3000,3.3300,22341200,74195278.0000,0.000000
2025-04-21,3.3100,3.3500,3.3000,3.3300,24042700,80118846.0000,0.000000
2025-04-22,3.3200,3.3800,3.3100,3.3500,34685273,115973811.5500,0.600600
2025-04-23,3.3400,3.3700,3.3100,3.3200,33195400,110580752.0000,-0.895500
2025-04-24,3.3200,3.3800,3.3100,3.3400,37632000,126046133.0000,0.602400
2025-04-25,3.3400,3.3600,3.3100,3.3300,29768771,99178913.7200,-0.299400
2025-04-28,3.3700,3.4000,3.3200,3.3300,39068700,131108225.1500,0.000000
2025-04-29,3.3300,3.3700,3.3200,3.3500,24816749,83186610.9700,0.600600
2025-04-30,3.3500,3.3900,3.3500,3.3800,27014500,91187862.0000,0.895500
2025-05-06,3.3900,3.4200,3.3800,3.4100,32409783,110237263.2000,0.887600
2025-05-07,3.4300,3.4600,3.4200,3.4400,40301613,138545488.5900,0.879800
2025-05-08,3.4300,3.4500,3.4200,3.4400,28912500,99393224.0000,0.000000
2025-05-09,3.4500,3.4500,3.3900,3.4000,25838866,88210453.4000,-1.162800
2025-05-12,3.4100,3.4200,3.3800,3.4000,27775447,94271938.3300,0.000000
2025-05-13,3.4300,3.4400,3.3900,3.4200,30417500,103915314.0000,0.588200
2025-05-14,3.4200,3.4400,3.3800,3.4300,26943700,91873304.7000,0.292400
2025-05-15,3.4200,3.4400,3.4000,3.4100,22731600,77834228.0000,-0.583100
2025-05-16,3.4300,3.7700,3.4300,3.6700,163014626,584253117.1900,7.624600
2025-05-19,3.6200,3.6400,3.5300,3.5600,87200741,310718235.2900,-2.997300
2025-05-20,3.5600,3.6800,3.5500,3.5900,83709815,303320313.7500,0.842700
2025-05-21,3.6000,3.9400,3.5900,3.8000,184438375,699091943.4800,5.849600
2025-05-22,3.8000,3.8100,3.6900,3.7100,97169120,361737852.1000,-2.368400
2025-05-23,3.7100,4.0200,3.7100,3.8300,183613958,713176802.5800,3.234500
2025-05-26,3.8000,3.8400,3.7100,3.8400,106407374,400098718.8000,0.261100
2025-05-27,3.8000,3.9700,3.7400,3.8600,124523078,481628357.3600,0.520800
2025-05-28,3.8200,3.8300,3.7200,3.7500,85481261,321410095.1800,-2.849700
2025-05-29,3.7300,3.8200,3.6800,3.8000,92443841,349009494.0600,1.333300
2025-05-30,3.7600,4.0500,3.7600,3.9900,190656423,750581182.0100,5.000000
2025-06-03,3.8800,4.2000,3.8800,4.0500,200434385,818628196.4800,1.503800
2025-06-04,4.0800,4.1200,3.9400,4.0300,132757465,531800554.0200,-0.493800
2025-06-05,4.0300,4.0500,3.8800,3.9300,107985160,423984750.3500,-2.481400
2025-06-06,3.9200,3.9500,3.8300,3.8500,84619605,327889906.0900,-2.035600
2025-06-09,3.8700,4.0300,3.8600,3.9600,114411598,453761413.2400,2.857100
2025-06-10,3.9600,4.0000,3.8800,3.9400,108059950,426110017.0000,-0.505100
2025-06-11,3.9200,3.9900,3.8900,3.9000,77385230,304364139.0000,-1.015200
2025-06-12,3.9000,3.9100,3.8400,3.8900,67252976,260324357.1200,-0.256400
2025-06-13,3.8800,3.9300,3.7900,3.8100,69880841,268921982.0300,-2.056600
2025-06-16,3.7900,3.8400,3.7500,3.8100,49691504,188779666.1600,0.000000
2025-06-17,3.8300,3.9100,3.8000,3.8100,66458449,255278135.6900,0.000000
2025-06-18,3.7900,3.8000,3.7200,3.7400,42670880,160093200.0000,-1.837300
2025-06-19,3.7500,3.7700,3.6500,3.6600,43304410,159604341.7000,-2.139000
2025-06-20,3.6600,3.7000,3.6400,3.6700,35367100,129779405.0000,0.273200
2025-06-23,3.6600,3.7100,3.6400,3.7000,35330800,129997952.0000,0.817400
2025-06-24,3.6900,3.7600,3.6700,3.7500,38367904,143133865.8400,2.179800
2025-06-25,3.7400,3.7600,3.6900,3.7400,45510800,169345960.0000,-0.266700
2025-06-26,3.7400,3.7400,3.6700,3.6800,43661996,161506191.2800,-1.604300
2025-06-27,3.6700,3.7200,3.6700,3.6900,28294550,104613274.9000,0.271700
2025-06-30,3.7100,3.7100,3.6600,3.6900,29008500,106929116.0000,0.000000
2025-07-01,3.6900,4.1700,3.6800,3.9900,208561704,819660402.5500,8.130100
2025-07-02,3.9700,4.0500,3.9200,3.9600,123246500,489878853.0000,-0.751900
2025-07-03,3.9600,4.0300,3.9100,4.0000,90939751,362791995.2000,1.010100
2025-07-04,3.9900,4.0200,3.9400,3.9700,62039804,246364840.9700,-0.750000
2025-07-07,3.9600,3.9800,3.9100,3.9300,51572200,202998525.0000,-1.007600
2025-07-08,3.9200,4.0000,3.9000,3.9300,57615799,226670943.0700,0.000000
2025-07-09,3.9200,3.9500,3.8800,3.9300,43609267,171136043.0700,0.000000
2025-07-10,3.9200,4.0400,3.9000,3.9900,87386350,348332697.1000,1.526700
2025-07-11,3.9900,4.0300,3.9500,3.9800,58385100,232656173.0000,-0.250600
2025-07-14,3.9700,4.0200,3.9600,3.9800,48409004,193196040.6000,0.000000
2025-07-15,3.9800,3.9900,3.8600,3.9100,56145763,219461121.4400,-1.758800
2025-07-16,3.9000,4.0300,3.8900,4.0200,81148077,323089431.7600,2.813300
2025-07-17,4.0100,4.0800,4.0000,4.0600,70944800,287278683.0000,0.995000
2025-07-18,4.0500,4.0600,3.9800,4.0500,53481789,214675170.3500,-0.246300
2025-07-21,4.0700,4.0800,4.0300,4.0800,62074990,252000542.6000,0.740700
2025-07-22,4.0800,4.1200,4.0500,4.0700,73699772,300949652.2000,-0.245100
2025-07-23,4.0700,4.1100,4.0200,4.0300,71621084,290969324.2000,-0.982800
2025-07-24,4.0300,4.2000,4.0200,4.1800,127111594,526649442.9700,3.722100
2025-07-25,4.2000,4.2600,4.1000,4.1200,107378271,447932205.2000,-1.435400
2025-07-28,4.1000,4.2100,4.0900,4.1200,88328182,367394274.6500,0.000000
2025-07-29,4.1400,4.2200,4.0500,4.2000,124371721,517011785.8100,1.941700
2025-07-30,4.1800,4.3900,4.1700,4.2700,188739133,811207773.2000,1.666700
2025-07-31,4.2700,4.3400,4.2300,4.2800,144927711,621046734.6400,0.234200
2025-08-01,4.2600,4.4900,4.2200,4.3200,201360819,881137285.9100,0.934600
2025-08-04,4.3400,4.3800,4.1600,4.2800,145665198,618217907.7200,-0.925900
2025-08-05,4.2700,4.3700,4.2100,4.2600,121158300,518521438.4000,-0.467300
2025-08-06,4.2600,4.3000,4.1300,4.1600,128134790,535184564.2000,-2.347400
2025-08-07,4.1400,4.2100,4.1000,4.1300,94287898,390693747.7400,-0.721200
