date,open,high,low,close,volume,amount,pctChg
2025-01-02,280.3900,284.6600,263.6500,267.5500,22429385,6114373436.7400,-6.939100
2025-01-03,267.1600,268.9900,256.3700,256.9800,15783525,4116275450.7900,-3.950700
2025-01-06,255.0100,260.7800,251.0000,252.8500,10878507,2768722648.6600,-1.607100
2025-01-07,254.3000,261.6800,252.4700,261.0000,14048646,3622089780.4200,3.223300
2025-01-08,257.1500,264.9000,251.0000,258.9100,14114265,3629279939.2900,-0.800800
2025-01-09,256.8600,262.8800,256.5000,257.8800,8247352,2138058978.0000,-0.397800
2025-01-10,258.5700,260.3800,250.2000,250.5500,9171541,2341876137.8300,-2.842400
2025-01-13,246.6600,255.7800,244.8300,252.8800,10042095,2524891278.8900,0.930000
2025-01-14,255.0000,290.0200,252.0800,290.0000,29648528,8074121005.9400,14.678900
2025-01-15,283.6100,283.9900,275.9900,278.0800,17588709,4904238924.8400,-4.110300
2025-01-16,282.0000,292.6500,277.3300,283.5400,19383470,5513476408.5900,1.963500
2025-01-17,280.4200,295.5000,280.0000,290.6000,20426662,5913536583.6300,2.489900
2025-01-20,297.9900,297.9900,285.9000,288.3000,16851889,4916268627.5300,-0.791500
2025-01-21,293.0000,295.0000,286.0000,294.2200,14095413,4105421077.2900,2.053400
2025-01-22,291.5000,296.4800,288.0000,296.1100,14723455,4306719072.9600,0.642400
2025-01-23,304.0000,325.0000,298.0000,298.0500,28643892,8877938406.8200,0.655200
2025-01-24,296.0400,303.5300,293.5700,303.0000,16354981,4890601179.8600,1.660800
2025-01-27,301.0700,302.5000,278.0000,279.1300,17090617,4910898403.2400,-7.877900
2025-02-05,288.0000,295.6600,282.0100,287.6000,13911630,3998913240.2300,3.034400
2025-02-06,285.6600,310.0000,285.2900,306.3100,21549863,6496328185.3900,6.505600
2025-02-07,305.0100,329.9900,300.9900,316.6800,30085568,9501253446.7800,3.385500
2025-02-10,321.0000,325.8000,314.0000,321.1900,19164404,6135561346.9400,1.424200
2025-02-11,316.8100,325.0000,311.8800,319.2700,14436782,4603868363.6600,-0.597800
2025-02-12,319.6900,327.6000,315.1300,325.4800,16904566,5426707927.1700,1.945100
2025-02-13,321.0000,322.7800,311.1300,312.1900,17276518,5455029107.1800,-4.083200
2025-02-14,310.0000,314.5000,301.9000,310.0000,14491393,4455825545.4800,-0.701500
2025-02-17,313.9000,321.3600,310.1500,313.8300,14592128,4614845500.4100,1.235500
2025-02-18,310.1800,313.9800,297.2200,299.0100,13295462,4060123507.5500,-4.722300
2025-02-19,298.4100,312.0000,297.6300,308.7500,13793883,4237501463.7700,3.257400
2025-02-20,309.0600,309.8000,302.1000,305.4300,8780834,2682402608.6200,-1.075300
2025-02-21,305.1600,319.8000,300.7000,318.2600,20917718,6549270240.9000,4.200600
2025-02-24,315.0000,321.1800,312.5000,316.6600,13484075,4267119688.3000,-0.502700
2025-02-25,311.0000,319.5500,309.0000,311.6600,12990311,4083380473.9800,-1.579000
2025-02-26,312.7400,325.0000,306.0000,324.3300,21627206,6862783601.2600,4.065300
2025-02-27,319.0000,319.6300,306.6600,312.3000,19803107,6180015423.9200,-3.709200
2025-02-28,307.0000,311.5500,300.0000,301.1600,12131826,3691781699.4200,-3.567100
2025-03-03,298.4200,301.8800,289.0000,293.6400,10227148,3028835163.4600,-2.497000
2025-03-04,290.0000,297.5900,290.0000,296.8400,7083187,2088695493.7300,1.089800
2025-03-05,296.7600,299.9700,292.9000,298.5500,7374371,2191440732.2400,0.576100
2025-03-06,303.0000,318.0000,300.8000,316.8000,20394917,6356164861.9700,6.112900
2025-03-07,312.1200,319.7900,309.1100,312.5000,14301110,4482494848.6500,-1.357300
2025-03-10,310.5000,311.0000,302.3000,306.5500,8949011,2731121513.1100,-1.904000
2025-03-11,300.0000,305.5600,300.0000,305.3100,5843550,1774463428.2700,-0.404500
2025-03-12,308.0200,315.5000,306.0900,306.8700,11035235,3416208247.8500,0.511000
2025-03-13,304.1100,307.6000,298.4300,300.4800,8435397,2547476429.9000,-2.082300
2025-03-14,300.4900,331.0800,299.2000,318.7000,24921653,7900402034.4400,6.063600
2025-03-17,318.7000,320.8900,313.0400,316.0200,9924638,3140932157.7000,-0.840900
2025-03-18,319.0000,319.9900,313.5000,315.5600,7400008,2339575910.2700,-0.145600
2025-03-19,313.9900,319.6500,312.1200,314.4800,7697630,2424146445.9000,-0.342200
2025-03-20,314.4600,314.7500,307.0000,308.0200,7727370,2397335990.0000,-2.054200
2025-03-21,307.8800,309.9900,300.7000,301.2200,8123539,2469945141.8300,-2.207600
2025-03-24,301.0000,303.8800,298.6800,302.8800,7661561,2306706931.0000,0.551100
2025-03-25,302.7700,303.0000,293.4400,294.7400,7157381,2125306898.8800,-2.687500
2025-03-26,295.0900,301.6600,295.0900,295.7200,5310416,1578059065.6400,0.332500
2025-03-27,294.9700,302.8000,292.0000,296.9000,6552792,1953402515.2800,0.399000
2025-03-28,294.4200,298.0000,292.3200,294.8300,4994095,1471383881.4700,0.316400
2025-03-31,291.8900,291.8900,276.8000,285.6000,9911434,2812423918.6000,-3.130600
2025-04-01,286.9900,288.8800,272.0000,273.5000,11268050,3136133738.5700,-4.236700
2025-04-02,274.9900,280.7000,273.3000,279.9700,7158618,1994327793.0800,2.365600
2025-04-03,276.8400,283.5000,276.8400,280.3200,5782662,1623946436.1400,0.125000
2025-04-07,260.0000,269.0000,232.0000,246.1800,18602088,4690851734.2900,-12.178900
2025-04-08,251.0200,256.9900,246.6500,251.3000,12806971,3229704551.1200,2.079800
2025-04-09,247.4700,267.9900,242.0000,266.0000,15574387,4010391467.0500,5.849600
2025-04-10,273.3200,275.8000,263.6500,263.6500,13688571,3686293521.2000,-0.883500
2025-04-11,262.5200,268.1500,260.0300,264.7000,8762294,2313339987.0100,0.398300
2025-04-14,266.5000,268.4000,263.5000,264.2400,6290142,1669086622.8300,-0.173800
2025-04-15,263.9900,264.0000,260.6000,262.8000,4353752,1141059180.2200,-0.545000
2025-04-16,261.2100,263.6100,257.0000,261.5500,5037200,1310081624.4000,-0.475600
2025-04-17,258.1900,265.0000,258.1900,262.6900,5065168,1330631921.7900,0.435900
2025-04-18,262.0000,266.6900,261.0000,265.4900,5425282,1437210917.6200,1.065900
2025-04-21,263.3800,267.8800,261.0000,266.4900,5240938,1391523838.6800,0.376700
2025-04-22,265.8100,267.1000,263.0300,263.8000,4501904,1191914022.8000,-1.009400
2025-04-23,266.1200,269.5000,263.5000,264.3100,7105430,1891586015.6600,0.193300
2025-04-24,263.3000,264.7500,258.6700,260.7500,5400885,1411875254.8600,-1.346900
2025-04-25,260.0900,264.5000,256.5000,260.0800,7898150,2055955068.4300,-0.257000
2025-04-28,258.1200,259.9500,256.6600,256.7700,4644278,1195265568.3700,-1.272700
2025-04-29,256.2300,261.4900,255.5500,257.1000,5093962,1313961960.1700,0.128500
2025-04-30,257.9900,264.8700,257.1600,258.6000,6658733,1735882473.0100,0.583400
2025-05-06,261.1900,267.9200,260.3000,265.9500,10230311,2715395675.9000,2.842200
2025-05-07,280.7200,287.7700,267.2800,268.1800,16354518,4524059786.0600,0.838500
2025-05-08,267.6800,269.6600,265.6000,266.6800,6429539,1716424530.6900,-0.559300
2025-05-09,265.6300,266.6800,258.8900,259.8800,6223093,1625709974.6600,-2.549900
2025-05-12,263.8000,271.0000,259.0000,269.1000,11192225,2969989094.2600,3.547800
2025-05-13,270.0000,272.6600,264.0000,264.0000,7905953,2117391755.5700,-1.895200
2025-05-14,264.0000,285.2200,260.4500,274.8500,17282449,4710536265.5500,4.109800
2025-05-15,270.3400,272.9900,264.8800,265.2100,8192438,2196908596.0900,-3.507400
2025-05-16,264.8700,264.8900,260.5900,260.6000,5645236,1478240766.4000,-1.738200
2025-05-19,260.1900,260.6000,256.2800,258.6400,4200178,1084940365.4600,-0.752100
2025-05-20,258.7100,260.8800,258.2100,258.6500,4186886,1085448288.9900,0.003900
2025-05-21,258.9900,259.6000,256.5200,257.9600,4256881,1096768485.3800,-0.266800
2025-05-22,256.9700,259.4800,256.0200,256.1300,2804354,720973284.0000,-0.709400
2025-05-23,255.9600,257.3600,249.3800,250.6100,5658208,1434350193.8400,-2.155200
2025-05-26,251.0100,251.8300,249.1100,250.1900,3542738,885372925.6400,-0.167600
2025-05-27,250.1900,252.5800,249.7000,250.3700,3169790,795121773.6400,0.071900
2025-05-28,251.3000,251.3400,246.3700,246.3800,3622804,897314742.8500,-1.593600
2025-05-29,247.0000,252.5800,246.8600,251.5700,4983347,1250008963.5600,2.106500
2025-05-30,249.9900,250.0100,246.6800,247.4100,3666758,908422288.2100,-1.653600
2025-06-03,245.0000,250.0000,244.7800,247.0200,3464698,857690862.0700,-0.157600
2025-06-04,246.0000,251.3800,244.8000,249.7000,5294327,1318386681.7800,1.084900
2025-06-05,249.7300,255.5500,248.4600,254.1100,6488422,1636593292.5500,1.766100
2025-06-06,254.1800,254.8000,249.0000,249.5000,4678326,1173537936.5500,-1.814200
2025-06-09,249.7200,257.0000,249.7200,255.2400,7754966,1976886802.6600,2.300600
2025-06-10,255.0000,255.7700,246.5000,248.8800,6180978,1548168751.3000,-2.491800
2025-06-11,248.9800,263.0000,248.5900,254.9000,10730231,2756772024.3800,2.418800
2025-06-12,253.0000,260.2800,252.2600,256.1400,6913269,1771980277.9300,0.486500
2025-06-13,253.6000,255.9800,250.4800,251.1800,5738800,1448369996.2900,-1.936400
2025-06-16,249.5000,255.5300,249.5000,255.0000,5186832,1317167305.2100,1.520800
2025-06-17,253.5000,254.8000,251.2800,252.8600,4268752,1078604799.9600,-0.839200
2025-06-18,252.0100,252.4500,248.5000,249.8800,3935059,983292841.9800,-1.178500
2025-06-19,250.0100,250.2600,237.2600,242.1900,6978995,1705253561.9800,-3.077500
2025-06-20,242.1900,243.5400,238.0100,238.1700,4531461,1087786607.6800,-1.659900
2025-06-23,236.6600,239.3900,234.5100,238.5200,5378396,1275866127.8800,0.147000
2025-06-24,239.2900,254.5800,238.5000,253.0900,14657516,3658975872.4500,6.108500
2025-06-25,253.1000,299.2000,252.5000,289.7700,34329726,9389441194.2100,14.492900
2025-06-26,286.6600,288.3200,277.0000,281.2300,20298272,5726571143.1200,-2.947200
2025-06-27,284.8100,291.4900,276.0100,276.4500,16855319,4767172199.8700,-1.699700
2025-06-30,276.2200,279.0000,271.2200,273.0100,9337939,2552176910.9100,-1.244300
2025-07-01,273.0300,274.5000,266.2000,269.3200,8192648,2206082366.9200,-1.351600
2025-07-02,268.1000,271.6600,265.7500,266.7000,6353741,1702740278.4400,-0.972800
2025-07-03,267.2000,270.6600,266.6000,268.6100,7702057,2068630132.9400,0.716200
2025-07-04,268.6000,278.5000,265.5000,269.7300,15633320,4254254102.5500,0.417000
2025-07-07,267.0100,272.7500,266.6200,269.3000,6945000,1875159259.0000,-0.159400
2025-07-08,269.0300,276.0000,269.0000,275.0000,11052691,3031226188.3700,2.116600
2025-07-09,274.6100,278.5000,271.5000,272.2300,8417201,2313392080.7600,-1.007300
2025-07-10,271.0000,278.0300,268.5600,275.0100,10411156,2859735470.2300,1.021200
2025-07-11,275.0400,298.5000,272.5000,287.2500,25306788,7246380961.4300,4.450700
2025-07-14,284.9200,284.9800,274.3600,277.0800,12702121,3532377768.1900,-3.540500
2025-07-15,275.0100,279.3300,273.2900,275.5800,8475855,2340466467.7600,-0.541400
2025-07-16,275.4400,278.8000,273.6200,275.0100,5844385,1611292167.4300,-0.206800
2025-07-17,274.4600,277.0000,273.6800,275.0000,6948198,1911211776.0000,-0.003600
2025-07-18,275.1200,279.6600,274.0100,275.0900,7089417,1959788266.0100,0.032700
2025-07-21,274.0500,279.8900,272.4000,276.9500,7369573,2036941199.8600,0.676100
2025-07-22,276.9600,286.9000,276.9600,282.5200,12956945,3663096486.5200,2.011200
2025-07-23,284.2200,295.0000,283.8300,287.5100,17736072,5134534085.0900,1.766200
2025-07-24,282.6100,295.6600,282.6100,294.4700,15106755,4403985213.9800,2.420800
2025-07-25,294.0000,296.3800,288.2600,289.1200,8913098,2590754071.2700,-1.816800
2025-07-28,289.6000,297.7300,289.6000,292.1900,9455166,2773749984.8700,1.061800
2025-07-29,290.9200,294.2200,284.5600,294.2000,9254915,2683646123.8400,0.687900
2025-07-30,293.3300,299.5900,290.0000,292.7700,11494047,3386763438.7200,-0.486100
2025-07-31,290.0000,295.6600,282.2800,283.6000,11421123,3295638984.1700,-3.132200
2025-08-01,283.6500,297.6200,282.3100,290.9000,14770708,4302507044.0500,2.574000
2025-08-04,288.5000,293.8000,286.9400,288.5200,7084872,2051646142.3500,-0.818200
2025-08-05,289.5000,294.1800,285.6600,293.2700,8653320,2509482339.1900,1.646300
2025-08-06,291.0100,293.9200,289.1500,292.7000,6689324,1951218686.8600,-0.194400
2025-08-07,293.1800,299.5000,289.2000,291.7400,10196791,2993733195.3900,-0.328000
2025-08-08,291.0000,291.5000,286.0000,286.8000,6416864,1844985088.5200,-1.693300
2025-08-11,287.0000,314.3300,286.0000,307.6200,24411581,7441363342.6500,7.259400
2025-08-12,306.1800,319.9900,306.1800,318.0500,15596775,4892011616.5200,3.390500
2025-08-13,320.9900,326.0000,313.6000,323.8000,17919130,5732674928.5800,1.807900
2025-08-14,322.0000,327.3300,315.6600,315.8100,13262005,4259774777.4200,-2.467600
2025-08-15,315.7800,378.9600,315.0000,367.2000,30792472,10744370638.2600,16.272400
2025-08-18,366.7000,426.8800,357.0000,404.9000,30879823,12035507476.5200,10.266900
2025-08-19,396.0100,404.9900,388.8000,389.2800,20316272,8008488564.9400,-3.857700
2025-08-20,387.3100,389.8800,375.5500,386.5000,13039943,5002167221.7000,-0.714100
2025-08-21,388.0100,393.1800,378.0100,380.5600,13626166,5231583692.0100,-1.536900
2025-08-22,377.7700,401.9900,376.0100,400.8200,20053321,7885952439.1900,5.323700
2025-08-25,401.6500,419.2200,392.1200,398.3500,23510540,9466143343.5200,-0.616200
2025-08-26,398.3000,412.8100,393.0000,402.0000,16255896,6537669872.1000,0.916300
2025-08-27,400.1000,420.0000,396.0100,400.1700,18835084,7699267452.1100,-0.455200
2025-08-28,399.7600,407.2000,382.3800,407.2000,18405265,7299480155.2000,1.756800
2025-08-29,407.5000,423.3700,400.6300,413.1400,18988695,7795643098.9000,1.458700
2025-09-01,407.0000,410.7800,383.7900,397.4100,18106188,7168101007.3900,-3.807400
2025-09-02,394.1100,398.8000,381.0100,383.9600,15110748,5870831173.7000,-3.384400
2025-09-03,387.1300,394.7700,370.0100,372.0200,14116451,5383436246.4100,-3.109700
2025-09-04,372.2100,385.5500,355.0000,360.0900,14813133,5428286410.8000,-3.206800
2025-09-05,361.0100,363.0700,351.5000,361.5000,13660505,4897697795.6400,0.391600
2025-09-08,351.5000,354.6000,339.0000,343.6000,18968592,6533571887.2300,-4.951600
2025-09-09,348.1700,356.7300,345.8800,348.0000,14474637,5075283273.5300,1.280600
2025-09-10,345.0300,358.1800,345.0300,351.4000,9457915,3334330314.5400,0.977000
2025-09-11,350.0000,374.4500,347.0000,367.4100,17565687,6349517630.6000,4.556100
2025-09-12,367.6000,381.8000,364.5000,365.1100,13646963,5056875549.7400,-0.626000
2025-09-15,362.0000,376.9800,362.0000,370.8800,11687910,4352283678.1300,1.580300
2025-09-16,370.6000,381.0000,367.4900,376.0300,12121825,4535268929.2400,1.388600
2025-09-17,376.0800,395.8600,374.1100,390.4200,17695708,6867954043.0800,3.826800
2025-09-18,383.0000,383.1900,360.1000,366.9100,20077380,7471838806.2000,-6.021700
2025-09-19,362.6500,368.9700,360.6200,360.6200,8598737,3133033519.9700,-1.714300
2025-09-22,358.9100,369.5100,358.9100,369.0100,8139381,2975283175.4100,2.326500
