date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.9800,4.0700,3.8500,3.9000,19203557,76003113.2800,-2.010100
2025-01-03,3.9400,3.9800,3.6100,3.6300,20449000,76677382.0000,-6.923100
2025-01-06,3.6400,3.6400,3.4300,3.5500,17147100,60817159.0000,-2.203900
2025-01-07,3.5700,3.7500,3.5700,3.7300,18770473,68717165.9700,5.070400
2025-01-08,3.7800,3.7900,3.6000,3.7600,20918705,77841030.3500,0.804300
2025-01-09,3.7600,3.8500,3.7200,3.8000,13576604,51578360.2400,1.063800
2025-01-10,3.8200,3.8600,3.6500,3.6700,15735100,59335211.0000,-3.421100
2025-01-13,3.5700,3.7200,3.4900,3.6500,15426366,55651429.5800,-0.545000
2025-01-14,3.7000,3.9400,3.6800,3.9300,19541239,75226196.5400,7.671200
2025-01-15,3.9200,3.9800,3.8300,3.8600,15349160,59540795.0000,-1.781200
2025-01-16,3.9200,3.9900,3.8500,3.9000,14861279,58262807.3100,1.036300
2025-01-17,3.8800,3.9100,3.8100,3.8500,11955900,46162719.0000,-1.282100
2025-01-20,3.8700,3.9500,3.7800,3.8600,18824781,73071337.0900,0.259700
2025-01-21,3.9300,3.9300,3.7400,3.7900,13631481,51848003.1800,-1.813500
2025-01-22,3.7500,3.7800,3.6700,3.7400,12602300,46995110.0000,-1.319300
2025-01-23,3.7900,3.9100,3.7600,3.7900,16311200,62824183.0000,1.336900
2025-01-24,3.7700,3.9200,3.7700,3.9100,13597600,52395820.0000,3.166200
2025-01-27,3.9600,3.9900,3.8300,3.8500,12495600,48681103.0000,-1.534500
2025-02-05,3.9200,4.0900,3.8800,4.0800,21729400,87415433.0000,5.974000
2025-02-06,4.0800,4.1300,4.0000,4.1100,17921000,72910039.0000,0.735300
2025-02-07,4.1000,4.2100,4.0800,4.1600,19987300,82945980.0000,1.216500
2025-02-10,4.1800,4.5700,4.1600,4.5400,47067826,207607800.2300,9.134600
2025-02-11,4.5000,4.5000,4.3700,4.4200,33879800,149581005.1900,-2.643200
2025-02-12,4.4000,4.4900,4.3900,4.4600,22482820,99980959.8200,0.905000
2025-02-13,4.4500,4.9900,4.4200,4.6800,71216700,338141891.6000,4.932700
2025-02-14,4.6200,5.0400,4.5200,5.0400,83098546,401820471.1100,7.692300
2025-02-17,5.2000,5.2000,4.8000,4.8400,75824097,375517847.0600,-3.968300
2025-02-18,4.7900,5.1400,4.6800,4.7900,59793615,291768183.3500,-1.033100
2025-02-19,4.7200,4.8400,4.6400,4.8100,40668166,194607049.4600,0.417500
2025-02-20,4.8200,4.9400,4.7500,4.8400,35136844,170171697.9100,0.623700
2025-02-21,4.8300,4.9300,4.7400,4.8600,37145379,179871095.7600,0.413200
2025-02-24,4.8700,5.8300,4.8000,5.8300,73568856,412764697.0400,19.958800
2025-02-25,5.5300,5.6300,5.3000,5.3400,119328067,647317243.8200,-8.404800
2025-02-26,5.3500,5.4800,5.2600,5.4400,74663141,401248472.1200,1.872700
2025-02-27,5.3700,5.3900,5.0900,5.2500,59392200,310115094.8300,-3.492600
2025-02-28,5.1500,5.1600,4.8800,4.9500,43193868,215900238.6400,-5.714300
2025-03-03,4.9800,5.0300,4.8500,4.9800,34439324,171095642.5600,0.606100
2025-03-04,4.9400,5.1000,4.8700,5.0700,26139100,131573158.0000,1.807200
2025-03-05,5.0200,5.0700,4.9300,5.0600,24732500,123880291.0000,-0.197200
2025-03-06,5.0600,5.3000,5.0600,5.2600,50156152,260809979.5700,3.952600
2025-03-07,5.2600,5.5700,5.2600,5.3400,71288085,384947783.5500,1.520900
2025-03-10,5.4000,5.6000,5.3100,5.3700,48420093,262051207.4000,0.561800
2025-03-11,5.2100,5.4000,5.1900,5.3400,35569218,188793210.5600,-0.558700
2025-03-12,5.3900,5.4400,5.2600,5.3400,36461916,194768605.3400,0.000000
2025-03-13,5.2900,5.3300,5.0000,5.1000,36517783,187074379.9400,-4.494400
2025-03-14,5.1100,5.1600,4.9900,5.1200,23629900,119834356.6800,0.392200
2025-03-17,5.1000,5.1800,5.0200,5.0800,20110824,102375723.1600,-0.781300
2025-03-18,5.1100,5.1700,5.0400,5.0800,19721100,100552452.0000,0.000000
2025-03-19,5.0900,5.0900,5.0100,5.0400,16354100,82405233.0000,-0.787400
2025-03-20,4.9900,5.0700,4.9500,4.9800,22099780,110592748.4000,-1.190500
2025-03-21,4.9800,4.9800,4.8100,4.8100,21478700,104482491.0000,-3.413700
2025-03-24,4.8100,4.8500,4.4400,4.5500,28498404,131558422.2400,-5.405400
2025-03-25,4.5500,4.6400,4.4500,4.5800,19760500,90307831.0000,0.659300
2025-03-26,4.5600,4.6600,4.5600,4.5900,13098000,60498439.0000,0.218300
2025-03-27,4.5900,4.6400,4.4700,4.5600,13885900,63398057.0000,-0.653600
2025-03-28,4.5500,4.6100,4.4400,4.4400,13838800,62336742.0000,-2.631600
2025-03-31,4.4400,4.5200,4.3500,4.4900,15599003,69206733.1700,1.126100
2025-04-01,4.5100,4.6500,4.5100,4.5400,14327900,65509688.0000,1.113600
2025-04-02,4.5100,4.6000,4.5000,4.5300,9590900,43691450.0000,-0.220300
2025-04-03,4.4900,4.5900,4.4600,4.5000,11539600,52123878.0000,-0.662300
2025-04-07,4.2900,4.2900,3.6000,3.6700,26316718,101918780.2200,-18.444400
2025-04-08,3.7400,3.9300,3.6700,3.7900,20746264,78531485.6000,3.269800
2025-04-09,3.7800,3.9900,3.4300,3.9300,28115152,105353945.6000,3.693900
2025-04-10,4.0200,4.1300,4.0200,4.0400,19799431,80583498.4800,2.799000
2025-04-11,3.9900,4.1100,3.9500,4.0800,16960700,68882707.0000,0.990100
2025-04-14,4.1200,4.2600,4.1200,4.1500,19300500,80635417.0000,1.715700
2025-04-15,4.1600,4.2000,4.1000,4.1600,14603300,60448794.0000,0.241000
2025-04-16,4.1400,4.1500,3.9500,4.0600,14013300,56769549.0000,-2.403800
2025-04-17,4.0700,4.1700,4.0200,4.1100,14321803,59052345.3300,1.231500
2025-04-18,4.0900,4.1200,4.0100,4.0500,14340403,58223655.1800,-1.459900
2025-04-21,4.0400,4.2000,4.0000,4.1900,14560000,60218091.0000,3.456800
2025-04-22,4.1900,4.2300,4.1000,4.1300,14659300,60771245.0000,-1.432000
2025-04-23,4.1600,4.2300,4.1500,4.1800,11976400,50212684.0000,1.210700
2025-04-24,4.1800,4.1800,4.0600,4.0800,13612000,55931114.0000,-2.392300
2025-04-25,4.2500,4.3000,4.1200,4.1400,17663200,73848148.0000,1.470600
2025-04-28,4.1300,4.1800,4.0400,4.1200,17100500,70343359.0000,-0.483100
2025-04-29,4.1100,4.2200,4.0500,4.2000,15618100,65264827.0000,1.941700
2025-04-30,4.2000,4.3300,4.2000,4.3000,17032200,73088393.0000,2.381000
2025-05-06,4.3400,4.4800,4.3300,4.4500,16792950,74415466.9500,3.488400
2025-05-07,4.5100,4.5500,4.4000,4.4500,17059620,76137231.6000,0.000000
