date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.3800,5.4900,5.2300,5.2800,6070764,32627630.4000,-1.858700
2025-01-03,5.3200,5.3300,5.1000,5.1000,5618381,29192604.3100,-3.409100
2025-01-06,5.1000,5.1700,4.8600,5.1300,5685157,28712913.0000,0.588200
2025-01-07,5.1500,5.2800,5.1400,5.2700,4501195,23414885.0500,2.729000
2025-01-08,5.2800,5.8600,5.2700,5.5700,19174027,106058593.7400,5.692600
2025-01-09,5.5800,5.8600,5.5000,5.7400,14893747,85125467.0700,3.052100
2025-01-10,5.7600,5.8300,5.6200,5.6400,12711015,72772284.9500,-1.742200
2025-01-13,5.5800,5.8000,5.5800,5.6800,7319585,41545834.1000,0.709200
2025-01-14,5.6700,5.8600,5.6700,5.8200,8771490,50595385.1000,2.464800
2025-01-15,5.8200,5.8500,5.7200,5.8300,6204520,35903973.5000,0.171800
2025-01-16,5.8500,6.0700,5.8300,5.9700,14537537,86710417.7200,2.401400
2025-01-17,5.9000,6.0200,5.8500,5.9400,8309175,49197316.1000,-0.502500
2025-01-20,5.9000,5.9400,5.6800,5.7200,11372402,65686680.9800,-3.703700
2025-01-21,5.7300,5.7500,5.5800,5.6600,6990700,39430295.0000,-1.049000
2025-01-22,5.6500,5.6700,5.4500,5.4800,6309240,34974235.4000,-3.180200
2025-01-23,5.5700,5.6200,5.4200,5.4300,4787596,26468356.5700,-0.912400
2025-01-24,5.4200,5.4800,5.3200,5.4600,4775597,25852458.6200,0.552500
2025-01-27,5.4000,6.0000,5.4000,5.4700,15363482,86931390.2600,0.183200
2025-02-05,5.4000,5.6000,5.2600,5.5400,10911302,59786451.0400,1.279700
2025-02-06,5.5300,5.7700,5.4400,5.6900,10743200,60337352.0000,2.707600
2025-02-07,5.7000,5.7800,5.6200,5.6900,8106500,46200596.0000,0.000000
2025-02-10,5.7000,5.8000,5.6900,5.8000,6588520,37833848.8000,1.933200
2025-02-11,5.8000,5.8000,5.6800,5.7000,5371560,30675613.4000,-1.724100
2025-02-12,5.7300,5.7800,5.6600,5.7400,6399222,36530656.1400,0.701800
2025-02-13,5.7400,5.7400,5.6100,5.6200,5673340,32146392.6000,-2.090600
2025-02-14,5.6200,5.6900,5.5200,5.5400,5368800,29916680.1000,-1.423500
2025-02-17,5.5500,5.8000,5.5200,5.6900,8501200,48071718.0000,2.707600
2025-02-18,5.7000,5.7900,5.5900,5.6100,9598700,54520884.0000,-1.406000
2025-02-19,5.6400,5.7400,5.5900,5.7400,7307590,41606059.7000,2.317300
2025-02-20,5.7700,5.7800,5.6700,5.7000,5932180,33850977.2000,-0.696900
2025-02-21,5.6900,5.6900,5.5700,5.6200,9273600,52033632.0000,-1.403500
2025-02-24,5.6200,5.7100,5.5500,5.6800,8430500,47483437.0000,1.067600
2025-02-25,5.6200,5.7700,5.5800,5.7000,7141857,40715539.4700,0.352100
2025-02-26,5.6900,5.8000,5.6900,5.7700,6425500,36986980.0000,1.228100
2025-02-27,5.7800,5.7800,5.6500,5.7300,5552000,31644807.0000,-0.693200
2025-02-28,5.7200,6.3300,5.7000,6.0400,34699704,208484304.4200,5.410100
2025-03-03,5.9500,6.0700,5.8000,5.9200,23198612,137046925.8500,-1.986800
2025-03-04,5.9000,5.9000,5.7500,5.7900,12993800,75310869.0000,-2.195900
