date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.5300,6.5600,6.1600,6.2500,65615108,417429505.3900,-4.434300
2025-01-03,6.2700,6.3400,6.0200,6.0600,59724404,368956335.8000,-3.040000
2025-01-06,6.0500,6.1400,5.9400,6.0000,44546079,269210500.6200,-0.990100
2025-01-07,6.0000,6.1600,6.0000,6.1500,40043804,243627222.7800,2.500000
2025-01-08,6.1100,6.1100,5.8200,6.0100,55669337,332703398.1500,-2.276400
2025-01-09,5.9800,6.0900,5.9600,6.0000,35262700,212704353.0000,-0.166400
2025-01-10,5.9700,6.0500,5.7800,5.7800,42894585,253864102.4000,-3.666700
2025-01-13,5.7300,5.8500,5.6400,5.8100,35495004,204595192.1200,0.519000
2025-01-14,5.8400,6.2100,5.7900,6.1800,64669662,390836486.3000,6.368300
2025-01-15,6.1500,6.1900,6.0400,6.0900,40240600,245187069.0000,-1.456300
2025-01-16,6.1200,6.2700,6.1100,6.1900,53434543,330641036.6500,1.642000
2025-01-17,6.1600,6.2600,6.1100,6.2000,36072644,223039448.2400,0.161600
2025-01-20,6.2500,6.4200,6.2300,6.3300,54344494,343683281.7000,2.096800
2025-01-21,6.3400,6.3800,6.2200,6.3500,37429962,235696648.5000,0.316000
2025-01-22,6.3000,6.3400,6.2400,6.2800,29404700,184927791.0000,-1.102400
2025-01-23,6.3500,6.4800,6.2200,6.2200,51281700,325917579.0000,-0.955400
2025-01-24,6.2100,6.3600,6.1900,6.3600,38872354,244977759.1200,2.250800
2025-01-27,6.3600,6.4200,6.2000,6.2000,31946181,200856982.7400,-2.515700
2025-02-05,6.2700,6.3700,6.2500,6.3000,35231829,222329315.2800,1.612900
2025-02-06,6.1700,6.4100,6.1500,6.4100,63815000,404070000.0000,1.746000
2025-02-07,6.4500,6.7300,6.4300,6.6600,93654128,618245523.5700,3.900200
2025-02-10,6.6500,6.6900,6.6000,6.6700,67397768,448156774.3200,0.150200
2025-02-11,6.6600,6.7400,6.6000,6.6200,55761250,371287716.5000,-0.749600
2025-02-12,6.6100,6.7100,6.6000,6.6900,54695286,363912992.1500,1.057400
2025-02-13,6.6900,6.7000,6.5500,6.5600,54518784,360138174.3400,-1.943200
2025-02-14,6.5600,6.7000,6.5500,6.6300,56181470,372580545.3800,1.067100
2025-02-17,6.6300,6.7800,6.6200,6.7100,80101722,536017911.1700,1.206600
2025-02-18,6.6800,6.7500,6.4600,6.5000,61327402,405292569.0000,-3.129700
2025-02-19,6.4600,6.6000,6.4500,6.5900,51299873,336465082.7000,1.384600
2025-02-20,6.5800,6.8800,6.5500,6.8600,119824001,810299230.6100,4.097100
2025-02-21,6.8700,6.9600,6.7500,6.8800,107128621,736463781.7900,0.291500
2025-02-24,6.8700,6.8700,6.7300,6.7700,76247124,517174393.4400,-1.598800
2025-02-25,6.6900,7.0400,6.6500,6.9100,110314945,761484795.2200,2.067900
2025-02-26,6.9800,7.0300,6.8600,6.9300,82033788,567833425.2800,0.289400
2025-02-27,6.9000,6.9200,6.7200,6.8500,73605450,501391578.5000,-1.154400
2025-02-28,6.7900,6.8000,6.4900,6.5300,70517706,467617856.3900,-4.671500
2025-03-03,6.5400,6.7200,6.4400,6.5300,55707179,368150933.0600,0.000000
2025-03-04,6.4800,6.6400,6.4600,6.6300,44227030,291444065.2500,1.531400
2025-03-05,6.6000,6.6500,6.5100,6.6200,40820194,268654141.6400,-0.150800
2025-03-06,6.6600,6.7900,6.6200,6.7400,65829464,442800615.5100,1.812700
2025-03-07,6.7200,6.7400,6.5800,6.6300,56876572,379252377.7200,-1.632000
2025-03-10,6.6300,6.8200,6.6000,6.6900,60133361,403187422.2800,0.905000
2025-03-11,6.6000,6.7100,6.5600,6.6600,44916107,298041970.0300,-0.448400
2025-03-12,6.6800,6.8000,6.6400,6.7200,79205973,533632709.5300,0.900900
2025-03-13,6.7000,6.7000,6.4400,6.5200,82485573,538580083.5600,-2.976200
2025-03-14,6.4900,6.7300,6.4500,6.7000,79762094,528161505.3100,2.760700
2025-03-17,6.7200,7.0000,6.6900,6.9400,137442966,947214280.0900,3.582100
2025-03-18,6.9600,6.9700,6.8300,6.8600,90856852,626660491.2000,-1.152700
2025-03-19,6.8500,6.8700,6.7000,6.7500,59358365,400459052.8300,-1.603500
2025-03-20,6.7500,6.8100,6.6400,6.6500,58476026,393203903.7600,-1.481500
2025-03-21,6.6000,6.6300,6.4100,6.4600,74888712,487604117.3700,-2.857100
2025-03-24,6.4600,6.4800,6.2500,6.3800,57757705,366566750.8400,-1.238400
2025-03-25,6.3700,6.4000,6.2600,6.3200,36786633,232463896.8900,-0.940400
2025-03-26,6.3000,6.3700,6.2900,6.3000,33569837,212553925.5400,-0.316500
2025-03-27,6.2900,6.3500,6.1800,6.2900,34235171,214457306.4700,-0.158700
2025-03-28,6.2700,6.3300,6.2500,6.2600,27448269,172567135.2100,-0.476900
2025-03-31,6.2300,6.2500,6.1000,6.1700,35477032,219016313.8800,-1.437700
2025-04-01,6.1900,6.2500,6.1700,6.1700,25043336,155555389.1600,0.000000
2025-04-02,6.1700,6.2200,6.1500,6.1600,23004773,141985217.0100,-0.162100
2025-04-03,6.1000,6.1900,6.0100,6.0600,35090817,213713450.6100,-1.623400
2025-04-07,5.6800,5.7300,4.8500,4.8700,109354460,567262019.4900,-19.637000
2025-04-08,4.9700,5.2500,4.9200,5.0500,82063868,415708937.4700,3.696100
2025-04-09,4.9500,5.1900,4.6600,5.1400,72987817,363124368.1600,1.782200
2025-04-10,5.4100,5.4900,5.3000,5.3000,65069992,350208233.3900,3.112800
2025-04-11,5.2200,5.4100,5.1900,5.3400,40580629,216370410.3600,0.754700
2025-04-14,5.5900,5.6900,5.4500,5.5000,54716777,303534021.4600,2.996300
2025-04-15,5.4600,5.5200,5.3800,5.4400,33355973,181064832.4200,-1.090900
2025-04-16,5.4000,5.4300,5.2400,5.3400,31686957,168971572.6200,-1.838200
2025-04-17,5.2900,5.4000,5.2800,5.3400,23321354,125034782.7600,0.000000
2025-04-18,5.3400,5.3900,5.3000,5.3600,20712920,110630533.4000,0.374500
2025-04-21,5.3800,5.4700,5.3200,5.4600,27264159,148099133.8300,1.865700
2025-04-22,5.4500,5.4800,5.4200,5.4500,20907800,113856935.0000,-0.183200
2025-04-23,5.5300,5.5800,5.4800,5.5300,36678359,202961641.4100,1.467900
2025-04-24,5.5300,5.5400,5.4500,5.5000,26850900,147552998.0000,-0.542500
2025-04-25,5.6000,5.6500,5.5600,5.5700,36477336,203993337.1000,1.272700
2025-04-28,5.6200,5.6500,5.5400,5.5700,25512683,142333091.4100,0.000000
2025-04-29,5.5400,5.6500,5.5300,5.6000,25437846,142709639.9800,0.538600
2025-04-30,5.6100,5.7000,5.6000,5.6700,29865043,169328950.8100,1.250000
2025-05-06,5.7000,5.9000,5.7000,5.8800,43097410,250531090.9300,3.703700
2025-05-07,6.0700,6.2900,5.9700,6.0200,96045933,586599436.7000,2.381000
2025-05-08,5.9900,6.1000,5.9300,6.0500,46970306,284094306.5900,0.498300
2025-05-09,6.0200,6.0500,5.9300,5.9500,35500884,212076179.1600,-1.652900
2025-05-12,6.0200,6.0700,6.0100,6.0700,35112337,212277471.3400,2.016800
2025-05-13,6.1500,6.1700,6.0000,6.0200,35480800,215152783.5100,-0.823700
2025-05-14,6.0200,6.0700,5.9600,6.0400,31358200,188573066.0000,0.332200
2025-05-15,6.0200,6.1100,5.9600,5.9700,33456553,200839506.3700,-1.158900
2025-05-16,5.9500,6.0200,5.9400,5.9600,25882717,154935133.2200,-0.167500
2025-05-19,5.9500,6.0000,5.8800,6.0000,26664978,158425769.0500,0.671100
2025-05-20,6.0000,6.0200,5.9400,6.0100,23648821,141630498.0000,0.166700
2025-05-21,5.9900,6.0000,5.9300,5.9500,23791420,141643195.0000,-0.998300
2025-05-22,5.9000,5.9300,5.7800,5.8200,38000883,222016697.1800,-2.184900
