date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.8800,10.0900,9.5300,9.6400,26781875,263090326.6800,-1.330600
2025-01-03,9.8800,10.5000,9.6500,9.8600,54200289,546542973.1000,2.282200
2025-01-06,9.9000,11.5000,9.9000,11.3000,97214159,1055516858.4900,14.604500
2025-01-07,10.9500,10.9500,10.3000,10.6200,70792043,742908881.4700,-6.017700
2025-01-08,10.5300,11.4000,10.4500,10.9000,68938883,758894524.3700,2.636500
2025-01-09,10.6000,11.0200,10.3100,10.6800,46647127,496975411.2200,-2.018300
2025-01-10,10.6500,10.6500,9.9400,9.9500,41806941,427140989.5600,-6.835200
2025-01-13,9.6500,9.9200,9.3400,9.7800,25554273,246313221.5300,-1.708500
2025-01-14,9.9100,10.2800,9.8800,10.2800,33884264,344418390.2400,5.112500
2025-01-15,10.3500,10.6300,10.0700,10.2800,33082400,341379408.0000,0.000000
2025-01-16,10.0500,10.4500,9.9800,10.2100,35036336,357076800.4800,-0.680900
2025-01-17,10.1000,10.2800,9.9300,10.1100,22517177,226749896.1600,-0.979400
2025-01-20,10.1500,10.2800,10.0100,10.0500,18277636,185070406.1900,-0.593500
2025-01-21,10.1300,10.1900,9.7600,9.9500,21339214,211735079.2200,-0.995000
2025-01-22,10.0000,10.0000,9.6100,9.6400,20387555,198497944.9100,-3.115600
2025-01-23,9.7500,9.9800,9.5600,9.5600,21251300,208266559.0000,-0.829900
2025-01-24,9.5600,9.6500,9.4200,9.5200,19782600,188366971.0000,-0.418400
2025-01-27,9.5200,9.9900,9.5200,9.5600,19158910,186178946.4000,0.420200
2025-02-05,9.8900,10.2000,9.7500,9.9600,30872100,307829860.0000,4.184100
2025-02-06,9.9600,10.3700,9.6600,10.2600,40326700,403386345.0000,3.012000
2025-02-07,10.1000,10.7200,10.1000,10.4700,49182051,515637966.4800,2.046800
2025-02-10,10.4000,10.6400,10.3400,10.5500,41986256,440573740.2000,0.764100
2025-02-11,10.5200,10.5700,10.1100,10.1300,34720398,354973413.4300,-3.981000
2025-02-12,10.0800,10.3300,9.9600,10.1900,31074145,312809239.6000,0.592300
2025-02-13,10.1900,10.2500,10.0100,10.0700,23799000,240926442.0000,-1.177600
2025-02-14,10.0800,11.3000,10.0800,10.6800,81763210,887945266.0800,6.057600
2025-02-17,11.2600,11.5800,10.6900,10.7300,62430299,692612881.4800,0.468200
2025-02-18,10.7300,10.7900,9.9600,9.9800,48110500,494497526.0000,-6.989700
2025-02-19,9.9900,10.1700,9.8700,10.0300,31104100,310996854.9000,0.501000
2025-02-20,9.9100,10.3100,9.8800,10.0400,29279589,295928090.6700,0.099700
2025-02-21,9.9600,10.0800,9.8600,10.0300,30107988,299941944.6500,-0.099600
2025-02-24,9.9900,10.5000,9.9100,10.2800,40690749,415635503.3500,2.492500
2025-02-25,10.1600,10.3700,10.0000,10.1500,25970436,264742212.8200,-1.264600
2025-02-26,10.1500,10.3600,10.1500,10.3100,27844528,285440851.2000,1.576400
2025-02-27,10.2300,10.5600,10.1900,10.5300,39700026,414380661.3200,2.133900
2025-02-28,10.4300,10.6500,9.9800,10.0100,36159847,370838299.5800,-4.938300
2025-03-03,9.9000,10.1100,9.6300,9.8600,28623297,282767310.7200,-1.498500
2025-03-04,9.7600,9.7700,9.4700,9.6200,28803926,276665224.1200,-2.434100
2025-03-05,9.5700,9.5900,9.3200,9.5000,24342598,229301150.9200,-1.247400
2025-03-06,9.5400,9.7700,9.4400,9.6700,23914101,229774019.6600,1.789500
2025-03-07,9.5900,9.6800,9.3500,9.4300,22899774,216739310.5800,-2.481900
2025-03-10,9.6000,10.4500,9.6000,9.9800,46893403,470285269.8900,5.832400
2025-03-11,9.7800,9.8700,9.6100,9.7300,24005820,232619113.2000,-2.505000
2025-03-12,9.7300,9.8000,9.6500,9.6600,16191331,156962465.0800,-0.719400
2025-03-13,9.6500,9.9300,9.5700,9.8400,27396670,267019240.6200,1.863400
2025-03-14,9.7600,9.9500,9.6500,9.9300,24869979,243883598.8700,0.914600
2025-03-17,9.9400,10.0500,9.8200,9.8500,19901191,197449399.7100,-0.805600
2025-03-18,9.8100,9.9300,9.7500,9.8200,15224450,149383619.5000,-0.304600
2025-03-19,9.8800,10.4400,9.7700,10.2200,53406353,540455093.7900,4.073300
2025-03-20,10.1000,10.1900,9.9000,10.0700,34963554,349437689.1100,-1.467700
2025-03-21,10.4500,10.6600,10.0000,10.0200,44804525,462211045.9000,-0.496500
2025-03-24,10.0200,10.0200,10.0200,10.0200,,,
2025-03-25,8.0200,8.0200,8.0200,8.0200,3481500,27921630.0000,-19.960100
2025-03-26,6.4200,6.4200,6.4200,6.4200,10501100,67417062.0000,-19.950100
