date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.3600,4.4000,4.2000,4.2600,15064000,65027155.0000,-1.388900
2025-01-03,4.2600,4.3300,4.1400,4.1600,19223500,81442901.0000,-2.347400
2025-01-06,4.1500,4.9900,4.1500,4.9900,112785080,533259886.8000,19.951900
2025-01-07,4.9700,5.1000,4.7100,4.8700,97419133,471361215.8100,-2.404800
2025-01-08,4.8700,5.2200,4.8400,4.9300,107539891,538184568.4800,1.232000
2025-01-09,4.7900,4.8600,4.6800,4.6800,69740877,329737083.4600,-5.071000
2025-01-10,4.6500,4.6700,4.3000,4.3000,57197731,255316121.4300,-8.119700
2025-01-13,4.2300,4.4500,4.1000,4.3300,38321700,162968263.0000,0.697700
2025-01-14,4.3400,4.4900,4.2800,4.4900,38604032,170115929.0800,3.695200
2025-01-15,4.4500,4.4800,4.3400,4.4000,35184616,154573524.9200,-2.004500
2025-01-16,4.3900,4.5100,4.3700,4.4000,32706116,145082039.4000,0.000000
2025-01-17,4.3800,4.4100,4.3200,4.3900,20885532,91157280.8400,-0.227300
2025-01-20,3.7000,3.9500,3.7000,3.8900,76803200,296543957.0000,-11.389500
2025-01-21,3.8600,3.8800,3.7300,3.8200,39269500,148734292.0000,-1.799500
2025-01-22,3.8200,3.8200,3.7500,3.7700,19602942,74091853.9200,-1.308900
2025-01-23,3.8000,3.9300,3.8000,3.8000,38418824,148344513.6200,0.795800
2025-01-24,3.8000,3.8100,3.7300,3.8000,26103672,98561446.3000,0.000000
2025-01-27,3.8600,3.9400,3.7800,3.7800,23858404,91859385.4000,-0.526300
2025-02-05,3.8400,3.9100,3.8000,3.9000,27193970,105321274.3000,3.174600
2025-02-06,3.9000,3.9100,3.8300,3.9000,23957716,92966773.4000,0.000000
2025-02-07,3.9100,4.0900,3.9000,4.0600,40681616,164279989.6400,4.102600
2025-02-10,4.0600,4.1800,4.0600,4.1700,32476900,134108293.8400,2.709400
2025-02-11,4.1700,4.1800,4.0500,4.0800,23460394,95601329.5800,-2.158300
2025-02-12,4.1000,4.1100,4.0200,4.0700,19914741,80826533.7400,-0.245100
2025-02-13,4.0700,4.1000,4.0400,4.0600,18190402,74017785.1400,-0.245700
2025-02-14,4.0600,4.1500,4.0400,4.0700,24655700,100756209.0000,0.246300
2025-02-17,4.0800,4.1400,4.0600,4.1000,26682594,109506755.4000,0.737100
2025-02-18,4.0800,4.1000,3.9400,3.9500,24342900,97726229.0000,-3.658500
2025-02-19,3.9900,3.9900,3.9100,3.9400,18406600,72544690.0000,-0.253200
2025-02-20,3.9600,4.0800,3.9600,4.0300,22157072,89339822.0000,2.284300
2025-02-21,4.0100,4.0600,3.9300,3.9800,20576000,81727862.0000,-1.240700
2025-02-24,3.9900,4.0400,3.9500,4.0200,23091751,92363558.0200,1.005000
2025-02-25,4.0000,4.0900,3.9600,4.0000,21245504,85741731.0000,-0.497500
2025-02-26,4.0600,4.3200,3.9900,4.2400,55822704,232979167.9600,6.000000
2025-02-27,4.2400,4.3500,4.2100,4.2700,37308002,159141590.5200,0.707500
2025-02-28,4.2400,4.2900,4.1400,4.1500,26671604,111894224.5600,-2.810300
2025-03-03,4.2000,4.2200,4.0800,4.1000,20863543,86660927.8700,-1.204800
2025-03-04,4.0900,4.1100,4.0500,4.1100,16549204,67511004.4400,0.243900
2025-03-05,4.0900,4.1100,4.0000,4.0500,19314404,77806418.0000,-1.459900
2025-03-06,4.0600,4.0700,4.0100,4.0600,18360300,74290858.0000,0.246900
2025-03-07,4.0500,4.0600,3.9600,3.9900,21187200,84877688.0000,-1.724100
2025-03-10,3.9900,4.0900,3.9900,4.0600,19908500,80641386.0000,1.754400
2025-03-11,4.0200,4.0700,3.9800,4.0700,16429043,66197167.5800,0.246300
2025-03-12,4.0700,4.0800,4.0300,4.0400,15322600,62011896.0000,-0.737100
2025-03-13,4.0200,4.0500,3.9700,4.0200,18380802,73553972.9800,-0.495000
2025-03-14,4.0200,4.0900,4.0000,4.0900,25682000,103996240.0000,1.741300
2025-03-17,4.1000,4.1200,4.0600,4.0900,15260402,62324321.1600,0.000000
2025-03-18,4.1000,4.1400,4.0600,4.1000,19182906,78684074.7000,0.244500
2025-03-19,4.1000,4.3300,4.0700,4.3100,66361019,280388800.0200,5.122000
2025-03-20,4.2800,4.3600,4.2000,4.2200,37869363,161155273.7300,-2.088200
2025-03-21,4.3200,4.5200,4.2200,4.2200,57153066,246930162.0600,0.000000
2025-03-24,4.1700,4.1900,4.0000,4.0500,37634194,153226504.9600,-4.028400
2025-03-25,4.0700,4.0700,3.9800,4.0400,17716992,71187899.8400,-0.246900
2025-03-26,4.0200,4.1300,3.9900,4.0500,18996000,77147900.0000,0.247500
2025-03-27,4.0200,4.1000,4.0000,4.0700,17557450,70968936.5000,0.493800
